Date,Transport type,Percentage
2020-07-10,London underground,21
2020-07-11,London underground,24
2020-07-12,London underground,24
2020-07-13,London underground,21
2020-07-14,London underground,20
2020-07-15,London underground,21
2020-07-16,London underground,21
2020-07-17,London underground,24
2020-07-18,London underground,29
2020-07-19,London underground,24
2020-07-20,London underground,23
2020-07-21,London underground,23
2020-07-22,London underground,24
2020-07-23,London underground,25
2020-07-24,London underground,25
2020-07-25,London underground,28
2020-07-26,London underground,28
2020-07-27,London underground,24
2020-07-28,London underground,25
2020-07-29,London underground,25
2020-07-30,London underground,26
2020-07-31,London underground,27
2020-08-01,London underground,32
2020-08-02,London underground,29
2020-08-03,London underground,27
2020-08-04,London underground,27
2020-08-05,London underground,28
2020-08-06,London underground,27
2020-08-07,London underground,28
2020-08-08,London underground,32
2020-08-09,London underground,31
2020-08-10,London underground,28
2020-08-11,London underground,28
2020-08-12,London underground,28
2020-08-13,London underground,26
2020-08-14,London underground,29
2020-08-15,London underground,33
2020-08-16,London underground,32
2020-08-17,London underground,30
2020-08-18,London underground,30
2020-08-19,London underground,30
2020-08-20,London underground,31
2020-08-21,London underground,32
2020-08-22,London underground,36
2020-08-23,London underground,35
2020-08-24,London underground,32
2020-08-25,London underground,35
2020-08-26,London underground,36
2020-08-27,London underground,32
2020-08-28,London underground,34
2020-08-29,London underground,42
2020-08-30,London underground,39
2020-08-31,London underground,45
2020-09-01,London underground,33
2020-09-02,London underground,35
2020-09-03,London underground,33
2020-09-04,London underground,36
2020-09-05,London underground,42
2020-09-06,London underground,41
2020-09-07,London underground,34
2020-09-08,London underground,34
2020-09-09,London underground,35
2020-09-10,London underground,36
2020-09-11,London underground,37
2020-09-12,London underground,40
2020-09-13,London underground,40
2020-09-14,London underground,35
2020-09-15,London underground,34
2020-09-16,London underground,36
2020-09-17,London underground,35
2020-09-18,London underground,36
2020-09-19,London underground,42
2020-09-20,London underground,40
2020-09-21,London underground,35
2020-09-22,London underground,35
2020-09-23,London underground,34
2020-09-24,London underground,34
2020-09-25,London underground,36
2020-09-26,London underground,42
2020-09-27,London underground,41
2020-09-28,London underground,34
2020-09-29,London underground,34
2020-09-30,London underground,34
2020-10-01,London underground,34
2020-10-02,London underground,34
2020-10-03,London underground,39
2020-10-04,London underground,37
2020-10-05,London underground,33
2020-10-06,London underground,34
2020-10-07,London underground,35
2020-10-08,London underground,34
2020-10-09,London underground,36
