date,series,value,value2
1994-04-01,CPI Annual Rate,2,0.02
1994-05-01,CPI Annual Rate,2,0.02
1994-06-01,CPI Annual Rate,2,0.02
1994-07-01,CPI Annual Rate,1.7,0.017
1994-08-01,CPI Annual Rate,1.9,0.019
1994-09-01,CPI Annual Rate,1.5,0.015
1994-10-01,CPI Annual Rate,1.5,0.015
1994-11-01,CPI Annual Rate,1.8,0.018
1994-12-01,CPI Annual Rate,2,0.02
1995-01-01,CPI Annual Rate,2.4,0.024
1995-02-01,CPI Annual Rate,2.4,0.024
1995-03-01,CPI Annual Rate,2.6,0.026
1995-04-01,CPI Annual Rate,2.3,0.023
1995-05-01,CPI Annual Rate,2.5,0.025
1995-06-01,CPI Annual Rate,2.6,0.026
1995-07-01,CPI Annual Rate,2.7,0.027
1995-08-01,CPI Annual Rate,2.6,0.026
1995-09-01,CPI Annual Rate,3,0.03
1995-10-01,CPI Annual Rate,2.9,0.029
1995-11-01,CPI Annual Rate,2.8,0.028
1995-12-01,CPI Annual Rate,3,0.03
1996-01-01,CPI Annual Rate,2.6,0.026
1996-02-01,CPI Annual Rate,2.7,0.027
1996-03-01,CPI Annual Rate,2.6,0.026
1996-04-01,CPI Annual Rate,2.5,0.025
1996-05-01,CPI Annual Rate,2.3,0.023
1996-06-01,CPI Annual Rate,2.3,0.023
1996-07-01,CPI Annual Rate,2.2,0.022
1996-08-01,CPI Annual Rate,2.3,0.023
1996-09-01,CPI Annual Rate,2.3,0.023
1996-10-01,CPI Annual Rate,2.5,0.025
1996-11-01,CPI Annual Rate,2.6,0.026
1996-12-01,CPI Annual Rate,2.3,0.023
1997-01-01,CPI Annual Rate,2.1,0.021
1997-02-01,CPI Annual Rate,1.9,0.019
1997-03-01,CPI Annual Rate,1.7,0.017
1997-04-01,CPI Annual Rate,1.6,0.016
1997-05-01,CPI Annual Rate,1.6,0.016
1997-06-01,CPI Annual Rate,1.7,0.017
1997-07-01,CPI Annual Rate,2,0.02
1997-08-01,CPI Annual Rate,2,0.02
1997-09-01,CPI Annual Rate,1.8,0.018
1997-10-01,CPI Annual Rate,1.9,0.019
1997-11-01,CPI Annual Rate,1.9,0.019
1997-12-01,CPI Annual Rate,1.7,0.017
1998-01-01,CPI Annual Rate,1.5,0.015
1998-02-01,CPI Annual Rate,1.6,0.016
1998-03-01,CPI Annual Rate,1.7,0.017
1998-04-01,CPI Annual Rate,1.8,0.018
1998-05-01,CPI Annual Rate,2,0.02
1998-06-01,CPI Annual Rate,1.7,0.017
1998-07-01,CPI Annual Rate,1.4,0.014
1998-08-01,CPI Annual Rate,1.3,0.013
1998-09-01,CPI Annual Rate,1.4,0.014
1998-10-01,CPI Annual Rate,1.4,0.014
1998-11-01,CPI Annual Rate,1.4,0.014
1998-12-01,CPI Annual Rate,1.6,0.016
1999-01-01,CPI Annual Rate,1.6,0.016
1999-02-01,CPI Annual Rate,1.4,0.014
1999-03-01,CPI Annual Rate,1.7,0.017
1999-04-01,CPI Annual Rate,1.5,0.015
1999-05-01,CPI Annual Rate,1.3,0.013
1999-06-01,CPI Annual Rate,1.3,0.013
1999-07-01,CPI Annual Rate,1.3,0.013
1999-08-01,CPI Annual Rate,1.2,0.012
1999-09-01,CPI Annual Rate,1.2,0.012
1999-10-01,CPI Annual Rate,1.1,0.011
1999-11-01,CPI Annual Rate,1.2,0.012
1999-12-01,CPI Annual Rate,1.1,0.011
2000-01-01,CPI Annual Rate,0.8,0.008
2000-02-01,CPI Annual Rate,0.9,0.009
2000-03-01,CPI Annual Rate,0.6,0.006
2000-04-01,CPI Annual Rate,0.6,0.006
2000-05-01,CPI Annual Rate,0.5,0.005
2000-06-01,CPI Annual Rate,0.8,0.008
2000-07-01,CPI Annual Rate,0.9,0.009
2000-08-01,CPI Annual Rate,0.6,0.006
2000-09-01,CPI Annual Rate,1,0.01
2000-10-01,CPI Annual Rate,1,0.01
2000-11-01,CPI Annual Rate,1.1,0.011
2000-12-01,CPI Annual Rate,0.8,0.008
2001-01-01,CPI Annual Rate,0.9,0.009
2001-02-01,CPI Annual Rate,0.8,0.008
2001-03-01,CPI Annual Rate,0.9,0.009
2001-04-01,CPI Annual Rate,1.2,0.012
2001-05-01,CPI Annual Rate,1.7,0.017
2001-06-01,CPI Annual Rate,1.7,0.017
2001-07-01,CPI Annual Rate,1.4,0.014
2001-08-01,CPI Annual Rate,1.8,0.018
2001-09-01,CPI Annual Rate,1.3,0.013
2001-10-01,CPI Annual Rate,1.2,0.012
2001-11-01,CPI Annual Rate,0.8,0.008
2001-12-01,CPI Annual Rate,1.1,0.011
2002-01-01,CPI Annual Rate,1.6,0.016
2002-02-01,CPI Annual Rate,1.5,0.015
2002-03-01,CPI Annual Rate,1.5,0.015
2002-04-01,CPI Annual Rate,1.4,0.014
2002-05-01,CPI Annual Rate,0.8,0.008
2002-06-01,CPI Annual Rate,0.6,0.006
2002-07-01,CPI Annual Rate,1.1,0.011
2002-08-01,CPI Annual Rate,1,0.01
2002-09-01,CPI Annual Rate,1,0.01
2002-10-01,CPI Annual Rate,1.4,0.014
2002-11-01,CPI Annual Rate,1.5,0.015
2002-12-01,CPI Annual Rate,1.7,0.017
2003-01-01,CPI Annual Rate,1.3,0.013
2003-02-01,CPI Annual Rate,1.6,0.016
2003-03-01,CPI Annual Rate,1.5,0.015
2003-04-01,CPI Annual Rate,1.4,0.014
2003-05-01,CPI Annual Rate,1.3,0.013
2003-06-01,CPI Annual Rate,1.1,0.011
2003-07-01,CPI Annual Rate,1.3,0.013
2003-08-01,CPI Annual Rate,1.4,0.014
2003-09-01,CPI Annual Rate,1.4,0.014
2003-10-01,CPI Annual Rate,1.4,0.014
2003-11-01,CPI Annual Rate,1.3,0.013
2003-12-01,CPI Annual Rate,1.3,0.013
2004-01-01,CPI Annual Rate,1.4,0.014
2004-02-01,CPI Annual Rate,1.3,0.013
2004-03-01,CPI Annual Rate,1.1,0.011
2004-04-01,CPI Annual Rate,1.1,0.011
2004-05-01,CPI Annual Rate,1.5,0.015
2004-06-01,CPI Annual Rate,1.6,0.016
2004-07-01,CPI Annual Rate,1.4,0.014
2004-08-01,CPI Annual Rate,1.3,0.013
2004-09-01,CPI Annual Rate,1.1,0.011
2004-10-01,CPI Annual Rate,1.2,0.012
2004-11-01,CPI Annual Rate,1.5,0.015
2004-12-01,CPI Annual Rate,1.7,0.017
2005-01-01,CPI Annual Rate,1.6,0.016
2005-02-01,CPI Annual Rate,1.7,0.017
2005-03-01,CPI Annual Rate,1.9,0.019
2005-04-01,CPI Annual Rate,1.9,0.019
2005-05-01,CPI Annual Rate,1.9,0.019
2005-06-01,CPI Annual Rate,2,0.02
2005-07-01,CPI Annual Rate,2.3,0.023
2005-08-01,CPI Annual Rate,2.4,0.024
2005-09-01,CPI Annual Rate,2.5,0.025
2005-10-01,CPI Annual Rate,2.3,0.023
2005-11-01,CPI Annual Rate,2.1,0.021
2005-12-01,CPI Annual Rate,1.9,0.019
2006-01-01,CPI Annual Rate,1.9,0.019
2006-02-01,CPI Annual Rate,2,0.02
2006-03-01,CPI Annual Rate,1.8,0.018
2006-04-01,CPI Annual Rate,2,0.02
2006-05-01,CPI Annual Rate,2.2,0.022
2006-06-01,CPI Annual Rate,2.5,0.025
2006-07-01,CPI Annual Rate,2.4,0.024
2006-08-01,CPI Annual Rate,2.5,0.025
2006-09-01,CPI Annual Rate,2.4,0.024
2006-10-01,CPI Annual Rate,2.4,0.024
2006-11-01,CPI Annual Rate,2.7,0.027
2006-12-01,CPI Annual Rate,3,0.03
2007-01-01,CPI Annual Rate,2.7,0.027
2007-02-01,CPI Annual Rate,2.8,0.028
2007-03-01,CPI Annual Rate,3.1,0.031
2007-04-01,CPI Annual Rate,2.8,0.028
2007-05-01,CPI Annual Rate,2.5,0.025
2007-06-01,CPI Annual Rate,2.4,0.024
2007-07-01,CPI Annual Rate,1.9,0.019
2007-08-01,CPI Annual Rate,1.8,0.018
2007-09-01,CPI Annual Rate,1.8,0.018
2007-10-01,CPI Annual Rate,2.1,0.021
2007-11-01,CPI Annual Rate,2.1,0.021
2007-12-01,CPI Annual Rate,2.1,0.021
2008-01-01,CPI Annual Rate,2.2,0.022
2008-02-01,CPI Annual Rate,2.5,0.025
2008-03-01,CPI Annual Rate,2.5,0.025
2008-04-01,CPI Annual Rate,3,0.03
2008-05-01,CPI Annual Rate,3.3,0.033
2008-06-01,CPI Annual Rate,3.8,0.038
2008-07-01,CPI Annual Rate,4.4,0.044
2008-08-01,CPI Annual Rate,4.7,0.047
2008-09-01,CPI Annual Rate,5.2,0.052
2008-10-01,CPI Annual Rate,4.5,0.045
2008-11-01,CPI Annual Rate,4.1,0.041
2008-12-01,CPI Annual Rate,3.1,0.031
2009-01-01,CPI Annual Rate,3,0.03
2009-02-01,CPI Annual Rate,3.2,0.032
2009-03-01,CPI Annual Rate,2.9,0.029
2009-04-01,CPI Annual Rate,2.3,0.023
2009-05-01,CPI Annual Rate,2.2,0.022
2009-06-01,CPI Annual Rate,1.8,0.018
2009-07-01,CPI Annual Rate,1.8,0.018
2009-08-01,CPI Annual Rate,1.6,0.016
2009-09-01,CPI Annual Rate,1.1,0.011
2009-10-01,CPI Annual Rate,1.5,0.015
2009-11-01,CPI Annual Rate,1.9,0.019
2009-12-01,CPI Annual Rate,2.9,0.029
2010-01-01,CPI Annual Rate,3.5,0.035
2010-02-01,CPI Annual Rate,3,0.03
2010-03-01,CPI Annual Rate,3.4,0.034
2010-04-01,CPI Annual Rate,3.7,0.037
2010-05-01,CPI Annual Rate,3.4,0.034
2010-06-01,CPI Annual Rate,3.2,0.032
2010-07-01,CPI Annual Rate,3.1,0.031
2010-08-01,CPI Annual Rate,3.1,0.031
2010-09-01,CPI Annual Rate,3.1,0.031
2010-10-01,CPI Annual Rate,3.2,0.032
2010-11-01,CPI Annual Rate,3.3,0.033
2010-12-01,CPI Annual Rate,3.7,0.037
2011-01-01,CPI Annual Rate,4,0.04
2011-02-01,CPI Annual Rate,4.4,0.044
2011-03-01,CPI Annual Rate,4,0.04
2011-04-01,CPI Annual Rate,4.5,0.045
2011-05-01,CPI Annual Rate,4.5,0.045
2011-06-01,CPI Annual Rate,4.2,0.042
2011-07-01,CPI Annual Rate,4.4,0.044
2011-08-01,CPI Annual Rate,4.5,0.045
2011-09-01,CPI Annual Rate,5.2,0.052
2011-10-01,CPI Annual Rate,5,0.05
2011-11-01,CPI Annual Rate,4.8,0.048
2011-12-01,CPI Annual Rate,4.2,0.042
2012-01-01,CPI Annual Rate,3.6,0.036
2012-02-01,CPI Annual Rate,3.4,0.034
2012-03-01,CPI Annual Rate,3.5,0.035
2012-04-01,CPI Annual Rate,3,0.03
2012-05-01,CPI Annual Rate,2.8,0.028
2012-06-01,CPI Annual Rate,2.4,0.024
2012-07-01,CPI Annual Rate,2.6,0.026
2012-08-01,CPI Annual Rate,2.5,0.025
2012-09-01,CPI Annual Rate,2.2,0.022
2012-10-01,CPI Annual Rate,2.7,0.027
2012-11-01,CPI Annual Rate,2.7,0.027
2012-12-01,CPI Annual Rate,2.7,0.027
2013-01-01,CPI Annual Rate,2.7,0.027
2013-02-01,CPI Annual Rate,2.8,0.028
2013-03-01,CPI Annual Rate,2.8,0.028
2013-04-01,CPI Annual Rate,2.4,0.024
2013-05-01,CPI Annual Rate,2.7,0.027
2013-06-01,CPI Annual Rate,2.9,0.029
2013-07-01,CPI Annual Rate,2.8,0.028
2013-08-01,CPI Annual Rate,2.7,0.027
2013-09-01,CPI Annual Rate,2.7,0.027
2013-10-01,CPI Annual Rate,2.2,0.022
2013-11-01,CPI Annual Rate,2.1,0.021
2013-12-01,CPI Annual Rate,2,0.02
2014-01-01,CPI Annual Rate,1.9,0.019
2014-02-01,CPI Annual Rate,1.7,0.017
2014-03-01,CPI Annual Rate,1.6,0.016
2014-04-01,CPI Annual Rate,1.8,0.018
2014-05-01,CPI Annual Rate,1.5,0.015
2014-06-01,CPI Annual Rate,1.9,0.019
2014-07-01,CPI Annual Rate,1.6,0.016
2014-08-01,CPI Annual Rate,1.5,0.015
2014-09-01,CPI Annual Rate,1.2,0.012
2014-10-01,CPI Annual Rate,1.3,0.013
2014-11-01,CPI Annual Rate,1,0.01
2014-12-01,CPI Annual Rate,0.5,0.005
2015-01-01,CPI Annual Rate,0.3,0.003
2015-02-01,CPI Annual Rate,0,0
2015-03-01,CPI Annual Rate,0,0
2015-04-01,CPI Annual Rate,-0.1,-0.001
2015-05-01,CPI Annual Rate,0.1,0.001
2015-06-01,CPI Annual Rate,0,0
2015-07-01,CPI Annual Rate,0.1,0.001
2015-08-01,CPI Annual Rate,0,0
2015-09-01,CPI Annual Rate,-0.1,-0.001
2015-10-01,CPI Annual Rate,-0.1,-0.001
2015-11-01,CPI Annual Rate,0.1,0.001
2015-12-01,CPI Annual Rate,0.2,0.002
2016-01-01,CPI Annual Rate,0.3,0.003
2016-02-01,CPI Annual Rate,0.3,0.003
2016-03-01,CPI Annual Rate,0.5,0.005
2016-04-01,CPI Annual Rate,0.3,0.003
2016-05-01,CPI Annual Rate,0.3,0.003
2016-06-01,CPI Annual Rate,0.5,0.005
2016-07-01,CPI Annual Rate,0.6,0.006
2016-08-01,CPI Annual Rate,0.6,0.006
2016-09-01,CPI Annual Rate,1,0.01
2016-10-01,CPI Annual Rate,0.9,0.009
2016-11-01,CPI Annual Rate,1.2,0.012
2016-12-01,CPI Annual Rate,1.6,0.016
2017-01-01,CPI Annual Rate,1.8,0.018
2017-02-01,CPI Annual Rate,2.3,0.023
2017-03-01,CPI Annual Rate,2.3,0.023
2017-04-01,CPI Annual Rate,2.7,0.027
2017-05-01,CPI Annual Rate,2.9,0.029
2017-06-01,CPI Annual Rate,2.6,0.026
2017-07-01,CPI Annual Rate,2.6,0.026
2017-08-01,CPI Annual Rate,2.9,0.029
2017-09-01,CPI Annual Rate,3,0.03
2017-10-01,CPI Annual Rate,3,0.03
2017-11-01,CPI Annual Rate,3.1,0.031
2017-12-01,CPI Annual Rate,3,0.03
2018-01-01,CPI Annual Rate,3,0.03
2018-02-01,CPI Annual Rate,2.7,0.027
2018-03-01,CPI Annual Rate,2.5,0.025
2018-04-01,CPI Annual Rate,2.4,0.024
2018-05-01,CPI Annual Rate,2.4,0.024
2018-06-01,CPI Annual Rate,2.4,0.024
2018-07-01,CPI Annual Rate,2.5,0.025
2018-08-01,CPI Annual Rate,2.7,0.027
2018-09-01,CPI Annual Rate,2.4,0.024
2018-10-01,CPI Annual Rate,2.4,0.024
2018-11-01,CPI Annual Rate,2.3,0.023
2018-12-01,CPI Annual Rate,2.1,0.021
2019-01-01,CPI Annual Rate,1.8,0.018
2019-02-01,CPI Annual Rate,1.9,0.019
2019-03-01,CPI Annual Rate,1.9,0.019
2019-04-01,CPI Annual Rate,2.1,0.021
2019-05-01,CPI Annual Rate,2,0.02
2019-06-01,CPI Annual Rate,2,0.02
2019-07-01,CPI Annual Rate,2.1,0.021
2019-08-01,CPI Annual Rate,1.7,0.017
2019-09-01,CPI Annual Rate,1.7,0.017
2019-10-01,CPI Annual Rate,1.5,0.015
2019-11-01,CPI Annual Rate,1.5,0.015
2019-12-01,CPI Annual Rate,1.3,0.013
2020-01-01,CPI Annual Rate,1.8,0.018
2020-02-01,CPI Annual Rate,1.7,0.017
2020-03-01,CPI Annual Rate,1.5,0.015
2020-04-01,CPI Annual Rate,0.8,0.008
2020-05-01,CPI Annual Rate,0.5,0.005
2020-06-01,CPI Annual Rate,0.6,0.006
2020-07-01,CPI Annual Rate,1,0.01
2020-08-01,CPI Annual Rate,0.2,0.002
2020-09-01,CPI Annual Rate,0.5,0.005
2020-10-01,CPI Annual Rate,0.7,0.007
2020-11-01,CPI Annual Rate,0.3,0.003
2020-12-01,CPI Annual Rate,0.6,0.006
2021-01-01,CPI Annual Rate,0.7,0.007
2021-02-01,CPI Annual Rate,0.4,0.004
2021-03-01,CPI Annual Rate,0.7,0.007
2021-04-01,CPI Annual Rate,1.5,0.015
2021-05-01,CPI Annual Rate,2.1,0.021
2021-06-01,CPI Annual Rate,2.5,0.025
2021-07-01,CPI Annual Rate,2,0.02
2021-08-01,CPI Annual Rate,3.2,0.032
2021-09-01,CPI Annual Rate,3.1,0.031
2021-10-01,CPI Annual Rate,4.2,0.042
2021-11-01,CPI Annual Rate,5.1,0.051
2021-12-01,CPI Annual Rate,5.4,0.054
2022-01-01,CPI Annual Rate,5.5,0.055
2022-02-01,CPI Annual Rate,6.2,0.062
2022-03-01,CPI Annual Rate,7,0.07
2022-04-01,CPI Annual Rate,9,0.09
2022-05-01,CPI Annual Rate,9.1,0.091
2022-06-01,CPI Annual Rate,9.4,0.094
2022-07-01,CPI Annual Rate,10.1,0.101
2022-08-01,CPI Annual Rate,9.9,0.099
2022-09-01,CPI Annual Rate,10.1,0.101
2022-10-01,CPI Annual Rate,11.1,0.111
2022-11-01,CPI Annual Rate,10.7,0.107
2022-12-01,CPI Annual Rate,10.5,0.105
2023-01-01,CPI Annual Rate,10.1,0.101
2023-02-01,CPI Annual Rate,10.4,0.104
2023-03-01,CPI Annual Rate,10.1,0.101
2023-04-01,CPI Annual Rate,8.7,0.087
2023-05-01,CPI Annual Rate,8.7,0.087
2023-06-01,CPI Annual Rate,7.9,0.079
2023-07-01,CPI Annual Rate,6.8,0.068
2023-08-01,CPI Annual Rate,6.7,0.067
1989-01-01,Bank Rate,12.875,0.12875
1989-02-01,Bank Rate,12.875,0.12875
1989-03-01,Bank Rate,12.875,0.12875
1989-04-01,Bank Rate,12.875,0.12875
1989-05-01,Bank Rate,13.75,0.1375
1989-06-01,Bank Rate,13.75,0.1375
1989-07-01,Bank Rate,13.75,0.1375
1989-08-01,Bank Rate,13.8438,0.138438
1989-09-01,Bank Rate,13.75,0.1375
1989-10-01,Bank Rate,14.875,0.14875
1989-11-01,Bank Rate,14.875,0.14875
1989-12-01,Bank Rate,14.875,0.14875
1990-01-01,Bank Rate,14.875,0.14875
1990-02-01,Bank Rate,14.875,0.14875
1990-03-01,Bank Rate,14.875,0.14875
1990-04-01,Bank Rate,14.875,0.14875
1990-05-01,Bank Rate,14.875,0.14875
1990-06-01,Bank Rate,14.875,0.14875
1990-07-01,Bank Rate,14.875,0.14875
1990-08-01,Bank Rate,14.875,0.14875
1990-09-01,Bank Rate,14.875,0.14875
1990-10-01,Bank Rate,13.875,0.13875
1990-11-01,Bank Rate,13.875,0.13875
1990-12-01,Bank Rate,13.875,0.13875
1991-01-01,Bank Rate,13.875,0.13875
1991-02-01,Bank Rate,12.875,0.12875
1991-03-01,Bank Rate,12.375,0.12375
1991-04-01,Bank Rate,11.875,0.11875
1991-05-01,Bank Rate,11.375,0.11375
1991-06-01,Bank Rate,11.375,0.11375
1991-07-01,Bank Rate,10.875,0.10875
1991-08-01,Bank Rate,10.875,0.10875
1991-09-01,Bank Rate,10.375,0.10375
1991-10-01,Bank Rate,10.375,0.10375
1991-11-01,Bank Rate,10.375,0.10375
1991-12-01,Bank Rate,10.375,0.10375
1992-01-01,Bank Rate,10.375,0.10375
1992-02-01,Bank Rate,10.375,0.10375
1992-03-01,Bank Rate,10.375,0.10375
1992-04-01,Bank Rate,10.375,0.10375
1992-05-01,Bank Rate,9.875,0.09875
1992-06-01,Bank Rate,9.875,0.09875
1992-07-01,Bank Rate,9.875,0.09875
1992-08-01,Bank Rate,9.875,0.09875
1992-09-01,Bank Rate,8.875,0.08875
1992-10-01,Bank Rate,7.875,0.07875
1992-11-01,Bank Rate,6.875,0.06875
1992-12-01,Bank Rate,6.875,0.06875
1993-01-01,Bank Rate,5.875,0.05875
1993-02-01,Bank Rate,5.875,0.05875
1993-03-01,Bank Rate,5.875,0.05875
1993-04-01,Bank Rate,5.875,0.05875
1993-05-01,Bank Rate,5.875,0.05875
1993-06-01,Bank Rate,5.875,0.05875
1993-07-01,Bank Rate,5.875,0.05875
1993-08-01,Bank Rate,5.875,0.05875
1993-09-01,Bank Rate,5.875,0.05875
1993-10-01,Bank Rate,5.875,0.05875
1993-11-01,Bank Rate,5.375,0.05375
1993-12-01,Bank Rate,5.375,0.05375
1994-01-01,Bank Rate,5.375,0.05375
1994-02-01,Bank Rate,5.125,0.05125
1994-03-01,Bank Rate,5.125,0.05125
1994-04-01,Bank Rate,5.125,0.05125
1994-05-01,Bank Rate,5.125,0.05125
1994-06-01,Bank Rate,5.125,0.05125
1994-07-01,Bank Rate,5.125,0.05125
1994-08-01,Bank Rate,5.125,0.05125
1994-09-01,Bank Rate,5.625,0.05625
1994-10-01,Bank Rate,5.625,0.05625
1994-11-01,Bank Rate,5.625,0.05625
1994-12-01,Bank Rate,6.125,0.06125
1995-01-01,Bank Rate,6.125,0.06125
1995-02-01,Bank Rate,6.625,0.06625
1995-03-01,Bank Rate,6.625,0.06625
1995-04-01,Bank Rate,6.625,0.06625
1995-05-01,Bank Rate,6.625,0.06625
1995-06-01,Bank Rate,6.625,0.06625
1995-07-01,Bank Rate,6.625,0.06625
1995-08-01,Bank Rate,6.625,0.06625
1995-09-01,Bank Rate,6.625,0.06625
1995-10-01,Bank Rate,6.625,0.06625
1995-11-01,Bank Rate,6.625,0.06625
1995-12-01,Bank Rate,6.375,0.06375
1996-01-01,Bank Rate,6.125,0.06125
1996-02-01,Bank Rate,6.125,0.06125
1996-03-01,Bank Rate,5.9375,0.059375
1996-04-01,Bank Rate,5.9375,0.059375
1996-05-01,Bank Rate,5.9375,0.059375
1996-06-01,Bank Rate,5.6875,0.056875
1996-07-01,Bank Rate,5.6875,0.056875
1996-08-01,Bank Rate,5.6875,0.056875
1996-09-01,Bank Rate,5.6875,0.056875
1996-10-01,Bank Rate,5.9375,0.059375
1996-11-01,Bank Rate,5.9375,0.059375
1996-12-01,Bank Rate,5.9375,0.059375
1997-01-01,Bank Rate,5.9375,0.059375
1997-02-01,Bank Rate,5.9375,0.059375
1997-03-01,Bank Rate,5.9375,0.059375
1997-04-01,Bank Rate,5.9375,0.059375
1997-05-01,Bank Rate,6.25,0.0625
1997-06-01,Bank Rate,6.5,0.065
1997-07-01,Bank Rate,6.75,0.0675
1997-08-01,Bank Rate,7,0.07
1997-09-01,Bank Rate,7,0.07
1997-10-01,Bank Rate,7,0.07
1997-11-01,Bank Rate,7.25,0.0725
1997-12-01,Bank Rate,7.25,0.0725
1998-01-01,Bank Rate,7.25,0.0725
1998-02-01,Bank Rate,7.25,0.0725
1998-03-01,Bank Rate,7.25,0.0725
1998-04-01,Bank Rate,7.25,0.0725
1998-05-01,Bank Rate,7.25,0.0725
1998-06-01,Bank Rate,7.5,0.075
1998-07-01,Bank Rate,7.5,0.075
1998-08-01,Bank Rate,7.5,0.075
1998-09-01,Bank Rate,7.5,0.075
1998-10-01,Bank Rate,7.25,0.0725
1998-11-01,Bank Rate,6.75,0.0675
1998-12-01,Bank Rate,6.25,0.0625
1999-01-01,Bank Rate,6,0.06
1999-02-01,Bank Rate,5.5,0.055
1999-03-01,Bank Rate,5.5,0.055
1999-04-01,Bank Rate,5.25,0.0525
1999-05-01,Bank Rate,5.25,0.0525
1999-06-01,Bank Rate,5,0.05
1999-07-01,Bank Rate,5,0.05
1999-08-01,Bank Rate,5,0.05
1999-09-01,Bank Rate,5.25,0.0525
1999-10-01,Bank Rate,5.25,0.0525
1999-11-01,Bank Rate,5.5,0.055
1999-12-01,Bank Rate,5.5,0.055
2000-01-01,Bank Rate,5.5,0.055
2000-02-01,Bank Rate,5.75,0.0575
2000-03-01,Bank Rate,6,0.06
2000-04-01,Bank Rate,6,0.06
2000-05-01,Bank Rate,6,0.06
2000-06-01,Bank Rate,6,0.06
2000-07-01,Bank Rate,6,0.06
2000-08-01,Bank Rate,6,0.06
2000-09-01,Bank Rate,6,0.06
2000-10-01,Bank Rate,6,0.06
2000-11-01,Bank Rate,6,0.06
2000-12-01,Bank Rate,6,0.06
2001-01-01,Bank Rate,6,0.06
2001-02-01,Bank Rate,5.75,0.0575
2001-03-01,Bank Rate,5.75,0.0575
2001-04-01,Bank Rate,5.5,0.055
2001-05-01,Bank Rate,5.25,0.0525
2001-06-01,Bank Rate,5.25,0.0525
2001-07-01,Bank Rate,5.25,0.0525
2001-08-01,Bank Rate,5,0.05
2001-09-01,Bank Rate,4.75,0.0475
2001-10-01,Bank Rate,4.5,0.045
2001-11-01,Bank Rate,4,0.04
2001-12-01,Bank Rate,4,0.04
2002-01-01,Bank Rate,4,0.04
2002-02-01,Bank Rate,4,0.04
2002-03-01,Bank Rate,4,0.04
2002-04-01,Bank Rate,4,0.04
2002-05-01,Bank Rate,4,0.04
2002-06-01,Bank Rate,4,0.04
2002-07-01,Bank Rate,4,0.04
