Date,Measure,Value,Detail
2020-11-17,Cumulative cases,1462991,
2020-11-16,Cumulative cases,1439827,
2020-11-15,Cumulative cases,1413253,
2020-11-14,Cumulative cases,1397230,
2020-11-13,Cumulative cases,1379224,
2020-11-12,Cumulative cases,1355177,
2020-11-11,Cumulative cases,1330709,
2020-11-10,Cumulative cases,1303351,
2020-11-09,Cumulative cases,1275934,
2020-11-08,Cumulative cases,1244884,
2020-11-07,Cumulative cases,1224926,
2020-11-06,Cumulative cases,1206400,
2020-11-05,Cumulative cases,1183073,
2020-11-04,Cumulative cases,1159324,
2020-11-03,Cumulative cases,1135644,
2020-11-02,Cumulative cases,1110056,
2020-11-01,Cumulative cases,1078547,
2020-10-31,Cumulative cases,1062791,
2020-10-30,Cumulative cases,1046306,
2020-10-29,Cumulative cases,1023625,
2020-10-28,Cumulative cases,1000280,
2020-10-27,Cumulative cases,976666,
2020-10-26,Cumulative cases,952572,
2020-10-25,Cumulative cases,926027,
2020-10-24,Cumulative cases,910301,
2020-10-23,Cumulative cases,894065,
2020-10-22,Cumulative cases,872591,
2020-10-21,Cumulative cases,849341,
2020-10-20,Cumulative cases,823895,
2020-10-19,Cumulative cases,798570,
2020-10-18,Cumulative cases,772965,
2020-10-17,Cumulative cases,758773,
2020-10-16,Cumulative cases,744012,
2020-10-15,Cumulative cases,726293,
2020-10-14,Cumulative cases,707856,
2020-10-13,Cumulative cases,688155,
2020-10-12,Cumulative cases,669258,
2020-10-11,Cumulative cases,649812,
2020-10-10,Cumulative cases,637740,
2020-10-09,Cumulative cases,625226,
2020-10-08,Cumulative cases,609497,
2020-10-07,Cumulative cases,591249,
2020-10-06,Cumulative cases,572921,
2020-10-05,Cumulative cases,555860,
2020-10-04,Cumulative cases,539310,
2020-10-03,Cumulative cases,527504,
2020-10-02,Cumulative cases,515962,
2020-10-01,Cumulative cases,502271,
2020-09-30,Cumulative cases,489084,
2020-09-29,Cumulative cases,476524,
2020-09-28,Cumulative cases,466287,
2020-09-27,Cumulative cases,456360,
2020-09-26,Cumulative cases,449388,
2020-09-25,Cumulative cases,442630,
2020-09-24,Cumulative cases,435391,
2020-09-23,Cumulative cases,427785,
2020-09-22,Cumulative cases,420726,
2020-09-21,Cumulative cases,414324,
2020-09-20,Cumulative cases,408722,
2020-09-19,Cumulative cases,403401,
2020-09-18,Cumulative cases,398547,
2020-09-17,Cumulative cases,393589,
2020-09-16,Cumulative cases,388957,
2020-09-15,Cumulative cases,384594,
2020-09-14,Cumulative cases,381047,
2020-09-13,Cumulative cases,377651,
2020-09-12,Cumulative cases,375510,
2020-09-11,Cumulative cases,372843,
2020-09-10,Cumulative cases,369553,
2020-09-09,Cumulative cases,365958,
2020-09-08,Cumulative cases,362628,
2020-09-07,Cumulative cases,359326,
2020-09-06,Cumulative cases,355467,
2020-09-05,Cumulative cases,353021,
2020-09-04,Cumulative cases,350476,
2020-09-03,Cumulative cases,347437,
2020-09-02,Cumulative cases,344340,
2020-09-01,Cumulative cases,341347,
2020-08-31,Cumulative cases,339098,
2020-08-30,Cumulative cases,337596,
2020-08-29,Cumulative cases,336437,
2020-08-28,Cumulative cases,335215,
2020-08-27,Cumulative cases,333591,
2020-08-26,Cumulative cases,332042,
2020-08-25,Cumulative cases,330691,
2020-08-24,Cumulative cases,329444,
2020-08-23,Cumulative cases,328171,
2020-08-22,Cumulative cases,327345,
2020-08-21,Cumulative cases,326517,
2020-08-20,Cumulative cases,325318,
2020-08-19,Cumulative cases,323857,
2020-08-18,Cumulative cases,322615,
2020-08-17,Cumulative cases,321531,
2020-08-16,Cumulative cases,320248,
2020-08-15,Cumulative cases,319647,
2020-08-14,Cumulative cases,318952,
2020-08-13,Cumulative cases,317789,
2020-08-12,Cumulative cases,316643,
2020-08-11,Cumulative cases,315437,
2020-08-10,Cumulative cases,314098,
2020-08-09,Cumulative cases,312626,
2020-08-08,Cumulative cases,312012,
2020-08-07,Cumulative cases,311318,
2020-08-06,Cumulative cases,310374,
2020-08-05,Cumulative cases,309291,
2020-08-04,Cumulative cases,308232,
2020-08-03,Cumulative cases,307213,
2020-08-02,Cumulative cases,306173,
2020-08-01,Cumulative cases,305619,
2020-07-31,Cumulative cases,305076,
2020-07-30,Cumulative cases,304399,
2020-07-29,Cumulative cases,303474,
2020-07-28,Cumulative cases,302435,
2020-07-27,Cumulative cases,301594,
2020-07-26,Cumulative cases,300739,
2020-07-25,Cumulative cases,300181,
2020-07-24,Cumulative cases,299657,
2020-07-23,Cumulative cases,298884,
2020-07-22,Cumulative cases,298087,
2020-07-21,Cumulative cases,297291,
2020-07-20,Cumulative cases,296509,
2020-07-19,Cumulative cases,295697,
2020-07-18,Cumulative cases,295254,
2020-07-17,Cumulative cases,294756,
2020-07-16,Cumulative cases,294175,
2020-07-15,Cumulative cases,293469,
2020-07-14,Cumulative cases,292696,
2020-07-13,Cumulative cases,292006,
2020-07-12,Cumulative cases,291271,
2020-07-11,Cumulative cases,290901,
2020-07-10,Cumulative cases,290454,
2020-07-09,Cumulative cases,289889,
2020-07-08,Cumulative cases,289171,
2020-07-07,Cumulative cases,288469,
2020-07-06,Cumulative cases,287865,
2020-07-05,Cumulative cases,287157,
2020-07-04,Cumulative cases,286601,
2020-07-03,Cumulative cases,286200,
2020-07-02,Cumulative cases,285626,
2020-07-01,Cumulative cases,285019,
2020-06-30,Cumulative cases,284360,
2020-06-29,Cumulative cases,283742,
2020-06-28,Cumulative cases,283015,
2020-06-27,Cumulative cases,282569,
2020-06-26,Cumulative cases,281917,
2020-06-25,Cumulative cases,281246,
2020-06-24,Cumulative cases,280528,
2020-06-23,Cumulative cases,279752,
2020-06-22,Cumulative cases,278863,
2020-06-21,Cumulative cases,277967,
2020-06-20,Cumulative cases,277329,
2020-06-19,Cumulative cases,276643,
2020-06-18,Cumulative cases,275650,
2020-06-17,Cumulative cases,274624,
2020-06-16,Cumulative cases,273612,
2020-06-15,Cumulative cases,272508,
2020-06-14,Cumulative cases,271464,
2020-06-13,Cumulative cases,270646,
2020-06-12,Cumulative cases,269752,
2020-06-11,Cumulative cases,268695,
2020-06-10,Cumulative cases,267686,
2020-06-09,Cumulative cases,266495,
2020-06-08,Cumulative cases,265342,
2020-06-07,Cumulative cases,264243,
2020-06-06,Cumulative cases,263522,
2020-06-05,Cumulative cases,262715,
2020-06-04,Cumulative cases,261590,
2020-06-03,Cumulative cases,260339,
2020-06-02,Cumulative cases,258979,
2020-06-01,Cumulative cases,257493,
2020-05-31,Cumulative cases,256053,
2020-05-30,Cumulative cases,254972,
2020-05-29,Cumulative cases,253852,
2020-05-28,Cumulative cases,252325,
2020-05-27,Cumulative cases,250571,
2020-05-26,Cumulative cases,248743,
2020-05-25,Cumulative cases,247088,
2020-05-24,Cumulative cases,245472,
2020-05-23,Cumulative cases,244107,
2020-05-22,Cumulative cases,242579,
2020-05-21,Cumulative cases,240526,
2020-05-20,Cumulative cases,237960,
2020-05-19,Cumulative cases,235256,
2020-05-18,Cumulative cases,232205,
2020-05-17,Cumulative cases,229631,
2020-05-16,Cumulative cases,227799,
2020-05-15,Cumulative cases,225722,
2020-05-14,Cumulative cases,223195,
2020-05-13,Cumulative cases,220571,
2020-05-12,Cumulative cases,217262,
2020-05-11,Cumulative cases,213873,
2020-05-10,Cumulative cases,210297,
2020-05-09,Cumulative cases,207977,
2020-05-08,Cumulative cases,205816,
2020-05-07,Cumulative cases,202755,
2020-05-06,Cumulative cases,198988,
2020-05-05,Cumulative cases,195170,
2020-05-04,Cumulative cases,191493,
2020-05-03,Cumulative cases,188110,
2020-05-02,Cumulative cases,185131,
2020-05-01,Cumulative cases,181903,
2020-04-30,Cumulative cases,177175,
2020-04-29,Cumulative cases,172220,
2020-04-28,Cumulative cases,166797,
2020-04-27,Cumulative cases,162076,
2020-04-26,Cumulative cases,157376,
2020-04-25,Cumulative cases,153905,
2020-04-24,Cumulative cases,150159,
2020-04-23,Cumulative cases,145217,
2020-04-22,Cumulative cases,140077,
2020-04-21,Cumulative cases,134590,
2020-04-20,Cumulative cases,129824,
2020-04-19,Cumulative cases,124977,
2020-04-18,Cumulative cases,121126,
2020-04-17,Cumulative cases,116423,
2020-04-16,Cumulative cases,111485,
2020-04-15,Cumulative cases,106208,
2020-04-14,Cumulative cases,101168,
2020-04-13,Cumulative cases,96873,
2020-04-12,Cumulative cases,92707,
2020-04-11,Cumulative cases,89228,
2020-04-10,Cumulative cases,85670,
2020-04-09,Cumulative cases,81363,
2020-04-08,Cumulative cases,76508,
2020-04-07,Cumulative cases,71390,
2020-04-06,Cumulative cases,65960,
2020-04-05,Cumulative cases,60696,
2020-04-04,Cumulative cases,57111,
2020-04-03,Cumulative cases,53109,
2020-04-02,Cumulative cases,48211,
2020-04-01,Cumulative cases,43356,
2020-03-31,Cumulative cases,38421,
2020-03-30,Cumulative cases,33907,
2020-03-29,Cumulative cases,29644,
2020-03-28,Cumulative cases,26788,
2020-03-27,Cumulative cases,23974,
2020-03-26,Cumulative cases,20790,
2020-03-25,Cumulative cases,17704,
2020-03-24,Cumulative cases,15012,
2020-03-23,Cumulative cases,12637,
2020-03-22,Cumulative cases,10311,
2020-03-21,Cumulative cases,8936,
2020-03-20,Cumulative cases,7747,
2020-03-19,Cumulative cases,6485,
2020-03-18,Cumulative cases,5437,
2020-03-17,Cumulative cases,4439,
2020-03-16,Cumulative cases,3669,
2020-03-15,Cumulative cases,3058,
2020-03-14,Cumulative cases,2616,
2020-03-13,Cumulative cases,2253,
2020-03-12,Cumulative cases,1774,
2020-03-11,Cumulative cases,1293,
2020-03-10,Cumulative cases,888,
2020-03-09,Cumulative cases,623,
2020-03-08,Cumulative cases,476,
2020-03-07,Cumulative cases,419,
2020-03-06,Cumulative cases,351,
2020-03-05,Cumulative cases,270,
2020-03-04,Cumulative cases,220,
2020-03-03,Cumulative cases,164,
2020-03-02,Cumulative cases,108,
2020-03-01,Cumulative cases,69,
2020-02-29,Cumulative cases,47,
2020-02-28,Cumulative cases,42,
2020-02-27,Cumulative cases,30,
2020-02-26,Cumulative cases,22,
2020-02-25,Cumulative cases,18,
2020-02-24,Cumulative cases,13,
2020-02-23,Cumulative cases,11,
2020-02-22,Cumulative cases,10,
2020-02-21,Cumulative cases,10,
2020-02-20,Cumulative cases,9,
2020-02-19,Cumulative cases,9,
2020-02-18,Cumulative cases,9,
2020-02-17,Cumulative cases,9,
2020-02-16,Cumulative cases,9,
2020-02-15,Cumulative cases,9,
2020-02-14,Cumulative cases,9,
2020-02-13,Cumulative cases,9,
2020-02-12,Cumulative cases,9,
2020-02-11,Cumulative cases,9,
2020-02-10,Cumulative cases,8,
2020-02-09,Cumulative cases,8,
2020-02-08,Cumulative cases,7,
2020-02-07,Cumulative cases,3,
2020-02-06,Cumulative cases,3,
2020-02-05,Cumulative cases,3,
2020-02-04,Cumulative cases,2,
2020-02-03,Cumulative cases,2,
2020-02-02,Cumulative cases,2,
2020-02-01,Cumulative cases,2,
2020-01-31,Cumulative cases,2,
2020-01-30,Cumulative cases,2,
2021-04-12,Cumulative deaths,127157,
2021-04-11,Cumulative deaths,127141,
2021-04-10,Cumulative deaths,127126,
2021-04-09,Cumulative deaths,127107,
2021-04-08,Cumulative deaths,127087,
2021-04-07,Cumulative deaths,127059,
2021-04-06,Cumulative deaths,127036,
2021-04-05,Cumulative deaths,127014,
2021-04-04,Cumulative deaths,126997,
2021-04-03,Cumulative deaths,126973,
2021-04-02,Cumulative deaths,126944,
2021-04-01,Cumulative deaths,126917,
2021-03-31,Cumulative deaths,126889,
2021-03-30,Cumulative deaths,126852,
2021-03-29,Cumulative deaths,126812,
2021-03-28,Cumulative deaths,126778,
2021-03-27,Cumulative deaths,126746,
2021-03-26,Cumulative deaths,126711,
2021-03-25,Cumulative deaths,126663,
2021-03-24,Cumulative deaths,126618,
2021-03-23,Cumulative deaths,126582,
2021-03-22,Cumulative deaths,126531,
2021-03-21,Cumulative deaths,126467,
2021-03-20,Cumulative deaths,126390,
2021-03-19,Cumulative deaths,126324,
2021-03-18,Cumulative deaths,126258,
2021-03-17,Cumulative deaths,126199,
2021-03-16,Cumulative deaths,126121,
2021-03-15,Cumulative deaths,126042,
2021-03-14,Cumulative deaths,125948,
2021-03-13,Cumulative deaths,125855,
2021-03-12,Cumulative deaths,125754,
2021-03-11,Cumulative deaths,125661,
2021-03-10,Cumulative deaths,125541,
2021-03-09,Cumulative deaths,125428,
2021-03-08,Cumulative deaths,125294,
2021-03-07,Cumulative deaths,125149,
2021-03-06,Cumulative deaths,125019,
2021-03-05,Cumulative deaths,124867,
2021-03-04,Cumulative deaths,124699,
2021-03-03,Cumulative deaths,124544,
2021-03-02,Cumulative deaths,124397,
2021-03-01,Cumulative deaths,124218,
2021-02-28,Cumulative deaths,123994,
2021-02-27,Cumulative deaths,123782,
2021-02-26,Cumulative deaths,123556,
2021-02-25,Cumulative deaths,123332,
2021-02-24,Cumulative deaths,123072,
2021-02-23,Cumulative deaths,122802,
2021-02-22,Cumulative deaths,122519,
2021-02-21,Cumulative deaths,122236,
2021-02-20,Cumulative deaths,121912,
2021-02-19,Cumulative deaths,121567,
2021-02-18,Cumulative deaths,121187,
2021-02-17,Cumulative deaths,120770,
2021-02-16,Cumulative deaths,120343,
2021-02-15,Cumulative deaths,119898,
2021-02-14,Cumulative deaths,119383,
2021-02-13,Cumulative deaths,118890,
2021-02-12,Cumulative deaths,118402,
2021-02-11,Cumulative deaths,117875,
2021-02-10,Cumulative deaths,117306,
2021-02-09,Cumulative deaths,116702,
2021-02-08,Cumulative deaths,116100,
2021-02-07,Cumulative deaths,115417,
2021-02-06,Cumulative deaths,114785,
2021-02-05,Cumulative deaths,114086,
2021-02-04,Cumulative deaths,113335,
2021-02-03,Cumulative deaths,112620,
2021-02-02,Cumulative deaths,111763,
2021-02-01,Cumulative deaths,110917,
2021-01-31,Cumulative deaths,110030,
2021-01-30,Cumulative deaths,109141,
2021-01-29,Cumulative deaths,108231,
2021-01-28,Cumulative deaths,107162,
2021-01-27,Cumulative deaths,106056,
2021-01-26,Cumulative deaths,104947,
2021-01-25,Cumulative deaths,103889,
2021-01-24,Cumulative deaths,102726,
2021-01-23,Cumulative deaths,101570,
2021-01-22,Cumulative deaths,100408,
2021-01-21,Cumulative deaths,99169,
2021-01-20,Cumulative deaths,97936,
2021-01-19,Cumulative deaths,96641,
2021-01-18,Cumulative deaths,95279,
2021-01-17,Cumulative deaths,93984,
2021-01-16,Cumulative deaths,92720,
2021-01-15,Cumulative deaths,91418,
2021-01-14,Cumulative deaths,90196,
2021-01-13,Cumulative deaths,88969,
2021-01-12,Cumulative deaths,87757,
2021-01-11,Cumulative deaths,86549,
2021-01-10,Cumulative deaths,85418,
2021-01-09,Cumulative deaths,84325,
2021-01-08,Cumulative deaths,83308,
2021-01-07,Cumulative deaths,82323,
2021-01-06,Cumulative deaths,81330,
2021-01-05,Cumulative deaths,80398,
2021-01-04,Cumulative deaths,79490,
2021-01-03,Cumulative deaths,78649,
2021-01-02,Cumulative deaths,77891,
2021-01-01,Cumulative deaths,77132,
2020-12-31,Cumulative deaths,76385,
2020-12-30,Cumulative deaths,75631,
2020-12-29,Cumulative deaths,74910,
2020-12-28,Cumulative deaths,74252,
2020-12-27,Cumulative deaths,73577,
2020-12-26,Cumulative deaths,72930,
2020-12-25,Cumulative deaths,72277,
2020-12-24,Cumulative deaths,71668,
2020-12-23,Cumulative deaths,71088,
2020-12-22,Cumulative deaths,70520,
2020-12-21,Cumulative deaths,69957,
2020-12-20,Cumulative deaths,69384,
2020-12-19,Cumulative deaths,68879,
2020-12-18,Cumulative deaths,68390,
2020-12-17,Cumulative deaths,67876,
2020-12-16,Cumulative deaths,67339,
2020-12-15,Cumulative deaths,66905,
2020-12-14,Cumulative deaths,66448,
2020-12-13,Cumulative deaths,65968,
2020-12-12,Cumulative deaths,65552,
2020-12-11,Cumulative deaths,65114,
2020-12-10,Cumulative deaths,64661,
2020-12-09,Cumulative deaths,64214,
2020-12-08,Cumulative deaths,63782,
2020-12-07,Cumulative deaths,63347,
2020-12-06,Cumulative deaths,62926,
2020-12-05,Cumulative deaths,62511,
2020-12-04,Cumulative deaths,62117,
2020-12-03,Cumulative deaths,61644,
2020-12-02,Cumulative deaths,61170,
2020-12-01,Cumulative deaths,60785,
2020-11-30,Cumulative deaths,60385,
2020-11-29,Cumulative deaths,59961,
2020-11-28,Cumulative deaths,59499,
2020-11-27,Cumulative deaths,59032,
2020-11-26,Cumulative deaths,58605,
2020-11-25,Cumulative deaths,58175,
2020-11-24,Cumulative deaths,57692,
2020-11-23,Cumulative deaths,57233,
2020-11-22,Cumulative deaths,56768,
2020-11-21,Cumulative deaths,56293,
2020-11-20,Cumulative deaths,55826,
2020-11-19,Cumulative deaths,55374,
2020-11-18,Cumulative deaths,54912,
2020-11-17,Cumulative deaths,54426,
2020-11-16,Cumulative deaths,53986,
2020-11-15,Cumulative deaths,53563,
2020-11-14,Cumulative deaths,53109,
2020-11-13,Cumulative deaths,52679,
2020-11-12,Cumulative deaths,52244,
2020-11-11,Cumulative deaths,51823,
2020-11-10,Cumulative deaths,51433,
2020-11-09,Cumulative deaths,51044,
2020-11-08,Cumulative deaths,50564,
2020-11-07,Cumulative deaths,50149,
2020-11-06,Cumulative deaths,49758,
2020-11-05,Cumulative deaths,49358,
2020-11-04,Cumulative deaths,48979,
2020-11-03,Cumulative deaths,48651,
2020-11-02,Cumulative deaths,48291,
2020-11-01,Cumulative deaths,47957,
2020-10-31,Cumulative deaths,47599,
2020-10-30,Cumulative deaths,47279,
2020-10-29,Cumulative deaths,46941,
2020-10-28,Cumulative deaths,46630,
2020-10-27,Cumulative deaths,46344,
2020-10-26,Cumulative deaths,46077,
2020-10-25,Cumulative deaths,45800,
2020-10-24,Cumulative deaths,45550,
2020-10-23,Cumulative deaths,45336,
2020-10-22,Cumulative deaths,45114,
2020-10-21,Cumulative deaths,44878,
2020-10-20,Cumulative deaths,44657,
2020-10-19,Cumulative deaths,44462,
2020-10-18,Cumulative deaths,44271,
2020-10-17,Cumulative deaths,44112,
2020-10-16,Cumulative deaths,43935,
2020-10-15,Cumulative deaths,43785,
2020-10-14,Cumulative deaths,43634,
2020-10-13,Cumulative deaths,43518,
2020-10-12,Cumulative deaths,43408,
2020-10-11,Cumulative deaths,43295,
2020-10-10,Cumulative deaths,43172,
2020-10-09,Cumulative deaths,43069,
2020-10-08,Cumulative deaths,42990,
2020-10-07,Cumulative deaths,42898,
2020-10-06,Cumulative deaths,42796,
2020-10-05,Cumulative deaths,42725,
2020-10-04,Cumulative deaths,42653,
2020-10-03,Cumulative deaths,42593,
2020-10-02,Cumulative deaths,42526,
2020-10-01,Cumulative deaths,42458,
2020-09-30,Cumulative deaths,42391,
2020-09-29,Cumulative deaths,42334,
2020-09-28,Cumulative deaths,42286,
2020-09-27,Cumulative deaths,42232,
2020-09-26,Cumulative deaths,42185,
2020-09-25,Cumulative deaths,42146,
2020-09-24,Cumulative deaths,42114,
2020-09-23,Cumulative deaths,42079,
2020-09-22,Cumulative deaths,42023,
2020-09-21,Cumulative deaths,41984,
2020-09-20,Cumulative deaths,41957,
2020-09-19,Cumulative deaths,41926,
2020-09-18,Cumulative deaths,41906,
2020-09-17,Cumulative deaths,41882,
2020-09-16,Cumulative deaths,41855,
2020-09-15,Cumulative deaths,41829,
2020-09-14,Cumulative deaths,41811,
2020-09-13,Cumulative deaths,41790,
2020-09-12,Cumulative deaths,41774,
2020-09-11,Cumulative deaths,41756,
2020-09-10,Cumulative deaths,41743,
2020-09-09,Cumulative deaths,41730,
2020-09-08,Cumulative deaths,41721,
2020-09-07,Cumulative deaths,41712,
2020-09-06,Cumulative deaths,41697,
2020-09-05,Cumulative deaths,41689,
2020-09-04,Cumulative deaths,41676,
2020-09-03,Cumulative deaths,41669,
2020-09-02,Cumulative deaths,41659,
2020-09-01,Cumulative deaths,41650,
2020-08-31,Cumulative deaths,41647,
2020-08-30,Cumulative deaths,41638,
2020-08-29,Cumulative deaths,41632,
2020-08-28,Cumulative deaths,41627,
2020-08-27,Cumulative deaths,41617,
2020-08-26,Cumulative deaths,41609,
2020-08-25,Cumulative deaths,41598,
2020-08-24,Cumulative deaths,41586,
2020-08-23,Cumulative deaths,41580,
2020-08-22,Cumulative deaths,41566,
2020-08-21,Cumulative deaths,41558,
2020-08-20,Cumulative deaths,41551,
2020-08-19,Cumulative deaths,41543,
2020-08-18,Cumulative deaths,41540,
2020-08-17,Cumulative deaths,41531,
2020-08-16,Cumulative deaths,41519,
2020-08-15,Cumulative deaths,41515,
2020-08-14,Cumulative deaths,41503,
2020-08-13,Cumulative deaths,41496,
2020-08-12,Cumulative deaths,41487,
2020-08-11,Cumulative deaths,41480,
2020-08-10,Cumulative deaths,41470,
2020-08-09,Cumulative deaths,41457,
2020-08-08,Cumulative deaths,41449,
2020-08-07,Cumulative deaths,41435,
2020-08-06,Cumulative deaths,41423,
2020-08-05,Cumulative deaths,41414,
2020-08-04,Cumulative deaths,41408,
2020-08-03,Cumulative deaths,41394,
2020-08-02,Cumulative deaths,41379,
2020-08-01,Cumulative deaths,41369,
2020-07-31,Cumulative deaths,41358,
2020-07-30,Cumulative deaths,41344,
2020-07-29,Cumulative deaths,41334,
2020-07-28,Cumulative deaths,41322,
2020-07-27,Cumulative deaths,41310,
2020-07-26,Cumulative deaths,41299,
2020-07-25,Cumulative deaths,41283,
2020-07-24,Cumulative deaths,41267,
2020-07-23,Cumulative deaths,41260,
2020-07-22,Cumulative deaths,41244,
2020-07-21,Cumulative deaths,41227,
2020-07-20,Cumulative deaths,41207,
2020-07-19,Cumulative deaths,41195,
2020-07-18,Cumulative deaths,41181,
2020-07-17,Cumulative deaths,41167,
2020-07-16,Cumulative deaths,41149,
2020-07-15,Cumulative deaths,41136,
2020-07-14,Cumulative deaths,41116,
2020-07-13,Cumulative deaths,41095,
