date,source,value
1989,Hydro,2087.7932
1990,Hydro,2158.7434
1991,Hydro,2209.0586
1992,Hydro,2208.4602
1993,Hydro,2341.4575
1994,Hydro,2356.1958
1995,Hydro,2483.679
1996,Hydro,2517.0254
1997,Hydro,2561.03
1998,Hydro,2580.9958
1999,Hydro,2600.5432
2000,Hydro,2622.75
2001,Hydro,2563.53
2002,Hydro,2602.82
2003,Hydro,2604.97
2004,Hydro,2796.59
2005,Hydro,2902.44
2006,Hydro,3003.56
2007,Hydro,3047.6
2008,Hydro,3229.99
2009,Hydro,3231.31
2010,Hydro,3411.93
2011,Hydro,3480.11
2012,Hydro,3643.97
2013,Hydro,3770.5
2014,Hydro,3862.29
2015,Hydro,3870.46
2016,Hydro,3997.61
2017,Hydro,4050.18
2018,Hydro,4179.2
2019,Hydro,4202.08
2020,Hydro,4331.88
2021,Hydro,4226.34
1985,Solar,0.011747475
1986,Solar,0.015183838
1987,Solar,0.01060303
1988,Solar,0.01019596
1989,Solar,0.26222324
1990,Solar,0.38829494
1991,Solar,0.5052029
1992,Solar,0.4665851
1993,Solar,0.55669755
1994,Solar,0.59701395
1995,Solar,0.6388138
1996,Solar,0.69920796
1997,Solar,0.7495848
1998,Solar,0.811789
1999,Solar,0.9051969
2000,Solar,1.08
2001,Solar,1.35
2002,Solar,1.69
2003,Solar,2.07
2004,Solar,2.71
2005,Solar,3.78
2006,Solar,5.11
2007,Solar,6.92
2008,Solar,11.36
2009,Solar,19.19
2010,Solar,31.05
2011,Solar,61.85
2012,Solar,95.21
2013,Solar,131.39
2014,Solar,196.45
2015,Solar,254.87
2016,Solar,329.15
2017,Solar,444.54
2018,Solar,570.66
2019,Solar,700.72
2020,Solar,849.67
2021,Solar,1021.22
1985,Oil,1108.8606
1986,Oil,1166.3256
1987,Oil,1181.094
1988,Oil,1254.3573
1989,Oil,1346.9629
1990,Oil,1364.747
1991,Oil,1350.083
1992,Oil,1328.2915
1993,Oil,1266.6858
1994,Oil,1302.1724
1995,Oil,1259.9344
1996,Oil,1246.0482
1997,Oil,1244.6864
1998,Oil,1295.0918
1999,Oil,1267.3827
2000,Oil,1171.64
2001,Oil,1155.44
2002,Oil,1134.3
2003,Oil,1153.06
2004,Oil,1139.4
2005,Oil,1139.46
2006,Oil,1046.94
2007,Oil,1072.43
2008,Oil,1028.08
2009,Oil,952.66
2010,Oil,949.14
2011,Oil,1043.34
2012,Oil,1097.3
2013,Oil,1063.45
2014,Oil,1008.65
2015,Oil,1012.68
2016,Oil,959.67
2017,Oil,872.56
2018,Oil,798.23
2019,Oil,740.93
2020,Oil,710.63
2021,Oil,760.15
1985,Wind,0.064220205
1986,Wind,0.13883132
1987,Wind,0.19537677
1988,Wind,0.3315798
1989,Wind,2.6497767
1990,Wind,3.6324706
1991,Wind,4.0867066
1992,Wind,4.733212
1993,Wind,5.697569
1994,Wind,7.12293
1995,Wind,8.261924
1996,Wind,9.2046
1997,Wind,12.017817
1998,Wind,15.92126
1999,Wind,21.216173
2000,Wind,31.16
2001,Wind,38.16
2002,Wind,52.04
2003,Wind,63.43
2004,Wind,85.26
2005,Wind,103.89
2006,Wind,132.79
2007,Wind,170.91
2008,Wind,220.07
2009,Wind,275.87
2010,Wind,345.99
2011,Wind,440.45
2012,Wind,529.08
2013,Wind,641.35
2014,Wind,716.7
2015,Wind,828.39
2016,Wind,959.74
2017,Wind,1136.4
2018,Wind,1265.06
2019,Wind,1419.43
2020,Wind,1586.2
2021,Wind,1848.26
1985,Bioenergy,0
1986,Bioenergy,0
1987,Bioenergy,0
1988,Bioenergy,0
1989,Bioenergy,0
1990,Bioenergy,0
1991,Bioenergy,0
1992,Bioenergy,0
1993,Bioenergy,0
1994,Bioenergy,0
1995,Bioenergy,0
1996,Bioenergy,0
1997,Bioenergy,0
1998,Bioenergy,0
1999,Bioenergy,0
2000,Bioenergy,148.41
2001,Bioenergy,142.9
2002,Bioenergy,156.22
2003,Bioenergy,167.59
2004,Bioenergy,184.57
2005,Bioenergy,208.43
2006,Bioenergy,221.65
2007,Bioenergy,244.16
2008,Bioenergy,259.69
2009,Bioenergy,281.05
2010,Bioenergy,324.25
2011,Bioenergy,344.31
2012,Bioenergy,372.96
2013,Bioenergy,405.31
2014,Bioenergy,442.4
2015,Bioenergy,480.13
2016,Bioenergy,488.04
2017,Bioenergy,517.97
2018,Bioenergy,549.25
2019,Bioenergy,577.98
2020,Bioenergy,605.13
2021,Bioenergy,666.34
1985,Other renewables,0
1986,Other renewables,0
1987,Other renewables,0
1988,Other renewables,0
1989,Other renewables,0
1990,Other renewables,0
1991,Other renewables,0
1992,Other renewables,0
1993,Other renewables,0
1994,Other renewables,0
1995,Other renewables,0
1996,Other renewables,0
1997,Other renewables,0
1998,Other renewables,0
1999,Other renewables,0
2000,Other renewables,52.37
2001,Other renewables,51.45
2002,Other renewables,52.43
2003,Other renewables,53.64
2004,Other renewables,55.8
2005,Other renewables,56.79
2006,Other renewables,58.17
2007,Other renewables,60.81
2008,Other renewables,63.49
2009,Other renewables,65.56
2010,Other renewables,66.01
2011,Other renewables,67.08
2012,Other renewables,68.31
2013,Other renewables,69.6
2014,Other renewables,74.48
2015,Other renewables,78.37
2016,Other renewables,80.58
2017,Other renewables,83.51
2018,Other renewables,87.08
2019,Other renewables,88.99
2020,Other renewables,92.08
2021,Other renewables,93.46
