Date,Nation,Cumulative cases per 100k
2020-10-27,England,1466.673163
2020-10-26,England,1430.438074
2020-10-25,England,1390.18885
2020-10-24,England,1366.908632
2020-10-23,England,1342.990043
2020-10-22,England,1310.967145
2020-10-21,England,1276.272282
2020-10-20,England,1238.265315
2020-10-19,England,1200.548356
2020-10-18,England,1161.445018
2020-10-17,England,1140.477791
2020-10-16,England,1118.631698
2020-10-15,England,1092.897023
2020-10-14,England,1065.936886
2020-10-13,England,1036.858276
2020-10-12,England,1009.53563
2020-10-11,England,980.8849585
2020-10-10,England,963.8045466
2020-10-09,England,945.8399639
2020-10-08,England,922.8267659
2020-10-07,England,895.8312625
2020-10-06,England,868.9772264
2020-10-05,England,843.7093928
2020-10-04,England,818.8712662
2020-10-03,England,801.4778578
2020-10-02,England,784.3214073
2020-10-01,England,763.8510845
2020-09-30,England,743.8564456
2020-09-29,England,725.249955
2020-09-28,England,709.8264792
2020-09-27,England,694.659413
2020-09-26,England,684.0051546
2020-09-25,England,674.0104877
2020-09-24,England,663.3403143
2020-09-23,England,652.2068354
2020-09-22,England,641.7895348
2020-09-21,England,632.318297
2020-09-20,England,624.0141647
2020-09-19,England,615.8320479
2020-09-18,England,608.4492216
2020-09-17,England,600.8930978
2020-09-16,England,593.9187584
2020-09-15,England,587.2980873
2020-09-14,England,581.9223287
2020-09-13,England,576.8082847
2020-09-12,England,573.7879572
2020-09-11,England,569.8869955
2020-09-10,England,564.8330751
2020-09-09,England,559.3476794
2020-09-08,England,554.3096741
2020-09-07,England,549.0028808
2020-09-06,England,542.8844188
2020-09-05,England,539.2487084
2020-09-04,England,535.3760402
2020-09-03,England,530.7960354
2020-09-02,England,526.0904783
2020-09-01,England,521.4591915
2020-08-31,England,518.0533655
2020-08-30,England,515.8252551
2020-08-29,England,514.101122
2020-08-28,England,512.2620467
2020-08-27,England,509.8128935
2020-08-26,England,507.4663042
2020-08-25,England,505.4574681
2020-08-24,England,503.5794892
2020-08-23,England,501.5724215
2020-08-22,England,500.338119
2020-08-21,England,499.0719864
2020-08-20,England,497.289498
2020-08-19,England,495.1356579
2020-08-18,England,493.236459
2020-08-17,England,491.606048
2020-08-16,England,489.5989803
2020-08-15,England,488.6617592
2020-08-14,England,487.5247155
2020-08-13,England,485.6909453
2020-08-12,England,483.8837001
2020-08-11,England,481.9455977
2020-08-10,England,479.8005993
2020-08-09,England,477.4151064
2020-08-08,England,476.4336768
2020-08-07,England,475.3054748
2020-08-06,England,473.7705543
2020-08-05,England,472.0340428
2020-08-04,England,470.368265
2020-08-03,England,468.7396223
2020-08-02,England,467.0844546
2020-08-01,England,466.1790636
2020-07-31,England,465.3037345
2020-07-30,England,464.1967527
2020-07-29,England,462.6830522
2020-07-28,England,460.9642242
2020-07-27,England,459.586686
2020-07-26,England,458.157866
2020-07-25,England,457.24717
2020-07-24,England,456.377146
2020-07-23,England,455.1074767
2020-07-22,England,453.820124
2020-07-21,England,452.5027094
2020-07-20,England,451.2860904
2020-07-19,England,449.9545291
2020-07-18,England,449.2224357
2020-07-17,England,448.3948518
2020-07-16,England,447.4258006
2020-07-15,England,446.2922936
2020-07-14,England,445.0102459
2020-07-13,England,443.8608239
2020-07-12,England,442.6424365
2020-07-11,England,442.0182119
2020-07-10,England,441.2755084
2020-07-09,England,440.3542024
2020-07-08,England,439.1464251
2020-07-07,England,437.9563311
2020-07-06,England,436.9642915
2020-07-05,England,435.8113327
2020-07-04,England,434.8564283
2020-07-03,England,434.1703117
2020-07-02,England,433.2154072
2020-07-01,England,432.2180625
2020-06-30,England,431.1323008
2020-06-29,England,430.119041
2020-06-28,England,428.9395571
2020-06-27,England,428.2145371
2020-06-26,England,427.3232929
2020-06-25,England,426.1933226
2020-06-24,England,425.066889
2020-06-23,England,423.7830729
2020-06-22,England,422.4939519
2020-06-21,England,421.0527535
2020-06-20,England,420.0854706
2020-06-19,England,418.974952
2020-06-18,England,417.5231435
2020-06-17,England,415.8555974
2020-06-16,England,414.2446382
2020-06-15,England,412.4869066
2020-06-14,England,410.8299705
2020-06-13,England,409.5143243
2020-06-12,England,408.1208711
2020-06-11,England,406.4533249
2020-06-10,England,404.8423657
2020-06-09,England,402.9325567
2020-06-08,England,401.0687246
2020-06-07,England,399.3198348
2020-06-06,England,398.1403509
2020-06-05,England,396.8547665
2020-06-04,England,395.0475214
2020-06-03,England,393.0227702
2020-06-02,England,390.8353316
2020-06-01,England,388.4445337
2020-05-31,England,386.1227011
2020-05-30,England,384.3755796
2020-05-29,England,382.6143113
2020-05-28,England,380.1899149
2020-05-27,England,377.4100819
2020-05-26,England,374.5630519
2020-05-25,England,371.9971881
2020-05-24,England,369.5621817
2020-05-23,England,367.4419401
2020-05-22,England,365.143096
2020-05-21,England,361.9742278
2020-05-20,England,357.9671656
2020-05-19,England,353.8221728
2020-05-18,England,349.2563147
2020-05-17,England,345.3518164
2020-05-16,England,342.5454582
2020-05-15,England,339.4172619
2020-05-14,England,335.6506942
2020-05-13,England,331.7479642
2020-05-12,England,326.6462986
2020-05-11,England,321.4862777
2020-05-10,England,316.0804573
2020-05-09,England,312.5420057
2020-05-08,England,309.3713691
2020-05-07,England,304.7400824
2020-05-06,England,299.0743158
2020-05-05,England,293.309522
2020-05-04,England,287.765771
2020-05-03,England,282.7366074
2020-05-02,England,278.0805639
2020-05-01,England,273.2246978
2020-04-30,England,265.9992538
2020-04-29,England,258.3865431
2020-04-28,England,250.0293605
2020-04-27,England,242.7685498
2020-04-26,England,235.6545114
2020-04-25,England,230.1160654
2020-04-24,England,224.1567541
2020-04-23,England,216.4733096
2020-04-22,England,208.4132085
2020-04-21,England,199.9287053
2020-04-20,England,192.8960106
2020-04-19,England,186.4026601
2020-04-18,England,180.2665147
2020-04-17,England,173.0110089
2020-04-16,England,165.8297735
2020-04-15,England,158.1427925
2020-04-14,England,150.6874641
2020-04-13,England,144.4239981
2020-04-12,England,138.3638913
2020-04-11,England,133.1720402
2020-04-10,England,127.7626832
2020-04-09,England,121.4231784
2020-04-08,England,114.2578581
2020-04-07,England,106.6805142
2020-04-06,England,98.60980296
2020-04-05,England,90.88922338
2020-04-04,England,85.44980451
2020-04-03,England,79.48165149
2020-04-02,England,72.26858596
2020-04-01,England,65.07674053
2020-03-31,England,57.79647801
2020-03-30,England,51.11037829
2020-03-29,England,44.89465744
2020-03-28,England,40.58697722
2020-03-27,England,36.39954422
2020-03-26,England,31.71343889
2020-03-25,England,27.10867727
2020-03-24,England,23.11222518
2020-03-23,England,19.52602834
2020-03-22,England,15.96989331
2020-03-21,England,13.8372733
2020-03-20,England,12.02118644
2020-03-19,England,10.10430411
2020-03-18,England,8.465051409
2020-03-17,England,6.857628862
2020-03-16,England,5.651619867
2020-03-15,England,4.691410359
2020-03-14,England,3.991147071
2020-03-13,England,3.434119456
2020-03-12,England,2.740929535
2020-03-11,England,2.007067756
2020-03-10,England,1.384611501
2020-03-09,England,0.981429608
2020-03-08,England,0.760386903
2020-03-07,England,0.671969821
2020-03-06,England,0.574711032
2020-03-05,England,0.445622092
2020-03-04,England,0.364278377
2020-03-03,England,0.277629637
