Year,Sector,Value,Detail
2005,Clothing,58.55072464,
2006,Clothing,56.18357488,
2007,Clothing,53.91304348,
2008,Clothing,50.14492754,
2009,Clothing,45.89371981,
2010,Clothing,45.36231884,
2011,Clothing,46.8115942,
2012,Clothing,47.29468599,
2013,Clothing,47.87439614,
2014,Clothing,48.06763285,
2015,Clothing,48.30917874,
2016,Clothing,48.4057971,
2017,Clothing,49.80676329,
2018,Clothing,50.24154589,
2019,Clothing,50.04830918,
2020,Clothing,49.27536232,
