date,series,value
2021-03-21,2020,80479
2021-03-22,2020,75708
2021-03-23,2020,70288
2021-03-24,2020,65538
2021-03-25,2020,60743
2021-03-26,2020,56296
2021-03-27,2020,51832
2021-03-28,2020,48224
2021-03-29,2020,45042
2021-03-30,2020,42447
2021-03-31,2020,40332
2021-04-01,2020,38848
2021-04-02,2020,37193
2021-04-03,2020,35892
2021-04-04,2020,34566
2021-04-05,2020,33449
2021-04-06,2020,32699
2021-04-07,2020,31885
2021-04-08,2020,31214
2021-04-09,2020,30816
2021-04-10,2020,30167
2021-04-11,2020,29849
2021-04-12,2020,29442
2021-04-13,2020,28798
2021-04-14,2020,28502
2021-04-15,2020,28232
2021-04-16,2020,28028
2021-04-17,2020,28053
2021-04-18,2020,27969
2021-04-19,2020,27986
2021-04-20,2020,28086
2021-04-21,2020,27984
2021-04-22,2020,27997
2021-04-23,2020,28064
2021-04-24,2020,28152
2021-04-25,2020,28181
2021-04-26,2020,28181
2021-04-27,2020,28294
2021-04-28,2020,28500
2021-04-29,2020,28702
2021-04-30,2020,29097
2021-05-01,2020,29190
2021-05-02,2020,29212
2021-05-03,2020,29327
2021-05-04,2020,29658
2021-05-05,2020,30094
2021-05-06,2020,30359
2021-05-07,2020,30559
2021-05-08,2020,30980
2021-05-09,2020,31436
2021-05-10,2020,31878
2021-05-11,2020,32198
2021-05-12,2020,32274
2021-05-13,2020,32543
2021-05-14,2020,32783
2021-05-15,2020,33116
2021-05-16,2020,33387
2021-05-17,2020,33638
2021-05-18,2020,33839
2021-05-19,2020,34085
2021-05-20,2020,34499
2021-05-21,2020,34755
2021-05-22,2020,35046
2021-05-23,2020,35221
2021-05-24,2020,35255
2021-05-25,2020,35245
2021-05-26,2020,35139
2021-05-27,2020,35228
2021-05-28,2020,35417
2021-05-29,2020,35657
2021-05-30,2020,35870
2021-05-31,2020,36387
2021-06-01,2020,37170
2021-06-02,2020,38086
2021-06-03,2020,38632
2021-06-04,2020,39257
2021-06-05,2020,39936
2021-06-06,2020,40552
2021-06-07,2020,41167
2021-06-08,2020,41649
2021-06-09,2020,41968
2021-06-10,2020,42440
2021-06-11,2020,42964
2021-06-12,2020,43438
2021-06-13,2020,43795
2021-06-14,2020,44233
2021-06-15,2020,44843
2021-06-16,2020,45357
2021-06-17,2020,45658
2021-06-18,2020,45987
2021-06-19,2020,46274
2021-06-20,2020,46731
2021-06-21,2020,47056
2021-06-22,2020,47348
2021-06-23,2020,47638
2021-06-24,2020,48161
2021-06-25,2020,48465
2021-06-26,2020,48667
2021-06-27,2020,48996
2021-06-28,2020,49318
2021-06-29,2020,49428
2021-06-30,2020,49717
2021-07-01,2020,50376
2021-07-02,2020,51388
2021-07-03,2020,52535
2021-07-04,2020,52930
2021-07-05,2020,53945
2021-07-06,2020,55184
2021-07-07,2020,56268
2021-07-08,2020,56872
2021-07-09,2020,57476
2021-07-10,2020,58276
2021-07-11,2020,59591
2021-07-12,2020,60271
2021-07-13,2020,60759
2021-07-14,2020,61134
2021-07-15,2020,61770
2021-07-16,2020,62281
2021-07-17,2020,62673
2021-07-18,2020,63197
2021-07-19,2020,63641
2021-07-20,2020,63920
2021-07-21,2020,63934
2021-07-22,2020,63671
2021-07-23,2020,63546
2021-07-24,2020,63474
2021-07-25,2020,63462
2021-07-26,2020,63442
2021-07-27,2020,63360
2021-07-28,2020,63448
2021-07-29,2020,62644
2021-07-30,2020,62462
2021-07-31,2020,62496
2021-08-01,2020,62825
2021-08-02,2020,63161
2021-08-03,2020,63600
2021-08-04,2020,63867
2021-08-05,2020,65128
2021-08-06,2020,65764
2021-08-07,2020,66260
2021-08-08,2020,66477
2021-08-09,2020,66732
2021-08-10,2020,67045
2021-08-11,2020,67451
2021-08-12,2020,67652
2021-08-13,2020,67892
2021-08-14,2020,68095
2021-08-15,2020,68294
2021-08-16,2020,68465
2021-08-17,2020,68623
2021-08-18,2020,68682
2021-08-19,2020,68688
2021-08-20,2020,68843
2021-08-21,2020,68818
2021-08-22,2020,68813
2021-08-23,2020,68943
2021-08-24,2020,68916
2021-08-25,2020,68899
2021-08-26,2020,68832
2021-08-27,2020,68706
2021-08-28,2020,68775
2021-08-29,2020,68691
2021-08-30,2020,68561
2021-08-31,2020,68551
2021-09-01,2020,68442
2021-09-02,2020,68445
2021-09-03,2020,68581
2021-09-04,2020,68789
2021-09-05,2020,68605
2021-09-06,2020,68125
2021-09-07,2020,67841
2021-09-08,2020,67692
2021-09-09,2020,67850
2021-09-10,2020,67877
2021-09-11,2020,67700
2021-09-12,2020,67735
2021-09-13,2020,68245
2021-09-14,2020,68501
2021-09-15,2020,68843
2021-09-16,2020,69008
2021-09-17,2020,69029
2021-09-18,2020,69143
2021-09-19,2020,69278
2021-09-20,2020,69342
2021-09-21,2020,69378
2021-09-22,2020,69404
2021-09-23,2020,69428
2021-09-24,2020,69541
2021-09-25,2020,69575
2021-09-26,2020,69513
2021-09-27,2020,69504
2021-09-28,2020,68806
2021-09-29,2020,67865
2021-09-30,2020,67825
2021-10-01,2020,67837
2021-10-02,2020,67776
2021-10-03,2020,67660
2021-10-04,2020,67431
2021-10-05,2020,68009
2021-10-06,2020,68763
2021-10-07,2020,68571
2021-10-08,2020,68549
2021-10-09,2020,68596
2021-10-10,2020,68643
2021-10-11,2020,68694
2021-10-12,2020,68727
2021-10-13,2020,68674
2021-10-14,2020,68763
2021-10-15,2020,68650
2021-10-16,2020,68687
2021-10-17,2020,68714
2021-10-18,2020,68820
2021-10-19,2020,68754
2021-10-20,2020,68572
2021-10-21,2020,68172
2021-10-22,2020,67978
2021-10-23,2020,67720
2021-10-24,2020,67468
2021-10-25,2020,67106
2021-10-26,2020,66965
2021-10-27,2020,66999
2021-10-28,2020,67058
2021-10-29,2020,66949
2021-10-30,2020,67071
2021-10-31,2020,66972
2021-11-01,2020,66936
2021-11-02,2020,67058
2021-11-03,2020,67328
2021-11-04,2020,67707
2021-11-05,2020,68031
2021-11-06,2020,68100
2021-11-07,2020,68110
2021-11-08,2020,68200
2021-11-09,2020,68019
2021-11-10,2020,67654
2021-11-11,2020,67163
2021-11-12,2020,66855
2021-11-13,2020,66624
2021-11-14,2020,66582
2021-11-15,2020,66515
2021-11-16,2020,66825
2021-11-17,2020,67082
2021-11-18,2020,67413
2021-11-19,2020,67470
2021-11-20,2020,67844
2021-11-21,2020,68428
2021-11-22,2020,68829
2021-11-23,2020,68922
2021-11-24,2020,69478
2021-11-25,2020,69935
2021-11-26,2020,68485
2021-11-27,2020,67027
2021-11-28,2020,66752
2021-11-29,2020,66856
2021-11-30,2020,66934
2021-12-01,2020,67050
2021-12-02,2020,67000
2021-12-03,2020,68761
2021-12-04,2020,70203
2021-12-05,2020,70232
2021-12-06,2020,69937
2021-12-07,2020,69712
2021-12-08,2020,69293
2021-12-09,2020,69287
2021-12-10,2020,69369
2021-12-11,2020,69331
2021-12-12,2020,69305
2021-12-13,2020,69373
2021-12-14,2020,69630
2021-12-15,2020,69957
2021-12-16,2020,69970
2021-12-17,2020,70467
2021-12-18,2020,71713
2021-12-19,2020,73470
2021-12-20,2020,74882
2021-12-21,2020,75547
2021-12-22,2020,76392
2021-12-23,2020,77428
2021-12-24,2020,76280
2021-12-25,2020,72310
2021-12-26,2020,70896
2021-12-27,2020,70461
2021-12-28,2020,70028
2021-12-29,2020,69488
2021-12-30,2020,69117
2021-12-31,2020,68899
2021-01-01,2021,68909
2021-01-02,2021,69069
2021-01-03,2021,69390
2021-01-04,2021,69661
2021-01-05,2021,69282
2021-01-06,2021,68228
2021-01-07,2021,68545
2021-01-08,2021,70684
2021-01-09,2021,70113
2021-01-10,2021,68777
2021-01-11,2021,67768
2021-01-12,2021,67049
2021-01-13,2021,66773
2021-01-14,2021,66752
2021-01-15,2021,66700
2021-01-16,2021,66405
2021-01-17,2021,65930
2021-01-18,2021,65669
2021-01-19,2021,65366
2021-01-20,2021,65070
2021-01-21,2021,64695
2021-01-22,2021,64362
2021-01-23,2021,63774
2021-01-24,2021,63257
2021-01-25,2021,62728
2021-01-26,2021,62243
2021-01-27,2021,62042
2021-01-28,2021,61684
2021-01-29,2021,61373
2021-01-30,2021,61281
2021-01-31,2021,61047
2021-02-01,2021,60576
2021-02-02,2021,60294
2021-02-03,2021,60143
2021-02-04,2021,60165
2021-02-05,2021,60362
2021-02-06,2021,60598
2021-02-07,2021,60681
2021-02-08,2021,61273
2021-02-09,2021,61689
2021-02-10,2021,61808
2021-02-11,2021,61371
2021-02-12,2021,60710
2021-02-13,2021,60068
2021-02-14,2021,59486
2021-02-15,2021,58712
2021-02-16,2021,58336
2021-02-17,2021,58457
2021-02-18,2021,58871
2021-02-19,2021,59714
2021-02-20,2021,61046
2021-02-21,2021,62577
2021-02-22,2021,64040
2021-02-23,2021,65251
2021-02-24,2021,65808
2021-02-25,2021,66939
2021-02-26,2021,67702
2021-02-27,2021,67866
2021-02-28,2021,68112
2021-03-01,2021,68679
2021-03-02,2021,69072
2021-03-03,2021,69549
2021-03-04,2021,69928
2021-03-05,2021,70474
2021-03-06,2021,70951
2021-03-07,2021,71319
2021-03-08,2021,71632
2021-03-09,2021,71981
2021-03-10,2021,72230
2021-03-11,2021,72336
2021-03-12,2021,72636
2021-03-13,2021,72918
2021-03-14,2021,73161
2021-03-15,2021,73028
2021-03-16,2021,73250
2021-03-17,2021,73555
2021-03-18,2021,73794
2021-03-19,2021,74007
2021-03-20,2021,74275
2021-03-21,2021,74672
2021-03-22,2021,75168
2021-03-23,2021,75391
2021-03-24,2021,75702
2021-03-25,2021,76095
2021-03-26,2021,76207
2021-03-27,2021,76472
2021-03-28,2021,76660
2021-03-29,2021,76925
2021-03-30,2021,77304
2021-03-31,2021,77712
2021-04-01,2021,78173
2021-04-02,2021,78087
2021-04-03,2021,78130
2021-04-04,2021,77864
2021-04-05,2021,78163
2021-04-06,2021,78445
2021-04-07,2021,78504
2021-04-08,2021,78425
2021-04-09,2021,78796
2021-04-10,2021,78932
2021-04-11,2021,79368
2021-04-12,2021,79360
2021-04-13,2021,79341
2021-04-14,2021,79045
2021-04-15,2021,78681
2021-04-16,2021,78321
2021-04-17,2021,77938
2021-04-18,2021,77735
2021-04-19,2021,77294
2021-04-20,2021,76652
2021-04-21,2021,76296
