Date,Furloughed
2020-06-30,6.822
2020-07-01,5.9753
2020-07-02,5.9763
2020-07-03,5.9702
2020-07-04,5.952
2020-07-05,5.9423
2020-07-06,5.9195
2020-07-07,5.9095
2020-07-08,5.8868
2020-07-09,5.8799
2020-07-10,5.8734
2020-07-11,5.8585
2020-07-12,5.839
2020-07-13,5.7897
2020-07-14,5.7798
2020-07-15,5.7648
2020-07-16,5.7514
2020-07-17,5.7432
2020-07-18,5.7155
2020-07-19,5.6979
2020-07-20,5.659
2020-07-21,5.6401
2020-07-22,5.6294
2020-07-23,5.6197
2020-07-24,5.603
2020-07-25,5.5731
2020-07-26,5.5496
2020-07-27,5.4835
2020-07-28,5.4679
2020-07-29,5.4475
2020-07-30,5.4356
2020-07-31,5.3931
2020-08-01,4.2332
2020-08-02,4.2314
2020-08-03,4.2248
2020-08-04,4.2185
2020-08-05,4.2162
2020-08-06,4.2144
2020-08-07,4.2118
2020-08-08,4.1998
2020-08-09,4.1921
2020-08-10,4.1676
2020-08-11,4.1619
2020-08-12,4.1596
2020-08-13,4.1565
2020-08-14,4.1525
2020-08-15,4.1395
2020-08-16,4.129
2020-08-17,4.0995
2020-08-18,4.0939
2020-08-19,4.0907
2020-08-20,4.087
2020-08-21,4.0773
2020-08-22,4.0641
2020-08-23,4.0538
2020-08-24,4.0272
2020-08-25,4.0192
2020-08-26,4.0102
2020-08-27,4.0045
2020-08-28,3.9951
2020-08-29,3.9258
2020-08-30,3.906
2020-08-31,3.8109
2020-09-01,3.0245
2020-09-02,3.0245
2020-09-03,3.0226
2020-09-04,3.0208
2020-09-05,3.0171
2020-09-06,3.0127
2020-09-07,3.0016
2020-09-08,2.9953
2020-09-09,2.9934
2020-09-10,2.9913
2020-09-11,2.9884
2020-09-12,2.9832
2020-09-13,2.9802
2020-09-14,2.9583
2020-09-15,2.9531
2020-09-16,2.9503
2020-09-17,2.9484
2020-09-18,2.9428
2020-09-19,2.9362
2020-09-20,2.9316
2020-09-21,2.9235
2020-09-22,2.9198
2020-09-23,2.9182
2020-09-24,2.9153
2020-09-25,2.9107
2020-09-26,2.8874
2020-09-27,2.8793
2020-09-28,2.8635
2020-09-29,2.8503
2020-09-30,2.8434
2020-10-01,2.5328
2020-10-02,2.5335
2020-10-03,2.5321
2020-10-04,2.5309
2020-10-05,2.5401
2020-10-06,2.538
2020-10-07,2.5374
2020-10-08,2.5376
2020-10-09,2.537
2020-10-10,2.5367
2020-10-11,2.5359
2020-10-12,2.5328
2020-10-13,2.5312
2020-10-14,2.5306
2020-10-15,2.5287
2020-10-16,2.5214
2020-10-17,2.5197
2020-10-18,2.5185
2020-10-19,2.5192
2020-10-20,2.5166
2020-10-21,2.5139
2020-10-22,2.5113
2020-10-23,2.51
2020-10-24,2.5068
2020-10-25,2.5035
2020-10-26,2.5019
2020-10-27,2.4978
2020-10-28,2.4955
2020-10-29,2.4878
2020-10-30,2.4808
2020-10-31,2.3996
2020-11-01,3.7201
2020-11-02,3.7518
2020-11-03,3.7564
2020-11-04,3.768
2020-11-05,4.0205
2020-11-06,4.0508
2020-11-07,4.0647
2020-11-08,4.0849
2020-11-09,4.1225
2020-11-10,4.1225
2020-11-11,4.1255
2020-11-12,4.1253
2020-11-13,4.1201
2020-11-14,4.119
2020-11-15,4.1207
2020-11-16,4.1163
2020-11-17,4.115
2020-11-18,4.1144
2020-11-19,4.1138
2020-11-20,4.114
2020-11-21,4.1107
2020-11-22,4.106
2020-11-23,4.0958
2020-11-24,4.0915
2020-11-25,4.0867
2020-11-26,4.0765
2020-11-27,4.0711
2020-11-28,4.0296
2020-11-29,3.9889
2020-11-30,3.8682
2020-12-01,3.9978
2020-12-02,3.9957
2020-12-03,3.9844
2020-12-04,3.9815
2020-12-05,3.9801
2020-12-06,3.977
2020-12-07,3.9695
2020-12-08,3.9642
2020-12-09,3.9621
2020-12-10,3.9609
2020-12-11,3.9581
2020-12-12,3.9567
2020-12-13,3.9544
2020-12-14,3.9609
2020-12-15,3.9589
2020-12-16,3.9626
2020-12-17,3.9659
2020-12-18,3.9674
2020-12-19,3.9769
2020-12-20,4.0084
2020-12-21,4.0389
2020-12-22,4.0447
2020-12-23,4.0487
2020-12-24,4.0502
2020-12-25,4.0584
2020-12-26,4.0535
2020-12-27,4.0549
2020-12-28,4.0432
2020-12-29,4.0226
2020-12-30,4.0107
2020-12-31,3.9751
2021-01-01,4.9316
2021-01-02,4.937
2021-01-03,4.9413
2021-01-04,4.9915
2021-01-05,5.0138
2021-01-06,5.0267
2021-01-07,5.0316
2021-01-08,5.0318
2021-01-09,5.0324
2021-01-10,5.0347
2021-01-11,5.0522
2021-01-12,5.0529
2021-01-13,5.0547
2021-01-14,5.0558
2021-01-15,5.0565
2021-01-16,5.0523
2021-01-17,5.0549
2021-01-18,5.0637
2021-01-19,5.0638
2021-01-20,5.0638
2021-01-21,5.0613
2021-01-22,5.06
2021-01-23,5.0572
2021-01-24,5.0553
2021-01-25,5.0484
2021-01-26,5.0396
2021-01-27,5.0356
2021-01-28,5.0323
2021-01-29,5.0092
2021-01-30,4.9274
2021-01-31,4.8835
2021-02-01,4.9046
2021-02-02,4.9055
2021-02-03,4.9058
2021-02-04,4.9071
2021-02-05,4.9086
2021-02-06,4.9087
2021-02-07,4.9095
2021-02-08,4.9057
2021-02-09,4.905
2021-02-10,4.9046
2021-02-11,4.9043
2021-02-12,4.903
2021-02-13,4.8986
2021-02-14,4.8977
2021-02-15,4.8879
2021-02-16,4.8854
2021-02-17,4.884
2021-02-18,4.8827
2021-02-19,4.882
2021-02-20,4.8767
2021-02-21,4.872
2021-02-22,4.8627
2021-02-23,4.8577
2021-02-24,4.8539
2021-02-25,4.849
2021-02-26,4.838
2021-02-27,4.77
2021-02-28,4.746
2021-03-01,4.4506
2021-03-02,4.4505
2021-03-03,4.4505
2021-03-04,4.4489
2021-03-05,4.4477
2021-03-06,4.4442
2021-03-07,4.4424
2021-03-08,4.417
2021-03-09,4.4123
2021-03-10,4.4108
2021-03-11,4.4096
2021-03-12,4.4069
2021-03-13,4.4036
2021-03-14,4.4022
2021-03-15,4.389
2021-03-16,4.3835
2021-03-17,4.3821
2021-03-18,4.3808
2021-03-19,4.3788
2021-03-20,4.3733
2021-03-21,4.3688
2021-03-22,4.3589
2021-03-23,4.3562
2021-03-24,4.3535
2021-03-25,4.3502
2021-03-26,4.3429
2021-03-27,4.3143
2021-03-28,4.2974
2021-03-29,4.2276
2021-03-30,4.2141
2021-03-31,4.1939
Source: HMRC CJRS ,
,
,
,
,
,
,
,
,
