Year,Occupation,Sickness absence rate (%)
2016,Skilled trade,1.899999976
2017,Skilled trade,1.799999952
2018,Skilled trade,1.700000048
2019,Skilled trade,1.799999952
2020,Skilled trade,2.099999905
1995,Service,4
1996,Service,3.700000048
1997,Service,3.799999952
1998,Service,3.599999905
1999,Service,3.799999952
2000,Service,3.799999952
2001,Service,4.099999905
2002,Service,4.199999809
2003,Service,3.900000095
2004,Service,4.199999809
2005,Service,3.400000095
2006,Service,3.400000095
2007,Service,3.900000095
2008,Service,3.700000048
2009,Service,3.599999905
2010,Service,3.5
2011,Service,3.099999905
2012,Service,3.357276917
2013,Service,3.200000048
2014,Service,3.099999905
2015,Service,2.900000095
2016,Service,2.700000048
2017,Service,2.799999952
2018,Service,2.900000095
2019,Service,2.900000095
2020,Service,3.299999952
1995,Sales and customer service,2.900000095
1996,Sales and customer service,2.299999952
1997,Sales and customer service,3
1998,Sales and customer service,2.799999952
1999,Sales and customer service,2.799999952
2000,Sales and customer service,2.599999905
2001,Sales and customer service,3.099999905
2002,Sales and customer service,3
2003,Sales and customer service,3.099999905
2004,Sales and customer service,3.299999952
2005,Sales and customer service,2.799999952
2006,Sales and customer service,2.900000095
2007,Sales and customer service,3
2008,Sales and customer service,2.799999952
2009,Sales and customer service,2.900000095
2010,Sales and customer service,2.700000048
2011,Sales and customer service,2.599999905
2012,Sales and customer service,2.429056644
2013,Sales and customer service,2.099999905
2014,Sales and customer service,2.200000048
2015,Sales and customer service,2.5
2016,Sales and customer service,2.299999952
2017,Sales and customer service,2.200000048
2018,Sales and customer service,2.599999905
2019,Sales and customer service,2.799999952
2020,Sales and customer service,2.5
1995,Operatives,4.199999809
1996,Operatives,4
1997,Operatives,4.099999905
1998,Operatives,4
1999,Operatives,4
2000,Operatives,3.799999952
2001,Operatives,3.5
2002,Operatives,3.599999905
2003,Operatives,3.700000048
2004,Operatives,3.700000048
2005,Operatives,3.299999952
2006,Operatives,3.400000095
2007,Operatives,3.400000095
2008,Operatives,3.299999952
2009,Operatives,2.5
2010,Operatives,3
2011,Operatives,2.700000048
2012,Operatives,2.581810713
2013,Operatives,2.400000095
2014,Operatives,2.599999905
2015,Operatives,2.799999952
2016,Operatives,2.400000095
2017,Operatives,2.200000048
2018,Operatives,2.299999952
2019,Operatives,2
2020,Operatives,2.200000048
1995,Elementary,3.700000048
1996,Elementary,3.5
1997,Elementary,3.900000095
1998,Elementary,3.5
1999,Elementary,3.700000048
2000,Elementary,3.799999952
2001,Elementary,3.700000048
2002,Elementary,3.599999905
2003,Elementary,3.700000048
2004,Elementary,3.599999905
2005,Elementary,3.299999952
2006,Elementary,3.200000048
2007,Elementary,3
2008,Elementary,2.900000095
2009,Elementary,2.900000095
2010,Elementary,2.599999905
2011,Elementary,2.5
2012,Elementary,2.484870911
2013,Elementary,2.5
2014,Elementary,2.5
2015,Elementary,2.599999905
2016,Elementary,2.700000048
2017,Elementary,2.599999905
2018,Elementary,2.400000095
2019,Elementary,2.299999952
2020,Elementary,2.799999952
