Date,Country,Cumulative Covid-19 cases ,Cumulative Covid-19 deaths
2020-12-02,Liberia,1936,null
2020-12-09,Liberia,1945,null
2020-12-16,Liberia,null,null
2020-12-23,Liberia,null,null
2020-12-30,Liberia,null,null
2021-01-06,Liberia,null,null
2021-01-13,Liberia,null,null
2021-01-20,Liberia,null,null
2021-01-27,Liberia,null,null
2021-02-03,Liberia,null,null
