Month,First National Loan,Second National Loan,Third National Loan,Fourth National Loan
1935m10,99.5625,112,108,97.25
1935m11,nul,113,110,98
1935m12,nul,113,111,98.125
1936m1,nul,115,112.5,97.5
1936m2,nul,116.5,113.5,98.5
1936m3,nul,113.125,110.75,98.625
1936m4,nul,115,110.5,101
1936m5,nul,115.375,111.375,101.875
1936m6,nul,115,111.25,101.875
1936m7,nul,115,111.75,102.5
1936m8,nul,116,113.5,103.75
1936m9,nul,115.375,112.75,103.75
1936m10,nul,116,112.75,103.75
1936m11,nul,117.75,113,104
1936m12,nul,116.375,113,103.75
1937m1,nul,116.75,113.125,102.75
1937m2,nul,116.25,113.5,101.75
1937m3,nul,113.25,110.5,102
1937m4,nul,115,112.5,101.875
1937m5,nul,114.5,113.75,102
1937m6,nul,113.5,110.5,101.875
1937m7,nul,113.5,110.5,99.875
1937m8,nul,113.875,110.75,100
1937m9,nul,113.75,108.75,100
1937m10,nul,113.375,109.25,100.375
1937m11,nul,113,109,100.75
1937m12,nul,113,109,101.125
1938m1,nul,114,110.75,100.25
1938m2,nul,115,112,100.875
1938m3,nul,113.25,110.5,100.75
1938m4,nul,113.25,111.75,102.25
1938m5,nul,113.125,110.25,100.125
1938m6,nul,113,109.5,101
1938m7,nul,113,109,100
1938m8,nul,112.75,109.25,100.5
1938m9,nul,106.5,103,94.5
1938m10,nul,109.5,105.75,99
1938m11,nul,109.5,105.75,99
1938m12,nul,109.5,105.5,99
