Period,Type,Value
Sept to Nov 2021,Total pay,0.3
Oct to Dec 2021,Total pay,0
Nov to Jan 2022,Total pay,-0.3
Dec to Feb 2022,Total pay,0.2
Jan to Mar 2022,Total pay,0.8
Feb to Apr 2022,Total pay,-0.2
Mar to May 2022,Total pay,-1.2
Apr to Jun 2022,Total pay,-2.7
May to Jul 2022,Total pay,-2.5
Jun to Aug 2022,Total pay,-2.3
Jul to Sep 2022,Total pay,-2.6
Aug to Oct 2022,Total pay,-2.6
Sep to Nov 2022,Total pay,-2.5
Oct to Dec 2022,Total pay,-3
Nov to Jan 2023,Total pay,-3
Dec to Feb 2023,Total pay,-3.1
Jan to Mar 2023,Total pay,-2.8
Feb to Apr 2023,Total pay,-1.8
Mar to May 2023,Total pay,-1.2
Jan to Mar 2001,Regular pay,2.7
Feb to Apr 2001,Regular pay,3.2
Mar to May 2001,Regular pay,3.3
Apr to Jun 2001,Regular pay,3.2
May to Jul 2001,Regular pay,3.2
Jun to Aug 2001,Regular pay,3.4
Jul to Sep 2001,Regular pay,3.4
Aug to Oct 2001,Regular pay,3.3
Sep to Nov 2001,Regular pay,3.3
Oct to Dec 2001,Regular pay,3.2
Nov to Jan 2002,Regular pay,3
Dec to Feb 2002,Regular pay,3
Jan to Mar 2002,Regular pay,3
Feb to Apr 2002,Regular pay,2.9
Mar to May 2002,Regular pay,2.8
Apr to Jun 2002,Regular pay,2.9
May to Jul 2002,Regular pay,2.9
Jun to Aug 2002,Regular pay,2.5
Jul to Sep 2002,Regular pay,2.1
Aug to Oct 2002,Regular pay,1.8
Sep to Nov 2002,Regular pay,1.7
Oct to Dec 2002,Regular pay,1.4
Nov to Jan 2003,Regular pay,1.5
Dec to Feb 2003,Regular pay,1.6
Jan to Mar 2003,Regular pay,1.5
Feb to Apr 2003,Regular pay,1.4
Mar to May 2003,Regular pay,1.5
Apr to Jun 2003,Regular pay,1.8
May to Jul 2003,Regular pay,1.8
Jun to Aug 2003,Regular pay,1.9
Jul to Sep 2003,Regular pay,2.1
Aug to Oct 2003,Regular pay,2.3
Sep to Nov 2003,Regular pay,2.3
Oct to Dec 2003,Regular pay,2.6
Nov to Jan 2004,Regular pay,2.4
Dec to Feb 2004,Regular pay,2.2
Jan to Mar 2004,Regular pay,2
Feb to Apr 2004,Regular pay,2.2
Mar to May 2004,Regular pay,2.3
Apr to Jun 2004,Regular pay,2.2
May to Jul 2004,Regular pay,2.1
Jun to Aug 2004,Regular pay,2.3
Jul to Sep 2004,Regular pay,2.4
Aug to Oct 2004,Regular pay,2.5
Sep to Nov 2004,Regular pay,2.4
Oct to Dec 2004,Regular pay,2.4
Nov to Jan 2005,Regular pay,2.3
Dec to Feb 2005,Regular pay,2.5
Jan to Mar 2005,Regular pay,2.5
Feb to Apr 2005,Regular pay,2.4
Mar to May 2005,Regular pay,2.3
Apr to Jun 2005,Regular pay,2.2
May to Jul 2005,Regular pay,2.2
Jun to Aug 2005,Regular pay,2.1
Jul to Sep 2005,Regular pay,2
Aug to Oct 2005,Regular pay,1.9
Sep to Nov 2005,Regular pay,1.9
Oct to Dec 2005,Regular pay,1.8
Nov to Jan 2006,Regular pay,1.8
Dec to Feb 2006,Regular pay,1.8
Jan to Mar 2006,Regular pay,1.8
Feb to Apr 2006,Regular pay,1.7
Mar to May 2006,Regular pay,1.6
Apr to Jun 2006,Regular pay,1.5
May to Jul 2006,Regular pay,1.4
Jun to Aug 2006,Regular pay,1.1
Jul to Sep 2006,Regular pay,0.9
Aug to Oct 2006,Regular pay,1
Sep to Nov 2006,Regular pay,1.2
Oct to Dec 2006,Regular pay,1.3
Nov to Jan 2007,Regular pay,1.2
Dec to Feb 2007,Regular pay,1.1
Jan to Mar 2007,Regular pay,1.1
Feb to Apr 2007,Regular pay,1.1
Mar to May 2007,Regular pay,1.3
Apr to Jun 2007,Regular pay,1.5
May to Jul 2007,Regular pay,2
Jun to Aug 2007,Regular pay,2.4
Jul to Sep 2007,Regular pay,2.7
Aug to Oct 2007,Regular pay,2.4
Sep to Nov 2007,Regular pay,2
Oct to Dec 2007,Regular pay,1.7
Nov to Jan 2008,Regular pay,1.7
Dec to Feb 2008,Regular pay,1.6
Jan to Mar 2008,Regular pay,1.6
Feb to Apr 2008,Regular pay,1.6
Mar to May 2008,Regular pay,1.2
Apr to Jun 2008,Regular pay,0.6
May to Jul 2008,Regular pay,-0.2
Jun to Aug 2008,Regular pay,-0.7
Jul to Sep 2008,Regular pay,-1.1
Aug to Oct 2008,Regular pay,-1
Sep to Nov 2008,Regular pay,-0.8
Oct to Dec 2008,Regular pay,-0.3
Nov to Jan 2009,Regular pay,-0.2
Dec to Feb 2009,Regular pay,-0.2
Jan to Mar 2009,Regular pay,-0.5
Feb to Apr 2009,Regular pay,-0.5
Mar to May 2009,Regular pay,-0.3
Apr to Jun 2009,Regular pay,0.1
May to Jul 2009,Regular pay,0.1
Jun to Aug 2009,Regular pay,0
Jul to Sep 2009,Regular pay,0
Aug to Oct 2009,Regular pay,0
Sep to Nov 2009,Regular pay,-0.1
Oct to Dec 2009,Regular pay,-0.5
Nov to Jan 2010,Regular pay,-0.6
Dec to Feb 2010,Regular pay,-0.6
Jan to Mar 2010,Regular pay,-0.5
Feb to Apr 2010,Regular pay,-0.7
Mar to May 2010,Regular pay,-0.9
Apr to Jun 2010,Regular pay,-1.2
May to Jul 2010,Regular pay,-0.8
Jun to Aug 2010,Regular pay,-0.4
Jul to Sep 2010,Regular pay,-0.1
Aug to Oct 2010,Regular pay,-0.2
Sep to Nov 2010,Regular pay,-0.2
Oct to Dec 2010,Regular pay,-0.6
Nov to Jan 2011,Regular pay,-0.8
Dec to Feb 2011,Regular pay,-1.2
Jan to Mar 2011,Regular pay,-1.4
Feb to Apr 2011,Regular pay,-1.6
Mar to May 2011,Regular pay,-1.6
Apr to Jun 2011,Regular pay,-1.6
May to Jul 2011,Regular pay,-1.8
Jun to Aug 2011,Regular pay,-2
Jul to Sep 2011,Regular pay,-2.4
Aug to Oct 2011,Regular pay,-2.4
Sep to Nov 2011,Regular pay,-2.4
Oct to Dec 2011,Regular pay,-2.1
Nov to Jan 2012,Regular pay,-2
Dec to Feb 2012,Regular pay,-1.7
Jan to Mar 2012,Regular pay,-1.6
Feb to Apr 2012,Regular pay,-1.2
Mar to May 2012,Regular pay,-1
Apr to Jun 2012,Regular pay,-0.8
May to Jul 2012,Regular pay,-0.6
Jun to Aug 2012,Regular pay,-0.4
Jul to Sep 2012,Regular pay,-0.4
Aug to Oct 2012,Regular pay,-0.6
Sep to Nov 2012,Regular pay,-0.8
Oct to Dec 2012,Regular pay,-1.1
Nov to Jan 2013,Regular pay,-1.2
Dec to Feb 2013,Regular pay,-1.4
Jan to Mar 2013,Regular pay,-1.6
Feb to Apr 2013,Regular pay,-1.5
Mar to May 2013,Regular pay,-1.4
Apr to Jun 2013,Regular pay,-1.4
May to Jul 2013,Regular pay,-1.5
Jun to Aug 2013,Regular pay,-1.7
Jul to Sep 2013,Regular pay,-1.7
Aug to Oct 2013,Regular pay,-1.6
Sep to Nov 2013,Regular pay,-1.4
Oct to Dec 2013,Regular pay,-1
Nov to Jan 2014,Regular pay,-0.7
Dec to Feb 2014,Regular pay,-0.5
Jan to Mar 2014,Regular pay,-0.5
Feb to Apr 2014,Regular pay,-0.9
Mar to May 2014,Regular pay,-1
Apr to Jun 2014,Regular pay,-1.1
May to Jul 2014,Regular pay,-1
Jun to Aug 2014,Regular pay,-0.9
Jul to Sep 2014,Regular pay,-0.4
Aug to Oct 2014,Regular pay,0.1
Sep to Nov 2014,Regular pay,0.5
Oct to Dec 2014,Regular pay,0.6
Nov to Jan 2015,Regular pay,0.7
Dec to Feb 2015,Regular pay,1.2
Jan to Mar 2015,Regular pay,1.8
Feb to Apr 2015,Regular pay,2.2
Mar to May 2015,Regular pay,2.4
Apr to Jun 2015,Regular pay,2.4
May to Jul 2015,Regular pay,2.4
Jun to Aug 2015,Regular pay,2.3
Jul to Sep 2015,Regular pay,2.1
Aug to Oct 2015,Regular pay,1.7
Sep to Nov 2015,Regular pay,1.6
Oct to Dec 2015,Regular pay,1.5
Nov to Jan 2016,Regular pay,1.6
Dec to Feb 2016,Regular pay,1.6
Jan to Mar 2016,Regular pay,1.6
Feb to Apr 2016,Regular pay,1.6
Mar to May 2016,Regular pay,1.4
Apr to Jun 2016,Regular pay,1.5
May to Jul 2016,Regular pay,1.4
Jun to Aug 2016,Regular pay,1.4
Jul to Sep 2016,Regular pay,1.3
Aug to Oct 2016,Regular pay,1.3
Sep to Nov 2016,Regular pay,1.2
Oct to Dec 2016,Regular pay,1
Nov to Jan 2017,Regular pay,0.6
Dec to Feb 2017,Regular pay,0
Jan to Mar 2017,Regular pay,-0.4
Feb to Apr 2017,Regular pay,-0.6
Mar to May 2017,Regular pay,-0.5
Apr to Jun 2017,Regular pay,-0.4
May to Jul 2017,Regular pay,-0.3
Jun to Aug 2017,Regular pay,-0.4
Jul to Sep 2017,Regular pay,-0.4
Aug to Oct 2017,Regular pay,-0.4
Sep to Nov 2017,Regular pay,-0.4
Oct to Dec 2017,Regular pay,-0.3
Nov to Jan 2018,Regular pay,-0.2
Dec to Feb 2018,Regular pay,0.1
Jan to Mar 2018,Regular pay,0.3
Feb to Apr 2018,Regular pay,0.5
Mar to May 2018,Regular pay,0.5
Apr to Jun 2018,Regular pay,0.4
May to Jul 2018,Regular pay,0.5
Jun to Aug 2018,Regular pay,0.7
Jul to Sep 2018,Regular pay,0.9
Aug to Oct 2018,Regular pay,1
Sep to Nov 2018,Regular pay,1.1
Oct to Dec 2018,Regular pay,1.2
Nov to Jan 2019,Regular pay,1.4
Dec to Feb 2019,Regular pay,1.5
Jan to Mar 2019,Regular pay,1.5
Feb to Apr 2019,Regular pay,1.5
Mar to May 2019,Regular pay,1.7
Apr to Jun 2019,Regular pay,2
May to Jul 2019,Regular pay,2
Jun to Aug 2019,Regular pay,1.9
Jul to Sep 2019,Regular pay,1.8
Aug to Oct 2019,Regular pay,1.7
Sep to Nov 2019,Regular pay,1.7
Oct to Dec 2019,Regular pay,1.7
Nov to Jan 2020,Regular pay,1.5
Dec to Feb 2020,Regular pay,1.3
Jan to Mar 2020,Regular pay,1
Feb to Apr 2020,Regular pay,0.4
Mar to May 2020,Regular pay,-0.3
Apr to Jun 2020,Regular pay,-0.9
May to Jul 2020,Regular pay,-0.6
Jun to Aug 2020,Regular pay,0.2
Jul to Sep 2020,Regular pay,1.2
Aug to Oct 2020,Regular pay,2.1
Sep to Nov 2020,Regular pay,2.8
Oct to Dec 2020,Regular pay,3.3
Nov to Jan 2021,Regular pay,3.5
Dec to Feb 2021,Regular pay,3.5
Jan to Mar 2021,Regular pay,3.6
Feb to Apr 2021,Regular pay,4.4
Mar to May 2021,Regular pay,5
Apr to Jun 2021,Regular pay,5.3
May to Jul 2021,Regular pay,4.6
Jun to Aug 2021,Regular pay,3.4
Jul to Sept 2021,Regular pay,2.2
Aug to Oct 2021,Regular pay,1
Sept to Nov 2021,Regular pay,0
Oct to Dec 2021,Regular pay,-0.8
Nov to Jan 2022,Regular pay,-1
Dec to Feb 2022,Regular pay,-1.1
Jan to Mar 2022,Regular pay,-1.3
Feb to Apr 2022,Regular pay,-2.2
Mar to May 2022,Regular pay,-2.6
Apr to Jun 2022,Regular pay,-3
May to Jul 2022,Regular pay,-2.8
Jun to Aug 2022,Regular pay,-2.8
Jul to Sep 2022,Regular pay,-2.7
Aug to Oct 2022,Regular pay,-2.7
Sep to Nov 2022,Regular pay,-2.5
Oct to Dec 2022,Regular pay,-2.5
Nov to Jan 2023,Regular pay,-2.3
Dec to Feb 2023,Regular pay,-2.2
Jan to Mar 2023,Regular pay,-2
Feb to Apr 2023,Regular pay,-1.2
Mar to May 2023,Regular pay,-0.8
