Date,Index
2020-06-02,6220.14
2020-06-03,6382.41
2020-06-04,6341.44
2020-06-05,6484.3
2020-06-08,6472.59
2020-06-09,6335.72
2020-06-10,6329.13
2020-06-11,6076.7
2020-06-12,6105.18
2020-06-15,6064.7
2020-06-16,6242.79
2020-06-17,6253.25
2020-06-18,6224.07
2020-06-19,6292.6
2020-06-22,6244.62
2020-06-23,6320.12
2020-06-24,6123.69
2020-06-25,6147.14
2020-06-26,6159.3
2020-06-29,6225.77
2020-06-30,6169.74
2020-07-01,6157.96
2020-07-02,6240.36
2020-07-03,6157.3
2020-07-06,6285.94
2020-07-07,6189.9
2020-07-08,6156.16
2020-07-09,6049.62
2020-07-10,6095.41
2020-07-13,6176.19
2020-07-14,6179.75
2020-07-15,6292.65
2020-07-16,6250.69
2020-07-17,6290.3
2020-07-20,6261.52
2020-07-21,6269.73
2020-07-22,6207.1
2020-07-23,6211.44
2020-07-24,6123.82
2020-07-27,6104.88
2020-07-28,6129.26
2020-07-29,6131.46
2020-07-30,5989.99
2020-07-31,5897.76
2020-08-03,6032.85
2020-08-04,6036
2020-08-05,6104.72
2020-08-06,6026.94
2020-08-07,6032.18
2020-08-10,6050.59
2020-08-11,6154.34
2020-08-12,6280.12
2020-08-13,6185.62
2020-08-14,6090.04
2020-08-17,6127.44
2020-08-18,6076.62
2020-08-19,6111.98
2020-08-20,6013.34
2020-08-21,6001.89
2020-08-24,6104.73
2020-08-25,6037.01
2020-08-26,6045.6
2020-08-27,5999.99
2020-08-28,5963.57
2020-09-01,5862.05
2020-09-02,5940.95
2020-09-03,5850.86
2020-09-04,5799.08
2020-09-07,5937.4
2020-09-08,5930.3
2020-09-09,6012.84
2020-09-10,6003.32
2020-09-11,6032.09
2020-09-14,6026.25
2020-09-15,6105.54
2020-09-16,6078.48
2020-09-17,6049.92
2020-09-18,6007.05
2020-09-21,5804.29
2020-09-22,5829.46
2020-09-23,5899.26
2020-09-24,5822.78
2020-09-25,5842.67
2020-09-28,5927.93
2020-09-29,5897.5
2020-09-30,5866.1
2020-10-01,5879.45
2020-10-02,5902.12
2020-10-05,5942.94
2020-10-06,5949.94
2020-10-07,5946.25
2020-10-08,5978.03
2020-10-09,6016.65
2020-10-12,6001.38
2020-10-13,5969.71
2020-10-14,5935.06
2020-10-15,5832.52
2020-10-16,5919.58
2020-10-19,5884.65
2020-10-20,5889.22
2020-10-21,5776.5
2020-10-22,5785.65
2020-10-23,5860.28
2020-10-26,5792.01
2020-10-27,5728.99
2020-10-28,5582.8
2020-10-29,5581.75
2020-11-02,5654.97
2020-11-03,5786.77
2020-11-04,5883.26
2020-11-05,5906.18
2020-11-06,5910.02
2020-11-09,6186.29
2020-11-10,6296.85
2020-11-11,6382.1
2020-11-12,6338.94
2020-11-13,6316.39
2020-11-16,6421.29
2020-11-17,6365.33
2020-11-18,6385.24
2020-11-19,6334.35
2020-11-20,6351.45
2020-11-23,6333.84
2020-11-24,6432.17
2020-11-25,6391.09
2020-11-26,6362.93
2020-11-27,6367.58
2020-11-30,6266.19
2020-12-01,6384.73
2020-12-02,6463.39
2020-12-03,6490.27
2020-12-04,6550.23
2020-12-07,6555.39
2020-12-08,6558.82
2020-12-09,6564.29
2020-12-10,6599.76
2020-12-11,6546.75
2020-12-14,6531.83
2020-12-15,6513.32
2020-12-16,6570.91
2020-12-17,6551.06
2020-12-18,6529.18
2020-12-21,6416.32
2020-12-22,6453.16
2020-12-23,6495.75
2020-12-24,6502.11
2020-12-29,6602.65
2020-12-30,6555.82
2020-12-31,6460.52
2021-01-04,6571.88
2021-01-05,6612.25
2021-01-06,6841.86
2021-01-07,6856.96
2021-01-08,6873.26
2021-01-11,6798.48
2021-01-12,6754.11
2021-01-13,6745.52
2021-01-14,6801.96
2021-01-15,6735.71
2021-01-18,6720.65
2021-01-19,6712.95
2021-01-20,6740.39
2021-01-21,6715.42
2021-01-22,6695.07
2021-01-25,6638.85
2021-01-26,6654.01
2021-01-27,6567.37
2021-01-28,6526.15
2021-01-29,6407.46
2021-02-01,6466.42
2021-02-02,6516.65
2021-02-03,6507.82
2021-02-04,6503.72
2021-02-05,6489.33
2021-02-08,6523.53
2021-02-09,6531.56
2021-02-10,6524.36
2021-02-11,6528.72
2021-02-12,6589.79
2021-02-15,6756.11
2021-02-16,6748.86
2021-02-17,6710.9
2021-02-18,6617.15
2021-02-19,6624.02
2021-02-22,6612.24
2021-02-23,6625.94
2021-02-24,6658.97
2021-02-25,6651.96
2021-02-26,6483.43
2021-03-01,6588.53
2021-03-02,6613.75
2021-03-03,6675.47
2021-03-04,6650.88
2021-03-05,6630.52
2021-03-08,6719.13
2021-03-09,6730.34
2021-03-10,6725.6
2021-03-11,6736.96
2021-03-12,6761.47
