Week,Measure,Value
10-12-2017,Bird Seed,14
17-12-2017,Bird Seed,11
24-12-2017,Bird Seed,10
31-12-2017,Bird Seed,12
07-01-2018,Bird Seed,9
14-01-2018,Bird Seed,9
21-01-2018,Bird Seed,10
28-01-2018,Bird Seed,11
04-02-2018,Bird Seed,11
11-02-2018,Bird Seed,10
18-02-2018,Bird Seed,10
25-02-2018,Bird Seed,14
04-03-2018,Bird Seed,9
11-03-2018,Bird Seed,7
18-03-2018,Bird Seed,10
25-03-2018,Bird Seed,12
01-04-2018,Bird Seed,14
08-04-2018,Bird Seed,10
15-04-2018,Bird Seed,12
22-04-2018,Bird Seed,9
29-04-2018,Bird Seed,12
06-05-2018,Bird Seed,12
13-05-2018,Bird Seed,11
20-05-2018,Bird Seed,12
27-05-2018,Bird Seed,13
03-06-2018,Bird Seed,11
10-06-2018,Bird Seed,12
17-06-2018,Bird Seed,10
24-06-2018,Bird Seed,9
01-07-2018,Bird Seed,9
08-07-2018,Bird Seed,13
15-07-2018,Bird Seed,13
22-07-2018,Bird Seed,10
29-07-2018,Bird Seed,11
05-08-2018,Bird Seed,10
12-08-2018,Bird Seed,12
19-08-2018,Bird Seed,6
26-08-2018,Bird Seed,8
02-09-2018,Bird Seed,9
09-09-2018,Bird Seed,8
16-09-2018,Bird Seed,8
23-09-2018,Bird Seed,6
30-09-2018,Bird Seed,7
07-10-2018,Bird Seed,8
14-10-2018,Bird Seed,8
21-10-2018,Bird Seed,8
28-10-2018,Bird Seed,11
04-11-2018,Bird Seed,10
11-11-2018,Bird Seed,11
18-11-2018,Bird Seed,12
25-11-2018,Bird Seed,10
02-12-2018,Bird Seed,11
09-12-2018,Bird Seed,15
16-12-2018,Bird Seed,12
23-12-2018,Bird Seed,11
30-12-2018,Bird Seed,9
06-01-2019,Bird Seed,10
13-01-2019,Bird Seed,9
20-01-2019,Bird Seed,13
27-01-2019,Bird Seed,12
03-02-2019,Bird Seed,13
10-02-2019,Bird Seed,12
17-02-2019,Bird Seed,9
24-02-2019,Bird Seed,10
03-03-2019,Bird Seed,13
10-03-2019,Bird Seed,13
17-03-2019,Bird Seed,12
24-03-2019,Bird Seed,13
31-03-2019,Bird Seed,14
07-04-2019,Bird Seed,15
14-04-2019,Bird Seed,12
21-04-2019,Bird Seed,17
28-04-2019,Bird Seed,15
05-05-2019,Bird Seed,16
12-05-2019,Bird Seed,14
19-05-2019,Bird Seed,16
26-05-2019,Bird Seed,15
02-06-2019,Bird Seed,15
09-06-2019,Bird Seed,13
16-06-2019,Bird Seed,13
23-06-2019,Bird Seed,13
30-06-2019,Bird Seed,12
07-07-2019,Bird Seed,13
14-07-2019,Bird Seed,12
21-07-2019,Bird Seed,11
28-07-2019,Bird Seed,12
04-08-2019,Bird Seed,9
11-08-2019,Bird Seed,10
18-08-2019,Bird Seed,9
25-08-2019,Bird Seed,13
01-09-2019,Bird Seed,11
08-09-2019,Bird Seed,12
15-09-2019,Bird Seed,8
22-09-2019,Bird Seed,10
29-09-2019,Bird Seed,11
06-10-2019,Bird Seed,10
13-10-2019,Bird Seed,10
20-10-2019,Bird Seed,10
27-10-2019,Bird Seed,9
03-11-2019,Bird Seed,11
10-11-2019,Bird Seed,13
17-11-2019,Bird Seed,9
24-11-2019,Bird Seed,10
01-12-2019,Bird Seed,11
08-12-2019,Bird Seed,11
15-12-2019,Bird Seed,13
22-12-2019,Bird Seed,12
29-12-2019,Bird Seed,12
05-01-2020,Bird Seed,11
12-01-2020,Bird Seed,12
19-01-2020,Bird Seed,12
26-01-2020,Bird Seed,9
02-02-2020,Bird Seed,12
09-02-2020,Bird Seed,11
16-02-2020,Bird Seed,11
23-02-2020,Bird Seed,12
01-03-2020,Bird Seed,9
08-03-2020,Bird Seed,11
15-03-2020,Bird Seed,13
22-03-2020,Bird Seed,21
29-03-2020,Bird Seed,26
05-04-2020,Bird Seed,27
12-04-2020,Bird Seed,28
19-04-2020,Bird Seed,31
26-04-2020,Bird Seed,32
03-05-2020,Bird Seed,27
10-05-2020,Bird Seed,31
17-05-2020,Bird Seed,33
24-05-2020,Bird Seed,30
31-05-2020,Bird Seed,25
07-06-2020,Bird Seed,29
14-06-2020,Bird Seed,26
21-06-2020,Bird Seed,21
28-06-2020,Bird Seed,20
05-07-2020,Bird Seed,19
12-07-2020,Bird Seed,18
19-07-2020,Bird Seed,17
26-07-2020,Bird Seed,16
02-08-2020,Bird Seed,16
09-08-2020,Bird Seed,15
16-08-2020,Bird Seed,12
23-08-2020,Bird Seed,14
30-08-2020,Bird Seed,14
06-09-2020,Bird Seed,14
13-09-2020,Bird Seed,13
20-09-2020,Bird Seed,12
27-09-2020,Bird Seed,15
04-10-2020,Bird Seed,15
11-10-2020,Bird Seed,15
18-10-2020,Bird Seed,14
25-10-2020,Bird Seed,13
01-11-2020,Bird Seed,14
08-11-2020,Bird Seed,15
15-11-2020,Bird Seed,17
22-11-2020,Bird Seed,17
29-11-2020,Bird Seed,15
06-12-2020,Bird Seed,14
13-12-2020,Bird Seed,20
20-12-2020,Bird Seed,18
27-12-2020,Bird Seed,21
03-01-2021,Bird Seed,17
10-01-2021,Bird Seed,20
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
