Date,SVB share price (US $)
2020-09-23,226.619995
2020-09-24,225.509995
2020-09-25,229.589996
2020-09-28,237.479996
2020-09-29,237.089996
2020-09-30,240.619995
2020-10-01,245.300003
2020-10-02,245.649994
2020-10-05,254.809998
2020-10-06,254.059998
2020-10-07,266.529999
2020-10-08,273.200012
2020-10-09,274.640015
2020-10-12,276.290009
2020-10-13,269.040009
2020-10-14,267.779999
2020-10-15,273.390015
2020-10-16,273.209991
2020-10-19,270.630005
2020-10-20,275.950012
2020-10-21,277.399994
2020-10-22,285.059998
2020-10-23,296.380005
2020-10-26,289.940002
2020-10-27,289.559998
2020-10-28,278.540009
2020-10-29,282.070007
2020-10-30,290.700012
2020-11-02,306.980011
2020-11-03,310.570007
2020-11-04,296.559998
2020-11-05,312.670013
2020-11-06,313.369995
2020-11-09,332.040009
2020-11-10,336.549988
2020-11-11,328.820007
2020-11-12,331.630005
2020-11-13,345.910004
2020-11-16,354.619995
2020-11-17,348.339996
2020-11-18,347.5
2020-11-19,354.670013
2020-11-20,356.940002
2020-11-23,348.809998
2020-11-24,361.829987
2020-11-25,354.579987
2020-11-27,353.790009
2020-11-30,344.859985
2020-12-01,355.170013
2020-12-02,353.149994
2020-12-03,356.470001
2020-12-04,358.320007
2020-12-07,354.959991
2020-12-08,354.26001
2020-12-09,348.130005
2020-12-10,353.730011
2020-12-11,349.899994
2020-12-14,349.48999
2020-12-15,357.200012
2020-12-16,358.339996
2020-12-17,364.859985
2020-12-18,357.799988
2020-12-21,367.5
2020-12-22,368.200012
2020-12-23,377.519989
2020-12-24,375.98999
2020-12-28,378.01001
2020-12-29,376
2020-12-30,383.549988
2020-12-31,387.829987
2021-01-04,387.339996
2021-01-05,386.160004
2021-01-06,415.51001
2021-01-07,431.339996
2021-01-08,424.029999
2021-01-11,434.059998
2021-01-12,446.720001
2021-01-13,442.190002
2021-01-14,465.630005
2021-01-15,461.429993
2021-01-19,470.660004
2021-01-20,462.709991
2021-01-21,455.589996
2021-01-22,480.149994
2021-01-25,480.75
2021-01-26,482.109985
2021-01-27,448.100006
2021-01-28,451.959991
2021-01-29,437.779999
2021-02-01,456.529999
2021-02-02,468.109985
2021-02-03,472.320007
2021-02-04,489.48999
2021-02-05,490.910004
2021-02-08,504.160004
2021-02-09,504.950012
2021-02-10,500.98999
2021-02-11,500.390015
2021-02-12,506.5
2021-02-16,525.150024
2021-02-17,530.119995
2021-02-18,522.23999
2021-02-19,540.400024
2021-02-22,536.72998
2021-02-23,522.859985
2021-02-24,540.130005
2021-02-25,523.130005
2021-02-26,505.359985
2021-03-01,531.25
2021-03-02,521.25
2021-03-03,514.469971
2021-03-04,502.48999
2021-03-05,507.880005
2021-03-08,511.149994
2021-03-09,508.26001
2021-03-10,529.130005
2021-03-11,551.630005
2021-03-12,548.570007
2021-03-15,551.119995
2021-03-16,539.849976
2021-03-17,544.640015
2021-03-18,550.47998
2021-03-19,544.609985
2021-03-22,511.76001
2021-03-23,496.850006
2021-03-24,487.420013
2021-03-25,495.649994
2021-03-26,491.980011
2021-03-29,469.390015
2021-03-30,490.660004
2021-03-31,493.660004
2021-04-01,483.329987
2021-04-05,490.019989
2021-04-06,489.809998
2021-04-07,484.589996
2021-04-08,490.079987
2021-04-09,497.690002
2021-04-12,500.649994
2021-04-13,498.140015
2021-04-14,507
2021-04-15,511.709991
2021-04-16,518.940002
2021-04-19,519.26001
2021-04-20,507.709991
2021-04-21,528
2021-04-22,518.98999
2021-04-23,564.219971
2021-04-26,572.929993
2021-04-27,575.900024
2021-04-28,571.809998
2021-04-29,580.200012
2021-04-30,571.830017
2021-05-03,564.630005
2021-05-04,572.929993
2021-05-05,581.590027
2021-05-06,578.960022
2021-05-07,587.97998
2021-05-10,575.900024
2021-05-11,583.900024
2021-05-12,547.27002
2021-05-13,557.559998
2021-05-14,578.419983
2021-05-17,577.539978
2021-05-18,575.460022
2021-05-19,562.940002
2021-05-20,559.809998
2021-05-21,569.869995
2021-05-24,575.26001
2021-05-25,568.539978
2021-05-26,579.710022
2021-05-27,584.690002
2021-05-28,582.890015
2021-06-01,590.070007
2021-06-02,587.940002
2021-06-03,589.210022
2021-06-04,596.059998
2021-06-07,602.380005
2021-06-08,606.830017
2021-06-09,594.22998
2021-06-10,566.469971
2021-06-11,561.789978
2021-06-14,545.73999
2021-06-15,550.22998
2021-06-16,567.059998
2021-06-17,545.380005
2021-06-18,530.960022
2021-06-21,553.469971
2021-06-22,556.22998
2021-06-23,560.159973
2021-06-24,561.039978
2021-06-25,564.710022
2021-06-28,556.880005
2021-06-29,556.890015
2021-06-30,556.429993
2021-07-01,564.880005
2021-07-02,565.210022
2021-07-06,550.01001
2021-07-07,551.640015
2021-07-08,544.869995
2021-07-09,575.23999
2021-07-12,593.659973
2021-07-13,578.849976
2021-07-14,580.22998
2021-07-15,580.72998
2021-07-16,561.76001
2021-07-19,534.950012
2021-07-20,561.650024
2021-07-21,574
2021-07-22,569.320007
2021-07-23,570.869995
2021-07-26,564.960022
2021-07-27,554.320007
2021-07-28,561.700012
2021-07-29,566.710022
2021-07-30,549.960022
2021-08-02,544.179993
2021-08-03,548.450012
2021-08-04,548.039978
2021-08-05,569.289978
2021-08-06,589.700012
2021-08-09,587.02002
2021-08-10,580.710022
2021-08-11,594.320007
2021-08-12,590.950012
2021-08-13,581.72998
2021-08-16,581.380005
2021-08-17,562.940002
2021-08-18,556.320007
2021-08-19,542.650024
2021-08-20,550.950012
2021-08-23,558.359985
2021-08-24,568.380005
2021-08-25,572
2021-08-26,560.76001
2021-08-27,574.47998
2021-08-30,559.700012
2021-08-31,559.5
2021-09-01,564.590027
2021-09-02,569.679993
2021-09-03,571.51001
2021-09-07,586
2021-09-08,585.869995
2021-09-09,589.630005
2021-09-10,591.599976
2021-09-13,602.210022
2021-09-14,584.440002
2021-09-15,597.890015
2021-09-16,608.450012
2021-09-17,610.409973
2021-09-20,587.630005
2021-09-21,593.169983
2021-09-22,607.830017
2021-09-23,642.150024
2021-09-24,649.960022
2021-09-27,674.409973
2021-09-28,654
2021-09-29,655.98999
2021-09-30,646.880005
2021-10-01,664.530029
2021-10-04,649.349976
2021-10-05,665.380005
2021-10-06,659.849976
2021-10-07,665.559998
2021-10-08,670.48999
2021-10-11,666.51001
2021-10-12,659.090027
2021-10-13,667.719971
2021-10-14,683.890015
2021-10-15,690.330017
2021-10-18,696.080017
2021-10-19,699.919983
2021-10-20,705.27002
2021-10-21,705.140015
2021-10-22,753.119995
2021-10-25,746.01001
2021-10-26,745.320007
2021-10-27,708.150024
2021-10-28,710.48999
2021-10-29,717.400024
2021-11-01,727.98999
2021-11-02,740.440002
2021-11-03,755.030029
2021-11-04,751.179993
2021-11-05,747.52002
2021-11-08,742.049988
2021-11-09,750.469971
2021-11-10,741.919983
2021-11-11,741.969971
2021-11-12,743.900024
2021-11-15,747.98999
2021-11-16,754.650024
2021-11-17,745.26001
2021-11-18,744.969971
2021-11-19,727.789978
2021-11-22,741.200012
2021-11-23,737.309998
2021-11-24,740.450012
2021-11-26,714.190002
2021-11-29,724.5
