Date,Index,Index number
1995-10-14,S&P 500 Index,587.460022
1995-10-21,S&P 500 Index,579.700012
1995-10-28,S&P 500 Index,590.570007
1995-11-04,S&P 500 Index,592.719971
1995-11-11,S&P 500 Index,600.070007
1995-11-18,S&P 500 Index,599.969971
1995-11-25,S&P 500 Index,606.97998
1995-12-02,S&P 500 Index,617.47998
1995-12-09,S&P 500 Index,616.340027
1995-12-16,S&P 500 Index,611.950012
1995-12-23,S&P 500 Index,615.929993
1995-12-30,S&P 500 Index,616.710022
1996-01-06,S&P 500 Index,601.809998
1996-01-13,S&P 500 Index,611.830017
1996-01-20,S&P 500 Index,621.619995
1996-01-27,S&P 500 Index,635.840027
1996-02-03,S&P 500 Index,656.369995
1996-02-10,S&P 500 Index,647.97998
1996-02-17,S&P 500 Index,659.080017
1996-02-24,S&P 500 Index,644.369995
1996-03-02,S&P 500 Index,633.5
1996-03-09,S&P 500 Index,641.429993
1996-03-16,S&P 500 Index,650.619995
1996-03-23,S&P 500 Index,645.5
1996-03-30,S&P 500 Index,655.859985
1996-04-06,S&P 500 Index,636.710022
1996-04-13,S&P 500 Index,645.070007
1996-04-20,S&P 500 Index,653.460022
1996-04-27,S&P 500 Index,641.630005
1996-05-04,S&P 500 Index,652.090027
1996-05-11,S&P 500 Index,668.909973
1996-05-18,S&P 500 Index,678.51001
1996-05-25,S&P 500 Index,669.119995
1996-06-01,S&P 500 Index,673.309998
1996-06-08,S&P 500 Index,665.849976
1996-06-15,S&P 500 Index,666.840027
1996-06-22,S&P 500 Index,670.630005
1996-06-29,S&P 500 Index,657.440002
1996-07-06,S&P 500 Index,646.190002
1996-07-13,S&P 500 Index,638.72998
1996-07-20,S&P 500 Index,635.900024
1996-07-27,S&P 500 Index,662.48999
1996-08-03,S&P 500 Index,662.099976
1996-08-10,S&P 500 Index,665.210022
1996-08-17,S&P 500 Index,667.030029
1996-08-24,S&P 500 Index,651.98999
1996-08-31,S&P 500 Index,655.679993
1996-09-07,S&P 500 Index,680.539978
1996-09-14,S&P 500 Index,687.030029
1996-09-21,S&P 500 Index,686.190002
1996-09-28,S&P 500 Index,701.460022
1996-10-05,S&P 500 Index,700.659973
1996-10-12,S&P 500 Index,710.820007
1996-10-19,S&P 500 Index,700.919983
1996-10-26,S&P 500 Index,703.77002
1996-11-02,S&P 500 Index,730.820007
1996-11-09,S&P 500 Index,737.619995
1996-11-16,S&P 500 Index,748.72998
1996-11-23,S&P 500 Index,757.02002
1996-11-30,S&P 500 Index,739.599976
1996-12-07,S&P 500 Index,728.640015
1996-12-14,S&P 500 Index,748.869995
1996-12-21,S&P 500 Index,756.789978
1996-12-28,S&P 500 Index,748.030029
1997-01-04,S&P 500 Index,759.5
1997-01-11,S&P 500 Index,776.169983
1997-01-18,S&P 500 Index,770.52002
1997-01-25,S&P 500 Index,786.159973
1997-02-01,S&P 500 Index,789.559998
1997-02-08,S&P 500 Index,808.47998
1997-02-15,S&P 500 Index,801.77002
1997-02-22,S&P 500 Index,790.820007
1997-03-01,S&P 500 Index,804.969971
1997-03-08,S&P 500 Index,793.169983
1997-03-15,S&P 500 Index,784.099976
1997-03-22,S&P 500 Index,773.880005
1997-03-29,S&P 500 Index,757.900024
1997-04-05,S&P 500 Index,737.650024
1997-04-12,S&P 500 Index,766.340027
1997-04-19,S&P 500 Index,765.369995
1997-04-26,S&P 500 Index,812.969971
1997-05-03,S&P 500 Index,824.780029
1997-05-10,S&P 500 Index,829.75
1997-05-17,S&P 500 Index,847.030029
1997-05-24,S&P 500 Index,848.280029
1997-05-31,S&P 500 Index,858.01001
1997-06-07,S&P 500 Index,893.27002
1997-06-14,S&P 500 Index,898.700012
1997-06-21,S&P 500 Index,887.299988
1997-06-28,S&P 500 Index,916.919983
1997-07-05,S&P 500 Index,916.679993
1997-07-12,S&P 500 Index,915.299988
1997-07-19,S&P 500 Index,938.789978
1997-07-26,S&P 500 Index,947.140015
1997-08-02,S&P 500 Index,933.539978
1997-08-09,S&P 500 Index,900.809998
1997-08-16,S&P 500 Index,923.539978
1997-08-23,S&P 500 Index,899.469971
1997-08-30,S&P 500 Index,929.049988
1997-09-06,S&P 500 Index,923.909973
1997-09-13,S&P 500 Index,950.51001
1997-09-20,S&P 500 Index,945.219971
1997-09-27,S&P 500 Index,965.030029
1997-10-04,S&P 500 Index,966.97998
1997-10-11,S&P 500 Index,944.159973
1997-10-18,S&P 500 Index,941.640015
1997-10-25,S&P 500 Index,914.619995
1997-11-01,S&P 500 Index,927.51001
1997-11-08,S&P 500 Index,928.349976
1997-11-15,S&P 500 Index,963.090027
1997-11-22,S&P 500 Index,955.400024
1997-11-29,S&P 500 Index,983.789978
1997-12-06,S&P 500 Index,953.390015
1997-12-13,S&P 500 Index,946.780029
1997-12-20,S&P 500 Index,936.460022
1997-12-27,S&P 500 Index,975.039978
1998-01-03,S&P 500 Index,927.690002
1998-01-10,S&P 500 Index,961.51001
1998-01-17,S&P 500 Index,957.590027
1998-01-24,S&P 500 Index,980.280029
1998-01-31,S&P 500 Index,1012.460022
1998-02-07,S&P 500 Index,1020.090027
1998-02-14,S&P 500 Index,1034.209961
1998-02-21,S&P 500 Index,1049.339966
1998-02-28,S&P 500 Index,1055.689941
1998-03-07,S&P 500 Index,1068.609985
1998-03-14,S&P 500 Index,1099.160034
1998-03-21,S&P 500 Index,1095.439941
1998-03-28,S&P 500 Index,1122.699951
1998-04-04,S&P 500 Index,1110.670044
1998-04-11,S&P 500 Index,1122.719971
1998-04-18,S&P 500 Index,1107.900024
1998-04-25,S&P 500 Index,1121
1998-05-02,S&P 500 Index,1108.140015
1998-05-09,S&P 500 Index,1108.72998
1998-05-16,S&P 500 Index,1110.469971
1998-05-23,S&P 500 Index,1090.819946
1998-05-30,S&P 500 Index,1113.859985
1998-06-06,S&P 500 Index,1098.839966
1998-06-13,S&P 500 Index,1100.650024
1998-06-20,S&P 500 Index,1133.199951
1998-06-27,S&P 500 Index,1146.420044
1998-07-04,S&P 500 Index,1164.329956
1998-07-11,S&P 500 Index,1186.75
1998-07-18,S&P 500 Index,1140.800049
1998-07-25,S&P 500 Index,1120.670044
1998-08-01,S&P 500 Index,1089.449951
1998-08-08,S&P 500 Index,1062.75
1998-08-15,S&P 500 Index,1081.23999
1998-08-22,S&P 500 Index,1027.140015
1998-08-29,S&P 500 Index,973.890015
1998-09-05,S&P 500 Index,1009.059998
1998-09-12,S&P 500 Index,1020.090027
1998-09-19,S&P 500 Index,1044.75
1998-09-26,S&P 500 Index,1002.599976
1998-10-03,S&P 500 Index,984.390015
1998-10-10,S&P 500 Index,1056.420044
1998-10-17,S&P 500 Index,1070.670044
1998-10-24,S&P 500 Index,1098.670044
1998-10-31,S&P 500 Index,1141.01001
1998-11-07,S&P 500 Index,1125.719971
1998-11-14,S&P 500 Index,1163.550049
1998-11-21,S&P 500 Index,1192.329956
1998-11-28,S&P 500 Index,1176.73999
1998-12-05,S&P 500 Index,1166.459961
1998-12-12,S&P 500 Index,1188.030029
1998-12-19,S&P 500 Index,1226.27002
1998-12-26,S&P 500 Index,1229.22998
1999-01-02,S&P 500 Index,1275.089966
1999-01-09,S&P 500 Index,1243.26001
1999-01-16,S&P 500 Index,1225.189941
1999-01-23,S&P 500 Index,1279.640015
1999-01-30,S&P 500 Index,1239.400024
1999-02-06,S&P 500 Index,1230.130005
1999-02-13,S&P 500 Index,1239.219971
1999-02-20,S&P 500 Index,1238.329956
1999-02-27,S&P 500 Index,1275.469971
1999-03-06,S&P 500 Index,1294.589966
1999-03-13,S&P 500 Index,1299.290039
1999-03-20,S&P 500 Index,1282.800049
1999-03-27,S&P 500 Index,1293.719971
1999-04-03,S&P 500 Index,1348.349976
1999-04-10,S&P 500 Index,1319
1999-04-17,S&P 500 Index,1356.849976
1999-04-24,S&P 500 Index,1335.180054
1999-05-01,S&P 500 Index,1345
1999-05-08,S&P 500 Index,1337.800049
1999-05-15,S&P 500 Index,1330.290039
1999-05-22,S&P 500 Index,1301.839966
1999-05-29,S&P 500 Index,1327.75
1999-06-05,S&P 500 Index,1293.640015
1999-06-12,S&P 500 Index,1342.839966
1999-06-19,S&P 500 Index,1315.310059
1999-06-26,S&P 500 Index,1391.219971
1999-07-03,S&P 500 Index,1403.280029
1999-07-10,S&P 500 Index,1418.780029
1999-07-17,S&P 500 Index,1356.939941
1999-07-24,S&P 500 Index,1328.719971
1999-07-31,S&P 500 Index,1300.290039
1999-08-07,S&P 500 Index,1327.680054
1999-08-14,S&P 500 Index,1336.609985
1999-08-21,S&P 500 Index,1348.27002
1999-08-28,S&P 500 Index,1357.23999
1999-09-04,S&P 500 Index,1351.660034
1999-09-11,S&P 500 Index,1335.420044
1999-09-18,S&P 500 Index,1277.359985
1999-09-25,S&P 500 Index,1282.810059
1999-10-02,S&P 500 Index,1336.02002
1999-10-09,S&P 500 Index,1247.410034
1999-10-16,S&P 500 Index,1301.650024
1999-10-23,S&P 500 Index,1362.930054
1999-10-30,S&P 500 Index,1370.22998
1999-11-06,S&P 500 Index,1396.060059
1999-11-13,S&P 500 Index,1422
1999-11-20,S&P 500 Index,1416.619995
1999-11-27,S&P 500 Index,1433.300049
1999-12-04,S&P 500 Index,1417.040039
1999-12-11,S&P 500 Index,1421.030029
1999-12-18,S&P 500 Index,1458.339966
1999-12-25,S&P 500 Index,1469.25
2000-01-01,S&P 500 Index,1441.469971
2000-01-08,S&P 500 Index,1465.150024
2000-01-15,S&P 500 Index,1441.359985
2000-01-22,S&P 500 Index,1360.160034
2000-01-29,S&P 500 Index,1424.369995
2000-02-05,S&P 500 Index,1387.119995
2000-02-12,S&P 500 Index,1346.089966
2000-02-19,S&P 500 Index,1333.359985
2000-02-26,S&P 500 Index,1409.170044
2000-03-04,S&P 500 Index,1395.069946
2000-03-11,S&P 500 Index,1464.469971
2000-03-18,S&P 500 Index,1527.459961
2000-03-25,S&P 500 Index,1498.579956
2000-04-01,S&P 500 Index,1516.349976
2000-04-08,S&P 500 Index,1356.560059
2000-04-15,S&P 500 Index,1434.540039
2000-04-22,S&P 500 Index,1452.430054
2000-04-29,S&P 500 Index,1432.630005
2000-05-06,S&P 500 Index,1420.959961
2000-05-13,S&P 500 Index,1406.949951
2000-05-20,S&P 500 Index,1378.02002
2000-05-27,S&P 500 Index,1477.26001
2000-06-03,S&P 500 Index,1456.949951
2000-06-10,S&P 500 Index,1464.459961
2000-06-17,S&P 500 Index,1441.47998
2000-06-24,S&P 500 Index,1454.599976
2000-07-01,S&P 500 Index,1478.900024
2000-07-08,S&P 500 Index,1509.97998
2000-07-15,S&P 500 Index,1480.189941
2000-07-22,S&P 500 Index,1419.890015
2000-07-29,S&P 500 Index,1462.930054
2000-08-05,S&P 500 Index,1471.839966
2000-08-12,S&P 500 Index,1491.719971
2000-08-19,S&P 500 Index,1506.449951
2000-08-26,S&P 500 Index,1520.77002
2000-09-02,S&P 500 Index,1494.5
2000-09-09,S&P 500 Index,1465.810059
2000-09-16,S&P 500 Index,1448.719971
2000-09-23,S&P 500 Index,1436.51001
2000-09-30,S&P 500 Index,1408.98999
2000-10-07,S&P 500 Index,1374.170044
2000-10-14,S&P 500 Index,1396.930054
2000-10-21,S&P 500 Index,1379.579956
2000-10-28,S&P 500 Index,1426.689941
2000-11-04,S&P 500 Index,1365.97998
2000-11-11,S&P 500 Index,1367.719971
2000-11-18,S&P 500 Index,1341.77002
2000-11-25,S&P 500 Index,1315.22998
2000-12-02,S&P 500 Index,1369.890015
2000-12-09,S&P 500 Index,1312.150024
2000-12-16,S&P 500 Index,1305.949951
2000-12-23,S&P 500 Index,1320.280029
2000-12-30,S&P 500 Index,1298.349976
2001-01-06,S&P 500 Index,1318.550049
2001-01-13,S&P 500 Index,1342.540039
2001-01-20,S&P 500 Index,1354.949951
2001-01-27,S&P 500 Index,1349.469971
2001-02-03,S&P 500 Index,1314.76001
2001-02-10,S&P 500 Index,1301.530029
2001-02-17,S&P 500 Index,1245.859985
2001-02-24,S&P 500 Index,1234.180054
2001-03-03,S&P 500 Index,1233.420044
2001-03-10,S&P 500 Index,1150.530029
2001-03-17,S&P 500 Index,1139.829956
2001-03-24,S&P 500 Index,1160.329956
2001-03-31,S&P 500 Index,1128.430054
2001-04-07,S&P 500 Index,1183.5
2001-04-14,S&P 500 Index,1242.97998
2001-04-21,S&P 500 Index,1253.050049
2001-04-28,S&P 500 Index,1266.609985
2001-05-05,S&P 500 Index,1245.670044
2001-05-12,S&P 500 Index,1291.959961
2001-05-19,S&P 500 Index,1277.890015
2001-05-26,S&P 500 Index,1260.670044
2001-06-02,S&P 500 Index,1264.959961
2001-06-09,S&P 500 Index,1214.359985
2001-06-16,S&P 500 Index,1225.349976
2001-06-23,S&P 500 Index,1224.380005
2001-06-30,S&P 500 Index,1190.589966
2001-07-07,S&P 500 Index,1215.680054
2001-07-14,S&P 500 Index,1210.849976
2001-07-21,S&P 500 Index,1205.819946
2001-07-28,S&P 500 Index,1214.349976
2001-08-04,S&P 500 Index,1190.160034
2001-08-11,S&P 500 Index,1161.969971
2001-08-18,S&P 500 Index,1184.930054
2001-08-25,S&P 500 Index,1133.579956
2001-09-01,S&P 500 Index,1085.780029
2001-09-08,S&P 500 Index,1092.540039
2001-09-15,S&P 500 Index,965.799988
2001-09-22,S&P 500 Index,1040.939941
2001-09-29,S&P 500 Index,1071.380005
2001-10-06,S&P 500 Index,1091.650024
2001-10-13,S&P 500 Index,1073.47998
2001-10-20,S&P 500 Index,1104.609985
2001-10-27,S&P 500 Index,1087.199951
2001-11-03,S&P 500 Index,1120.310059
2001-11-10,S&P 500 Index,1138.650024
2001-11-17,S&P 500 Index,1150.339966
2001-11-24,S&P 500 Index,1139.449951
2001-12-01,S&P 500 Index,1158.310059
2001-12-08,S&P 500 Index,1123.089966
2001-12-15,S&P 500 Index,1144.890015
2001-12-22,S&P 500 Index,1161.02002
2001-12-29,S&P 500 Index,1172.51001
2002-01-05,S&P 500 Index,1145.599976
2002-01-12,S&P 500 Index,1127.579956
2002-01-19,S&P 500 Index,1133.280029
2002-01-26,S&P 500 Index,1122.199951
2002-02-02,S&P 500 Index,1096.219971
2002-02-09,S&P 500 Index,1104.180054
2002-02-16,S&P 500 Index,1089.839966
2002-02-23,S&P 500 Index,1131.780029
2002-03-02,S&P 500 Index,1164.310059
2002-03-09,S&P 500 Index,1166.160034
2002-03-16,S&P 500 Index,1148.699951
2002-03-23,S&P 500 Index,1147.390015
2002-03-30,S&P 500 Index,1122.72998
2002-04-06,S&P 500 Index,1111.01001
2002-04-13,S&P 500 Index,1125.170044
2002-04-20,S&P 500 Index,1076.319946
2002-04-27,S&P 500 Index,1073.430054
2002-05-04,S&P 500 Index,1054.98999
2002-05-11,S&P 500 Index,1106.589966
2002-05-18,S&P 500 Index,1083.819946
2002-05-25,S&P 500 Index,1067.140015
2002-06-01,S&P 500 Index,1027.530029
2002-06-08,S&P 500 Index,1007.27002
2002-06-15,S&P 500 Index,989.140015
2002-06-22,S&P 500 Index,989.820007
2002-06-29,S&P 500 Index,989.030029
2002-07-06,S&P 500 Index,921.390015
2002-07-13,S&P 500 Index,847.75
2002-07-20,S&P 500 Index,852.840027
2002-07-27,S&P 500 Index,864.23999
