Date,Search engine,Percentage
2016-10-01,Google,92.82
2016-11-01,Google,92.99
2016-12-01,Google,92.57
2017-01-01,Google,92.78
2017-02-01,Google,92.35
2017-03-01,Google,92.31
2017-04-01,Google,92.48
2017-05-01,Google,92.06
2017-06-01,Google,91.88
2017-07-01,Google,92.01
2017-08-01,Google,91.64
2017-09-01,Google,91.84
2017-10-01,Google,91.47
2017-11-01,Google,92.06
2017-12-01,Google,91.79
2018-01-01,Google,91.74
2018-02-01,Google,91.63
2018-03-01,Google,91.24
2018-04-01,Google,90.61
2018-05-01,Google,90.14
2018-06-01,Google,90.31
2018-07-01,Google,90.46
2018-08-01,Google,90.91
2018-09-01,Google,92.31
2018-10-01,Google,92.74
2018-11-01,Google,92.37
2018-12-01,Google,92.25
2019-01-01,Google,92.86
2019-02-01,Google,92.92
2019-03-01,Google,92.51
2019-04-01,Google,92.81
2019-05-01,Google,91.89
2019-06-01,Google,92.62
2019-07-01,Google,92.18
2019-08-01,Google,92.37
2019-09-01,Google,92.96
2019-10-01,Google,92.78
2019-11-01,Google,92.95
2019-12-01,Google,92.71
2020-01-01,Google,92.51
2020-02-01,Google,92.07
2020-03-01,Google,91.98
2020-04-01,Google,91.89
2020-05-01,Google,92.06
2020-06-01,Google,91.75
2020-07-01,Google,92.17
2020-08-01,Google,92.05
2020-09-01,Google,92.27
2020-10-01,Google,92.71
2020-11-01,Google,92.16
2020-12-01,Google,91.38
2021-01-01,Google,91.86
2021-02-01,Google,92.05
2021-03-01,Google,92.4
2021-04-01,Google,92.26
2021-05-01,Google,92.2
2009-01-01,bing,1.37
2009-02-01,bing,1.46
2009-03-01,bing,1.46
2009-04-01,bing,1.25
2009-05-01,bing,1.3
2009-06-01,bing,3.25
2009-07-01,bing,3.57
2009-08-01,bing,3.55
2009-09-01,bing,3.22
2009-10-01,bing,3.28
2009-11-01,bing,2.96
2009-12-01,bing,3.23
2010-01-01,bing,3.37
2010-02-01,bing,3.6
2010-03-01,bing,3.51
2010-04-01,bing,3.52
2010-05-01,bing,3.49
2010-06-01,bing,3.68
2010-07-01,bing,3.67
2010-08-01,bing,3.33
2010-09-01,bing,3.35
2010-10-01,bing,3.38
2010-11-01,bing,3.31
2010-12-01,bing,3.39
2011-01-01,bing,4.12
2011-02-01,bing,4.22
2011-03-01,bing,4.07
2011-04-01,bing,3.84
2011-05-01,bing,3.68
2011-06-01,bing,3.1
2011-07-01,bing,3.24
2011-08-01,bing,3.16
2011-09-01,bing,3.29
2011-10-01,bing,3.36
2011-11-01,bing,3.42
2011-12-01,bing,3.34
2012-01-01,bing,3.33
2012-02-01,bing,3.24
2012-03-01,bing,3.11
2012-04-01,bing,3.26
2012-05-01,bing,3.13
2012-06-01,bing,3.03
2012-07-01,bing,2.97
2012-08-01,bing,2.95
2012-09-01,bing,2.9
2012-10-01,bing,3.12
2012-11-01,bing,3.06
2012-12-01,bing,2.98
2013-01-01,bing,2.92
2013-02-01,bing,3.28
2013-03-01,bing,3.26
2013-04-01,bing,3.3
2013-05-01,bing,3.4
2013-06-01,bing,3.44
2013-07-01,bing,3.51
2013-08-01,bing,3.41
2013-09-01,bing,3.62
2013-10-01,bing,3.48
2013-11-01,bing,3.4
2013-12-01,bing,3.39
2014-01-01,bing,3.51
2014-02-01,bing,3.58
2014-03-01,bing,3.66
2014-04-01,bing,3.56
2014-05-01,bing,3.58
2014-06-01,bing,3.65
2014-07-01,bing,3.84
2014-08-01,bing,3.74
2014-09-01,bing,3.75
2014-10-01,bing,3.62
2014-11-01,bing,3.54
2014-12-01,bing,3.68
2015-01-01,bing,3.64
2015-02-01,bing,3.64
2015-03-01,bing,3.52
2015-04-01,bing,3.24
2015-05-01,bing,3.07
2015-06-01,bing,2.91
2015-07-01,bing,2.54
2015-08-01,bing,2.59
2015-09-01,bing,2.77
2015-10-01,bing,2.79
2015-11-01,bing,2.86
2015-12-01,bing,3.08
2016-01-01,bing,3.2
2016-02-01,bing,3.13
2016-03-01,bing,2.9
2016-04-01,bing,2.95
2016-05-01,bing,2.85
2016-06-01,bing,2.77
2016-07-01,bing,2.63
2016-08-01,bing,2.61
2016-09-01,bing,2.65
2016-10-01,bing,2.7
2016-11-01,bing,2.72
2016-12-01,bing,2.79
2017-01-01,bing,2.6
2017-02-01,bing,2.95
2017-03-01,bing,3
2017-04-01,bing,2.94
2017-05-01,bing,3.01
2017-06-01,bing,2.96
2017-07-01,bing,2.59
2017-08-01,bing,2.7
2017-09-01,bing,2.81
2017-10-01,bing,2.8
2017-11-01,bing,2.81
2017-12-01,bing,2.8
2018-01-01,bing,2.81
2018-02-01,bing,2.76
2018-03-01,bing,3.09
2018-04-01,bing,3.24
2018-05-01,bing,3.25
2018-06-01,bing,3.27
2018-07-01,bing,3.23
2018-08-01,bing,3.25
2018-09-01,bing,2.35
2018-10-01,bing,2.25
2018-11-01,bing,2.47
2018-12-01,bing,2.5
2019-01-01,bing,2.53
2019-02-01,bing,2.46
2019-03-01,bing,2.53
2019-04-01,bing,2.45
2019-05-01,bing,2.51
2019-06-01,bing,2.58
2019-07-01,bing,2.69
2019-08-01,bing,2.68
2019-09-01,bing,2.42
2019-10-01,bing,2.61
2019-11-01,bing,2.34
2019-12-01,bing,2.34
2020-01-01,bing,2.47
2020-02-01,bing,2.46
2020-03-01,bing,2.57
2020-04-01,bing,2.81
2020-05-01,bing,2.64
2020-06-01,bing,2.8
2020-07-01,bing,2.84
2020-08-01,bing,2.87
2020-09-01,bing,2.86
2020-10-01,bing,2.77
2020-11-01,bing,2.92
2020-12-01,bing,2.72
2021-01-01,bing,2.74
2021-02-01,bing,2.71
2021-03-01,bing,2.47
2021-04-01,bing,2.31
2021-05-01,bing,2.29
2009-01-01,Yahoo!,5.91
2009-02-01,Yahoo!,5.74
2009-03-01,Yahoo!,6.01
2009-04-01,Yahoo!,5.47
2009-05-01,Yahoo!,5.25
2009-06-01,Yahoo!,5.14
2009-07-01,Yahoo!,5.17
2009-08-01,Yahoo!,4.82
2009-09-01,Yahoo!,4.34
2009-10-01,Yahoo!,4.08
2009-11-01,Yahoo!,3.93
2009-12-01,Yahoo!,3.87
2010-01-01,Yahoo!,4.08
2010-02-01,Yahoo!,4.14
2010-03-01,Yahoo!,4.15
2010-04-01,Yahoo!,4.22
2010-05-01,Yahoo!,4.22
2010-06-01,Yahoo!,4.32
2010-07-01,Yahoo!,3.81
2010-08-01,Yahoo!,3.58
2010-09-01,Yahoo!,3.46
2010-10-01,Yahoo!,3.54
2010-11-01,Yahoo!,3.84
2010-12-01,Yahoo!,4.02
2011-01-01,Yahoo!,3.88
2011-02-01,Yahoo!,3.84
2011-03-01,Yahoo!,3.85
2011-04-01,Yahoo!,3.72
2011-05-01,Yahoo!,3.46
2011-06-01,Yahoo!,3.44
2011-07-01,Yahoo!,3.44
2011-08-01,Yahoo!,3.53
2011-09-01,Yahoo!,3.59
2011-10-01,Yahoo!,3.59
2011-11-01,Yahoo!,3.41
2011-12-01,Yahoo!,3.31
2012-01-01,Yahoo!,3.21
2012-02-01,Yahoo!,3.2
2012-03-01,Yahoo!,3.14
2012-04-01,Yahoo!,3.24
2012-05-01,Yahoo!,3.15
2012-06-01,Yahoo!,2.95
2012-07-01,Yahoo!,2.86
2012-08-01,Yahoo!,2.88
2012-09-01,Yahoo!,2.83
2012-10-01,Yahoo!,2.88
2012-11-01,Yahoo!,2.83
2012-12-01,Yahoo!,2.89
2013-01-01,Yahoo!,2.94
2013-02-01,Yahoo!,3.22
2013-03-01,Yahoo!,3.23
2013-04-01,Yahoo!,3.13
2013-05-01,Yahoo!,2.99
2013-06-01,Yahoo!,3
2013-07-01,Yahoo!,3.06
2013-08-01,Yahoo!,2.97
2013-09-01,Yahoo!,3.08
2013-10-01,Yahoo!,3.33
2013-11-01,Yahoo!,3.3
2013-12-01,Yahoo!,3.21
2014-01-01,Yahoo!,2.72
2014-02-01,Yahoo!,2.72
2014-03-01,Yahoo!,3.39
2014-04-01,Yahoo!,3.32
2014-05-01,Yahoo!,3.47
2014-06-01,Yahoo!,3.57
2014-07-01,Yahoo!,3.99
2014-08-01,Yahoo!,3.92
2014-09-01,Yahoo!,3.95
2014-10-01,Yahoo!,3.88
2014-11-01,Yahoo!,3.78
2014-12-01,Yahoo!,4.22
2015-01-01,Yahoo!,4.19
2015-02-01,Yahoo!,4.11
2015-03-01,Yahoo!,3.96
2015-04-01,Yahoo!,3.73
2015-05-01,Yahoo!,3.56
2015-06-01,Yahoo!,3.32
2015-07-01,Yahoo!,3.3
2015-08-01,Yahoo!,2.97
2015-09-01,Yahoo!,2.89
2015-10-01,Yahoo!,2.84
2015-11-01,Yahoo!,2.96
2015-12-01,Yahoo!,2.99
2016-01-01,Yahoo!,2.96
2016-02-01,Yahoo!,2.97
2016-03-01,Yahoo!,2.75
2016-04-01,Yahoo!,2.85
2016-05-01,Yahoo!,2.88
2016-06-01,Yahoo!,2.77
2016-07-01,Yahoo!,2.77
2016-08-01,Yahoo!,2.61
2016-09-01,Yahoo!,2.4
2016-10-01,Yahoo!,2.3
2016-11-01,Yahoo!,2.18
2016-12-01,Yahoo!,2.09
2017-01-01,Yahoo!,2.17
2017-02-01,Yahoo!,2.17
2017-03-01,Yahoo!,2.2
2017-04-01,Yahoo!,2.01
2017-05-01,Yahoo!,2.07
2017-06-01,Yahoo!,2.18
2017-07-01,Yahoo!,2.23
2017-08-01,Yahoo!,2.32
2017-09-01,Yahoo!,2.33
2017-10-01,Yahoo!,2.25
2017-11-01,Yahoo!,1.73
2017-12-01,Yahoo!,1.61
2018-01-01,Yahoo!,1.83
2018-02-01,Yahoo!,1.94
2018-03-01,Yahoo!,2.13
2018-04-01,Yahoo!,2.09
2018-05-01,Yahoo!,2.08
2018-06-01,Yahoo!,2.06
2018-07-01,Yahoo!,2.21
2018-08-01,Yahoo!,2.46
2018-09-01,Yahoo!,2.51
2018-10-01,Yahoo!,2.32
2018-11-01,Yahoo!,2.25
2018-12-01,Yahoo!,2.07
2019-01-01,Yahoo!,1.82
2019-02-01,Yahoo!,1.79
2019-03-01,Yahoo!,1.83
2019-04-01,Yahoo!,1.89
2019-05-01,Yahoo!,2.76
2019-06-01,Yahoo!,1.78
2019-07-01,Yahoo!,1.86
2019-08-01,Yahoo!,1.8
2019-09-01,Yahoo!,1.64
2019-10-01,Yahoo!,1.61
2019-11-01,Yahoo!,1.6
2019-12-01,Yahoo!,1.59
2020-01-01,Yahoo!,1.64
2020-02-01,Yahoo!,1.62
2020-03-01,Yahoo!,1.66
2020-04-01,Yahoo!,1.87
2020-05-01,Yahoo!,1.79
2020-06-01,Yahoo!,1.7
2020-07-01,Yahoo!,1.6
2020-08-01,Yahoo!,1.65
2020-09-01,Yahoo!,1.58
2020-10-01,Yahoo!,1.47
2020-11-01,Yahoo!,1.52
2020-12-01,Yahoo!,1.46
2021-01-01,Yahoo!,1.46
2021-02-01,Yahoo!,1.47
2021-03-01,Yahoo!,1.48
2021-04-01,Yahoo!,1.52
2021-05-01,Yahoo!,1.5
2009-01-01,DuckDuckGo,0
2009-02-01,DuckDuckGo,0
2009-03-01,DuckDuckGo,0
2009-04-01,DuckDuckGo,0
2009-05-01,DuckDuckGo,0
2009-06-01,DuckDuckGo,0
2009-07-01,DuckDuckGo,0
2009-08-01,DuckDuckGo,0
2009-09-01,DuckDuckGo,0
2009-10-01,DuckDuckGo,0
2009-11-01,DuckDuckGo,0
2009-12-01,DuckDuckGo,0
2010-01-01,DuckDuckGo,0
2010-02-01,DuckDuckGo,0
2010-03-01,DuckDuckGo,0
2010-04-01,DuckDuckGo,0
2010-05-01,DuckDuckGo,0
2010-06-01,DuckDuckGo,0
2010-07-01,DuckDuckGo,0
2010-08-01,DuckDuckGo,0
2010-09-01,DuckDuckGo,0
2010-10-01,DuckDuckGo,0
2010-11-01,DuckDuckGo,0
2010-12-01,DuckDuckGo,0
2011-01-01,DuckDuckGo,0
2011-02-01,DuckDuckGo,0
2011-03-01,DuckDuckGo,0
2011-04-01,DuckDuckGo,0
2011-05-01,DuckDuckGo,0
2011-06-01,DuckDuckGo,0
2011-07-01,DuckDuckGo,0
2011-08-01,DuckDuckGo,0
2011-09-01,DuckDuckGo,0
2011-10-01,DuckDuckGo,0
2011-11-01,DuckDuckGo,0
2011-12-01,DuckDuckGo,0
2012-01-01,DuckDuckGo,0
2012-02-01,DuckDuckGo,0
2012-03-01,DuckDuckGo,0
2012-04-01,DuckDuckGo,0
2012-05-01,DuckDuckGo,0
2012-06-01,DuckDuckGo,0
2012-07-01,DuckDuckGo,0
2012-08-01,DuckDuckGo,0.01
2012-09-01,DuckDuckGo,0.03
2012-10-01,DuckDuckGo,0.01
2012-11-01,DuckDuckGo,0
2012-12-01,DuckDuckGo,0
2013-01-01,DuckDuckGo,0
2013-02-01,DuckDuckGo,0
2013-03-01,DuckDuckGo,0
2013-04-01,DuckDuckGo,0
2013-05-01,DuckDuckGo,0
2013-06-01,DuckDuckGo,0.02
2013-07-01,DuckDuckGo,0.01
2013-08-01,DuckDuckGo,0.01
2013-09-01,DuckDuckGo,0.05
2013-10-01,DuckDuckGo,0.03
2013-11-01,DuckDuckGo,0.02
2013-12-01,DuckDuckGo,0.01
2014-01-01,DuckDuckGo,0.02
2014-02-01,DuckDuckGo,0.03
2014-03-01,DuckDuckGo,0.06
2014-04-01,DuckDuckGo,0.06
2014-05-01,DuckDuckGo,0.07
2014-06-01,DuckDuckGo,0.06
2014-07-01,DuckDuckGo,0.03
2014-08-01,DuckDuckGo,0.03
2014-09-01,DuckDuckGo,0.04
2014-10-01,DuckDuckGo,0.05
2014-11-01,DuckDuckGo,0.04
2014-12-01,DuckDuckGo,0.04
2015-01-01,DuckDuckGo,0.06
2015-02-01,DuckDuckGo,0.06
2015-03-01,DuckDuckGo,0.09
2015-04-01,DuckDuckGo,0.12
2015-05-01,DuckDuckGo,0.12
2015-06-01,DuckDuckGo,0.13
2015-07-01,DuckDuckGo,0.09
2015-08-01,DuckDuckGo,0.12
2015-09-01,DuckDuckGo,0.13
2015-10-01,DuckDuckGo,0.13
2015-11-01,DuckDuckGo,0.12
2015-12-01,DuckDuckGo,0.13
2016-01-01,DuckDuckGo,0.12
2016-02-01,DuckDuckGo,0.12
2016-03-01,DuckDuckGo,0.11
2016-04-01,DuckDuckGo,0.11
2016-05-01,DuckDuckGo,0.11
2016-06-01,DuckDuckGo,0.12
2016-07-01,DuckDuckGo,0.12
2016-08-01,DuckDuckGo,0.12
2016-09-01,DuckDuckGo,0.11
2016-10-01,DuckDuckGo,0.11
2016-11-01,DuckDuckGo,0.11
2016-12-01,DuckDuckGo,0.12
2017-01-01,DuckDuckGo,0.14
2017-02-01,DuckDuckGo,0.14
2017-03-01,DuckDuckGo,0.16
2017-04-01,DuckDuckGo,0.16
2017-05-01,DuckDuckGo,0.16
2017-06-01,DuckDuckGo,0.17
2017-07-01,DuckDuckGo,0.18
2017-08-01,DuckDuckGo,0.2
2017-09-01,DuckDuckGo,0.21
2017-10-01,DuckDuckGo,0.23
2017-11-01,DuckDuckGo,0.22
2017-12-01,DuckDuckGo,0.23
2018-01-01,DuckDuckGo,0.23
2018-02-01,DuckDuckGo,0.2
2018-03-01,DuckDuckGo,0.25
2018-04-01,DuckDuckGo,0.28
2018-05-01,DuckDuckGo,0.28
2018-06-01,DuckDuckGo,0.28
2018-07-01,DuckDuckGo,0.27
2018-08-01,DuckDuckGo,0.28
2018-09-01,DuckDuckGo,0.33
2018-10-01,DuckDuckGo,0.32
2018-11-01,DuckDuckGo,0.36
2018-12-01,DuckDuckGo,0.44
2019-01-01,DuckDuckGo,0.41
2019-02-01,DuckDuckGo,0.38
2019-03-01,DuckDuckGo,0.38
2019-04-01,DuckDuckGo,0.36
2019-05-01,DuckDuckGo,0.38
2019-06-01,DuckDuckGo,0.4
2019-07-01,DuckDuckGo,0.54
2019-08-01,DuckDuckGo,0.55
2019-09-01,DuckDuckGo,0.43
2019-10-01,DuckDuckGo,0.4
2019-11-01,DuckDuckGo,0.41
2019-12-01,DuckDuckGo,0.43
2020-01-01,DuckDuckGo,0.44
2020-02-01,DuckDuckGo,0.42
2020-03-01,DuckDuckGo,0.41
2020-04-01,DuckDuckGo,0.45
2020-05-01,DuckDuckGo,0.47
2020-06-01,DuckDuckGo,0.49
2020-07-01,DuckDuckGo,0.5
2020-08-01,DuckDuckGo,0.53
2020-09-01,DuckDuckGo,0.5
2020-10-01,DuckDuckGo,0.49
2020-11-01,DuckDuckGo,0.61
2020-12-01,DuckDuckGo,0.6
2021-01-01,DuckDuckGo,0.66
2021-02-01,DuckDuckGo,0.64
2021-03-01,DuckDuckGo,0.59
2021-04-01,DuckDuckGo,0.58
2021-05-01,DuckDuckGo,0.59
2009-01-01,Ecosia,0
2009-02-01,Ecosia,0
2009-03-01,Ecosia,0
2009-04-01,Ecosia,0
2009-05-01,Ecosia,0
2009-06-01,Ecosia,0
2009-07-01,Ecosia,0
2009-08-01,Ecosia,0
2009-09-01,Ecosia,0
2009-10-01,Ecosia,0
2009-11-01,Ecosia,0
2009-12-01,Ecosia,0
2010-01-01,Ecosia,0
2010-02-01,Ecosia,0
2010-03-01,Ecosia,0
2010-04-01,Ecosia,0
2010-05-01,Ecosia,0
2010-06-01,Ecosia,0
2010-07-01,Ecosia,0
2010-08-01,Ecosia,0
2010-09-01,Ecosia,0
2010-10-01,Ecosia,0
2010-11-01,Ecosia,0
2010-12-01,Ecosia,0
2011-01-01,Ecosia,0
2011-02-01,Ecosia,0
2011-03-01,Ecosia,0
2011-04-01,Ecosia,0
2011-05-01,Ecosia,0
2011-06-01,Ecosia,0
2011-07-01,Ecosia,0
2011-08-01,Ecosia,0
2011-09-01,Ecosia,0
2011-10-01,Ecosia,0
2011-11-01,Ecosia,0
2011-12-01,Ecosia,0
2012-01-01,Ecosia,0
2012-02-01,Ecosia,0
2012-03-01,Ecosia,0
2012-04-01,Ecosia,0
2012-05-01,Ecosia,0
2012-06-01,Ecosia,0
2012-07-01,Ecosia,0
2012-08-01,Ecosia,0
2012-09-01,Ecosia,0
2012-10-01,Ecosia,0
2012-11-01,Ecosia,0
2012-12-01,Ecosia,0
2013-01-01,Ecosia,0
2013-02-01,Ecosia,0
2013-03-01,Ecosia,0
2013-04-01,Ecosia,0
2013-05-01,Ecosia,0
2013-06-01,Ecosia,0
2013-07-01,Ecosia,0
2013-08-01,Ecosia,0
2013-09-01,Ecosia,0
2013-10-01,Ecosia,0
2013-11-01,Ecosia,0
2013-12-01,Ecosia,0
2014-01-01,Ecosia,0
2014-02-01,Ecosia,0
2014-03-01,Ecosia,0
2014-04-01,Ecosia,0
2014-05-01,Ecosia,0
2014-06-01,Ecosia,0
2014-07-01,Ecosia,0
2014-08-01,Ecosia,0
2014-09-01,Ecosia,0
2014-10-01,Ecosia,0
2014-11-01,Ecosia,0
2014-12-01,Ecosia,0
2015-01-01,Ecosia,0
2015-02-01,Ecosia,0
2015-03-01,Ecosia,0
2015-04-01,Ecosia,0
2015-05-01,Ecosia,0
2015-06-01,Ecosia,0
2015-07-01,Ecosia,0
2015-08-01,Ecosia,0
2015-09-01,Ecosia,0
2015-10-01,Ecosia,0
2015-11-01,Ecosia,0
2015-12-01,Ecosia,0
2016-01-01,Ecosia,0
2016-02-01,Ecosia,0
2016-03-01,Ecosia,0
2016-04-01,Ecosia,0
2016-05-01,Ecosia,0
2016-06-01,Ecosia,0
2016-07-01,Ecosia,0
2016-08-01,Ecosia,0
2016-09-01,Ecosia,0
2016-10-01,Ecosia,0
2016-11-01,Ecosia,0
2016-12-01,Ecosia,0
2017-01-01,Ecosia,0
2017-02-01,Ecosia,0
2017-03-01,Ecosia,0
2017-04-01,Ecosia,0
2017-05-01,Ecosia,0
2017-06-01,Ecosia,0
2017-07-01,Ecosia,0
2017-08-01,Ecosia,0
2017-09-01,Ecosia,0
2017-10-01,Ecosia,0
2017-11-01,Ecosia,0
2017-12-01,Ecosia,0
2018-01-01,Ecosia,0
2018-02-01,Ecosia,0
2018-03-01,Ecosia,0
2018-04-01,Ecosia,0
2018-05-01,Ecosia,0
2018-06-01,Ecosia,0
2018-07-01,Ecosia,0
2018-08-01,Ecosia,0
2018-09-01,Ecosia,0
2018-10-01,Ecosia,0
2018-11-01,Ecosia,0
2018-12-01,Ecosia,0
2019-01-01,Ecosia,0
2019-02-01,Ecosia,0
2019-03-01,Ecosia,0
2019-04-01,Ecosia,0
2019-05-01,Ecosia,0
2019-06-01,Ecosia,0
2019-07-01,Ecosia,0.04
2019-08-01,Ecosia,0.11
2019-09-01,Ecosia,0.14
2019-10-01,Ecosia,0.13
2019-11-01,Ecosia,0.13
2019-12-01,Ecosia,0.13
2020-01-01,Ecosia,0.14
2020-02-01,Ecosia,0.13
2020-03-01,Ecosia,0.14
2020-04-01,Ecosia,0.15
2020-05-01,Ecosia,0.14
2020-06-01,Ecosia,0.12
2020-07-01,Ecosia,0.11
2020-08-01,Ecosia,0.11
2020-09-01,Ecosia,0.11
2020-10-01,Ecosia,0.12
2020-11-01,Ecosia,0.14
2020-12-01,Ecosia,0.13
2021-01-01,Ecosia,0.13
2021-02-01,Ecosia,0.13
2021-03-01,Ecosia,0.13
2021-04-01,Ecosia,0.13
2021-05-01,Ecosia,0.13
2009-01-01,Other,1.16
2009-02-01,Other,1.05
2009-03-01,Other,1.33
2009-04-01,Other,1.25
2009-05-01,Other,1.42
2009-06-01,Other,1.39
2009-07-01,Other,1.4
2009-08-01,Other,1.45
2009-09-01,Other,1.3
2009-10-01,Other,1.17
2009-11-01,Other,1.12
2009-12-01,Other,1.11
2010-01-01,Other,1.23
2010-02-01,Other,1.24
2010-03-01,Other,1.2
2010-04-01,Other,1.28
2010-05-01,Other,1.23
2010-06-01,Other,1.28
2010-07-01,Other,1.24
2010-08-01,Other,1.13
2010-09-01,Other,1.05
2010-10-01,Other,1
2010-11-01,Other,1.03
2010-12-01,Other,1
2011-01-01,Other,0.98
2011-02-01,Other,1.03
2011-03-01,Other,1.01
2011-04-01,Other,1.23
2011-05-01,Other,1.19
2011-06-01,Other,1.21
2011-07-01,Other,1.19
2011-08-01,Other,1.18
2011-09-01,Other,1.12
2011-10-01,Other,1.09
2011-11-01,Other,1.04
2011-12-01,Other,0.96
2012-01-01,Other,0.87
2012-02-01,Other,0.87
2012-03-01,Other,0.84
2012-04-01,Other,0.86
2012-05-01,Other,0.79
2012-06-01,Other,1.26
2012-07-01,Other,1.84
2012-08-01,Other,1.98
2012-09-01,Other,2.02
2012-10-01,Other,2.07
2012-11-01,Other,2.14
2012-12-01,Other,2.36
2013-01-01,Other,2.38
2013-02-01,Other,2.41
2013-03-01,Other,2.1
2013-04-01,Other,1.98
2013-05-01,Other,1.98
2013-06-01,Other,2.15
2013-07-01,Other,2.03
2013-08-01,Other,2.04
2013-09-01,Other,1.97
2013-10-01,Other,2.98
2013-11-01,Other,2.87
2013-12-01,Other,2.68
2014-01-01,Other,2.45
2014-02-01,Other,2.39
2014-03-01,Other,2.49
2014-04-01,Other,2.28
2014-05-01,Other,2.01
2014-06-01,Other,1.77
2014-07-01,Other,1.84
2014-08-01,Other,1.81
2014-09-01,Other,1.7
2014-10-01,Other,1.65
2014-11-01,Other,1.75
2014-12-01,Other,1.82
2015-01-01,Other,1.76
2015-02-01,Other,1.92
2015-03-01,Other,2.01
2015-04-01,Other,2.04
2015-05-01,Other,2.12
2015-06-01,Other,2.04
2015-07-01,Other,2.32
2015-08-01,Other,2.36
2015-09-01,Other,2.14
2015-10-01,Other,1.88
2015-11-01,Other,1.72
2015-12-01,Other,1.75
2016-01-01,Other,1.74
2016-02-01,Other,1.76
2016-03-01,Other,1.76
2016-04-01,Other,1.55
2016-05-01,Other,1.63
2016-06-01,Other,1.65
2016-07-01,Other,1.98
2016-08-01,Other,1.74
2016-09-01,Other,1.53
2016-10-01,Other,1.35
2016-11-01,Other,1.28
2016-12-01,Other,1.59
2017-01-01,Other,1.43
2017-02-01,Other,1.47
2017-03-01,Other,1.51
2017-04-01,Other,1.56
2017-05-01,Other,1.84
2017-06-01,Other,1.93
2017-07-01,Other,2.02
2017-08-01,Other,2.12
2017-09-01,Other,1.92
2017-10-01,Other,2.3
2017-11-01,Other,2.08
2017-12-01,Other,2.13
2018-01-01,Other,1.82
2018-02-01,Other,1.69
2018-03-01,Other,1.81
2018-04-01,Other,2.31
2018-05-01,Other,2.45
2018-06-01,Other,2.25
2018-07-01,Other,2.25
2018-08-01,Other,1.68
2018-09-01,Other,1.24
2018-10-01,Other,1.17
2018-11-01,Other,1.33
2018-12-01,Other,1.56
2019-01-01,Other,1.31
2019-02-01,Other,1.43
2019-03-01,Other,1.63
2019-04-01,Other,1.38
2019-05-01,Other,1.34
2019-06-01,Other,1.52
2019-07-01,Other,1.64
2019-08-01,Other,1.52
2019-09-01,Other,1.38
2019-10-01,Other,1.33
2019-11-01,Other,1.46
2019-12-01,Other,1.63
2020-01-01,Other,1.55
2020-02-01,Other,1.98
2020-03-01,Other,1.97
2020-04-01,Other,1.61
2020-05-01,Other,1.79
2020-06-01,Other,2.01
2020-07-01,Other,1.84
2020-08-01,Other,1.81
