date,value1,value2,value3
2020-12-10,0.57,18264.99,559.68
2020-12-11,0.55,18058.90,545.80
2020-12-12,0.51,18803.66,568.57
2020-12-13,0.51,19142.38,589.66
2020-12-14,0.50,19246.64,586.01
2020-12-15,0.47,19417.08,589.36
2020-12-16,0.57,21310.60,636.18
2020-12-17,0.58,22805.16,642.87
2020-12-18,0.58,23137.96,654.81
2020-12-19,0.58,23869.83,659.30
2020-12-20,0.56,23477.29,638.29
2020-12-21,0.52,22803.08,609.82
2020-12-22,0.45,23783.03,634.85
2020-12-23,0.26,23241.35,583.71
2020-12-24,0.34,23735.95,611.61
2020-12-25,0.32,24664.79,626.41
2020-12-26,0.29,26437.04,635.84
2020-12-27,0.28,26272.29,682.64
2020-12-28,0.25,27084.81,730.40
2020-12-29,0.22,27362.44,731.52
2020-12-30,0.21,28840.95,751.62
2020-12-31,0.22,29001.72,737.80
2021-01-01,0.24,29374.15,730.37
2021-01-02,0.22,32127.27,774.54
2021-01-03,0.23,32782.02,975.51
2021-01-04,0.24,31971.91,1040.23
2021-01-05,0.23,33992.43,1100.01
2021-01-06,0.25,36824.36,1207.11
2021-01-07,0.33,39371.04,1225.68
2021-01-08,0.32,40797.61,1224.20
2021-01-09,0.33,40254.55,1281.08
2021-01-10,0.32,38356.44,1262.25
2021-01-11,0.29,35566.66,1090.15
2021-01-12,0.29,33922.96,1043.44
2021-01-13,0.31,37316.36,1130.74
2021-01-14,0.30,39187.33,1218.45
2021-01-15,0.28,36825.37,1171.84
2021-01-16,0.28,36178.14,1233.54
2021-01-17,0.28,35791.28,1230.17
2021-01-18,0.28,36630.07,1257.28
2021-01-19,0.29,36069.80,1377.30
2021-01-20,0.30,35547.75,1382.27
2021-01-21,0.27,30825.70,1121.57
2021-01-22,0.27,33005.76,1236.51
2021-01-23,0.27,32067.64,1230.99
2021-01-24,0.27,32289.38,1391.61
2021-01-25,0.27,32366.39,1324.42
2021-01-26,0.27,32569.85,1357.06
2021-01-27,0.25,30432.55,1253.19
2021-01-28,0.26,33466.10,1332.49
2021-01-29,0.28,34316.39,1382.52
2021-01-30,0.44,34269.52,1376.12
2021-01-31,0.49,33114.36,1314.99
2021-02-01,0.37,33537.18,1369.04
2021-02-02,0.37,35510.29,1515.19
2021-02-03,0.39,37472.09,1660.91
2021-02-04,0.45,36926.07,1594.76
2021-02-05,0.45,38144.31,1718.65
2021-02-06,0.44,39266.01,1677.85
2021-02-07,0.42,38903.44,1614.23
2021-02-08,0.45,46196.46,1746.62
2021-02-09,0.47,46481.11,1768.04
2021-02-10,0.50,44918.18,1744.24
2021-02-11,0.52,47909.33,1783.80
2021-02-12,0.61,47504.85,1843.53
2021-02-13,0.63,47105.52,1814.11
2021-02-14,0.59,48717.29,1805.08
2021-02-15,0.55,47945.06,1779.79
2021-02-16,0.52,49199.87,1781.07
2021-02-17,0.54,52149.01,1848.46
2021-02-18,0.53,51679.80,1937.45
2021-02-19,0.57,55888.13,1960.17
2021-02-20,0.52,56099.52,1919.53
2021-02-21,0.55,57539.95,1935.60
2021-02-22,0.57,54207.32,1781.99
2021-02-23,0.47,48824.43,1570.20
2021-02-24,0.47,49705.33,1626.58
2021-02-25,0.43,47093.85,1475.70
2021-02-26,0.43,46339.76,1446.03
2021-02-27,0.44,46188.45,1459.97
2021-02-28,0.41,45137.77,1416.05
2021-03-01,0.45,49631.24,1564.71
2021-03-02,0.44,48378.99,1492.61
2021-03-03,0.45,50538.24,1575.85
2021-03-04,0.49,48561.17,1541.91
2021-03-05,0.46,48927.30,1533.28
2021-03-06,0.47,48912.38,1654.74
2021-03-07,0.47,51206.69,1723.15
2021-03-08,0.47,52246.52,1834.73
2021-03-09,0.49,54824.12,1868.05
2021-03-10,0.46,56008.55,1799.17
2021-03-11,0.45,57805.12,1826.20
2021-03-12,0.44,57332.09,1772.10
2021-03-13,0.46,61243.09,1924.69
2021-03-14,0.44,59302.32,1854.56
2021-03-15,0.44,55907.20,1791.70
2021-03-16,0.46,56804.90,1806.97
2021-03-17,0.47,58870.89,1823.45
2021-03-18,0.47,57858.92,1782.86
2021-03-19,0.47,58346.65,1817.62
2021-03-20,0.53,58313.64,1812.64
2021-03-21,0.52,57523.42,1788.22
2021-03-22,0.55,54529.14,1691.33
2021-03-23,0.56,54738.95,1678.65
2021-03-24,0.49,52774.27,1593.41
2021-03-25,0.52,51704.16,1595.36
2021-03-26,0.57,55137.31,1702.84
2021-03-27,0.55,55973.51,1716.50
2021-03-28,0.55,55950.75,1691.36
2021-03-29,0.57,57750.20,1819.69
2021-03-30,0.57,58917.69,1846.03
2021-03-31,0.57,58918.83,1918.36
2021-04-01,0.58,59095.81,1977.28
2021-04-02,0.62,59384.31,2143.23
2021-04-03,0.59,57603.89,2028.42
2021-04-04,0.65,58758.55,2093.12
2021-04-05,0.92,59057.88,2107.89
2021-04-06,1.10,58192.36,2118.38
2021-04-07,0.92,56048.94,1971.08
2021-04-08,1.05,58323.95,2088.57
2021-04-09,1.02,58245.00,2072.11
2021-04-10,1.37,59793.23,2135.94
2021-04-11,1.36,60204.96,2157.66
2021-04-12,1.47,59893.45,2139.35
2021-04-13,1.79,63503.46,2299.19
2021-04-14,1.84,63109.70,2435.11
2021-04-15,1.77,63314.01,2519.12
2021-04-16,1.56,61572.79,2431.95
2021-04-17,1.56,60683.82,2344.90
2021-04-18,1.41,56216.18,2237.14
2021-04-19,1.32,55724.27,2166.19
2021-04-20,1.38,56473.03,2330.21
2021-04-21,1.30,53906.09,2364.75
2021-04-22,1.16,51762.27,2403.54
2021-04-23,1.17,51093.65,2363.59
2021-04-24,1.05,50050.87,2211.63
2021-04-25,1.03,49004.25,2316.06
2021-04-26,1.37,54021.75,2534.48
2021-04-27,1.40,55033.12,2662.87
2021-04-28,1.36,54824.70,2746.38
2021-04-29,1.40,53555.11,2756.88
2021-04-30,1.59,57750.18,2773.21
2021-05-01,1.65,57828.05,2945.89
2021-05-02,1.56,56631.08,2952.06
2021-05-03,1.56,57200.29,3431.09
2021-05-04,1.39,53333.54,3253.63
2021-05-05,1.61,57424.01,3522.78
2021-05-06,1.60,56396.52,3490.88
2021-05-07,1.58,57356.40,3484.73
2021-05-08,1.56,58803.78,3902.65
2021-05-09,1.54,58232.32,3928.85
2021-05-10,1.39,55859.80,3952.29
2021-05-11,1.48,56704.57,4168.70
2021-05-12,1.25,49150.54,3785.85
