date,nation,value
2014-06-01,England,197951
2014-07-01,England,200825
2014-08-01,England,203406
2014-09-01,England,203639
2014-10-01,England,203311
2014-11-01,England,202704
2014-12-01,England,203346
2015-01-01,England,202856
2015-02-01,England,203424
2015-03-01,England,203360
2015-04-01,England,205936
2015-05-01,England,208265
2015-06-01,England,209874
2015-07-01,England,213518
2015-08-01,England,215756
2015-09-01,England,216350
2015-10-01,England,216676
2015-11-01,England,218500
2015-12-01,England,219582
2016-01-01,England,220361
2016-02-01,England,220627
2016-03-01,England,222663
2016-04-01,England,223784
2016-05-01,England,226370
2016-06-01,England,228430
2016-07-01,England,230868
2016-08-01,England,231176
2016-09-01,England,230848
2016-10-01,England,229944
2016-11-01,England,231053
2016-12-01,England,231922
2017-01-01,England,231593
2017-02-01,England,232696
2017-03-01,England,231760
2017-04-01,England,235021
2017-05-01,England,236727
2017-06-01,England,238595
2017-07-01,England,241406
2017-08-01,England,242628
2017-09-01,England,242041
2017-10-01,England,242003
2017-11-01,England,241086
2017-12-01,England,242378
2018-01-01,England,241061
2018-02-01,England,241989
2018-03-01,England,240428
2018-04-01,England,242396
2018-05-01,England,243445
2018-06-01,England,244962
2018-07-01,England,247981
2018-08-01,England,248620
2018-09-01,England,248248
2018-10-01,England,247757
2018-11-01,England,246940
2018-12-01,England,246380
2019-01-01,England,244641
2019-02-01,England,244427
2019-03-01,England,242982
2019-04-01,England,244662
2019-05-01,England,244928
2019-06-01,England,245846
2019-07-01,England,248468
2019-08-01,England,249221
2019-09-01,England,249637
2019-10-01,England,248842
2019-11-01,England,247867
2019-12-01,England,248097
2020-01-01,England,247898
2020-02-01,England,246739
2020-03-01,England,249121
2020-04-01,England,246424
2020-05-01,England,247499
2020-06-01,England,250739
2020-07-01,England,253226
2020-08-01,England,255802
2020-09-01,England,258155
2020-10-01,England,259592
2020-11-01,England,262409
2020-12-01,England,265128
2021-01-01,England,267000
2021-02-01,England,267653
2021-03-01,England,271563
2021-04-01,England,267900
2021-05-01,England,269125
2021-06-01,England,285079
2021-07-01,England,268353
2021-08-01,England,279836
2021-09-01,England,290545
2021-10-01,England,284235
2021-11-01,England,288130
2005-01-01,Wales,123815
2005-02-01,Wales,121070
2005-03-01,Wales,123052
2005-04-01,Wales,124088
2005-05-01,Wales,126541
2005-06-01,Wales,127477
2005-07-01,Wales,130529
2005-08-01,Wales,131874
2005-09-01,Wales,131307
2005-10-01,Wales,131511
2005-11-01,Wales,130826
2005-12-01,Wales,129673
2006-01-01,Wales,129914
2006-02-01,Wales,132218
2006-03-01,Wales,133581
2006-04-01,Wales,134018
2006-05-01,Wales,135043
2006-06-01,Wales,138538
2006-07-01,Wales,138355
2006-08-01,Wales,140227
2006-09-01,Wales,140180
2006-10-01,Wales,139801
2006-11-01,Wales,141553
2006-12-01,Wales,142521
2007-01-01,Wales,139760
2007-02-01,Wales,143455
2007-03-01,Wales,141453
2007-04-01,Wales,144844
2007-05-01,Wales,145951
2007-06-01,Wales,147402
2007-07-01,Wales,147245
2007-08-01,Wales,150316
2007-09-01,Wales,149164
2007-10-01,Wales,149825
2007-11-01,Wales,148509
2007-12-01,Wales,147362
2008-01-01,Wales,146364
2008-02-01,Wales,144636
2008-03-01,Wales,141503
2008-04-01,Wales,141804
2008-05-01,Wales,142749
2008-06-01,Wales,141876
2008-07-01,Wales,137901
2008-08-01,Wales,139660
2008-09-01,Wales,132625
2008-10-01,Wales,133991
2008-11-01,Wales,131304
2008-12-01,Wales,129403
2009-01-01,Wales,125021
2009-02-01,Wales,124029
2009-03-01,Wales,123104
2009-04-01,Wales,125355
2009-05-01,Wales,127350
2009-06-01,Wales,125948
2009-07-01,Wales,128279
2009-08-01,Wales,128768
2009-09-01,Wales,129232
2009-10-01,Wales,130696
2009-11-01,Wales,131131
2009-12-01,Wales,132978
2010-01-01,Wales,127733
2010-02-01,Wales,127958
2010-03-01,Wales,130677
2010-04-01,Wales,131747
2010-05-01,Wales,132483
2010-06-01,Wales,131877
2010-07-01,Wales,134036
2010-08-01,Wales,132453
2010-09-01,Wales,133167
2010-10-01,Wales,133140
2010-11-01,Wales,127443
2010-12-01,Wales,128963
2011-01-01,Wales,127771
2011-02-01,Wales,127961
2011-03-01,Wales,125133
2011-04-01,Wales,129222
2011-05-01,Wales,128085
2011-06-01,Wales,128270
2011-07-01,Wales,128564
2011-08-01,Wales,129395
2011-09-01,Wales,131017
2011-10-01,Wales,127698
2011-11-01,Wales,130415
2011-12-01,Wales,127397
2012-01-01,Wales,127097
2012-02-01,Wales,126324
2012-03-01,Wales,126231
2012-04-01,Wales,128163
2012-05-01,Wales,128349
2012-06-01,Wales,129986
2012-07-01,Wales,129342
2012-08-01,Wales,128860
2012-09-01,Wales,127952
2012-10-01,Wales,126881
2012-11-01,Wales,128452
2012-12-01,Wales,127143
2013-01-01,Wales,127584
2013-02-01,Wales,125702
2013-03-01,Wales,126975
2013-04-01,Wales,126671
2013-05-01,Wales,128640
2013-06-01,Wales,129380
2013-07-01,Wales,128501
2013-08-01,Wales,130842
2013-09-01,Wales,130085
2013-10-01,Wales,128089
2013-11-01,Wales,130029
2013-12-01,Wales,128581
2014-01-01,Wales,131603
2014-02-01,Wales,132349
2014-03-01,Wales,130464
2014-04-01,Wales,132656
2014-05-01,Wales,135527
2014-06-01,Wales,135019
2014-07-01,Wales,135571
2014-08-01,Wales,136710
2014-09-01,Wales,138218
2014-10-01,Wales,136630
2014-11-01,Wales,136898
2014-12-01,Wales,136904
2015-01-01,Wales,136148
2015-02-01,Wales,135611
2015-03-01,Wales,135231
2015-04-01,Wales,137039
2015-05-01,Wales,137553
2015-06-01,Wales,138478
2015-07-01,Wales,139213
2015-08-01,Wales,140651
2015-09-01,Wales,140248
2015-10-01,Wales,140912
2015-11-01,Wales,140974
2015-12-01,Wales,141520
2016-01-01,Wales,140015
2016-02-01,Wales,142712
2016-03-01,Wales,141617
2016-04-01,Wales,141925
2016-05-01,Wales,144296
2016-06-01,Wales,146447
2016-07-01,Wales,146353
2016-08-01,Wales,145384
2016-09-01,Wales,144976
2016-10-01,Wales,146658
2016-11-01,Wales,146278
2016-12-01,Wales,146442
2017-01-01,Wales,146395
2017-02-01,Wales,145837
2017-03-01,Wales,147794
2017-04-01,Wales,149900
2017-05-01,Wales,147428
2017-06-01,Wales,150394
2017-07-01,Wales,151028
2017-08-01,Wales,152859
2017-09-01,Wales,153227
2017-10-01,Wales,155033
2017-11-01,Wales,153109
2017-12-01,Wales,153791
2018-01-01,Wales,153128
2018-02-01,Wales,153210
2018-03-01,Wales,154022
2018-04-01,Wales,153574
2018-05-01,Wales,154756
2018-06-01,Wales,156864
2018-07-01,Wales,158626
2018-08-01,Wales,161024
2018-09-01,Wales,160265
2018-10-01,Wales,160955
2018-11-01,Wales,160158
2018-12-01,Wales,162234
2019-01-01,Wales,158548
2019-02-01,Wales,159018
2019-03-01,Wales,159904
2019-04-01,Wales,161456
2019-05-01,Wales,161628
2019-06-01,Wales,162908
2019-07-01,Wales,164440
2019-08-01,Wales,168215
2019-09-01,Wales,164414
2019-10-01,Wales,166281
2019-11-01,Wales,168516
2019-12-01,Wales,166433
2020-01-01,Wales,163205
2020-02-01,Wales,165953
2020-03-01,Wales,167040
2020-04-01,Wales,160039
2020-05-01,Wales,162701
2020-06-01,Wales,167384
2020-07-01,Wales,168416
2020-08-01,Wales,172999
2020-09-01,Wales,170030
2020-10-01,Wales,175948
2020-11-01,Wales,178255
2020-12-01,Wales,181300
2021-01-01,Wales,181784
2021-02-01,Wales,180203
2021-03-01,Wales,186036
2021-04-01,Wales,182797
2021-05-01,Wales,186102
2021-06-01,Wales,196903
2021-07-01,Wales,185802
2021-08-01,Wales,193283
2021-09-01,Wales,200346
2021-10-01,Wales,201300
2021-11-01,Wales,199877
2005-01-01,Scotland,93982
2005-02-01,Scotland,93554
2005-03-01,Scotland,96638
2005-04-01,Scotland,102739
2005-05-01,Scotland,103815
2005-06-01,Scotland,107989
2005-07-01,Scotland,110003
2005-08-01,Scotland,110101
2005-09-01,Scotland,110188
2005-10-01,Scotland,109598
2005-11-01,Scotland,108994
2005-12-01,Scotland,110714
2006-01-01,Scotland,109380
2006-02-01,Scotland,107355
2006-03-01,Scotland,111484
2006-04-01,Scotland,116209
2006-05-01,Scotland,118876
2006-06-01,Scotland,120454
2006-07-01,Scotland,122702
2006-08-01,Scotland,124427
2006-09-01,Scotland,126392
2006-10-01,Scotland,123482
2006-11-01,Scotland,125396
2006-12-01,Scotland,127707
2007-01-01,Scotland,126699
2007-02-01,Scotland,124280
2007-03-01,Scotland,129092
2007-04-01,Scotland,135581
2007-05-01,Scotland,138765
2007-06-01,Scotland,141897
2007-07-01,Scotland,141815
2007-08-01,Scotland,143287
2007-09-01,Scotland,142294
2007-10-01,Scotland,139547
2007-11-01,Scotland,141524
2007-12-01,Scotland,139736
2008-01-01,Scotland,138388
2008-02-01,Scotland,137508
2008-03-01,Scotland,137848
2008-04-01,Scotland,139328
2008-05-01,Scotland,145641
2008-06-01,Scotland,141555
2008-07-01,Scotland,139710
2008-08-01,Scotland,137784
2008-09-01,Scotland,132420
2008-10-01,Scotland,133839
2008-11-01,Scotland,129820
2008-12-01,Scotland,125767
2009-01-01,Scotland,124484
2009-02-01,Scotland,120994
2009-03-01,Scotland,125727
2009-04-01,Scotland,126975
2009-05-01,Scotland,130699
2009-06-01,Scotland,132049
2009-07-01,Scotland,133126
2009-08-01,Scotland,132658
2009-09-01,Scotland,131727
2009-10-01,Scotland,132914
2009-11-01,Scotland,134183
2009-12-01,Scotland,133037
2010-01-01,Scotland,128973
2010-02-01,Scotland,126524
2010-03-01,Scotland,128897
2010-04-01,Scotland,133162
2010-05-01,Scotland,132977
2010-06-01,Scotland,134249
2010-07-01,Scotland,135444
2010-08-01,Scotland,133825
2010-09-01,Scotland,133756
2010-10-01,Scotland,133750
2010-11-01,Scotland,131509
2010-12-01,Scotland,129758
2011-01-01,Scotland,129746
2011-02-01,Scotland,125916
2011-03-01,Scotland,126172
2011-04-01,Scotland,129848
2011-05-01,Scotland,129832
2011-06-01,Scotland,131209
2011-07-01,Scotland,133429
2011-08-01,Scotland,132518
2011-09-01,Scotland,131949
2011-10-01,Scotland,129122
2011-11-01,Scotland,128206
2011-12-01,Scotland,125924
2012-01-01,Scotland,125728
2012-02-01,Scotland,121886
2012-03-01,Scotland,125412
2012-04-01,Scotland,125134
2012-05-01,Scotland,126455
2012-06-01,Scotland,128361
2012-07-01,Scotland,127491
2012-08-01,Scotland,126734
2012-09-01,Scotland,125823
2012-10-01,Scotland,124617
2012-11-01,Scotland,123166
2012-12-01,Scotland,122180
2013-01-01,Scotland,122594
2013-02-01,Scotland,120180
2013-03-01,Scotland,121357
2013-04-01,Scotland,123409
2013-05-01,Scotland,125358
2013-06-01,Scotland,127118
2013-07-01,Scotland,128421
2013-08-01,Scotland,129781
2013-09-01,Scotland,127777
2013-10-01,Scotland,127413
2013-11-01,Scotland,128629
2013-12-01,Scotland,127018
2014-01-01,Scotland,127007
2014-02-01,Scotland,125034
2014-03-01,Scotland,126650
2014-04-01,Scotland,129596
2014-05-01,Scotland,131677
2014-06-01,Scotland,133444
2014-07-01,Scotland,135161
2014-08-01,Scotland,135575
2014-09-01,Scotland,134807
2014-10-01,Scotland,135016
2014-11-01,Scotland,133334
2014-12-01,Scotland,132669
2015-01-01,Scotland,134956
2015-02-01,Scotland,132572
2015-03-01,Scotland,139792
2015-04-01,Scotland,134030
2015-05-01,Scotland,135678
2015-06-01,Scotland,136923
2015-07-01,Scotland,139051
2015-08-01,Scotland,138564
2015-09-01,Scotland,138246
2015-10-01,Scotland,137660
2015-11-01,Scotland,138475
2015-12-01,Scotland,136702
2016-01-01,Scotland,136790
2016-02-01,Scotland,134625
2016-03-01,Scotland,136243
2016-04-01,Scotland,136446
2016-05-01,Scotland,138256
2016-06-01,Scotland,140234
2016-07-01,Scotland,142294
2016-08-01,Scotland,140881
2016-09-01,Scotland,140533
2016-10-01,Scotland,139631
2016-11-01,Scotland,140852
2016-12-01,Scotland,138206
2017-01-01,Scotland,138356
2017-02-01,Scotland,136011
2017-03-01,Scotland,136891
2017-04-01,Scotland,141091
2017-05-01,Scotland,142070
2017-06-01,Scotland,143634
2017-07-01,Scotland,147566
2017-08-01,Scotland,147234
2017-09-01,Scotland,144530
2017-10-01,Scotland,145058
2017-11-01,Scotland,146350
2017-12-01,Scotland,145235
2018-01-01,Scotland,146889
2018-02-01,Scotland,145982
2018-03-01,Scotland,144655
2018-04-01,Scotland,148427
2018-05-01,Scotland,148621
2018-06-01,Scotland,149960
2018-07-01,Scotland,151777
2018-08-01,Scotland,152138
2018-09-01,Scotland,151446
2018-10-01,Scotland,151528
2018-11-01,Scotland,149556
2018-12-01,Scotland,148269
2019-01-01,Scotland,149769
2019-02-01,Scotland,146892
2019-03-01,Scotland,149625
2019-04-01,Scotland,150794
2019-05-01,Scotland,151417
2019-06-01,Scotland,152680
2019-07-01,Scotland,154776
2019-08-01,Scotland,154195
2019-09-01,Scotland,154874
2019-10-01,Scotland,153953
2019-11-01,Scotland,152528
2019-12-01,Scotland,150287
2020-01-01,Scotland,153518
2020-02-01,Scotland,149582
2020-03-01,Scotland,150625
2020-04-01,Scotland,151779
2020-05-01,Scotland,152914
2020-06-01,Scotland,155329
2020-07-01,Scotland,154582
2020-08-01,Scotland,154707
2020-09-01,Scotland,160585
2020-10-01,Scotland,163019
2020-11-01,Scotland,164032
2020-12-01,Scotland,162325
2021-01-01,Scotland,164874
2021-02-01,Scotland,161907
2021-03-01,Scotland,167939
2021-04-01,Scotland,161298
2021-05-01,Scotland,169556
2021-06-01,Scotland,172594
2021-07-01,Scotland,176775
2021-08-01,Scotland,180523
2021-09-01,Scotland,180479
2021-10-01,Scotland,180984
2021-11-01,Scotland,182755
2005-01-01,Northern Ireland,111920
2005-02-01,Northern Ireland,111920
2005-03-01,Northern Ireland,111920
2005-04-01,Northern Ireland,116004
2005-05-01,Northern Ireland,116004
2005-06-01,Northern Ireland,116004
2005-07-01,Northern Ireland,123386
2005-08-01,Northern Ireland,123386
2005-09-01,Northern Ireland,123386
2005-10-01,Northern Ireland,127674
2005-11-01,Northern Ireland,127674
2005-12-01,Northern Ireland,127674
2006-01-01,Northern Ireland,131302
2006-02-01,Northern Ireland,131302
2006-03-01,Northern Ireland,131302
2006-04-01,Northern Ireland,143918
2006-05-01,Northern Ireland,143918
2006-06-01,Northern Ireland,143918
2006-07-01,Northern Ireland,160529
2006-08-01,Northern Ireland,160529
2006-09-01,Northern Ireland,160529
2006-10-01,Northern Ireland,179841
2006-11-01,Northern Ireland,179841
2006-12-01,Northern Ireland,179841
2007-01-01,Northern Ireland,198950
2007-02-01,Northern Ireland,198950
2007-03-01,Northern Ireland,198950
2007-04-01,Northern Ireland,216751
2007-05-01,Northern Ireland,216751
2007-06-01,Northern Ireland,216751
2007-07-01,Northern Ireland,224670
2007-08-01,Northern Ireland,224670
2007-09-01,Northern Ireland,224670
2007-10-01,Northern Ireland,214269
2007-11-01,Northern Ireland,214269
2007-12-01,Northern Ireland,214269
2008-01-01,Northern Ireland,198362
2008-02-01,Northern Ireland,198362
2008-03-01,Northern Ireland,198362
2008-04-01,Northern Ireland,185845
2008-05-01,Northern Ireland,185845
2008-06-01,Northern Ireland,185845
2008-07-01,Northern Ireland,168076
2008-08-01,Northern Ireland,168076
2008-09-01,Northern Ireland,168076
2008-10-01,Northern Ireland,153774
2008-11-01,Northern Ireland,153774
2008-12-01,Northern Ireland,153774
2009-01-01,Northern Ireland,140190
2009-02-01,Northern Ireland,140190
2009-03-01,Northern Ireland,140190
2009-04-01,Northern Ireland,141489
2009-05-01,Northern Ireland,141489
2009-06-01,Northern Ireland,141489
2009-07-01,Northern Ireland,141864
2009-08-01,Northern Ireland,141864
2009-09-01,Northern Ireland,141864
2009-10-01,Northern Ireland,141994
2009-11-01,Northern Ireland,141994
2009-12-01,Northern Ireland,141994
2010-01-01,Northern Ireland,135701
2010-02-01,Northern Ireland,135701
2010-03-01,Northern Ireland,135701
2010-04-01,Northern Ireland,134515
2010-05-01,Northern Ireland,134515
2010-06-01,Northern Ireland,134515
2010-07-01,Northern Ireland,132164
2010-08-01,Northern Ireland,132164
2010-09-01,Northern Ireland,132164
2010-10-01,Northern Ireland,124515
2010-11-01,Northern Ireland,124515
2010-12-01,Northern Ireland,124515
2011-01-01,Northern Ireland,119024
2011-02-01,Northern Ireland,119024
2011-03-01,Northern Ireland,119024
2011-04-01,Northern Ireland,117142
2011-05-01,Northern Ireland,117142
2011-06-01,Northern Ireland,117142
2011-07-01,Northern Ireland,115108
2011-08-01,Northern Ireland,115108
2011-09-01,Northern Ireland,115108
2011-10-01,Northern Ireland,111871
2011-11-01,Northern Ireland,111871
2011-12-01,Northern Ireland,111871
2012-01-01,Northern Ireland,104712
2012-02-01,Northern Ireland,104712
2012-03-01,Northern Ireland,104712
2012-04-01,Northern Ireland,104987
2012-05-01,Northern Ireland,104987
2012-06-01,Northern Ireland,104987
2012-07-01,Northern Ireland,102086
2012-08-01,Northern Ireland,102086
2012-09-01,Northern Ireland,102086
2012-10-01,Northern Ireland,99647
2012-11-01,Northern Ireland,99647
2012-12-01,Northern Ireland,99647
2013-01-01,Northern Ireland,97428
2013-02-01,Northern Ireland,97428
2013-03-01,Northern Ireland,97428
2013-04-01,Northern Ireland,99229
2013-05-01,Northern Ireland,99229
2013-06-01,Northern Ireland,99229
2013-07-01,Northern Ireland,101165
2013-08-01,Northern Ireland,101165
2013-09-01,Northern Ireland,101165
2013-10-01,Northern Ireland,101879
2013-11-01,Northern Ireland,101879
2013-12-01,Northern Ireland,101879
2014-01-01,Northern Ireland,103570
2014-02-01,Northern Ireland,103570
2014-03-01,Northern Ireland,103570
2014-04-01,Northern Ireland,107031
2014-05-01,Northern Ireland,107031
2014-06-01,Northern Ireland,107031
2014-07-01,Northern Ireland,109116
2014-08-01,Northern Ireland,109116
2014-09-01,Northern Ireland,109116
2014-10-01,Northern Ireland,110750
2014-11-01,Northern Ireland,110750
2014-12-01,Northern Ireland,110750
2015-01-01,Northern Ireland,110940
2015-02-01,Northern Ireland,110940
2015-03-01,Northern Ireland,110940
2015-04-01,Northern Ireland,114340
2015-05-01,Northern Ireland,114340
2015-06-01,Northern Ireland,114340
2015-07-01,Northern Ireland,117716
2015-08-01,Northern Ireland,117716
2015-09-01,Northern Ireland,117716
2015-10-01,Northern Ireland,118756
2015-11-01,Northern Ireland,118756
2015-12-01,Northern Ireland,118756
2016-01-01,Northern Ireland,118851
2016-02-01,Northern Ireland,118851
2016-03-01,Northern Ireland,118851
2016-04-01,Northern Ireland,123249
2016-05-01,Northern Ireland,123249
2016-06-01,Northern Ireland,123249
2016-07-01,Northern Ireland,124730
2016-08-01,Northern Ireland,124731
2016-09-01,Northern Ireland,124731
2016-10-01,Northern Ireland,125059
2016-11-01,Northern Ireland,125059
2016-12-01,Northern Ireland,125059
2017-01-01,Northern Ireland,124786
2017-02-01,Northern Ireland,124786
2017-03-01,Northern Ireland,124786
2017-04-01,Northern Ireland,127178
2017-05-01,Northern Ireland,127178
2017-06-01,Northern Ireland,127178
2017-07-01,Northern Ireland,128878
2017-08-01,Northern Ireland,128878
2017-09-01,Northern Ireland,128878
2017-10-01,Northern Ireland,129601
2017-11-01,Northern Ireland,129601
2017-12-01,Northern Ireland,129601
2018-01-01,Northern Ireland,130292
2018-02-01,Northern Ireland,130292
2018-03-01,Northern Ireland,130292
2018-04-01,Northern Ireland,132095
2018-05-01,Northern Ireland,132095
2018-06-01,Northern Ireland,132095
2018-07-01,Northern Ireland,134619
2018-08-01,Northern Ireland,134619
2018-09-01,Northern Ireland,134619
2018-10-01,Northern Ireland,136764
2018-11-01,Northern Ireland,136764
2018-12-01,Northern Ireland,136764
2019-01-01,Northern Ireland,135434
2019-02-01,Northern Ireland,135434
2019-03-01,Northern Ireland,135434
2019-04-01,Northern Ireland,136960
2019-05-01,Northern Ireland,136960
2019-06-01,Northern Ireland,136960
2019-07-01,Northern Ireland,139838
2019-08-01,Northern Ireland,139838
2019-09-01,Northern Ireland,139838
2019-10-01,Northern Ireland,140141
2019-11-01,Northern Ireland,140141
2019-12-01,Northern Ireland,140141
2020-01-01,Northern Ireland,140722
2020-02-01,Northern Ireland,140722
2020-03-01,Northern Ireland,140722
2020-04-01,Northern Ireland,140841
2020-05-01,Northern Ireland,140841
2020-06-01,Northern Ireland,140841
2020-07-01,Northern Ireland,143723
2020-08-01,Northern Ireland,143723
2020-09-01,Northern Ireland,143723
2020-10-01,Northern Ireland,147475
2020-11-01,Northern Ireland,147475
2020-12-01,Northern Ireland,147475
2021-01-01,Northern Ireland,149084
2021-02-01,Northern Ireland,149084
2021-03-01,Northern Ireland,149084
2021-04-01,Northern Ireland,154479
2021-05-01,Northern Ireland,154479
2021-06-01,Northern Ireland,154479
2021-07-01,Northern Ireland,159109
2021-08-01,Northern Ireland,159109
2021-09-01,Northern Ireland,159109
2021-10-01,Northern Ireland,159109
2021-11-01,Northern Ireland,159109
