Month,National Loan,Current price
1938m7,Second,113
1938m8,Second,112.75
1938m9,Second,106.5
1938m10,Second,109.5
1938m11,Second,109.5
1938m12,Second,109.5
1924m1,Third,nul
1924m2,Third,nul
1924m3,Third,nul
1924m4,Third,nul
1924m5,Third,nul
1924m6,Third,nul
1924m7,Third,nul
1924m8,Third,nul
1924m9,Third,nul
1924m10,Third,nul
1924m11,Third,nul
1924m12,Third,nul
1925m1,Third,nul
1925m2,Third,nul
1925m3,Third,nul
1925m4,Third,nul
1925m5,Third,nul
1925m6,Third,nul
1925m7,Third,nul
1925m8,Third,nul
1925m9,Third,nul
1925m10,Third,nul
1925m11,Third,nul
1925m12,Third,nul
1926m1,Third,nul
1926m2,Third,nul
1926m3,Third,nul
1926m4,Third,nul
1926m5,Third,nul
1926m6,Third,nul
1926m7,Third,nul
1926m8,Third,nul
1926m9,Third,nul
1926m10,Third,nul
1926m11,Third,nul
1926m12,Third,nul
1927m1,Third,nul
1927m2,Third,nul
1927m3,Third,nul
1927m4,Third,nul
1927m5,Third,nul
1927m6,Third,nul
1927m7,Third,nul
1927m8,Third,nul
1927m9,Third,nul
1927m10,Third,nul
1927m11,Third,nul
1927m12,Third,nul
1928m1,Third,nul
1928m2,Third,nul
1928m3,Third,nul
1928m4,Third,nul
1928m5,Third,nul
1928m6,Third,nul
1928m7,Third,nul
1928m8,Third,nul
1928m9,Third,nul
1928m10,Third,nul
1928m11,Third,nul
1928m12,Third,nul
1929m1,Third,nul
1929m2,Third,nul
1929m3,Third,nul
1929m4,Third,nul
1929m5,Third,nul
1929m6,Third,nul
1929m7,Third,nul
1929m8,Third,nul
1929m9,Third,nul
1929m10,Third,nul
1929m11,Third,nul
1929m12,Third,nul
1930m1,Third,nul
1930m2,Third,nul
1930m3,Third,nul
1930m4,Third,nul
1930m5,Third,nul
1930m6,Third,93.6875
1930m7,Third,94
1930m8,Third,94.9375
1930m9,Third,93.875
1930m10,Third,95.9375
1930m11,Third,98.5
1930m12,Third,98.375
1931m1,Third,100
1931m2,Third,100.125
1931m3,Third,100
1931m4,Third,100.75
1931m5,Third,103.875
1931m6,Third,102.625
1931m7,Third,100.75
1931m8,Third,99.1875
1931m9,Third,93
1931m10,Third,96
1931m11,Third,94.75
1931m12,Third,91
1932m1,Third,92
1932m2,Third,93
1932m3,Third,90
1932m4,Third,93
1932m5,Third,96
1932m6,Third,95.5
1932m7,Third,105
1932m8,Third,104.25
1932m9,Third,103.25
1932m10,Third,106.25
1932m11,Third,104.75
1932m12,Third,104.75
1933m1,Third,104.5
1933m2,Third,107.75
1933m3,Third,109
1933m4,Third,110.25
1933m5,Third,108.5
1933m6,Third,109
1933m7,Third,110.5
1933m8,Third,108.5
1933m9,Third,106.75
1933m10,Third,109.5
1933m11,Third,107.75
1933m12,Third,107.5
1934m1,Third,107.5
1934m2,Third,107.75
1934m3,Third,106
1934m4,Third,105.625
1934m5,Third,106
1934m6,Third,107
1934m7,Third,107.875
1934m8,Third,107.75
1934m9,Third,105.5
1934m10,Third,108.5
1934m11,Third,108.25
1934m12,Third,109
1935m1,Third,109.5
1935m2,Third,109.75
1935m3,Third,107.75
1935m4,Third,107.625
1935m5,Third,108
1935m6,Third,110
1935m7,Third,110.25
1935m8,Third,110.25
1935m9,Third,107.75
1935m10,Third,108
1935m11,Third,110
1935m12,Third,111
1936m1,Third,112.5
1936m2,Third,113.5
1936m3,Third,110.75
1936m4,Third,110.5
1936m5,Third,111.375
1936m6,Third,111.25
1936m7,Third,111.75
1936m8,Third,113.5
1936m9,Third,112.75
1936m10,Third,112.75
1936m11,Third,113
1936m12,Third,113
1937m1,Third,113.125
1937m2,Third,113.5
1937m3,Third,110.5
1937m4,Third,112.5
1937m5,Third,113.75
1937m6,Third,110.5
1937m7,Third,110.5
1937m8,Third,110.75
1937m9,Third,108.75
1937m10,Third,109.25
1937m11,Third,109
1937m12,Third,109
1938m1,Third,110.75
1938m2,Third,112
1938m3,Third,110.5
1938m4,Third,111.75
1938m5,Third,110.25
1938m6,Third,109.5
1938m7,Third,109
1938m8,Third,109.25
1938m9,Third,103
1938m10,Third,105.75
1938m11,Third,105.75
1938m12,Third,105.5
1924m1,Fourth,nul
1924m2,Fourth,nul
1924m3,Fourth,nul
1924m4,Fourth,nul
1924m5,Fourth,nul
1924m6,Fourth,nul
1924m7,Fourth,nul
1924m8,Fourth,nul
1924m9,Fourth,nul
1924m10,Fourth,nul
1924m11,Fourth,nul
1924m12,Fourth,nul
1925m1,Fourth,nul
1925m2,Fourth,nul
1925m3,Fourth,nul
1925m4,Fourth,nul
1925m5,Fourth,nul
1925m6,Fourth,nul
1925m7,Fourth,nul
1925m8,Fourth,nul
1925m9,Fourth,nul
1925m10,Fourth,nul
1925m11,Fourth,nul
1925m12,Fourth,nul
1926m1,Fourth,nul
1926m2,Fourth,nul
1926m3,Fourth,nul
1926m4,Fourth,nul
1926m5,Fourth,nul
1926m6,Fourth,nul
1926m7,Fourth,nul
1926m8,Fourth,nul
1926m9,Fourth,nul
1926m10,Fourth,nul
1926m11,Fourth,nul
1926m12,Fourth,nul
1927m1,Fourth,nul
1927m2,Fourth,nul
1927m3,Fourth,nul
1927m4,Fourth,nul
1927m5,Fourth,nul
1927m6,Fourth,nul
1927m7,Fourth,nul
1927m8,Fourth,nul
1927m9,Fourth,nul
1927m10,Fourth,nul
1927m11,Fourth,nul
1927m12,Fourth,nul
1928m1,Fourth,nul
1928m2,Fourth,nul
1928m3,Fourth,nul
1928m4,Fourth,nul
1928m5,Fourth,nul
