date,region,value
2006-07-01,North West,139630
2006-08-01,North West,140071
2006-09-01,North West,141339
2006-10-01,North West,141121
2006-11-01,North West,142273
2006-12-01,North West,143832
2007-01-01,North West,142760
2007-02-01,North West,143625
2007-03-01,North West,143912
2007-04-01,North West,146541
2007-05-01,North West,147774
2007-06-01,North West,149942
2007-07-01,North West,150382
2007-08-01,North West,151511
2007-09-01,North West,151088
2007-10-01,North West,151346
2007-11-01,North West,150751
2007-12-01,North West,152427
2008-01-01,North West,148289
2008-02-01,North West,146830
2008-03-01,North West,144962
2008-04-01,North West,147411
2008-05-01,North West,146681
2008-06-01,North West,146137
2008-07-01,North West,143839
2008-08-01,North West,142260
2008-09-01,North West,137890
2008-10-01,North West,136469
2008-11-01,North West,132872
2008-12-01,North West,131533
2009-01-01,North West,127472
2009-02-01,North West,126938
2009-03-01,North West,124654
2009-04-01,North West,127765
2009-05-01,North West,128224
2009-06-01,North West,128858
2009-07-01,North West,130826
2009-08-01,North West,131723
2009-09-01,North West,132352
2009-10-01,North West,133220
2009-11-01,North West,133662
2009-12-01,North West,135758
2010-01-01,North West,131060
2010-02-01,North West,133089
2010-03-01,North West,131297
2010-04-01,North West,134160
2010-05-01,North West,134292
2010-06-01,North West,134718
2010-07-01,North West,133975
2010-08-01,North West,135743
2010-09-01,North West,134331
2010-10-01,North West,133166
2010-11-01,North West,131198
2010-12-01,North West,131347
2011-01-01,North West,129892
2011-02-01,North West,128951
2011-03-01,North West,127767
2011-04-01,North West,129500
2011-05-01,North West,128753
2011-06-01,North West,128484
2011-07-01,North West,130275
2011-08-01,North West,131341
2011-09-01,North West,130472
2011-10-01,North West,129674
2011-11-01,North West,127346
2011-12-01,North West,128039
2012-01-01,North West,125780
2012-02-01,North West,127311
2012-03-01,North West,127820
2012-04-01,North West,128284
2012-05-01,North West,127459
2012-06-01,North West,129810
2012-07-01,North West,129030
2012-08-01,North West,130137
2012-09-01,North West,129970
2012-10-01,North West,126997
2012-11-01,North West,128922
2012-12-01,North West,127862
2013-01-01,North West,124578
2013-02-01,North West,127100
2013-03-01,North West,126970
2013-04-01,North West,127515
2013-05-01,North West,128085
2013-06-01,North West,129600
2013-07-01,North West,129713
2013-08-01,North West,131532
2013-09-01,North West,131408
2013-10-01,North West,129085
2013-11-01,North West,130047
2013-12-01,North West,131350
2014-01-01,North West,129790
2014-02-01,North West,131370
2014-03-01,North West,130061
2014-04-01,North West,133616
2014-05-01,North West,134136
2014-06-01,North West,135870
2014-07-01,North West,136629
2014-08-01,North West,138230
2014-09-01,North West,138050
2014-10-01,North West,137383
2014-11-01,North West,136864
2014-12-01,North West,136688
2015-01-01,North West,136041
2015-02-01,North West,137141
2015-03-01,North West,135261
2015-04-01,North West,137256
2015-05-01,North West,139668
2015-06-01,North West,139138
2015-07-01,North West,141510
2015-08-01,North West,142463
2015-09-01,North West,142769
2015-10-01,North West,142082
2015-11-01,North West,142829
2015-12-01,North West,142866
2016-01-01,North West,143139
2016-02-01,North West,143009
2016-03-01,North West,141447
2016-04-01,North West,146681
2016-05-01,North West,147753
2016-06-01,North West,148176
2016-07-01,North West,150341
2016-08-01,North West,150174
2016-09-01,North West,150038
2016-10-01,North West,148332
2016-11-01,North West,149723
2016-12-01,North West,149560
2017-01-01,North West,149371
2017-02-01,North West,150960
2017-03-01,North West,149615
2017-04-01,North West,152217
2017-05-01,North West,153126
2017-06-01,North West,155061
2017-07-01,North West,156761
2017-08-01,North West,158252
2017-09-01,North West,157751
2017-10-01,North West,157301
2017-11-01,North West,157804
2017-12-01,North West,158863
2018-01-01,North West,155596
2018-02-01,North West,157519
2018-03-01,North West,155625
2018-04-01,North West,157768
2018-05-01,North West,158823
2018-06-01,North West,160314
2018-07-01,North West,162345
2018-08-01,North West,163092
2018-09-01,North West,163068
2018-10-01,North West,163838
2018-11-01,North West,163186
2018-12-01,North West,162769
2019-01-01,North West,161409
2019-02-01,North West,162066
2019-03-01,North West,160670
2019-04-01,North West,162254
2019-05-01,North West,163986
2019-06-01,North West,163809
2019-07-01,North West,166118
2019-08-01,North West,167693
2019-09-01,North West,167011
2019-10-01,North West,166780
2019-11-01,North West,166081
2019-12-01,North West,165148
2020-01-01,North West,164563
2020-02-01,North West,164760
2020-03-01,North West,166588
2020-04-01,North West,163904
2020-05-01,North West,164258
2020-06-01,North West,168769
2020-07-01,North West,171303
2020-08-01,North West,173316
2020-09-01,North West,174352
2020-10-01,North West,177827
2020-11-01,North West,178595
2020-12-01,North West,181880
2021-01-01,North West,182605
2021-02-01,North West,185053
2021-03-01,North West,187332
2021-04-01,North West,184693
2021-05-01,North West,185869
2021-06-01,North West,200193
2021-07-01,North West,182911
2021-08-01,North West,191063
2021-09-01,North West,204202
2021-10-01,North West,193415
2021-11-01,North West,197797
2005-01-01,Yorkshire & The Humber,118923
2005-02-01,Yorkshire & The Humber,120419
2005-03-01,Yorkshire & The Humber,121650
2005-04-01,Yorkshire & The Humber,122183
2005-05-01,Yorkshire & The Humber,124992
2005-06-01,Yorkshire & The Humber,126353
2005-07-01,Yorkshire & The Humber,127946
2005-08-01,Yorkshire & The Humber,129053
2005-09-01,Yorkshire & The Humber,129295
2005-10-01,Yorkshire & The Humber,129477
2005-11-01,Yorkshire & The Humber,129596
2005-12-01,Yorkshire & The Humber,130416
2006-01-01,Yorkshire & The Humber,130043
2006-02-01,Yorkshire & The Humber,130998
2006-03-01,Yorkshire & The Humber,131602
2006-04-01,Yorkshire & The Humber,134859
2006-05-01,Yorkshire & The Humber,135180
2006-06-01,Yorkshire & The Humber,136554
2006-07-01,Yorkshire & The Humber,138362
2006-08-01,Yorkshire & The Humber,139890
2006-09-01,Yorkshire & The Humber,140053
2006-10-01,Yorkshire & The Humber,140644
2006-11-01,Yorkshire & The Humber,141286
2006-12-01,Yorkshire & The Humber,143129
2007-01-01,Yorkshire & The Humber,141824
2007-02-01,Yorkshire & The Humber,142084
2007-03-01,Yorkshire & The Humber,142716
2007-04-01,Yorkshire & The Humber,146140
2007-05-01,Yorkshire & The Humber,147844
2007-06-01,Yorkshire & The Humber,149372
2007-07-01,Yorkshire & The Humber,149681
2007-08-01,Yorkshire & The Humber,149887
2007-09-01,Yorkshire & The Humber,149366
2007-10-01,Yorkshire & The Humber,150233
2007-11-01,Yorkshire & The Humber,149918
2007-12-01,Yorkshire & The Humber,150186
2008-01-01,Yorkshire & The Humber,147225
2008-02-01,Yorkshire & The Humber,146749
2008-03-01,Yorkshire & The Humber,145187
2008-04-01,Yorkshire & The Humber,146226
2008-05-01,Yorkshire & The Humber,146896
2008-06-01,Yorkshire & The Humber,143970
2008-07-01,Yorkshire & The Humber,143731
2008-08-01,Yorkshire & The Humber,141353
2008-09-01,Yorkshire & The Humber,137625
2008-10-01,Yorkshire & The Humber,135400
2008-11-01,Yorkshire & The Humber,131332
2008-12-01,Yorkshire & The Humber,130032
2009-01-01,Yorkshire & The Humber,125554
2009-02-01,Yorkshire & The Humber,125758
2009-03-01,Yorkshire & The Humber,123833
2009-04-01,Yorkshire & The Humber,126502
2009-05-01,Yorkshire & The Humber,127197
2009-06-01,Yorkshire & The Humber,128130
2009-07-01,Yorkshire & The Humber,132156
2009-08-01,Yorkshire & The Humber,132277
2009-09-01,Yorkshire & The Humber,132027
2009-10-01,Yorkshire & The Humber,134008
2009-11-01,Yorkshire & The Humber,134226
2009-12-01,Yorkshire & The Humber,135139
2010-01-01,Yorkshire & The Humber,132780
2010-02-01,Yorkshire & The Humber,132740
2010-03-01,Yorkshire & The Humber,132707
2010-04-01,Yorkshire & The Humber,134399
2010-05-01,Yorkshire & The Humber,134781
2010-06-01,Yorkshire & The Humber,135393
2010-07-01,Yorkshire & The Humber,137281
2010-08-01,Yorkshire & The Humber,136896
2010-09-01,Yorkshire & The Humber,135480
2010-10-01,Yorkshire & The Humber,133059
2010-11-01,Yorkshire & The Humber,131548
2010-12-01,Yorkshire & The Humber,132685
2011-01-01,Yorkshire & The Humber,128975
2011-02-01,Yorkshire & The Humber,130825
2011-03-01,Yorkshire & The Humber,127764
2011-04-01,Yorkshire & The Humber,131790
2011-05-01,Yorkshire & The Humber,131713
2011-06-01,Yorkshire & The Humber,130288
2011-07-01,Yorkshire & The Humber,131165
2011-08-01,Yorkshire & The Humber,132380
2011-09-01,Yorkshire & The Humber,131546
2011-10-01,Yorkshire & The Humber,129243
2011-11-01,Yorkshire & The Humber,129847
2011-12-01,Yorkshire & The Humber,129614
2012-01-01,Yorkshire & The Humber,126763
2012-02-01,Yorkshire & The Humber,127906
2012-03-01,Yorkshire & The Humber,128570
2012-04-01,Yorkshire & The Humber,128045
2012-05-01,Yorkshire & The Humber,129642
2012-06-01,Yorkshire & The Humber,130979
2012-07-01,Yorkshire & The Humber,131167
2012-08-01,Yorkshire & The Humber,131781
2012-09-01,Yorkshire & The Humber,130579
2012-10-01,Yorkshire & The Humber,129217
2012-11-01,Yorkshire & The Humber,130287
2012-12-01,Yorkshire & The Humber,129701
2013-01-01,Yorkshire & The Humber,125516
2013-02-01,Yorkshire & The Humber,128099
2013-03-01,Yorkshire & The Humber,127679
2013-04-01,Yorkshire & The Humber,127980
2013-05-01,Yorkshire & The Humber,130027
2013-06-01,Yorkshire & The Humber,130724
2013-07-01,Yorkshire & The Humber,131471
2013-08-01,Yorkshire & The Humber,131934
2013-09-01,Yorkshire & The Humber,133207
2013-10-01,Yorkshire & The Humber,130967
2013-11-01,Yorkshire & The Humber,131770
2013-12-01,Yorkshire & The Humber,133265
2014-01-01,Yorkshire & The Humber,131526
2014-02-01,Yorkshire & The Humber,133566
2014-03-01,Yorkshire & The Humber,131800
2014-04-01,Yorkshire & The Humber,135527
2014-05-01,Yorkshire & The Humber,136372
2014-06-01,Yorkshire & The Humber,136406
2014-07-01,Yorkshire & The Humber,138056
2014-08-01,Yorkshire & The Humber,139749
2014-09-01,Yorkshire & The Humber,137813
2014-10-01,Yorkshire & The Humber,138639
2014-11-01,Yorkshire & The Humber,138291
2014-12-01,Yorkshire & The Humber,139199
2015-01-01,Yorkshire & The Humber,136169
2015-02-01,Yorkshire & The Humber,136993
2015-03-01,Yorkshire & The Humber,137740
2015-04-01,Yorkshire & The Humber,138435
2015-05-01,Yorkshire & The Humber,141654
2015-06-01,Yorkshire & The Humber,141872
2015-07-01,Yorkshire & The Humber,144733
2015-08-01,Yorkshire & The Humber,145313
2015-09-01,Yorkshire & The Humber,144635
2015-10-01,Yorkshire & The Humber,144325
2015-11-01,Yorkshire & The Humber,145036
2015-12-01,Yorkshire & The Humber,145531
2016-01-01,Yorkshire & The Humber,144594
2016-02-01,Yorkshire & The Humber,145064
2016-03-01,Yorkshire & The Humber,143824
2016-04-01,Yorkshire & The Humber,148145
2016-05-01,Yorkshire & The Humber,148712
2016-06-01,Yorkshire & The Humber,150349
2016-07-01,Yorkshire & The Humber,151334
2016-08-01,Yorkshire & The Humber,151486
2016-09-01,Yorkshire & The Humber,150519
2016-10-01,Yorkshire & The Humber,150358
2016-11-01,Yorkshire & The Humber,151219
2016-12-01,Yorkshire & The Humber,152583
2017-01-01,Yorkshire & The Humber,148916
2017-02-01,Yorkshire & The Humber,150721
2017-03-01,Yorkshire & The Humber,149660
2017-04-01,Yorkshire & The Humber,153248
2017-05-01,Yorkshire & The Humber,154547
2017-06-01,Yorkshire & The Humber,155802
2017-07-01,Yorkshire & The Humber,156514
2017-08-01,Yorkshire & The Humber,158077
2017-09-01,Yorkshire & The Humber,157934
2017-10-01,Yorkshire & The Humber,156897
2017-11-01,Yorkshire & The Humber,157088
2017-12-01,Yorkshire & The Humber,158435
2018-01-01,Yorkshire & The Humber,155888
2018-02-01,Yorkshire & The Humber,155694
2018-03-01,Yorkshire & The Humber,156466
2018-04-01,Yorkshire & The Humber,157431
2018-05-01,Yorkshire & The Humber,159541
2018-06-01,Yorkshire & The Humber,160484
2018-07-01,Yorkshire & The Humber,162020
2018-08-01,Yorkshire & The Humber,164088
2018-09-01,Yorkshire & The Humber,162180
2018-10-01,Yorkshire & The Humber,161750
2018-11-01,Yorkshire & The Humber,161471
2018-12-01,Yorkshire & The Humber,162130
2019-01-01,Yorkshire & The Humber,160341
2019-02-01,Yorkshire & The Humber,159284
2019-03-01,Yorkshire & The Humber,160771
2019-04-01,Yorkshire & The Humber,161839
2019-05-01,Yorkshire & The Humber,162208
2019-06-01,Yorkshire & The Humber,163658
2019-07-01,Yorkshire & The Humber,164990
2019-08-01,Yorkshire & The Humber,165547
2019-09-01,Yorkshire & The Humber,165445
2019-10-01,Yorkshire & The Humber,166226
2019-11-01,Yorkshire & The Humber,164876
2019-12-01,Yorkshire & The Humber,165654
2020-01-01,Yorkshire & The Humber,164553
2020-02-01,Yorkshire & The Humber,164353
2020-03-01,Yorkshire & The Humber,165360
2020-04-01,Yorkshire & The Humber,160140
2020-05-01,Yorkshire & The Humber,164970
2020-06-01,Yorkshire & The Humber,167941
2020-07-01,Yorkshire & The Humber,168740
2020-08-01,Yorkshire & The Humber,171000
2020-09-01,Yorkshire & The Humber,171828
2020-10-01,Yorkshire & The Humber,174360
2020-11-01,Yorkshire & The Humber,178145
2020-12-01,Yorkshire & The Humber,179235
2021-01-01,Yorkshire & The Humber,181647
2021-02-01,Yorkshire & The Humber,181711
2021-03-01,Yorkshire & The Humber,183840
2021-04-01,Yorkshire & The Humber,179978
2021-05-01,Yorkshire & The Humber,182699
2021-06-01,Yorkshire & The Humber,195834
2021-07-01,Yorkshire & The Humber,180171
2021-08-01,Yorkshire & The Humber,187676
2021-09-01,Yorkshire & The Humber,197529
2021-10-01,Yorkshire & The Humber,189185
2021-11-01,Yorkshire & The Humber,191036
2005-01-01,East Midlands,135281
2005-02-01,East Midlands,136774
2005-03-01,East Midlands,137121
2005-04-01,East Midlands,138634
2005-05-01,East Midlands,140205
2005-06-01,East Midlands,139707
2005-07-01,East Midlands,141437
2005-08-01,East Midlands,142518
2005-09-01,East Midlands,141382
2005-10-01,East Midlands,142601
2005-11-01,East Midlands,142597
2005-12-01,East Midlands,142296
2006-01-01,East Midlands,140443
2006-02-01,East Midlands,140814
2006-03-01,East Midlands,141418
2006-04-01,East Midlands,145425
2006-05-01,East Midlands,145116
2006-06-01,East Midlands,146426
2006-07-01,East Midlands,149079
2006-08-01,East Midlands,149752
2006-09-01,East Midlands,148304
2006-10-01,East Midlands,149835
2006-11-01,East Midlands,150106
2006-12-01,East Midlands,151841
2007-01-01,East Midlands,151360
2007-02-01,East Midlands,152008
2007-03-01,East Midlands,152595
2007-04-01,East Midlands,154051
2007-05-01,East Midlands,154459
2007-06-01,East Midlands,156216
2007-07-01,East Midlands,157902
2007-08-01,East Midlands,159023
2007-09-01,East Midlands,159537
2007-10-01,East Midlands,157562
2007-11-01,East Midlands,157962
2007-12-01,East Midlands,157244
2008-01-01,East Midlands,153065
2008-02-01,East Midlands,153034
2008-03-01,East Midlands,152241
2008-04-01,East Midlands,152448
2008-05-01,East Midlands,152126
2008-06-01,East Midlands,151545
2008-07-01,East Midlands,150970
2008-08-01,East Midlands,146193
2008-09-01,East Midlands,142592
2008-10-01,East Midlands,140155
2008-11-01,East Midlands,134902
2008-12-01,East Midlands,134826
2009-01-01,East Midlands,131716
2009-02-01,East Midlands,129876
2009-03-01,East Midlands,129915
2009-04-01,East Midlands,130372
2009-05-01,East Midlands,129878
2009-06-01,East Midlands,133112
2009-07-01,East Midlands,134249
2009-08-01,East Midlands,136342
2009-09-01,East Midlands,136490
2009-10-01,East Midlands,138349
2009-11-01,East Midlands,138539
2009-12-01,East Midlands,140587
2010-01-01,East Midlands,136462
2010-02-01,East Midlands,139602
2010-03-01,East Midlands,137857
2010-04-01,East Midlands,139450
2010-05-01,East Midlands,141760
2010-06-01,East Midlands,142143
2010-07-01,East Midlands,142973
2010-08-01,East Midlands,144010
2010-09-01,East Midlands,142087
2010-10-01,East Midlands,141097
2010-11-01,East Midlands,139935
2010-12-01,East Midlands,139103
2011-01-01,East Midlands,136418
2011-02-01,East Midlands,137220
2011-03-01,East Midlands,136388
2011-04-01,East Midlands,137100
2011-05-01,East Midlands,137464
2011-06-01,East Midlands,137793
2011-07-01,East Midlands,140060
2011-08-01,East Midlands,140623
2011-09-01,East Midlands,138920
2011-10-01,East Midlands,137499
2011-11-01,East Midlands,137839
2011-12-01,East Midlands,138723
2012-01-01,East Midlands,136369
2012-02-01,East Midlands,136102
2012-03-01,East Midlands,137025
2012-04-01,East Midlands,138440
2012-05-01,East Midlands,138251
2012-06-01,East Midlands,139459
2012-07-01,East Midlands,140983
2012-08-01,East Midlands,139793
2012-09-01,East Midlands,139262
2012-10-01,East Midlands,139395
2012-11-01,East Midlands,139511
2012-12-01,East Midlands,138977
2013-01-01,East Midlands,137537
2013-02-01,East Midlands,137599
2013-03-01,East Midlands,138562
2013-04-01,East Midlands,139314
2013-05-01,East Midlands,141012
2013-06-01,East Midlands,141367
2013-07-01,East Midlands,142534
2013-08-01,East Midlands,144030
2013-09-01,East Midlands,143553
2013-10-01,East Midlands,144444
2013-11-01,East Midlands,143522
2013-12-01,East Midlands,145942
2014-01-01,East Midlands,145261
2014-02-01,East Midlands,146741
2014-03-01,East Midlands,146448
2014-04-01,East Midlands,149319
2014-05-01,East Midlands,150008
2014-06-01,East Midlands,151454
2014-07-01,East Midlands,152658
2014-08-01,East Midlands,155033
2014-09-01,East Midlands,155263
2014-10-01,East Midlands,154170
2014-11-01,East Midlands,154009
2014-12-01,East Midlands,153904
2015-01-01,East Midlands,153669
2015-02-01,East Midlands,154210
2015-03-01,East Midlands,154728
2015-04-01,East Midlands,155680
2015-05-01,East Midlands,157709
2015-06-01,East Midlands,158960
2015-07-01,East Midlands,161180
2015-08-01,East Midlands,163208
2015-09-01,East Midlands,162174
2015-10-01,East Midlands,163771
2015-11-01,East Midlands,164460
2015-12-01,East Midlands,165081
2016-01-01,East Midlands,164946
2016-02-01,East Midlands,164383
2016-03-01,East Midlands,165175
2016-04-01,East Midlands,167913
2016-05-01,East Midlands,168771
2016-06-01,East Midlands,170091
2016-07-01,East Midlands,171782
2016-08-01,East Midlands,172649
2016-09-01,East Midlands,173272
2016-10-01,East Midlands,172479
2016-11-01,East Midlands,173872
2016-12-01,East Midlands,174665
2017-01-01,East Midlands,172959
2017-02-01,East Midlands,175110
2017-03-01,East Midlands,174956
2017-04-01,East Midlands,177942
2017-05-01,East Midlands,178966
2017-06-01,East Midlands,180204
2017-07-01,East Midlands,183172
2017-08-01,East Midlands,182763
2017-09-01,East Midlands,183816
2017-10-01,East Midlands,184044
2017-11-01,East Midlands,183974
2017-12-01,East Midlands,184942
2018-01-01,East Midlands,184574
2018-02-01,East Midlands,187235
2018-03-01,East Midlands,184845
2018-04-01,East Midlands,187276
2018-05-01,East Midlands,188826
2018-06-01,East Midlands,189259
2018-07-01,East Midlands,191231
2018-08-01,East Midlands,192610
2018-09-01,East Midlands,194049
2018-10-01,East Midlands,191666
2018-11-01,East Midlands,192979
2018-12-01,East Midlands,191694
2019-01-01,East Midlands,191237
2019-02-01,East Midlands,190990
2019-03-01,East Midlands,190586
2019-04-01,East Midlands,191571
2019-05-01,East Midlands,191927
2019-06-01,East Midlands,192029
2019-07-01,East Midlands,193480
2019-08-01,East Midlands,195345
2019-09-01,East Midlands,194867
2019-10-01,East Midlands,194705
2019-11-01,East Midlands,194873
2019-12-01,East Midlands,194489
2020-01-01,East Midlands,195100
2020-02-01,East Midlands,193480
2020-03-01,East Midlands,195701
2020-04-01,East Midlands,195185
2020-05-01,East Midlands,194596
2020-06-01,East Midlands,198494
2020-07-01,East Midlands,200434
2020-08-01,East Midlands,200918
2020-09-01,East Midlands,201616
2020-10-01,East Midlands,204424
2020-11-01,East Midlands,207054
2020-12-01,East Midlands,209719
2021-01-01,East Midlands,211303
2021-02-01,East Midlands,213012
2021-03-01,East Midlands,214538
2021-04-01,East Midlands,211973
2021-05-01,East Midlands,214006
2021-06-01,East Midlands,225723
2021-07-01,East Midlands,212327
2021-08-01,East Midlands,221272
2021-09-01,East Midlands,230202
2021-10-01,East Midlands,228338
2021-11-01,East Midlands,229277
2005-01-01,West Midlands,140028
2005-02-01,West Midlands,141548
2005-03-01,West Midlands,141930
2005-04-01,West Midlands,143202
2005-05-01,West Midlands,144167
2005-06-01,West Midlands,146219
2005-07-01,West Midlands,147649
2005-08-01,West Midlands,148529
2005-09-01,West Midlands,147680
2005-10-01,West Midlands,147573
2005-11-01,West Midlands,148518
2005-12-01,West Midlands,148914
2006-01-01,West Midlands,147576
2006-02-01,West Midlands,148738
2006-03-01,West Midlands,148994
2006-04-01,West Midlands,150422
2006-05-01,West Midlands,154180
2006-06-01,West Midlands,153497
2006-07-01,West Midlands,153551
2006-08-01,West Midlands,155921
2006-09-01,West Midlands,156665
2006-10-01,West Midlands,156493
2006-11-01,West Midlands,157410
2006-12-01,West Midlands,158291
2007-01-01,West Midlands,157384
2007-02-01,West Midlands,157787
2007-03-01,West Midlands,158644
2007-04-01,West Midlands,161809
2007-05-01,West Midlands,162202
2007-06-01,West Midlands,162624
2007-07-01,West Midlands,163918
2007-08-01,West Midlands,165807
2007-09-01,West Midlands,165011
2007-10-01,West Midlands,165390
2007-11-01,West Midlands,164201
2007-12-01,West Midlands,165241
2008-01-01,West Midlands,161758
2008-02-01,West Midlands,162208
2008-03-01,West Midlands,160432
2008-04-01,West Midlands,159743
2008-05-01,West Midlands,161333
2008-06-01,West Midlands,159656
2008-07-01,West Midlands,156057
2008-08-01,West Midlands,153811
2008-09-01,West Midlands,151810
2008-10-01,West Midlands,148779
2008-11-01,West Midlands,144774
2008-12-01,West Midlands,141893
2009-01-01,West Midlands,139999
2009-02-01,West Midlands,138503
2009-03-01,West Midlands,136966
2009-04-01,West Midlands,137313
2009-05-01,West Midlands,139243
2009-06-01,West Midlands,139485
2009-07-01,West Midlands,143597
2009-08-01,West Midlands,144704
2009-09-01,West Midlands,144956
2009-10-01,West Midlands,146929
2009-11-01,West Midlands,146230
2009-12-01,West Midlands,148354
2010-01-01,West Midlands,146424
2010-02-01,West Midlands,147484
