Date,Share price ($),Volume traded (millions)
2020-09-10,6.23,15.5583
2020-09-11,6.09,6.0612
2020-09-14,6.91,10.119
2020-09-15,7.09,5.7435
2020-09-16,8.68,19.2563
2020-09-17,9.2,17.0267
2020-09-18,9.47,17.4075
2020-09-21,8.75,7.6398
2020-09-22,10.56,34.7525
2020-09-23,10.04,10.6512
2020-09-24,9.14,7.9388
2020-09-25,10.02,7.5152
2020-09-28,10.09,6.7643
2020-09-29,10.35,5.2376
2020-09-30,10.2,6.079
2020-10-01,9.77,4.5541
2020-10-02,9.39,4.3405
2020-10-05,9.46,2.805
2020-10-06,9.13,4.5354
2020-10-07,9.36,3.3086
2020-10-08,13.49,76.4536
2020-10-09,12.02,77.1528
2020-10-12,11.8,23.6557
2020-10-13,11.88,10.1797
2020-10-14,12.25,10.7768
2020-10-15,13.83,39.8948
2020-10-16,13.31,11.6516
2020-10-19,13.91,13.1691
2020-10-20,13.86,6.604
2020-10-21,14.1,5.3619
2020-10-22,14.91,16.2122
2020-10-23,15,6.5073
2020-10-26,13.45,13.3763
2020-10-27,12.69,7.231
2020-10-28,11.82,6.3886
2020-10-29,11.73,4.1658
2020-10-30,10.47,11.5469
2020-11-02,10.75,5.227
2020-11-03,11.57,7.4545
2020-11-04,10.91,5.8079
2020-11-05,11.45,4.7052
2020-11-06,11.86,5.5182
2020-11-09,11.49,6.2449
2020-11-10,11.1,3.826
2020-11-11,11.75,4.8826
2020-11-12,11.13,4.3533
2020-11-13,11.01,3.5359
2020-11-16,12.06,9.7748
2020-11-17,11.63,6.6782
2020-11-18,11.57,3.1692
2020-11-19,12.46,11.7876
2020-11-20,12.71,8.3954
2020-11-23,13.9,9.5991
2020-11-24,13.67,7.1832
2020-11-25,14.75,8.8601
2020-11-27,16.08,12.5042
2020-11-30,16.559999,31.9835
2020-12-01,15.8,12.666
2020-12-02,16.58,7.8834
2020-12-03,16.120001,6.295
2020-12-04,16.9,8.9727
2020-12-07,16.35,7.3863
2020-12-08,16.940001,16.1202
2020-12-09,13.66,24.3579
2020-12-10,14.12,7.5589
2020-12-11,13.31,7.4969
2020-12-14,12.72,10.0071
2020-12-15,13.85,8.1929
2020-12-16,13.85,5.8651
2020-12-17,14.83,8.1949
2020-12-18,15.63,16.6188
2020-12-21,15.53,9.8761
2020-12-22,19.459999,30.6527
2020-12-23,20.57,25.8303
2020-12-24,20.15,6.2622
2020-12-28,20.99,8.9659
2020-12-29,19.379999,9.2414
2020-12-30,19.26,5.9344
2020-12-31,18.84,6.9189
2021-01-04,17.25,10.0225
2021-01-05,17.370001,4.9615
2021-01-06,18.360001,6.0562
2021-01-07,18.08,6.1293
2021-01-08,17.690001,6.4645
2021-01-11,19.940001,14.9276
2021-01-12,19.950001,7.0607
2021-01-13,31.4,144.5017
2021-01-14,39.91,93.7174
2021-01-15,35.5,46.7522
2021-01-19,39.360001,74.7219
2021-01-20,39.119999,33.4718
2021-01-21,43.029999,57.0798
2021-01-22,65.010002,196.7843
2021-01-25,76.790001,177.874
2021-01-26,147.979996,178.588
2021-01-27,347.51001,93.3967
2021-01-28,193.600006,57.0104
