date,index,value
2020-05-01,CPIH,0.7
2020-06-01,CPIH,0.8
2020-07-01,CPIH,1.1
2020-08-01,CPIH,0.5
2020-09-01,CPIH,0.7
2020-10-01,CPIH,0.9
2020-11-01,CPIH,0.6
2020-12-01,CPIH,0.8
2021-01-01,CPIH,0.9
2021-02-01,CPIH,0.7
2021-03-01,CPIH,1
2021-04-01,CPIH,1.6
2021-05-01,CPIH,2.1
2021-06-01,CPIH,2.4
2021-07-01,CPIH,2.1
2021-08-01,CPIH,3
2021-09-01,CPIH,2.9
2021-10-01,CPIH,3.8
2021-11-01,CPIH,4.6
2021-12-01,CPIH,4.8
2022-01-01,CPIH,4.9
2022-02-01,CPIH,5.5
2022-03-01,CPIH,6.2
2012-03-01,CPI,3.5
2012-04-01,CPI,3
2012-05-01,CPI,2.8
2012-06-01,CPI,2.4
2012-07-01,CPI,2.6
2012-08-01,CPI,2.5
2012-09-01,CPI,2.2
2012-10-01,CPI,2.7
2012-11-01,CPI,2.7
2012-12-01,CPI,2.7
2013-01-01,CPI,2.7
2013-02-01,CPI,2.8
2013-03-01,CPI,2.8
2013-04-01,CPI,2.4
2013-05-01,CPI,2.7
2013-06-01,CPI,2.9
2013-07-01,CPI,2.8
2013-08-01,CPI,2.7
2013-09-01,CPI,2.7
2013-10-01,CPI,2.2
2013-11-01,CPI,2.1
2013-12-01,CPI,2
2014-01-01,CPI,1.9
2014-02-01,CPI,1.7
2014-03-01,CPI,1.6
2014-04-01,CPI,1.8
2014-05-01,CPI,1.5
2014-06-01,CPI,1.9
2014-07-01,CPI,1.6
2014-08-01,CPI,1.5
2014-09-01,CPI,1.2
2014-10-01,CPI,1.3
2014-11-01,CPI,1
2014-12-01,CPI,0.5
2015-01-01,CPI,0.3
2015-02-01,CPI,0
2015-03-01,CPI,0
2015-04-01,CPI,-0.1
2015-05-01,CPI,0.1
2015-06-01,CPI,0
2015-07-01,CPI,0.1
2015-08-01,CPI,0
2015-09-01,CPI,-0.1
2015-10-01,CPI,-0.1
2015-11-01,CPI,0.1
2015-12-01,CPI,0.2
2016-01-01,CPI,0.3
2016-02-01,CPI,0.3
2016-03-01,CPI,0.5
2016-04-01,CPI,0.3
2016-05-01,CPI,0.3
2016-06-01,CPI,0.5
2016-07-01,CPI,0.6
2016-08-01,CPI,0.6
2016-09-01,CPI,1
2016-10-01,CPI,0.9
2016-11-01,CPI,1.2
2016-12-01,CPI,1.6
2017-01-01,CPI,1.8
2017-02-01,CPI,2.3
2017-03-01,CPI,2.3
2017-04-01,CPI,2.7
2017-05-01,CPI,2.9
2017-06-01,CPI,2.6
2017-07-01,CPI,2.6
2017-08-01,CPI,2.9
2017-09-01,CPI,3
2017-10-01,CPI,3
2017-11-01,CPI,3.1
2017-12-01,CPI,3
2018-01-01,CPI,3
2018-02-01,CPI,2.7
2018-03-01,CPI,2.5
2018-04-01,CPI,2.4
2018-05-01,CPI,2.4
2018-06-01,CPI,2.4
2018-07-01,CPI,2.5
2018-08-01,CPI,2.7
2018-09-01,CPI,2.4
2018-10-01,CPI,2.4
2018-11-01,CPI,2.3
2018-12-01,CPI,2.1
2019-01-01,CPI,1.8
2019-02-01,CPI,1.9
2019-03-01,CPI,1.9
2019-04-01,CPI,2.1
2019-05-01,CPI,2
2019-06-01,CPI,2
2019-07-01,CPI,2.1
2019-08-01,CPI,1.7
2019-09-01,CPI,1.7
2019-10-01,CPI,1.5
2019-11-01,CPI,1.5
2019-12-01,CPI,1.3
2020-01-01,CPI,1.8
2020-02-01,CPI,1.7
2020-03-01,CPI,1.5
2020-04-01,CPI,0.8
2020-05-01,CPI,0.5
2020-06-01,CPI,0.6
2020-07-01,CPI,1
2020-08-01,CPI,0.2
2020-09-01,CPI,0.5
2020-10-01,CPI,0.7
2020-11-01,CPI,0.3
2020-12-01,CPI,0.6
2021-01-01,CPI,0.7
2021-02-01,CPI,0.4
2021-03-01,CPI,0.7
2021-04-01,CPI,1.5
2021-05-01,CPI,2.1
2021-06-01,CPI,2.5
2021-07-01,CPI,2
2021-08-01,CPI,3.2
2021-09-01,CPI,3.1
2021-10-01,CPI,4.2
2021-11-01,CPI,5.1
2021-12-01,CPI,5.4
2022-01-01,CPI,5.5
2022-02-01,CPI,6.2
2022-03-01,CPI,7
2012-03-01,OOH,1.7
2012-04-01,OOH,1.7
2012-05-01,OOH,1.6
2012-06-01,OOH,1.6
2012-07-01,OOH,1.6
2012-08-01,OOH,1.7
2012-09-01,OOH,1.7
2012-10-01,OOH,1.6
2012-11-01,OOH,1.7
2012-12-01,OOH,1.6
2013-01-01,OOH,1.5
2013-02-01,OOH,1.5
2013-03-01,OOH,1.5
2013-04-01,OOH,1.5
2013-05-01,OOH,1.5
2013-06-01,OOH,1.4
2013-07-01,OOH,1.5
2013-08-01,OOH,1.4
2013-09-01,OOH,1.2
2013-10-01,OOH,1.3
2013-11-01,OOH,1.4
2013-12-01,OOH,1.3
2014-01-01,OOH,1.3
2014-02-01,OOH,1.3
2014-03-01,OOH,1.2
2014-04-01,OOH,1.3
2014-05-01,OOH,1.3
2014-06-01,OOH,1.4
2014-07-01,OOH,1.5
2014-08-01,OOH,1.6
2014-09-01,OOH,1.7
2014-10-01,OOH,1.7
2014-11-01,OOH,1.6
2014-12-01,OOH,1.7
2015-01-01,OOH,1.9
2015-02-01,OOH,1.9
2015-03-01,OOH,2
2015-04-01,OOH,1.9
2015-05-01,OOH,1.8
2015-06-01,OOH,1.9
2015-07-01,OOH,1.8
2015-08-01,OOH,1.8
2015-09-01,OOH,1.8
2015-10-01,OOH,1.8
2015-11-01,OOH,1.9
2015-12-01,OOH,1.9
2016-01-01,OOH,2
2016-02-01,OOH,2
2016-03-01,OOH,2.1
2016-04-01,OOH,2.2
2016-05-01,OOH,2.3
2016-06-01,OOH,2.3
2016-07-01,OOH,2.4
2016-08-01,OOH,2.4
2016-09-01,OOH,2.4
2016-10-01,OOH,2.7
2016-11-01,OOH,2.6
2016-12-01,OOH,2.6
2017-01-01,OOH,2.5
2017-02-01,OOH,2.5
2017-03-01,OOH,2.4
2017-04-01,OOH,2.2
2017-05-01,OOH,2.1
2017-06-01,OOH,2
2017-07-01,OOH,2
2017-08-01,OOH,1.9
2017-09-01,OOH,1.9
2017-10-01,OOH,1.6
2017-11-01,OOH,1.5
2017-12-01,OOH,1.3
2018-01-01,OOH,1.2
2018-02-01,OOH,1.2
2018-03-01,OOH,1.2
2018-04-01,OOH,1.2
2018-05-01,OOH,1.1
2018-06-01,OOH,1.1
2018-07-01,OOH,1.1
2018-08-01,OOH,1
2018-09-01,OOH,1
2018-10-01,OOH,1.1
2018-11-01,OOH,1.1
2018-12-01,OOH,1.2
2019-01-01,OOH,1.1
2019-02-01,OOH,1.1
2019-03-01,OOH,1.1
2019-04-01,OOH,1.2
2019-05-01,OOH,1.2
2019-06-01,OOH,1.2
2019-07-01,OOH,1.2
2019-08-01,OOH,1.1
2019-09-01,OOH,1.1
2019-10-01,OOH,1.2
2019-11-01,OOH,1.2
2019-12-01,OOH,1.2
2020-01-01,OOH,1.3
2020-02-01,OOH,1.2
2020-03-01,OOH,1.3
2020-04-01,OOH,1.1
2020-05-01,OOH,1.1
2020-06-01,OOH,1.2
2020-07-01,OOH,1.1
2020-08-01,OOH,1.1
2020-09-01,OOH,1.2
2020-10-01,OOH,1.2
2020-11-01,OOH,1.2
2020-12-01,OOH,1.3
2021-01-01,OOH,1.3
2021-02-01,OOH,1.4
2021-03-01,OOH,1.3
2021-04-01,OOH,1.4
2021-05-01,OOH,1.5
2021-06-01,OOH,1.6
2021-07-01,OOH,1.6
2021-08-01,OOH,1.7
2021-09-01,OOH,1.8
2021-10-01,OOH,1.9
2021-11-01,OOH,2.1
2021-12-01,OOH,2.2
2022-01-01,OOH,2.4
2022-02-01,OOH,2.5
2022-03-01,OOH,2.7
