Date,Year,Value,Detail
04-08,2019,111657,
04-09,2019,111711,
04-10,2019,110815,
04-11,2019,107306,
04-12,2019,107548,
04-13,2019,107926,
04-14,2019,107889,
04-15,2019,108035,
04-16,2019,108405,
04-17,2019,109615,
04-18,2019,113411,
04-19,2019,112605,
04-20,2019,112414,
04-21,2019,112364,
04-22,2019,112311,
04-23,2019,112427,
04-24,2019,112403,
04-25,2019,112508,
04-26,2019,113320,
04-27,2019,113672,
04-28,2019,114231,
04-29,2019,114498,
04-30,2019,114268,
05-01,2019,114037,
05-02,2019,113797,
05-03,2019,114062,
05-04,2019,114211,
05-05,2019,114290,
05-06,2019,114318,
05-07,2019,114439,
05-08,2019,114463,
05-09,2019,114343,
05-10,2019,114322,
05-11,2019,114083,
05-12,2019,113675,
05-13,2019,113632,
05-14,2019,113685,
05-15,2019,114107,
05-16,2019,114573,
05-17,2019,114698,
05-18,2019,114811,
05-19,2019,115121,
05-20,2019,115251,
05-21,2019,115216,
05-22,2019,115369,
05-23,2019,115480,
05-24,2019,115797,
05-25,2019,116010,
05-26,2019,115514,
05-27,2019,114936,
05-28,2019,114943,
05-29,2019,114822,
05-30,2019,114723,
05-31,2019,114710,
06-01,2019,115205,
06-02,2019,116372,
06-03,2019,117689,
06-04,2019,118343,
06-05,2019,118714,
06-06,2019,119253,
06-07,2019,119610,
06-08,2019,119762,
06-09,2019,119732,
06-10,2019,119598,
06-11,2019,120087,
06-12,2019,120564,
06-13,2019,120906,
06-14,2019,121333,
06-15,2019,121558,
06-16,2019,121787,
06-17,2019,122204,
06-18,2019,122191,
06-19,2019,122324,
06-20,2019,122285,
06-21,2019,122100,
06-22,2019,122113,
06-23,2019,122313,
06-24,2019,122354,
06-25,2019,122346,
06-26,2019,122408,
06-27,2019,122822,
06-28,2019,123014,
06-29,2019,123285,
06-30,2019,123304,
07-01,2019,123088,
07-02,2019,122930,
07-03,2019,122875,
07-04,2019,121502,
07-05,2019,120326,
07-06,2019,120103,
07-07,2019,120591,
07-08,2019,121323,
07-09,2019,122033,
07-10,2019,122356,
07-11,2019,123687,
07-12,2019,125118,
07-13,2019,125684,
07-14,2019,125618,
07-15,2019,125484,
07-16,2019,125453,
07-17,2019,125329,
07-18,2019,125431,
07-19,2019,125423,
07-20,2019,125406,
07-21,2019,125372,
07-22,2019,125253,
07-23,2019,125155,
07-24,2019,125378,
07-25,2019,125506,
07-26,2019,125508,
07-27,2019,125507,
07-28,2019,125581,
07-29,2019,125457,
07-30,2019,125281,
07-31,2019,124986,
08-01,2019,124764,
08-02,2019,124615,
08-03,2019,124656,
08-04,2019,124604,
08-05,2019,124609,
08-06,2019,124485,
08-07,2019,124282,
08-08,2019,124191,
08-09,2019,123933,
08-10,2019,123506,
08-11,2019,123233,
08-12,2019,123140,
08-13,2019,123122,
08-14,2019,123391,
08-15,2019,123261,
08-16,2019,123491,
08-17,2019,123668,
08-18,2019,123840,
08-19,2019,123923,
08-20,2019,124042,
08-21,2019,123948,
08-22,2019,124221,
08-23,2019,124202,
08-24,2019,124001,
08-25,2019,123938,
08-26,2019,123817,
08-27,2019,123696,
08-28,2019,123842,
08-29,2019,123862,
08-30,2019,123911,
08-31,2019,123840,
09-01,2019,122603,
09-02,2019,121689,
09-03,2019,120484,
09-04,2019,119624,
09-05,2019,119004,
09-06,2019,118329,
09-07,2019,117842,
09-08,2019,118637,
09-09,2019,119179,
09-10,2019,119942,
09-11,2019,120320,
09-12,2019,120578,
09-13,2019,120893,
09-14,2019,120991,
09-15,2019,121058,
09-16,2019,121176,
09-17,2019,121445,
09-18,2019,121534,
09-19,2019,121420,
09-20,2019,121388,
09-21,2019,121408,
09-22,2019,121233,
09-23,2019,121159,
09-24,2019,120908,
09-25,2019,120809,
09-26,2019,120884,
09-27,2019,120868,
09-28,2019,120791,
09-29,2019,120816,
09-30,2019,120784,
10-01,2019,120418,
10-02,2019,120140,
10-03,2019,119784,
10-04,2019,119659,
10-05,2019,119575,
10-06,2019,119440,
10-07,2019,119427,
10-08,2019,119591,
10-09,2019,119432,
10-10,2019,119304,
10-11,2019,119017,
10-12,2019,118592,
10-13,2019,118405,
10-14,2019,118221,
10-15,2019,118103,
10-16,2019,118040,
10-17,2019,118134,
10-18,2019,118424,
10-19,2019,118824,
10-20,2019,118808,
10-21,2019,118656,
10-22,2019,118670,
10-23,2019,118805,
10-24,2019,118763,
10-25,2019,118506,
10-26,2019,118220,
10-27,2019,117658,
10-28,2019,117232,
10-29,2019,116577,
10-30,2019,115799,
10-31,2019,114694,
11-01,2019,113614,
11-02,2019,113062,
11-03,2019,112916,
11-04,2019,112929,
11-05,2019,112870,
11-06,2019,112905,
11-07,2019,113230,
11-08,2019,113745,
11-09,2019,113627,
11-10,2019,113634,
11-11,2019,113111,
11-12,2019,112999,
11-13,2019,112996,
11-14,2019,113081,
11-15,2019,113181,
11-16,2019,113160,
11-17,2019,113057,
11-18,2019,113312,
11-19,2019,113319,
11-20,2019,113185,
11-21,2019,113017,
11-22,2019,113000,
11-23,2019,113222,
11-24,2019,113397,
11-25,2019,113148,
11-26,2019,113045,
11-27,2019,113146,
11-28,2019,111726,
11-29,2019,109652,
11-30,2019,109376,
12-01,2019,109789,
12-02,2019,110335,
12-03,2019,110608,
12-04,2019,110739,
12-05,2019,112247,
12-06,2019,114178,
12-07,2019,114148,
12-08,2019,113480,
12-09,2019,112977,
12-10,2019,112666,
12-11,2019,112482,
12-12,2019,112586,
12-13,2019,112541,
12-14,2019,112630,
12-15,2019,112699,
12-16,2019,112960,
12-17,2019,113087,
12-18,2019,113424,
12-19,2019,113870,
12-20,2019,114577,
12-21,2019,115925,
12-22,2019,116823,
12-23,2019,116967,
12-24,2019,115534,
12-25,2019,111321,
12-26,2019,109471,
12-27,2019,108607,
12-28,2019,108049,
12-29,2019,107679,
12-30,2019,107173,
12-31,2019,107148,
01-01,2020,108395,
01-02,2020,109083,
01-03,2020,109020,
01-04,2020,108889,
01-05,2020,109028,
01-06,2020,109401,
01-07,2020,110699,
01-08,2020,112784,
01-09,2020,113028,
01-10,2020,113094,
01-11,2020,112128,
01-12,2020,111337,
01-13,2020,111079,
01-14,2020,110793,
01-15,2020,111014,
01-16,2020,111126,
01-17,2020,111218,
01-18,2020,111329,
01-19,2020,111249,
01-20,2020,111451,
01-21,2020,111866,
01-22,2020,111905,
01-23,2020,111988,
01-24,2020,111692,
01-25,2020,111474,
01-26,2020,111437,
01-27,2020,111052,
01-28,2020,110365,
01-29,2020,109742,
01-30,2020,109033,
01-31,2020,108538,
02-01,2020,107920,
02-02,2020,106937,
02-03,2020,106023,
02-04,2020,105043,
02-05,2020,104168,
02-06,2020,103129,
02-07,2020,102282,
02-08,2020,102029,
02-09,2020,101403,
02-10,2020,100733,
02-11,2020,100466,
02-12,2020,100332,
02-13,2020,100395,
02-14,2020,100782,
02-15,2020,100772,
02-16,2020,100926,
02-17,2020,101059,
02-18,2020,101298,
02-19,2020,101705,
02-20,2020,101882,
02-21,2020,101872,
02-22,2020,102030,
02-23,2020,102449,
02-24,2020,102687,
02-25,2020,102799,
02-26,2020,102774,
02-27,2020,102910,
02-28,2020,102967,
03-01,2020,103397,
03-02,2020,103761,
03-03,2020,104001,
03-04,2020,104064,
03-05,2020,104161,
03-06,2020,104086,
03-07,2020,103987,
03-08,2020,103818,
03-09,2020,103299,
03-10,2020,102651,
03-11,2020,102116,
03-12,2020,101297,
03-13,2020,100363,
03-14,2020,99517,
03-15,2020,98288,
03-16,2020,96839,
03-17,2020,94822,
03-18,2020,91911,
03-19,2020,88365,
03-20,2020,84416,
03-21,2020,80479,
03-22,2020,75708,
03-23,2020,70288,
03-24,2020,65538,
03-25,2020,60743,
03-26,2020,56296,
03-27,2020,51832,
03-28,2020,48224,
03-29,2020,45042,
03-30,2020,42447,
03-31,2020,40332,
04-01,2020,38848,
04-02,2020,37193,
04-03,2020,35892,
04-04,2020,34566,
04-05,2020,33449,
04-06,2020,32699,
04-07,2020,31885,
04-08,2020,31214,
04-09,2020,30816,
04-10,2020,30167,
04-11,2020,29849,
04-12,2020,29442,
04-13,2020,28798,
04-14,2020,28502,
04-15,2020,28232,
04-16,2020,28028,
04-17,2020,28053,
04-18,2020,27969,
04-19,2020,27986,
04-20,2020,28086,
04-21,2020,27984,
04-22,2020,27997,
04-23,2020,28064,
04-24,2020,28152,
04-25,2020,28181,
04-26,2020,28181,
04-27,2020,28294,
04-28,2020,28500,
04-29,2020,28702,
04-30,2020,29097,
05-01,2020,29190,
05-02,2020,29212,
05-03,2020,29327,
05-04,2020,29658,
05-05,2020,30094,
05-06,2020,30359,
05-07,2020,30559,
05-08,2020,30980,
05-09,2020,31436,
05-10,2020,31878,
05-11,2020,32198,
05-12,2020,32274,
05-13,2020,32543,
05-14,2020,32783,
05-15,2020,33116,
05-16,2020,33387,
05-17,2020,33638,
05-18,2020,33839,
05-19,2020,34085,
05-20,2020,34499,
05-21,2020,34755,
05-22,2020,35046,
05-23,2020,35221,
05-24,2020,35255,
05-25,2020,35245,
05-26,2020,35139,
05-27,2020,35228,
05-28,2020,35417,
05-29,2020,35657,
05-30,2020,35870,
05-31,2020,36387,
06-01,2020,37170,
06-02,2020,38086,
06-03,2020,38632,
06-04,2020,39257,
06-05,2020,39936,
06-06,2020,40552,
06-07,2020,41167,
06-08,2020,41649,
06-09,2020,41968,
06-10,2020,42440,
06-11,2020,42964,
06-12,2020,43438,
06-13,2020,43795,
06-14,2020,44233,
06-15,2020,44843,
06-16,2020,45357,
06-17,2020,45658,
06-18,2020,45987,
06-19,2020,46274,
06-20,2020,46731,
06-21,2020,47056,
06-22,2020,47348,
06-23,2020,47638,
06-24,2020,48161,
06-25,2020,48465,
06-26,2020,48667,
06-27,2020,48996,
06-28,2020,49318,
06-29,2020,49428,
06-30,2020,49717,
07-01,2020,50376,
07-02,2020,51388,
07-03,2020,52535,
07-04,2020,52930,
07-05,2020,53945,
07-06,2020,55184,
07-07,2020,56268,
07-08,2020,56872,
07-09,2020,57476,
07-10,2020,58276,
07-11,2020,59591,
07-12,2020,60271,
07-13,2020,60759,
07-14,2020,61134,
07-15,2020,61770,
07-16,2020,62281,
07-17,2020,62673,
07-18,2020,63197,
07-19,2020,63641,
07-20,2020,63920,
07-21,2020,63934,
07-22,2020,63671,
07-23,2020,63546,
07-24,2020,63474,
07-25,2020,63462,
07-26,2020,63442,
07-27,2020,63360,
07-28,2020,63448,
07-29,2020,62644,
07-30,2020,62462,
07-31,2020,62496,
08-01,2020,62825,
08-02,2020,63161,
08-03,2020,63600,
08-04,2020,63867,
08-05,2020,65128,
08-06,2020,65764,
08-07,2020,66260,
08-08,2020,66477,
08-09,2020,66732,
08-10,2020,67045,
08-11,2020,67451,
08-12,2020,67652,
08-13,2020,67892,
08-14,2020,68095,
08-15,2020,68294,
08-16,2020,68465,
08-17,2020,68623,
08-18,2020,68682,
08-19,2020,68688,
08-20,2020,68843,
08-21,2020,68818,
08-22,2020,68813,
08-23,2020,68943,
08-24,2020,68916,
08-25,2020,68899,
08-26,2020,68832,
08-27,2020,68706,
08-28,2020,68775,
08-29,2020,68691,
08-30,2020,68561,
08-31,2020,68551,
09-01,2020,68442,
09-02,2020,68445,
09-03,2020,68581,
09-04,2020,68789,
09-05,2020,68605,
09-06,2020,68125,
09-07,2020,67841,
09-08,2020,67692,
09-09,2020,67850,
09-10,2020,67877,
09-11,2020,67700,
09-12,2020,67735,
09-13,2020,68245,
09-14,2020,68501,
09-15,2020,68843,
09-16,2020,69008,
09-17,2020,69029,
09-18,2020,69143,
09-19,2020,69278,
09-20,2020,69342,
09-21,2020,69378,
09-22,2020,69404,
09-23,2020,69428,
09-24,2020,69541,
09-25,2020,69575,
09-26,2020,69513,
09-27,2020,69504,
09-28,2020,68806,
09-29,2020,67865,
09-30,2020,67825,
10-01,2020,67837,
10-02,2020,67776,
10-03,2020,67660,
10-04,2020,67431,
10-05,2020,68009,
10-06,2020,68763,
10-07,2020,68571,
10-08,2020,68549,
10-09,2020,68596,
10-10,2020,68643,
10-11,2020,68694,
10-12,2020,68727,
10-13,2020,68674,
10-14,2020,68763,
10-15,2020,68650,
10-16,2020,68687,
10-17,2020,68714,
10-18,2020,68820,
10-19,2020,68754,
10-20,2020,68572,
10-21,2020,68172,
10-22,2020,67978,
10-23,2020,67720,
10-24,2020,67468,
10-25,2020,67106,
10-26,2020,66965,
10-27,2020,66999,
10-28,2020,67058,
10-29,2020,66949,
10-30,2020,67071,
10-31,2020,66972,
11-01,2020,66936,
11-02,2020,67058,
11-03,2020,67328,
11-04,2020,67707,
11-05,2020,68031,
11-06,2020,68100,
11-07,2020,68110,
11-08,2020,68200,
11-09,2020,68019,
11-10,2020,67654,
11-11,2020,67163,
11-12,2020,66855,
11-13,2020,66624,
11-14,2020,66582,
11-15,2020,66515,
11-16,2020,66825,
11-17,2020,67082,
11-18,2020,67413,
11-19,2020,67470,
11-20,2020,67844,
11-21,2020,68428,
11-22,2020,68829,
11-23,2020,68922,
11-24,2020,69478,
11-25,2020,69935,
11-26,2020,68485,
11-27,2020,67027,
11-28,2020,66752,
11-29,2020,66856,
11-30,2020,66934,
12-01,2020,67050,
12-02,2020,67000,
12-03,2020,68761,
12-04,2020,70203,
12-05,2020,70232,
12-06,2020,69937,
12-07,2020,69712,
12-08,2020,69293,
12-09,2020,69287,
12-10,2020,69369,
12-11,2020,69331,
12-12,2020,69305,
12-13,2020,69373,
12-14,2020,69630,
12-15,2020,69957,
12-16,2020,69970,
12-17,2020,70467,
12-18,2020,71713,
12-19,2020,73470,
12-20,2020,74882,
12-21,2020,75547,
12-22,2020,76392,
12-23,2020,77428,
12-24,2020,76280,
12-25,2020,72310,
12-26,2020,70896,
12-27,2020,70461,
12-28,2020,70028,
12-29,2020,69488,
12-30,2020,69117,
12-31,2020,68899,
01-01,2021,68909,
01-02,2021,69069,
01-03,2021,69390,
01-04,2021,69661,
01-05,2021,69282,
01-06,2021,68228,
01-07,2021,68545,
01-08,2021,70684,
01-09,2021,70113,
01-10,2021,68777,
01-11,2021,67768,
01-12,2021,67049,
01-13,2021,66773,
01-14,2021,66752,
01-15,2021,66700,
01-16,2021,66405,
01-17,2021,65930,
01-18,2021,65669,
01-19,2021,65366,
01-20,2021,65070,
01-21,2021,64695,
01-22,2021,64362,
01-23,2021,63774,
01-24,2021,63257,
01-25,2021,62728,
01-26,2021,62243,
01-27,2021,62042,
01-28,2021,61684,
01-29,2021,61373,
01-30,2021,61281,
01-31,2021,61047,
02-01,2021,60576,
02-02,2021,60294,
02-03,2021,60143,
02-04,2021,60165,
02-05,2021,60362,
02-06,2021,60598,
02-07,2021,60681,
02-08,2021,61273,
02-09,2021,61689,
02-10,2021,61808,
02-11,2021,61371,
02-12,2021,60710,
02-13,2021,60068,
02-14,2021,59486,
02-15,2021,58712,
02-16,2021,58336,
02-17,2021,58457,
02-18,2021,58871,
02-19,2021,59714,
02-20,2021,61046,
02-21,2021,62577,
02-22,2021,64040,
02-23,2021,65251,
02-24,2021,65808,
02-25,2021,66939,
02-26,2021,67702,
02-27,2021,67866,
02-28,2021,68112,
03-01,2021,68679,
03-02,2021,69072,
03-03,2021,69549,
03-04,2021,69928,
03-05,2021,70474,
03-06,2021,70951,
03-07,2021,71319,
03-08,2021,71632,
03-09,2021,71981,
03-10,2021,72230,
03-11,2021,72336,
03-12,2021,72636,
03-13,2021,72918,
03-14,2021,73161,
03-15,2021,73028,
03-16,2021,73250,
03-17,2021,73555,
03-18,2021,73794,
03-19,2021,74007,
03-20,2021,74275,
03-21,2021,74672,
03-22,2021,75168,
03-23,2021,75391,
03-24,2021,75702,
03-25,2021,76095,
03-26,2021,76207,
03-27,2021,76472,
03-28,2021,76660,
03-29,2021,76925,
03-30,2021,77304,
03-31,2021,77712,
04-01,2021,78173,
04-02,2021,78087,
04-03,2021,78130,
04-04,2021,77864,
04-05,2021,78163,
04-06,2021,78445,
04-07,2021,78504,
04-08,2021,78425,
04-09,2021,78796,
04-10,2021,78932,
04-11,2021,79368,
04-12,2021,79360,
04-13,2021,79341,
04-14,2021,79045,
04-15,2021,78681,
04-16,2021,78321,
04-17,2021,77938,
04-18,2021,77735,
04-19,2021,77288,
04-20,2021,null,
04-21,2021,null,
04-22,2021,null,
04-23,2021,null,
04-24,2021,null,
04-25,2021,null,
04-26,2021,null,
04-27,2021,null,
04-28,2021,null,
04-29,2021,null,
04-30,2021,null,
05-01,2021,null,
05-02,2021,null,
05-03,2021,null,
05-04,2021,null,
05-05,2021,null,
05-06,2021,null,
05-07,2021,null,
05-08,2021,null,
05-09,2021,null,
05-10,2021,null,
05-11,2021,null,
05-12,2021,null,
05-13,2021,null,
05-14,2021,null,
05-15,2021,null,
05-16,2021,null,
05-17,2021,null,
05-18,2021,null,
05-19,2021,null,
05-20,2021,null,
05-21,2021,null,
05-22,2021,null,
05-23,2021,null,
05-24,2021,null,
05-25,2021,null,
05-26,2021,null,
05-27,2021,null,
05-28,2021,null,
05-29,2021,null,
05-30,2021,null,
05-31,2021,null,
06-01,2021,null,
06-02,2021,null,
06-03,2021,null,
06-04,2021,null,
06-05,2021,null,
06-06,2021,null,
06-07,2021,null,
06-08,2021,null,
06-09,2021,null,
06-10,2021,null,
06-11,2021,null,
06-12,2021,null,
06-13,2021,null,
06-14,2021,null,
06-15,2021,null,
06-16,2021,null,
06-17,2021,null,
06-18,2021,null,
06-19,2021,null,
06-20,2021,null,
06-21,2021,null,
06-22,2021,null,
06-23,2021,null,
06-24,2021,null,
06-25,2021,null,
06-26,2021,null,
06-27,2021,null,
06-28,2021,null,
06-29,2021,null,
06-30,2021,null,
07-01,2021,null,
07-02,2021,null,
07-03,2021,null,
07-04,2021,null,
07-05,2021,null,
07-06,2021,null,
07-07,2021,null,
07-08,2021,null,
07-09,2021,null,
07-10,2021,null,
07-11,2021,null,
07-12,2021,null,
07-13,2021,null,
07-14,2021,null,
07-15,2021,null,
07-16,2021,null,
07-17,2021,null,
07-18,2021,null,
07-19,2021,null,
07-20,2021,null,
07-21,2021,null,
07-22,2021,null,
07-23,2021,null,
07-24,2021,null,
07-25,2021,null,
07-26,2021,null,
07-27,2021,null,
07-28,2021,null,
07-29,2021,null,
07-30,2021,null,
07-31,2021,null,
08-01,2021,null,
08-02,2021,null,
08-03,2021,null,
08-04,2021,null,
08-05,2021,null,
08-06,2021,null,
08-07,2021,null,
08-08,2021,null,
08-09,2021,null,
08-10,2021,null,
08-11,2021,null,
08-12,2021,null,
08-13,2021,null,
08-14,2021,null,
08-15,2021,null,
08-16,2021,null,
08-17,2021,null,
08-18,2021,null,
08-19,2021,null,
08-20,2021,null,
08-21,2021,null,
08-22,2021,null,
08-23,2021,null,
08-24,2021,null,
08-25,2021,null,
08-26,2021,null,
08-27,2021,null,
08-28,2021,null,
08-29,2021,null,
08-30,2021,null,
08-31,2021,null,
09-01,2021,null,
09-02,2021,null,
09-03,2021,null,
09-04,2021,null,
09-05,2021,null,
09-06,2021,null,
09-07,2021,null,
09-08,2021,null,
09-09,2021,null,
09-10,2021,null,
09-11,2021,null,
09-12,2021,null,
09-13,2021,null,
09-14,2021,null,
09-15,2021,null,
09-16,2021,null,
09-17,2021,null,
09-18,2021,null,
09-19,2021,null,
09-20,2021,null,
09-21,2021,null,
09-22,2021,null,
09-23,2021,null,
09-24,2021,null,
09-25,2021,null,
09-26,2021,null,
09-27,2021,null,
09-28,2021,null,
09-29,2021,null,
09-30,2021,null,
10-01,2021,null,
10-02,2021,null,
10-03,2021,null,
10-04,2021,null,
10-05,2021,null,
10-06,2021,null,
10-07,2021,null,
10-08,2021,null,
10-09,2021,null,
10-10,2021,null,
10-11,2021,null,
10-12,2021,null,
10-13,2021,null,
10-14,2021,null,
10-15,2021,null,
10-16,2021,null,
10-17,2021,null,
10-18,2021,null,
10-19,2021,null,
10-20,2021,null,
10-21,2021,null,
10-22,2021,null,
10-23,2021,null,
10-24,2021,null,
10-25,2021,null,
10-26,2021,null,
10-27,2021,null,
10-28,2021,null,
10-29,2021,null,
10-30,2021,null,
10-31,2021,null,
11-01,2021,null,
11-02,2021,null,
11-03,2021,null,
11-04,2021,null,
11-05,2021,null,
11-06,2021,null,
11-07,2021,null,
11-08,2021,null,
11-09,2021,null,
11-10,2021,null,
11-11,2021,null,
11-12,2021,null,
11-13,2021,null,
11-14,2021,null,
11-15,2021,null,
11-16,2021,null,
11-17,2021,null,
11-18,2021,null,
11-19,2021,null,
11-20,2021,null,
11-21,2021,null,
11-22,2021,null,
11-23,2021,null,
11-24,2021,null,
11-25,2021,null,
11-26,2021,null,
11-27,2021,null,
11-28,2021,null,
11-29,2021,null,
11-30,2021,null,
12-01,2021,null,
12-02,2021,null,
12-03,2021,null,
12-04,2021,null,
12-05,2021,null,
12-06,2021,null,
12-07,2021,null,
12-08,2021,null,
12-09,2021,null,
12-10,2021,null,
12-11,2021,null,
12-12,2021,null,
12-13,2021,null,
12-14,2021,null,
12-15,2021,null,
12-16,2021,null,
12-17,2021,null,
12-18,2021,null,
12-19,2021,null,
12-20,2021,null,
12-21,2021,null,
12-22,2021,null,
12-23,2021,null,
12-24,2021,null,
12-25,2021,null,
12-26,2021,null,
12-27,2021,null,
12-28,2021,null,
12-29,2021,null,
12-30,2021,null,
12-31,2021,null,
