Date,Transport type,Percentage
03/06/2020,London underground,10
04/06/2020,London underground,10
05/06/2020,London underground,10
06/06/2020,London underground,10
07/06/2020,London underground,11
08/06/2020,London underground,11
09/06/2020,London underground,11
10/06/2020,London underground,11
11/06/2020,London underground,11
12/06/2020,London underground,11
13/06/2020,London underground,12
14/06/2020,London underground,11
15/06/2020,London underground,14
16/06/2020,London underground,13
17/06/2020,London underground,13
18/06/2020,London underground,13
19/06/2020,London underground,14
20/06/2020,London underground,15
21/06/2020,London underground,13
22/06/2020,London underground,16
23/06/2020,London underground,15
24/06/2020,London underground,15
25/06/2020,London underground,15
26/06/2020,London underground,16
27/06/2020,London underground,15
28/06/2020,London underground,16
29/06/2020,London underground,16
30/06/2020,London underground,16
01/07/2020,London underground,16
02/07/2020,London underground,16
03/07/2020,London underground,17
04/07/2020,London underground,18
05/07/2020,London underground,21
06/07/2020,London underground,19
07/07/2020,London underground,19
08/07/2020,London underground,19
09/07/2020,London underground,19
10/07/2020,London underground,21
11/07/2020,London underground,24
12/07/2020,London underground,24
13/07/2020,London underground,21
14/07/2020,London underground,20
15/07/2020,London underground,21
16/07/2020,London underground,21
17/07/2020,London underground,24
18/07/2020,London underground,29
19/07/2020,London underground,24
20/07/2020,London underground,23
21/07/2020,London underground,23
22/07/2020,London underground,24
23/07/2020,London underground,25
24/07/2020,London underground,25
25/07/2020,London underground,28
26/07/2020,London underground,28
27/07/2020,London underground,24
28/07/2020,London underground,25
29/07/2020,London underground,25
30/07/2020,London underground,26
31/07/2020,London underground,27
01/08/2020,London underground,32
02/08/2020,London underground,29
03/08/2020,London underground,27
04/08/2020,London underground,27
05/08/2020,London underground,28
06/08/2020,London underground,27
07/08/2020,London underground,28
08/08/2020,London underground,32
09/08/2020,London underground,31
10/08/2020,London underground,28
11/08/2020,London underground,28
12/08/2020,London underground,28
13/08/2020,London underground,26
14/08/2020,London underground,29
15/08/2020,London underground,33
16/08/2020,London underground,32
17/08/2020,London underground,30
18/08/2020,London underground,30
19/08/2020,London underground,30
20/08/2020,London underground,31
21/08/2020,London underground,32
22/08/2020,London underground,36
23/08/2020,London underground,35
24/08/2020,London underground,32
25/08/2020,London underground,35
26/08/2020,London underground,36
27/08/2020,London underground,32
28/08/2020,London underground,34
29/08/2020,London underground,42
30/08/2020,London underground,39
31/08/2020,London underground,45
01/09/2020,London underground,33
02/09/2020,London underground,35
03/09/2020,London underground,33
04/09/2020,London underground,36
05/09/2020,London underground,42
06/09/2020,London underground,41
07/09/2020,London underground,34
08/09/2020,London underground,34
09/09/2020,London underground,35
10/09/2020,London underground,36
11/09/2020,London underground,37
12/09/2020,London underground,40
13/09/2020,London underground,40
14/09/2020,London underground,35
15/09/2020,London underground,34
