Date,Type of work,Value,
2020-03-19,Clerical and data entry,1.489690722,
2020-03-20,Clerical and data entry,1.335051546,
2020-03-21,Clerical and data entry,1.266323024,
2020-03-22,Clerical and data entry,1.049828179,
2020-03-23,Clerical and data entry,1.092783505,
2020-03-24,Clerical and data entry,1.326460481,
2020-03-25,Clerical and data entry,1.225085911,
2020-03-26,Clerical and data entry,1.417525773,
2020-03-27,Clerical and data entry,1.465635739,
2020-03-28,Clerical and data entry,1.312714777,
2020-03-29,Clerical and data entry,1.326460481,
2020-03-30,Clerical and data entry,1.103092784,
2020-03-31,Clerical and data entry,1.39862543,
2020-04-01,Clerical and data entry,1.410652921,
2020-04-02,Clerical and data entry,1.524054983,
2020-04-03,Clerical and data entry,1.594501718,
2020-04-04,Clerical and data entry,1.453608247,
2020-04-05,Clerical and data entry,1.159793814,
2020-04-06,Clerical and data entry,1.092783505,
2020-04-07,Clerical and data entry,1.395189003,
2020-04-08,Clerical and data entry,1.355670103,
2020-04-09,Clerical and data entry,1.482817869,
2020-04-10,Clerical and data entry,1.54467354,
2020-04-11,Clerical and data entry,1.530927835,
2020-04-12,Clerical and data entry,1.249140893,
2020-04-13,Clerical and data entry,1.273195876,
2020-04-14,Clerical and data entry,1.453608247,
2020-04-15,Clerical and data entry,1.632302405,
2020-04-16,Clerical and data entry,1.793814433,
2020-04-17,Clerical and data entry,0.924398625,
2020-04-18,Clerical and data entry,1.817869416,
2020-04-19,Clerical and data entry,1.946735395,
2020-04-20,Clerical and data entry,1.12371134,
2020-04-21,Clerical and data entry,1.66838488,
2020-04-22,Clerical and data entry,1.800687285,
2020-04-23,Clerical and data entry,2.116838488,
2020-04-24,Clerical and data entry,1.709621993,
2020-04-25,Clerical and data entry,1.756013746,
2020-04-26,Clerical and data entry,1.360824742,
2020-04-27,Clerical and data entry,1.439862543,
2020-04-28,Clerical and data entry,1.60137457,
2020-04-29,Clerical and data entry,1.663230241,
2020-04-30,Clerical and data entry,1.652920962,
2020-05-01,Clerical and data entry,1.797250859,
2020-05-02,Clerical and data entry,1.723367698,
2020-05-03,Clerical and data entry,1.352233677,
2020-05-04,Clerical and data entry,1.355670103,
2020-05-05,Clerical and data entry,1.637457045,
2020-05-06,Clerical and data entry,1.73024055,
2020-05-07,Clerical and data entry,1.943298969,
2020-05-08,Clerical and data entry,1.821305842,
2020-05-09,Clerical and data entry,1.554982818,
2020-05-10,Clerical and data entry,1.390034364,
2020-05-11,Clerical and data entry,1.374570447,
2020-05-12,Clerical and data entry,1.572164948,
2020-05-13,Clerical and data entry,1.941580756,
2020-05-14,Clerical and data entry,1.823024055,
2020-05-15,Clerical and data entry,1.902061856,
2020-05-16,Clerical and data entry,1.828178694,
2020-05-17,Clerical and data entry,1.431271478,
2020-05-18,Clerical and data entry,1.520618557,
2020-05-19,Clerical and data entry,1.673539519,
2020-05-20,Clerical and data entry,1.762886598,
2020-05-21,Clerical and data entry,1.987972509,
2020-05-22,Clerical and data entry,1.774914089,
2020-05-23,Clerical and data entry,1.621993127,
2020-05-24,Clerical and data entry,1.388316151,
2020-05-25,Clerical and data entry,1.365979381,
2020-05-26,Clerical and data entry,1.683848797,
2020-05-27,Clerical and data entry,1.857388316,
2020-05-28,Clerical and data entry,1.766323024,
2020-05-29,Clerical and data entry,1.934707904,
2020-05-30,Clerical and data entry,1.81185567,
2020-05-31,Clerical and data entry,1.725085911,
2020-06-01,Clerical and data entry,1.195876289,
2020-06-02,Clerical and data entry,1.365979381,
2020-06-03,Clerical and data entry,1.446735395,
2020-06-04,Clerical and data entry,1.228522337,
2020-06-05,Clerical and data entry,1.496563574,
2020-06-06,Clerical and data entry,1.372852234,
2020-06-07,Clerical and data entry,1.139175258,
2020-06-08,Clerical and data entry,1.017182131,
2020-06-09,Clerical and data entry,1.321305842,
2020-06-10,Clerical and data entry,1.505154639,
2020-06-11,Clerical and data entry,1.510309278,
2020-06-12,Clerical and data entry,1.439862543,
2020-06-13,Clerical and data entry,1.507731959,
2020-06-14,Clerical and data entry,1.379725086,
2020-06-15,Clerical and data entry,1.16838488,
2020-06-16,Clerical and data entry,1.443728522,
2020-06-17,Clerical and data entry,1.453608247,
2020-06-18,Clerical and data entry,1.486254296,
2020-06-19,Clerical and data entry,1.426116838,
2020-06-20,Clerical and data entry,1.39862543,
2020-06-21,Clerical and data entry,1.158075601,
2020-06-22,Clerical and data entry,1.018900344,
2020-06-23,Clerical and data entry,1.381443299,
2020-06-24,Clerical and data entry,1.463917526,
2020-06-25,Clerical and data entry,1.427835052,
2020-06-26,Clerical and data entry,1.506872852,
2020-06-27,Clerical and data entry,1.310996564,
2020-06-28,Clerical and data entry,0.989690722,
2020-06-29,Clerical and data entry,0.998281787,
2020-06-30,Clerical and data entry,1.518900344,
2020-07-01,Clerical and data entry,1.432989691,
2020-07-02,Clerical and data entry,1.579037801,
2020-07-03,Clerical and data entry,1.505154639,
2020-07-04,Clerical and data entry,1.204467354,
2020-07-05,Clerical and data entry,1.029209622,
2020-07-06,Clerical and data entry,1.087628866,
2020-07-10,Clerical and data entry,0.536082474,
2020-07-11,Clerical and data entry,1.347079038,
2020-07-12,Clerical and data entry,1.702749141,
2020-07-13,Clerical and data entry,0.718213058,
2020-07-14,Clerical and data entry,1.278350515,
2020-07-15,Clerical and data entry,1.37628866,
2020-07-16,Clerical and data entry,1.335051546,
2020-07-17,Clerical and data entry,1.35395189,
2020-07-18,Clerical and data entry,1.463917526,
2020-07-19,Clerical and data entry,1.127147766,
2020-07-20,Clerical and data entry,1.091065292,
2020-07-21,Clerical and data entry,0.864261168,
2020-07-22,Clerical and data entry,1.70790378,
2020-07-23,Clerical and data entry,1.395189003,
2020-07-24,Clerical and data entry,1.379725086,
2020-07-25,Clerical and data entry,1.096219931,
2020-07-26,Clerical and data entry,1.173539519,
2020-07-27,Clerical and data entry,1.237113402,
2020-07-28,Clerical and data entry,1.591065292,
2020-07-29,Clerical and data entry,1.25257732,
2020-07-30,Clerical and data entry,1.362542955,
2020-07-31,Clerical and data entry,1.218213058,
2020-08-01,Clerical and data entry,1.323024055,
2020-08-02,Clerical and data entry,0.948453608,
2020-08-03,Clerical and data entry,1.096219931,
2020-08-04,Clerical and data entry,1.238831615,
2020-08-05,Clerical and data entry,1.395189003,
2020-08-06,Clerical and data entry,1.493127148,
2020-08-07,Clerical and data entry,1.10652921,
2020-08-08,Clerical and data entry,1.527491409,
2020-08-09,Clerical and data entry,1.02233677,
2020-08-10,Clerical and data entry,0.948453608,
2020-08-11,Clerical and data entry,1.407216495,
2020-08-12,Clerical and data entry,1.68556701,
2020-08-13,Clerical and data entry,1.487972509,
2020-08-14,Clerical and data entry,1.286941581,
2020-08-15,Clerical and data entry,1.266323024,
2020-08-16,Clerical and data entry,1.012027491,
2020-08-17,Clerical and data entry,0.879725086,
2020-08-18,Clerical and data entry,1.329896907,
2020-08-19,Clerical and data entry,1.309278351,
2020-08-20,Clerical and data entry,1.405498282,
2020-08-21,Clerical and data entry,1.305841924,
2020-08-22,Clerical and data entry,1.333333333,
2020-08-23,Clerical and data entry,1.082474227,
2020-08-24,Clerical and data entry,0.962199313,
2020-08-25,Clerical and data entry,1.33161512,
2020-08-26,Clerical and data entry,1.517182131,
2020-08-27,Clerical and data entry,1.003436426,
2020-08-28,Clerical and data entry,1.23024055,
2020-08-29,Clerical and data entry,1.491408935,
2020-08-30,Clerical and data entry,0.945017182,
2020-08-31,Clerical and data entry,0.929553265,
2020-09-01,Clerical and data entry,1.238831615,
2020-09-02,Clerical and data entry,1.372852234,
2020-09-03,Clerical and data entry,1.676975945,
2020-09-04,Clerical and data entry,1.652920962,
2020-09-05,Clerical and data entry,1.582474227,
2020-09-06,Clerical and data entry,1.132302405,
2020-09-07,Clerical and data entry,1.060137457,
2020-09-08,Clerical and data entry,1.259450172,
2020-09-09,Clerical and data entry,1.310996564,
2020-09-10,Clerical and data entry,1.549828179,
2020-09-11,Clerical and data entry,1.410652921,
2020-09-12,Clerical and data entry,1.441580756,
2020-09-13,Clerical and data entry,1.223367698,
2020-09-14,Clerical and data entry,1.006872852,
2020-09-15,Clerical and data entry,1.317869416,
2020-09-16,Clerical and data entry,1.537800687,
2020-09-17,Clerical and data entry,1.781786942,
2020-09-18,Clerical and data entry,1.695876289,
2020-09-19,Clerical and data entry,1.525773196,
2020-09-20,Clerical and data entry,1.113402062,
2020-09-21,Clerical and data entry,1.197594502,
2020-09-22,Clerical and data entry,1.750859107,
2020-09-23,Clerical and data entry,2.163230241,
2020-09-24,Clerical and data entry,1.750859107,
2020-09-25,Clerical and data entry,1.591065292,
2020-09-26,Clerical and data entry,1.412371134,
2020-09-27,Clerical and data entry,1.089347079,
2020-09-28,Clerical and data entry,1.027491409,
2020-09-29,Clerical and data entry,1.683848797,
2020-09-30,Clerical and data entry,1.431271478,
2020-10-01,Clerical and data entry,1.474226804,
2020-10-02,Clerical and data entry,1.427835052,
2020-10-03,Clerical and data entry,1.371134021,
2020-10-04,Clerical and data entry,1.034364261,
2020-10-05,Clerical and data entry,1.206185567,
2020-10-06,Clerical and data entry,1.443298969,
2020-10-07,Clerical and data entry,1.639175258,
2020-10-08,Clerical and data entry,1.594501718,
2020-10-09,Clerical and data entry,1.673539519,
2020-10-10,Clerical and data entry,1.649484536,
2020-10-11,Clerical and data entry,1.355670103,
2020-10-12,Clerical and data entry,1.364261168,
2020-10-13,Clerical and data entry,2.534364261,
2020-10-14,Clerical and data entry,1.226804124,
2020-10-15,Clerical and data entry,1.644329897,
2020-10-16,Clerical and data entry,2.010309278,
2020-10-17,Clerical and data entry,1.900343643,
2020-10-18,Clerical and data entry,1.274914089,
2020-10-19,Clerical and data entry,1.563573883,
2020-10-20,Clerical and data entry,1.740549828,
2020-10-21,Clerical and data entry,1.97766323,
2020-10-22,Clerical and data entry,1.934707904,
2020-10-23,Clerical and data entry,1.950171821,
2020-10-24,Clerical and data entry,1.956185567,
2020-10-25,Clerical and data entry,1.395189003,
2020-10-26,Clerical and data entry,1.591065292,
2020-10-27,Clerical and data entry,2.137457045,
2020-10-28,Clerical and data entry,2.075601375,
2020-10-29,Clerical and data entry,2.175257732,
2020-10-30,Clerical and data entry,2.189003436,
2020-10-31,Clerical and data entry,1.89347079,
2020-11-01,Clerical and data entry,1.575601375,
2020-11-02,Clerical and data entry,1.551546392,
2020-11-03,Clerical and data entry,2.848797251,
2020-11-04,Clerical and data entry,2.383161512,
2020-11-05,Clerical and data entry,2.171821306,
2020-11-06,Clerical and data entry,2.25257732,
2020-11-07,Clerical and data entry,2.216494845,
2020-11-08,Clerical and data entry,1.754295533,
2020-11-09,Clerical and data entry,1.592783505,
2020-11-10,Clerical and data entry,2.04467354,
2020-11-11,Clerical and data entry,2.079037801,
2020-11-12,Clerical and data entry,2.231958763,
2020-11-13,Clerical and data entry,2.926116838,
2020-11-14,Clerical and data entry,2.092783505,
2020-11-15,Clerical and data entry,1.627147766,
2020-11-16,Clerical and data entry,1.458762887,
2020-11-17,Clerical and data entry,2.042955326,
2020-11-18,Clerical and data entry,2.37628866,
2020-11-19,Clerical and data entry,2.436426117,
2020-11-20,Clerical and data entry,2.092783505,
2020-11-21,Clerical and data entry,1.850515464,
2020-11-22,Clerical and data entry,1.742268041,
2020-11-23,Clerical and data entry,1.652920962,
2020-11-24,Clerical and data entry,2.335051546,
2020-11-25,Clerical and data entry,2.012027491,
2020-11-26,Clerical and data entry,1.895189003,
2020-11-27,Clerical and data entry,1.735395189,
2020-11-28,Clerical and data entry,1.524054983,
2020-11-29,Clerical and data entry,1.360824742,
2020-11-30,Clerical and data entry,1.594501718,
2020-12-01,Clerical and data entry,1.865979381,
2020-12-02,Clerical and data entry,2.273195876,
2020-12-03,Clerical and data entry,2.154639175,
2020-12-04,Clerical and data entry,2.012027491,
2020-12-05,Clerical and data entry,1.81443299,
2020-12-06,Clerical and data entry,1.41580756,
2020-12-07,Clerical and data entry,1.723367698,
2020-12-08,Clerical and data entry,1.953608247,
2020-12-09,Clerical and data entry,2.206185567,
2020-12-10,Clerical and data entry,2.378006873,
2020-12-11,Clerical and data entry,2.164948454,
2020-12-12,Clerical and data entry,1.859106529,
2020-12-13,Clerical and data entry,1.582474227,
2020-12-14,Clerical and data entry,1.871134021,
2020-12-15,Clerical and data entry,2.201030928,
2020-12-16,Clerical and data entry,2.036082474,
2020-12-17,Clerical and data entry,2.001718213,
2020-12-18,Clerical and data entry,1.927835052,
2020-12-19,Clerical and data entry,1.766323024,
2020-12-20,Clerical and data entry,1.39862543,
2020-12-21,Clerical and data entry,1.29209622,
2020-12-22,Clerical and data entry,1.776632302,
2020-12-23,Clerical and data entry,1.872852234,
2020-12-24,Clerical and data entry,1.711340206,
2020-12-25,Clerical and data entry,1.345360825,
2020-12-26,Clerical and data entry,1.099656357,
2020-12-27,Clerical and data entry,1.068728522,
2020-12-28,Clerical and data entry,1.118556701,
2020-12-29,Clerical and data entry,1.706185567,
2020-12-30,Clerical and data entry,1.506872852,
2020-12-31,Clerical and data entry,1.599656357,
2021-01-01,Clerical and data entry,1.211340206,
2021-01-02,Clerical and data entry,1.075601375,
2021-01-03,Clerical and data entry,1.115120275,
2021-01-04,Clerical and data entry,1.238831615,
2021-01-05,Clerical and data entry,1.725085911,
2021-01-06,Clerical and data entry,1.998281787,
2021-01-07,Clerical and data entry,1.914089347,
2021-01-08,Clerical and data entry,1.828178694,
2021-01-09,Clerical and data entry,1.635738832,
2021-01-10,Clerical and data entry,1.316151203,
2021-01-11,Clerical and data entry,1.33161512,
2021-01-12,Clerical and data entry,1.695876289,
2021-01-13,Clerical and data entry,1.206185567,
2021-01-15,Clerical and data entry,1.513745704,
2021-01-16,Clerical and data entry,1.979381443,
2021-01-17,Clerical and data entry,1.680412371,
2021-01-18,Clerical and data entry,1.510309278,
2021-01-19,Clerical and data entry,1.847079038,
2021-01-20,Clerical and data entry,2.103092784,
2021-01-21,Clerical and data entry,1.939862543,
2021-01-22,Clerical and data entry,1.93814433,
2021-01-23,Clerical and data entry,1.788659794,
2021-01-24,Clerical and data entry,1.365979381,
2021-01-25,Clerical and data entry,1.589347079,
2021-01-26,Clerical and data entry,2.068728522,
2021-01-27,Clerical and data entry,2.259450172,
2021-01-28,Clerical and data entry,2.548109966,
2021-01-29,Clerical and data entry,2.348797251,
2021-01-30,Clerical and data entry,1.843642612,
2021-01-31,Clerical and data entry,1.426116838,
2021-02-01,Clerical and data entry,1.532646048,
2021-02-02,Clerical and data entry,1.927835052,
2021-02-03,Clerical and data entry,2.192439863,
2021-02-04,Clerical and data entry,2.347079038,
2021-02-05,Clerical and data entry,2.171821306,
2021-02-06,Clerical and data entry,1.951890034,
2021-02-07,Clerical and data entry,1.434707904,
2021-02-08,Clerical and data entry,1.512027491,
2021-02-09,Clerical and data entry,2.300687285,
2021-02-10,Clerical and data entry,2.158075601,
2021-02-11,Clerical and data entry,2.223367698,
2021-02-12,Clerical and data entry,2.254295533,
2021-02-13,Clerical and data entry,1.896907216,
2021-02-14,Clerical and data entry,1.553264605,
2021-02-15,Clerical and data entry,1.400343643,
2021-02-16,Clerical and data entry,1.934707904,
2021-02-17,Clerical and data entry,2.065292096,
2021-02-18,Clerical and data entry,2.20790378,
2021-02-19,Clerical and data entry,2.111683849,
2020-01-01,Creative and multimedia,1,
2020-01-02,Creative and multimedia,0.890260631,
2020-01-03,Creative and multimedia,1.146090535,
2020-01-04,Creative and multimedia,1.222908093,
2020-01-05,Creative and multimedia,1.135802469,
2020-01-06,Creative and multimedia,0.972565158,
2020-01-07,Creative and multimedia,1.312757202,
2020-01-08,Creative and multimedia,1.399176955,
2020-01-09,Creative and multimedia,1.388888889,
2020-01-10,Creative and multimedia,1.425925926,
2020-01-11,Creative and multimedia,1.354595336,
2020-01-12,Creative and multimedia,1.115912209,
2020-01-13,Creative and multimedia,1.198216735,
2020-01-14,Creative and multimedia,1.549382716,
2020-01-15,Creative and multimedia,1.641975309,
2020-01-16,Creative and multimedia,1.581618656,
2020-01-17,Creative and multimedia,1.534979424,
2020-01-18,Creative and multimedia,1.468449931,
2020-01-19,Creative and multimedia,1.179698217,
2020-01-20,Creative and multimedia,1.225651578,
2020-01-21,Creative and multimedia,1.788065844,
2020-01-22,Creative and multimedia,1.66872428,
2020-01-23,Creative and multimedia,1.637174211,
2020-01-24,Creative and multimedia,1.531550069,
2020-01-25,Creative and multimedia,1.579561043,
2020-01-26,Creative and multimedia,1.104252401,
2020-01-27,Creative and multimedia,1.100823045,
2020-01-28,Creative and multimedia,1.605624143,
2020-01-29,Creative and multimedia,1.531550069,
2020-01-30,Creative and multimedia,1.614540466,
2020-01-31,Creative and multimedia,1.537037037,
2020-02-01,Creative and multimedia,1.409465021,
2020-02-02,Creative and multimedia,1.144032922,
2020-02-03,Creative and multimedia,1.085733882,
2020-02-04,Creative and multimedia,1.775720165,
2020-02-05,Creative and multimedia,1.598765432,
2020-02-06,Creative and multimedia,1.589163237,
2020-02-07,Creative and multimedia,1.643347051,
2020-02-08,Creative and multimedia,1.536351166,
2020-02-09,Creative and multimedia,1.173525377,
2020-02-10,Creative and multimedia,1.183813443,
2020-02-11,Creative and multimedia,1.652949246,
2020-02-12,Creative and multimedia,1.631687243,
2020-02-13,Creative and multimedia,1.631687243,
2020-02-14,Creative and multimedia,1.567215364,
2020-02-15,Creative and multimedia,1.277777778,
2020-02-16,Creative and multimedia,1.098079561,
2020-02-17,Creative and multimedia,1.106310014,
2020-02-18,Creative and multimedia,1.576131687,
2020-02-19,Creative and multimedia,1.567215364,
2020-02-20,Creative and multimedia,1.691358025,
2020-02-21,Creative and multimedia,1.517832647,
2020-02-22,Creative and multimedia,1.390260631,
2020-02-23,Creative and multimedia,1.144718793,
2020-02-24,Creative and multimedia,1.16872428,
2020-02-25,Creative and multimedia,1.559670782,
2020-02-26,Creative and multimedia,1.716735254,
2020-02-27,Creative and multimedia,1.593964335,
2020-02-28,Creative and multimedia,1.515775034,
2020-02-29,Creative and multimedia,1.35733882,
2020-03-01,Creative and multimedia,1.104938272,
2020-03-02,Creative and multimedia,1.185871056,
2020-03-03,Creative and multimedia,1.704389575,
2020-03-04,Creative and multimedia,1.458161866,
2020-03-05,Creative and multimedia,1.575445816,
2020-03-06,Creative and multimedia,1.593278464,
2020-03-07,Creative and multimedia,1.437585734,
2020-03-08,Creative and multimedia,1.296296296,
2020-03-09,Creative and multimedia,1.133744856,
2020-03-10,Creative and multimedia,1.5,
2020-03-11,Creative and multimedia,1.545953361,
2020-03-12,Creative and multimedia,1.546639232,
2020-03-13,Creative and multimedia,1.405349794,
2020-03-14,Creative and multimedia,1.27297668,
2020-03-15,Creative and multimedia,1.019890261,
2020-03-16,Creative and multimedia,1.009602195,
2020-03-17,Creative and multimedia,1.260631001,
2020-03-18,Creative and multimedia,1.25308642,
2020-03-19,Creative and multimedia,1.269547325,
2020-03-20,Creative and multimedia,1.215363512,
2020-03-21,Creative and multimedia,1.205075446,
2020-03-22,Creative and multimedia,1.049382716,
2020-03-23,Creative and multimedia,0.978737997,
2020-03-24,Creative and multimedia,1.181069959,
2020-03-25,Creative and multimedia,1.029492455,
2020-03-26,Creative and multimedia,1.089163237,
2020-03-27,Creative and multimedia,1.073388203,
2020-03-28,Creative and multimedia,0.973251029,
2020-03-29,Creative and multimedia,0.855967078,
2020-03-30,Creative and multimedia,0.886145405,
2020-03-31,Creative and multimedia,1.180384088,
2020-04-01,Creative and multimedia,1.124828532,
2020-04-02,Creative and multimedia,1.211248285,
2020-04-03,Creative and multimedia,1.140603567,
2020-04-04,Creative and multimedia,1.11042524,
2020-04-05,Creative and multimedia,0.942386831,
2020-04-06,Creative and multimedia,0.958847737,
2020-04-07,Creative and multimedia,1.169410151,
2020-04-08,Creative and multimedia,1.195473251,
2020-04-09,Creative and multimedia,1.341563786,
2020-04-10,Creative and multimedia,1.439643347,
2020-04-11,Creative and multimedia,1.446502058,
2020-04-12,Creative and multimedia,1.108367627,
2020-04-13,Creative and multimedia,1.159122085,
2020-04-14,Creative and multimedia,1.531550069,
2020-04-15,Creative and multimedia,1.514403292,
2020-04-16,Creative and multimedia,1.588477366,
2020-04-17,Creative and multimedia,1.525377229,
2020-04-18,Creative and multimedia,1.526748971,
2020-04-19,Creative and multimedia,1.221536351,
2020-04-20,Creative and multimedia,1.291495199,
2020-04-21,Creative and multimedia,1.62345679,
2020-04-22,Creative and multimedia,1.74005487,
2020-04-23,Creative and multimedia,1.737311385,
2020-04-24,Creative and multimedia,1.613854595,
2020-04-25,Creative and multimedia,1.640603567,
2020-04-26,Creative and multimedia,1.301783265,
2020-04-27,Creative and multimedia,1.497942387,
2020-04-28,Creative and multimedia,1.729766804,
2020-04-29,Creative and multimedia,1.622085048,
2020-04-30,Creative and multimedia,1.544581619,
2020-05-01,Creative and multimedia,1.520576132,
2020-05-02,Creative and multimedia,1.416323731,
2020-05-03,Creative and multimedia,1.216049383,
2020-05-04,Creative and multimedia,1.377229081,
2020-05-05,Creative and multimedia,1.708504801,
2020-05-06,Creative and multimedia,1.678326475,
2020-05-07,Creative and multimedia,1.820301783,
2020-05-08,Creative and multimedia,1.68175583,
2020-05-09,Creative and multimedia,1.448559671,
2020-05-10,Creative and multimedia,1.343621399,
2020-05-11,Creative and multimedia,1.187242798,
2020-05-12,Creative and multimedia,1.550068587,
2020-05-13,Creative and multimedia,1.601508916,
2020-05-14,Creative and multimedia,1.689986283,
2020-05-15,Creative and multimedia,1.709876543,
2020-05-16,Creative and multimedia,1.651577503,
2020-05-17,Creative and multimedia,1.490397805,
2020-05-18,Creative and multimedia,1.235253772,
2020-05-19,Creative and multimedia,1.825788752,
2020-05-20,Creative and multimedia,1.781207133,
2020-05-21,Creative and multimedia,1.849108368,
2020-05-22,Creative and multimedia,1.685185185,
2020-05-23,Creative and multimedia,1.562414266,
2020-05-24,Creative and multimedia,1.396433471,
2020-05-25,Creative and multimedia,1.323731139,
2020-05-26,Creative and multimedia,1.679012346,
2020-05-27,Creative and multimedia,1.755144033,
2020-05-28,Creative and multimedia,1.736625514,
2020-05-29,Creative and multimedia,1.677640604,
2020-05-30,Creative and multimedia,1.829903978,
2020-05-31,Creative and multimedia,1.166666667,
2020-06-01,Creative and multimedia,1.173525377,
2020-06-02,Creative and multimedia,1.362139918,
2020-06-03,Creative and multimedia,1.365569273,
2020-06-04,Creative and multimedia,1.002743484,
2020-06-05,Creative and multimedia,1.340192044,
2020-06-06,Creative and multimedia,1.145404664,
2020-06-07,Creative and multimedia,1.073388203,
2020-06-08,Creative and multimedia,0.978052126,
2020-06-09,Creative and multimedia,1.192729767,
2020-06-10,Creative and multimedia,1.216735254,
2020-06-11,Creative and multimedia,1.238683128,
2020-06-12,Creative and multimedia,1.16872428,
2020-06-13,Creative and multimedia,2.091906722,
2020-06-14,Creative and multimedia,1.059670782,
2020-06-15,Creative and multimedia,1.04526749,
2020-06-16,Creative and multimedia,1.930041152,
2020-06-17,Creative and multimedia,1.168038409,
2020-06-18,Creative and multimedia,1.113168724,
2020-06-19,Creative and multimedia,1.09739369,
2020-06-20,Creative and multimedia,1.033607682,
2020-06-21,Creative and multimedia,0.790809328,
2020-06-22,Creative and multimedia,0.899176955,
2020-06-23,Creative and multimedia,1.141289438,
2020-06-24,Creative and multimedia,1.082990398,
2020-06-25,Creative and multimedia,1.144718793,
2020-06-26,Creative and multimedia,1.146090535,
2020-06-27,Creative and multimedia,0.995198903,
2020-06-28,Creative and multimedia,0.852537723,
2020-06-29,Creative and multimedia,0.858024691,
2020-06-30,Creative and multimedia,1.118655693,
2020-07-01,Creative and multimedia,1.164609053,
2020-07-02,Creative and multimedia,1.150205761,
2020-07-03,Creative and multimedia,1.206447188,
2020-07-04,Creative and multimedia,1.207133059,
2020-07-05,Creative and multimedia,1.028120713,
2020-07-06,Creative and multimedia,1.075445816,
2020-07-10,Creative and multimedia,0.468449931,
2020-07-11,Creative and multimedia,0.43484225,
2020-07-12,Creative and multimedia,0.771947874,
2020-07-13,Creative and multimedia,0.546639232,
2020-07-14,Creative and multimedia,1.218792867,
2020-07-15,Creative and multimedia,1.319615912,
2020-07-16,Creative and multimedia,1.381344307,
2020-07-17,Creative and multimedia,1.147462277,
