date,region,value
2019-07-01,London,0.9
2019-08-01,London,0.8
2019-09-01,London,0.9
2019-10-01,London,0.9
2019-11-01,London,1
2019-12-01,London,1.2
2020-01-01,London,1.3
2020-02-01,London,1.1
2020-03-01,London,1.2
2020-04-01,London,1.3
2020-05-01,London,1.2
2020-06-01,London,1.2
2020-07-01,London,1.1
2020-08-01,London,1.3
2020-09-01,London,1.2
2020-10-01,London,0.9
2020-11-01,London,1.1
2020-12-01,London,0.9
2021-01-01,London,0.8
2021-02-01,London,0.8
2021-03-01,London,0.5
2021-04-01,London,0.1
2021-05-01,London,-0.1
2021-06-01,London,-0.1
2021-07-01,London,-0.1
2021-08-01,London,-0.4
2021-09-01,London,-0.3
2021-10-01,London,0.1
2021-11-01,London,-0.1
2021-12-01,London,-0.1
2022-01-01,London,0.1
2022-02-01,London,0.2
2022-03-01,London,0.4
