date,value,
1590,11.42,
1591,12.61,
1592,12.47,
1593,11.44,
1594,11.94,
1595,13.47,
1596,14.77,
1597,15.57,
1598,17.64,
1599,16.29,
1600,13.74,
1601,14.15,
1602,14.28,
1603,13.82,
1604,13.12,
1605,13.37,
1606,14.16,
1607,14.37,
1608,14.61,
1609,16.55,
1610,16.90,
1611,15.21,
1612,15.69,
1613,16.32,
1614,17.05,
1615,16.93,
1616,16.55,
1617,16.81,
1618,17.03,
1619,17.10,
1620,15.99,
1621,15.13,
1622,15.79,
1623,17.75,
1624,17.15,
1625,16.74,
1626,17.19,
1627,17.31,
1628,16.14,
1629,16.06,
1630,16.54,
1631,19.10,
1632,20.36,
1633,18.95,
1634,18.62,
1635,18.86,
1636,19.00,
1637,19.41,
1638,19.65,
1639,20.34,
1640,18.69,
1641,17.69,
1642,18.99,
1643,18.19,
1644,18.59,
1645,18.34,
1646,18.61,
1647,19.41,
1648,22.20,
1649,24.13,
1650,23.68,
1651,22.88,
1652,22.33,
1653,20.49,
1654,19.46,
1655,17.38,
1656,16.66,
1657,18.86,
1658,19.51,
1659,20.89,
1660,22.31,
1661,21.03,
1662,22.29,
1663,22.59,
1664,20.63,
1665,20.59,
1666,19.67,
1667,18.70,
1668,18.47,
1669,18.39,
1670,19.64,
1671,19.39,
1672,19.48,
1673,18.85,
1674,19.83,
1675,21.92,
1676,21.01,
1677,18.59,
1678,19.54,
1679,20.33,
1680,20.63,
1681,19.49,
1682,20.13,
1683,19.88,
1684,19.71,
1685,19.89,
1686,20.67,
1687,18.57,
1688,18.19,
1689,17.56,
1690,17.41,
1691,18.09,
1692,17.90,
1693,20.16,
1694,21.90,
1695,21.71,
1696,20.76,
1697,22.75,
1698,23.09,
1699,24.14,
1700,22.57,
1701,21.03,
1702,19.45,
1703,19.26,
1704,18.64,
1705,19.83,
1706,19.01,
1707,18.84,
1708,18.75,
1709,19.65,
1710,23.24,
1711,24.12,
1712,22.41,
1713,21.10,
1714,21.20,
1715,21.83,
1716,20.18,
1717,21.12,
1718,20.76,
1719,20.15,
1720,19.71,
1721,21.11,
1722,20.41,
1723,20.07,
1724,20.15,
1725,20.25,
1726,21.18,
1727,21.76,
1728,21.21,
1729,23.34,
1730,22.36,
1731,20.60,
1732,19.15,
1733,18.39,
1734,19.00,
1735,19.55,
1736,20.09,
1737,20.21,
1738,19.71,
1739,19.10,
1740,19.74,
1741,21.77,
1742,22.15,
1743,20.22,
1744,18.97,
1745,18.53,
1746,19.13,
1747,20.28,
1748,19.64,
1749,20.11,
1750,19.88,
1751,20.06,
1752,20.09,
1753,21.14,
1754,20.73,
1755,20.80,
1756,20.31,
1757,21.22,
1758,23.54,
1759,22.35,
1760,20.61,
1761,20.88,
1762,20.48,
1763,21.15,
1764,21.55,
1765,22.26,
1766,23.08,
1767,22.69,
1768,24.49,
1769,23.78,
1770,22.75,
1771,22.78,
1772,24.08,
1773,24.70,
1774,24.84,
1775,25.09,
1776,24.73,
1777,23.44,
1778,24.41,
1779,24.77,
1780,23.49,
1781,23.77,
1782,25.23,
1783,25.67,
1784,26.22,
1785,25.80,
1786,24.91,
1787,24.39,
1788,24.83,
1789,25.02,
1790,25.68,
1791,26.42,
1792,26.24,
1793,25.91,
1794,26.91,
1795,27.46,
1796,30.55,
1797,32.09,
1798,30.47,
1799,29.99,
1800,32.12,
1801,39.09,
1802,41.43,
1803,35.35,
1804,34.57,
1805,35.88,
1806,38.89,
1807,38.93,
1808,39.65,
1809,40.48,
1810,43.49,
1811,44.48,
1812,43.50,
1813,47.38,
1814,48.38,
1815,45.13,
1816,42.62,
1817,41.22,
1818,43.11,
1819,43.22,
1820,41.60,
1821,39.48,
1822,37.01,
1823,34.64,
1824,34.83,
1825,35.87,
1826,38.45,
1827,37.56,
1828,36.46,
1829,36.84,
1830,35.88,
1831,35.26,
1832,33.91,
1833,32.53,
1834,31.78,
1835,32.49,
1836,32.43,
1837,34.20,
1838,33.02,
1839,33.37,
1840,33.96,
1841,32.84,
1842,32.56,
1843,31.46,
1844,29.91,
1845,30.86,
1846,30.91,
1847,30.86,
1848,33.55,
1849,30.72,
1850,31.47,
1851,29.33,
1852,29.54,
1853,29.30,
1854,32.10,
1855,33.42,
1856,33.91,
1857,34.34,
1858,34.41,
1859,32.87,
1860,33.32,
1861,33.94,
1862,34.69,
1863,34.67,
1864,34.87,
1865,36.42,
1866,35.73,
1867,36.92,
1868,36.74,
1869,35.91,
1870,35.26,
1871,34.31,
1872,34.79,
1873,36.41,
1874,37.55,
1875,36.31,
1876,35.63,
1877,35.52,
1878,35.27,
1879,34.48,
1880,32.97,
1881,33.96,
1882,33.58,
1883,33.93,
1884,33.77,
1885,32.86,
1886,31.89,
1887,31.37,
1888,31.20,
1889,31.41,
1890,31.84,
1891,31.92,
1892,32.15,
1893,32.27,
1894,32.03,
1895,31.40,
1896,31.08,
1897,30.97,
1898,31.42,
1899,31.52,
1900,31.74,
1901,33.37,
1902,33.53,
1903,33.53,
1904,33.65,
1905,33.57,
1906,33.70,
1907,33.70,
1908,34.11,
1909,34.26,
1910,34.44,
1911,34.74,
1912,34.79,
1913,35.82,
1914,35.66,
1915,35.57,
1916,40.02,
1917,47.25,
1918,59.17,
1919,72.19,
1920,79.45,
1921,91.70,
1922,83.70,
1923,71.99,
1924,67.56,
1925,67.09,
1926,67.21,
1927,66.73,
1928,65.17,
1929,64.95,
1930,64.36,
1931,62.58,
1932,59.91,
1933,58.34,
1934,57.12,
1935,57.09,
1936,57.49,
1937,57.95,
1938,59.90,
1939,60.85,
1940,62.65,
1941,73.31,
1942,81.25,
1943,87.07,
1944,90.02,
1945,92.41,
1946,94.80,
1947,97.99,
1948,104.62,
1949,112.17,
1950,115.10,
1951,118.81,
1952,128.74,
1953,140.38,
1954,144.98,
1955,147.96,
1956,154.64,
1957,162.35,
1958,167.90,
1959,172.72,
1960,173.84,
1961,175.50,
1962,181.11,
1963,188.42,
1964,192.54,
1965,198.58,
1966,207.72,
1967,216.20,
1968,220.70,
1969,229.95,
1970,242.03,
1971,256.40,
1972,278.25,
1973,296.93,
1974,323.43,
1975,370.93,
1976,452.78,
1977,521.89,
1978,598.56,
1979,643.50,
1980,714.23,
1981,819.57,
1982,912.22,
1983,986.34,
1984,1034.32,
1985,1079.73,
1986,1135.44,
1987,1177.40,
1988,1215.75,
1989,1263.22,
1990,1329.11,
1991,1422.13,
1992,1529.06,
1993,1593.77,
1994,1634.15,
1995,1666.73,
1996,1710.57,
1997,1752.05,
1998,1784.02,
1999,1811.80,
2000,1835.88,
2001,1850.50,
2002,1873.32,
2003,1896.91,
2004,1922.74,
2005,1948.57,
2006,1988.65,
2007,2034.96,
2008,2082.23,
2009,2157.23,
2010,2203.94,
2011,2276.63,
2012,2378.25,
2013,2445.51,
2014,2508.23,
2015,2544.88,
2016,2545.90,
2017,2562.70,
2018,2631.46,
2019,2696.67,
2020,2744.96,
2021,2768.31,
2022,2839.96,
