date,metric,value
2017-09-01,Nursery fees,0.4979
2017-10-01,Nursery fees,0.4967
2017-11-01,Nursery fees,0.4950
2017-12-01,Nursery fees,0.4923
2018-01-01,Nursery fees,0.4901
2018-02-01,Nursery fees,0.4891
2018-03-01,Nursery fees,0.4881
2018-04-01,Nursery fees,0.4995
2018-05-01,Nursery fees,0.5111
2018-06-01,Nursery fees,0.5226
2018-07-01,Nursery fees,0.5212
2018-08-01,Nursery fees,0.5259
2018-09-01,Nursery fees,0.5376
2018-10-01,Nursery fees,0.5485
2018-11-01,Nursery fees,0.5534
2018-12-01,Nursery fees,0.5535
2019-01-01,Nursery fees,0.5563
2019-02-01,Nursery fees,0.5583
2019-03-01,Nursery fees,0.5584
2019-04-01,Nursery fees,0.5541
2019-05-01,Nursery fees,0.5567
2019-06-01,Nursery fees,0.5607
2019-07-01,Nursery fees,0.5665
2019-08-01,Nursery fees,0.5647
2019-09-01,Nursery fees,0.5657
2019-10-01,Nursery fees,0.5708
2019-11-01,Nursery fees,0.5647
2019-12-01,Nursery fees,0.5592
2020-01-01,Nursery fees,0.5539
2020-02-01,Nursery fees,0.5565
2020-03-01,Nursery fees,0.5611
2020-04-01,Nursery fees,null
2020-05-01,Nursery fees,0.5674
2020-06-01,Nursery fees,0.5806
2020-07-01,Nursery fees,0.5785
2020-08-01,Nursery fees,0.5700
2020-09-01,Nursery fees,0.5519
2020-10-01,Nursery fees,0.5480
2020-11-01,Nursery fees,0.5501
2020-12-01,Nursery fees,0.5583
2021-01-01,Nursery fees,0.5619
2021-02-01,Nursery fees,0.5615
2021-03-01,Nursery fees,0.5753
2021-04-01,Nursery fees,0.5963
2021-05-01,Nursery fees,0.6262
2021-06-01,Nursery fees,0.6473
2021-07-01,Nursery fees,0.6478
2021-08-01,Nursery fees,0.6390
2021-09-01,Nursery fees,0.6319
2021-10-01,Nursery fees,0.6337
2021-11-01,Nursery fees,0.6320
2021-12-01,Nursery fees,0.6175
2022-01-01,Nursery fees,0.6076
2022-02-01,Nursery fees,0.5997
2022-03-01,Nursery fees,0.6120
2022-04-01,Nursery fees,0.6162
2022-05-01,Nursery fees,0.6133
2022-06-01,Nursery fees,0.5862
2022-07-01,Nursery fees,0.5642
2022-08-01,Nursery fees,0.5352
2022-09-01,Nursery fees,0.5191
2022-10-01,Nursery fees,0.5072
2022-11-01,Nursery fees,0.4957
2022-12-01,Nursery fees,0.4795
2023-01-01,Nursery fees,0.4616
2023-02-01,Nursery fees,0.4481
2023-03-01,Nursery fees,0.4407
