date,country,value
2014,LNG from Nigeria,1.235634765
2015,LNG from Nigeria,1.583454207
2016,LNG from Nigeria,1.817389612
2017,LNG from Nigeria,2.203010544
2018,LNG from Nigeria,2.25012348
2019,LNG from Nigeria,2.657913818
2020,LNG from Nigeria,2.593264239
2000,LNG from US,0
2001,LNG from US,0
2002,LNG from US,0
2003,LNG from US,0
2004,LNG from US,0
2005,LNG from US,0
2006,LNG from US,0
2007,LNG from US,0
2008,LNG from US,0
2009,LNG from US,0
2010,LNG from US,0.033853265
2011,LNG from US,0.027027253
2012,LNG from US,0
2013,LNG from US,0
2014,LNG from US,0
2015,LNG from US,0
2016,LNG from US,0.095215517
2017,LNG from US,0.466072861
2018,LNG from US,0.725829866
2019,LNG from US,3.067976422
2020,LNG from US,4.551483701
2000,LNG from Qatar,0.129827171
2001,LNG from Qatar,0.264023038
2002,LNG from Qatar,0.475622998
2003,LNG from Qatar,0.454905293
2004,LNG from Qatar,0.865448621
2005,LNG from Qatar,1.001254857
2006,LNG from Qatar,1.323967656
2007,LNG from Qatar,1.489712635
2008,LNG from Qatar,1.497809734
2009,LNG from Qatar,4.098935345
2010,LNG from Qatar,7.165531053
2011,LNG from Qatar,7.987256389
2012,LNG from Qatar,5.982713231
2013,LNG from Qatar,4.675069848
2014,LNG from Qatar,4.861940625
2015,LNG from Qatar,5.789243931
2016,LNG from Qatar,4.598931455
2017,LNG from Qatar,4.298716412
2018,LNG from Qatar,4.068357107
2019,LNG from Qatar,5.293273449
2020,LNG from Qatar,5.377674006
2000,LNG from Rest of World,0.598333919
2001,LNG from Rest of World,0.61037584
2002,LNG from Rest of World,1.008605441
2003,LNG from Rest of World,0.357599348
2004,LNG from Rest of World,0.537576234
2005,LNG from Rest of World,1.770149443
2006,LNG from Rest of World,2.795985079
2007,LNG from Rest of World,2.018232848
2008,LNG from Rest of World,2.704506851
2009,LNG from Rest of World,3.917215028
2010,LNG from Rest of World,3.282887362
2011,LNG from Rest of World,2.918318438
2012,LNG from Rest of World,2.329687669
2013,LNG from Rest of World,1.515287682
2014,LNG from Rest of World,1.661993534
2015,LNG from Rest of World,1.349017062
2016,LNG from Rest of World,1.60357261
2017,LNG from Rest of World,2.219598039
2018,LNG from Rest of World,3.596588531
2019,LNG from Rest of World,6.463043529
2020,LNG from Rest of World,5.43423368
