Date,Country,Cumulative Ebola cases,Cumulative Ebola deaths
2015-01-02,Guinea,2435,1463
2015-01-09,Guinea,2493,1515
2015-01-16,Guinea,2525,1541
2015-01-23,Guinea,2545,1561
2015-01-30,Guinea,2575,1581
2015-02-06,Guinea,2628,1608
2015-02-13,Guinea,2693,1659
2015-02-20,Guinea,2734,1688
2015-02-27,Guinea,2790,1721
2015-03-06,Guinea,2840,1755
2015-03-13,Guinea,2911,1797
2015-03-20,Guinea,2988,1846
2015-03-27,Guinea,3042,1878
2015-04-03,Guinea,3089,1919
2015-04-10,Guinea,3093,1921
2015-04-17,Guinea,3126,1937
2015-04-24,Guinea,3145,1950
2015-05-01,Guinea,3161,1968
2015-05-08,Guinea,3170,1972
2015-05-15,Guinea,3189,1982
2015-05-22,Guinea,3205,1993
2015-05-29,Guinea,3216,2006
2015-06-05,Guinea,3228,2012
2015-06-12,Guinea,3243,2021
2015-06-19,Guinea,3247,2027
2015-06-26,Guinea,3266,2037
2015-07-03,Guinea,3279,2042
2015-07-10,Guinea,3293,2055
2015-07-17,Guinea,3310,2059
2015-07-24,Guinea,3325,2066
2015-07-31,Guinea,3326,2069
2015-08-07,Guinea,3329,2072
2015-08-14,Guinea,3330,2072
2015-08-21,Guinea,3334,2074
2015-08-28,Guinea,3336,2076
2015-09-04,Guinea,3338,2077
2015-09-11,Guinea,3338,2078
2015-09-18,Guinea,3339,2079
2015-09-25,Guinea,3340,2080
2015-10-02,Guinea,3344,2080
2015-10-09,Guinea,3344,2081
2015-10-16,Guinea,3346,2082
2015-10-23,Guinea,3347,2082
2015-10-30,Guinea,3350,2083
2015-11-06,Guinea,3351,2083
2015-11-13,Guinea,3351,2083
2015-11-20,Guinea,3351,2083
2015-11-27,Guinea,3351,2083
2015-12-04,Guinea,3351,2083
2015-12-11,Guinea,3351,2083
2015-12-18,Guinea,3351,2083
2015-12-25,Guinea,3351,2083
2016-01-01,Guinea,3351,2083
2014-08-29,Liberia,322,225
2014-09-05,Liberia,614,431
2014-09-12,Liberia,654,498
2014-09-19,Liberia,812,631
2014-09-26,Liberia,914,792
2014-10-03,Liberia,931,934
2014-10-10,Liberia,943,1072
2014-10-17,Liberia,null,null
2014-10-24,Liberia,965,1241
2014-10-31,Liberia,965,1241
2014-11-07,Liberia,2514,null
2014-11-14,Liberia,2562,null
2014-11-21,Liberia,2669,null
2014-11-28,Liberia,2727,null
2014-12-05,Liberia,2801,null
2014-12-12,Liberia,2801,null
2014-12-19,Liberia,2830,null
2014-12-26,Liberia,3085,null
2015-01-02,Liberia,3110,null
2015-01-09,Liberia,3123,null
2015-01-16,Liberia,3127,null
2015-01-23,Liberia,3136,null
2015-01-30,Liberia,3138,null
2015-02-06,Liberia,3143,null
2015-02-13,Liberia,3147,3858
2015-02-20,Liberia,3152,null
2015-02-27,Liberia,3153,null
2015-03-06,Liberia,3150,null
2015-03-13,Liberia,3150,null
2015-03-20,Liberia,3150,null
2015-03-27,Liberia,3151,null
2015-04-03,Liberia,3151,null
2015-04-10,Liberia,3151,null
2015-04-17,Liberia,3151,null
2015-04-24,Liberia,3151,null
2015-05-01,Liberia,3151,null
2015-05-08,Liberia,3151,null
2015-05-15,Liberia,3151,null
2015-05-22,Liberia,3151,null
2015-05-29,Liberia,3151,null
2015-06-05,Liberia,3151,null
2015-06-12,Liberia,3151,null
2015-06-19,Liberia,3151,null
2015-06-26,Liberia,3151,null
2015-07-03,Liberia,3151,null
2015-07-10,Liberia,3151,null
2015-07-17,Liberia,3151,null
2015-07-24,Liberia,3151,null
2015-07-31,Liberia,3151,null
2015-08-07,Liberia,3151,null
2015-08-14,Liberia,3151,null
2015-08-21,Liberia,3151,null
2015-08-28,Liberia,3151,null
2015-09-04,Liberia,3151,null
2015-09-11,Liberia,3151,null
2015-09-18,Liberia,3151,null
2015-09-25,Liberia,3151,null
2015-10-02,Liberia,3151,null
2015-10-09,Liberia,3151,null
2015-10-16,Liberia,3151,null
2015-10-23,Liberia,3151,null
2015-10-30,Liberia,3151,null
2015-11-06,Liberia,3151,null
2015-11-13,Liberia,3151,null
2015-11-20,Liberia,3151,null
2015-11-27,Liberia,3151,null
2015-12-04,Liberia,3151,null
2015-12-11,Liberia,3151,null
2015-12-18,Liberia,3151,null
2015-12-25,Liberia,3151,null
2016-01-01,Liberia,3151,null
