Time,Country,Value,Detail
2013,United Kingdom,7.354132787,
2014,United Kingdom,6.71105738,
2015,United Kingdom,6.414980428,
2016,United Kingdom,6.019934432,
2017,United Kingdom,5.816062074,
2018,United Kingdom,5.66171039,
2019,United Kingdom,5.477245609,
1901,United States,9.122886129,
1902,United States,9.497449853,
1903,United States,10.90210759,
1904,United States,10.52763183,
1905,United States,11.55214396,
1906,United States,11.89773465,
1907,United States,13.5796905,
1908,United States,11.64983417,
1909,United States,12.65961513,
1910,United States,13.56314047,
1911,United States,13.18047842,
1912,United States,13.82833305,
1913,United States,14.57984277,
1914,United States,13.08616141,
1915,United States,13.35719014,
1916,United States,14.61870996,
1917,United States,15.86727593,
1918,United States,16.4160506,
1919,United States,13.77278385,
1920,United States,15.98899349,
1921,United States,12.90992353,
1922,United States,12.80922253,
1923,United States,16.63472339,
1924,United States,14.66052466,
1925,United States,14.82006216,
1926,United States,15.84462852,
1927,United States,15.28288359,
1928,United States,14.83922461,
1929,United States,15.73508898,
1930,United States,13.84725151,
1931,United States,11.6845403,
1932,United States,9.833093289,
1933,United States,10.47877685,
1934,United States,11.08665457,
1935,United States,11.44213585,
1936,United States,13.05091987,
1937,United States,13.56142601,
1938,United States,11.38390092,
1939,United States,12.44512636,
1940,United States,13.84377982,
1941,United States,14.94030837,
1942,United States,15.89001843,
1943,United States,16.22224214,
1944,United States,17.245708,
1945,United States,16.46047915,
1946,United States,15.5348012,
1947,United States,16.83965749,
1948,United States,17.18349767,
1949,United States,13.98757432,
1950,United States,15.96997363,
1951,United States,16.24098338,
1952,United States,15.5903853,
1953,United States,15.70765573,
1954,United States,14.71704954,
1955,United States,15.84892698,
1956,United States,16.32686338,
1957,United States,15.91164568,
1958,United States,15.15784998,
1959,United States,15.36028132,
1960,United States,15.46596556,
1961,United States,15.17840295,
1962,United States,15.51630013,
1963,United States,15.98517623,
1964,United States,16.4773219,
1965,United States,16.96352488,
1966,United States,17.62877501,
1967,United States,18.11283841,
1968,United States,18.60152791,
1969,United States,19.36589535,
1970,United States,20.64550166,
1971,United States,20.58485357,
1972,United States,21.37409219,
1973,United States,22.13251309,
1974,United States,21.15449458,
1975,United States,20.08752548,
1976,United States,20.83880565,
1977,United States,21.22188404,
1978,United States,21.68057366,
1979,United States,21.52751047,
1980,United States,20.55429045,
1981,United States,19.55814227,
1982,United States,18.39848556,
1983,United States,18.37019262,
1984,United States,18.75395982,
1985,United States,18.64589681,
1986,United States,18.48657218,
1987,United States,19.10131361,
1988,United States,19.74997374,
1989,United States,19.81380058,
1990,United States,20.34071322,
1991,United States,19.95328581,
1992,United States,20.16687961,
1993,United States,20.35755743,
1994,United States,20.50416553,
1995,United States,20.51147857,
1996,United States,20.96972714,
1997,United States,20.99158418,
1998,United States,20.89961593,
1999,United States,20.93103392,
2000,United States,21.2915728,
2001,United States,20.73180162,
2002,United States,20.68599574,
2003,United States,20.67504773,
2004,United States,20.89110184,
2005,United States,20.78650179,
2006,United States,20.32197468,
2007,United States,20.38678159,
2008,United States,19.54139344,
2009,United States,17.92651752,
2010,United States,18.43965306,
2011,United States,17.86129712,
2012,United States,17.09177235,
2013,United States,17.42734515,
2014,United States,17.45274735,
2015,United States,16.86756937,
2016,United States,16.3839177,
2017,United States,16.16071569,
2018,United States,16.5849827,
2019,United States,16.05973527,
1901,India,0.054076903,
1902,India,0.059304548,
1903,India,0.06021408,
1904,India,0.067078028,
1905,India,0.068280871,
1906,India,0.07850378,
1907,India,0.087061145,
1908,India,0.099172372,
1909,India,0.095704279,
1910,India,0.092712609,
1911,India,0.097405462,
1912,India,0.111620265,
1913,India,0.122548022,
1914,India,0.122781634,
1915,India,0.127604525,
1916,India,0.128279429,
1917,India,0.133230109,
1918,India,0.148910744,
1919,India,0.161668811,
1920,India,0.130424031,
1921,India,0.139495322,
1922,India,0.136478886,
1923,India,0.139636673,
1924,India,0.148559895,
1925,India,0.14574453,
1926,India,0.144406817,
1927,India,0.150568427,
1928,India,0.14325965,
1929,India,0.147906593,
1930,India,0.148798521,
1931,India,0.134613518,
1932,India,0.123594175,
1933,India,0.119789017,
1934,India,0.13208539,
1935,India,0.136275661,
1936,India,0.132242011,
1937,India,0.144628381,
1938,India,0.159628047,
1939,India,0.154262798,
1940,India,0.161561279,
1941,India,0.163443431,
1942,India,0.16133478,
1943,India,0.138953489,
1944,India,0.140440409,
1945,India,0.153885414,
1946,India,0.150067945,
1947,India,0.150885714,
1948,India,0.148921576,
1949,India,0.15349598,
1950,India,0.162629773,
1951,India,0.167700692,
1952,India,0.173702987,
1953,India,0.173978574,
1954,India,0.18015807,
1955,India,0.192514053,
1956,India,0.195905056,
1957,India,0.215798089,
1958,India,0.221418836,
1959,India,0.229962434,
1960,India,0.247455818,
1961,India,0.262341475,
1962,India,0.283058447,
1963,India,0.297920983,
1964,India,0.285749257,
1965,India,0.308383872,
1966,India,0.313155263,
1967,India,0.30703316,
1968,India,0.327936386,
1969,India,0.327105793,
1970,India,0.327735659,
1971,India,0.338464281,
1972,India,0.349843176,
1973,India,0.351992951,
1974,India,0.355004394,
1975,India,0.376363603,
1976,India,0.384341725,
1977,India,0.397444499,
1978,India,0.394724898,
1979,India,0.405017972,
1980,India,0.417886629,
1981,India,0.440829272,
1982,India,0.444911845,
1983,India,0.470541172,
1984,India,0.472066065,
1985,India,0.507508824,
1986,India,0.532216818,
1987,India,0.556183578,
1988,India,0.587831624,
1989,India,0.632842453,
1990,India,0.662660684,
1991,India,0.691265119,
1992,India,0.721673338,
1993,India,0.731197775,
1994,India,0.758381935,
1995,India,0.790870128,
1996,India,0.840981946,
1997,India,0.859156087,
1998,India,0.861160591,
1999,India,0.916780382,
2000,India,0.926035573,
2001,India,0.923282893,
2002,India,0.935546592,
2003,India,0.953121047,
2004,India,0.996140863,
2005,India,1.033243597,
2006,India,1.08068438,
2007,India,1.147654937,
2008,India,1.218131584,
2009,India,1.324201614,
2010,India,1.359883796,
2011,India,1.412526586,
2012,India,1.533688874,
2013,India,1.587559059,
2014,India,1.686037698,
2015,India,1.719975157,
2016,India,1.806212938,
2017,India,1.835280397,
2018,India,1.915749804,
2019,India,1.914823083,
1901,World,1.215954441,
1902,World,1.239491279,
1903,World,1.344320789,
1904,World,1.350529852,
1905,World,1.429726685,
1906,World,1.493212348,
1907,World,1.678380299,
1908,World,1.606005841,
1909,World,1.660942526,
1910,World,1.73266057,
1911,World,1.754682785,
1912,World,1.828005623,
1913,World,1.96723564,
1914,World,1.775217936,
1915,World,1.741021439,
1916,World,1.868068518,
1917,World,1.941540311,
1918,World,1.901234661,
1919,World,1.636390736,
1920,World,1.888921785,
1921,World,1.64353525,
1922,World,1.708366775,
1923,World,1.920065292,
1924,World,1.906860481,
1925,World,1.900239724,
1926,World,1.844946734,
1927,World,1.992224083,
1928,World,1.959648525,
1929,World,2.079332716,
1930,World,1.893429422,
1931,World,1.671649605,
1932,World,1.488632192,
1933,World,1.548613653,
1934,World,1.664589241,
1935,World,1.726875157,
1936,World,1.876767153,
1937,World,1.98631708,
1938,World,1.851803254,
1939,World,1.942567605,
1940,World,2.107427941,
1941,World,2.141468595,
1942,World,2.121458451,
1943,World,2.146057658,
1944,World,2.169196659,
1945,World,1.791955291,
1946,World,1.941192331,
1947,World,2.12867211,
1948,World,2.214237881,
1949,World,2.117773902,
1950,World,2.364878145,
1951,World,2.466602552,
1952,World,2.455530884,
1953,World,2.480491024,
1954,World,2.490027405,
1955,World,2.681927445,
1956,World,2.805339345,
1957,World,2.84666489,
1958,World,2.875260746,
1959,World,2.969720681,
1960,World,3.075798474,
1961,World,3.026026837,
1962,World,3.074988759,
1963,World,3.187800489,
1964,World,3.289456628,
1965,World,3.374459028,
1966,World,3.460711432,
1967,World,3.498793206,
1968,World,3.614145478,
1969,World,3.776350562,
1970,World,4.006786926,
1971,World,4.085490548,
1972,World,4.191087115,
1973,World,4.328324955,
1974,World,4.227458223,
1975,World,4.143413444,
1976,World,4.284280838,
1977,World,4.323894063,
1978,World,4.4043866,
1979,World,4.443376551,
1980,World,4.344871915,
1981,World,4.152827772,
1982,World,4.050118593,
1983,World,4.01659683,
1984,World,4.060657657,
1985,World,4.129982625,
1986,World,4.112774079,
1987,World,4.168750582,
1988,World,4.249593929,
1989,World,4.237443759,
1990,World,4.260677268,
1991,World,4.279330079,
1992,World,4.081701787,
1993,World,4.063818707,
1994,World,4.033759903,
1995,World,4.061854792,
1996,World,4.128976818,
1997,World,4.096690878,
1998,World,4.028896961,
1999,World,4.028708357,
2000,World,4.088722431,
2001,World,4.070982122,
2002,World,4.111729683,
2003,World,4.258798934,
2004,World,4.406400096,
2005,World,4.495766998,
2006,World,4.585864043,
2007,World,4.666583506,
2008,World,4.705496568,
2009,World,4.578097954,
2010,World,4.762505242,
2011,World,4.858491706,
2012,World,4.878030689,
2013,World,4.852210747,
2014,World,4.831180646,
2015,World,4.77105896,
2016,World,4.718690854,
2017,World,4.729334392,
2018,World,4.772543108,
2019,World,4.724384419,
