date,value,value2,value3,value4
1307,-3.42,0.04,null,null
1308,9.12,0.29,null,null
1309,14.58,1.60,null,null
1310,4.89,1.83,null,null
1311,-0.05,2.37,null,null
1312,-15.56,1.25,null,null
1313,-2.12,1.59,null,null
1314,8.02,2.67,null,null
1315,5.61,2.26,null,null
1316,32.41,5.35,null,null
1317,2.43,5.93,null,null
1318,-22.43,2.78,null,null
1319,-21.06,-0.78,null,null
1320,10.92,-0.18,null,null
1321,5.57,0.38,null,null
1322,27.84,4.72,null,null
1323,-12.76,3.66,null,null
1324,-12.28,1.63,null,null
1325,6.80,1.74,null,null
1326,-12.73,-2.77,null,null
1327,-11.68,-4.18,null,null
1328,8.54,-1.08,null,null
1329,8.20,1.84,null,null
1330,0.76,0.83,null,null
1331,6.82,0.95,null,null
1332,1.36,-1.70,null,null
1333,-15.28,-1.95,null,null
1334,-4.38,-1.16,null,null
1335,-1.16,-1.95,null,null
1336,4.68,-0.21,null,null
1337,-6.12,0.34,null,null
1338,-8.68,-1.38,50,-50
1339,-7.35,-2.93,50,-50
1340,25.25,-0.49,50,-50
1341,-12.73,-2.44,50,-50
1342,3.38,-2.24,50,-50
1343,-2.21,-0.93,50,-50
1344,9.09,0.41,50,-50
1345,-8.93,-0.36,50,-50
1346,4.80,-0.35,50,-50
1347,17.77,2.04,50,-50
1348,0.93,3.00,50,-50
1349,-17.16,2.02,50,-50
1350,18.07,1.30,50,-50
1351,16.04,4.18,50,-50
1352,11.49,4.99,50,-50
1353,-17.53,3.46,50,-50
1354,-3.17,2.23,50,-50
1355,2.86,3.41,50,-50
1356,5.03,3.43,50,-50
1357,2.71,1.93,50,-50
1358,0.23,1.86,50,-50
1359,-4.30,3.14,50,-50
1360,0.69,1.41,50,-50
1361,-1.14,-0.31,50,-50
1362,-2.15,-1.68,null,null
1363,12.62,1.34,null,null
1364,5.10,2.17,null,null
1365,-7.47,1.13,null,null
1366,-6.56,-0.03,null,null
1367,2.16,-0.08,null,null
1368,6.65,0.56,null,null
1369,0.94,1.08,null,null
1370,31.97,4.21,null,null
1371,-22.00,2.13,50,-50
1372,-7.30,1.61,50,-50
1373,6.61,1.01,50,-50
1374,-10.41,-0.54,50,-50
1375,15.67,1.77,50,-50
1376,-1.62,2.27,50,-50
1377,-19.00,0.15,50,-50
1378,-5.44,-1.06,50,-50
1379,-4.06,-1.56,50,-50
1380,16.26,-3.13,50,-50
1381,2.15,-0.71,50,-50
1382,-7.13,-0.70,50,-50
1383,-1.30,-1.49,50,-50
1384,1.50,-0.30,50,-50
1385,-3.34,-2.20,50,-50
1386,4.15,-1.62,50,-50
1387,-5.53,-0.27,50,-50
1388,-5.81,-0.31,50,-50
1389,-6.56,-0.56,50,-50
1390,23.79,0.19,50,-50
1391,14.43,1.42,null,null
1392,-16.35,0.50,null,null
1393,-11.13,-0.49,null,null
1394,2.13,-0.42,null,null
1395,3.00,0.21,null,null
1396,0.26,-0.18,null,null
1397,14.45,1.82,null,null
1398,-1.36,2.27,null,null
1399,-4.36,2.49,null,null
1400,2.62,0.37,null,null
1401,5.50,-0.52,null,null
1402,10.77,2.19,null,null
1403,-9.64,2.34,null,null
1404,-9.50,1.17,null,null
1405,-1.53,0.72,null,null
1406,-6.22,0.07,null,null
1407,6.98,-0.67,null,null
1408,7.50,0.21,null,null
1409,6.89,1.34,null,null
1410,7.68,1.84,null,null
1411,-12.04,0.09,null,null
1412,-6.13,-1.60,null,null
1413,0.70,-0.57,null,null
1414,-2.87,0.10,null,null
1415,1.33,0.38,null,null
1416,9.90,1.99,50,-50
1417,7.60,2.06,50,-50
1418,-11.40,0.17,50,-50
1419,4.72,-0.05,50,-50
1420,-9.69,-1.79,50,-50
1421,5.48,-0.03,50,-50
1422,-3.01,0.28,50,-50
1423,-6.35,-0.43,50,-50
1424,0.63,-0.08,50,-50
1425,6.99,0.49,50,-50
1426,-3.23,-0.82,50,-50
1427,-3.98,-1.98,50,-50
1428,2.01,-0.64,50,-50
1429,20.18,0.90,50,-50
1430,-0.85,1.79,50,-50
1431,-9.44,0.30,50,-50
1432,-9.39,-0.34,50,-50
1433,17.61,2.05,50,-50
1434,-7.60,1.23,50,-50
1435,-4.51,0.08,50,-50
1436,5.01,0.90,50,-50
1437,-0.89,1.21,50,-50
1438,25.53,3.56,50,-50
1439,4.11,1.96,50,-50
1440,-14.34,0.61,50,-50
1441,-21.18,-0.57,50,-50
1442,3.86,0.76,50,-50
1443,1.07,-0.90,50,-50
1444,-0.84,-0.22,50,-50
1445,-4.29,-0.20,50,-50
1446,12.38,0.54,50,-50
1447,3.68,1.00,50,-50
1448,-7.76,-2.33,50,-50
1449,3.95,-2.35,50,-50
1450,-2.01,-1.11,50,-50
1451,2.01,1.21,50,-50
1452,2.09,1.03,50,-50
1453,-1.55,0.77,50,-50
1454,-4.06,0.44,50,-50
1455,-4.76,0.40,null,null
1456,5.41,-0.30,50,-50
1457,1.18,-0.55,50,-50
1458,5.07,0.73,50,-50
1459,-1.56,0.18,50,-50
1460,-0.21,0.36,50,-50
1461,10.31,1.19,50,-50
1462,0.23,1.01,50,-50
1463,-17.70,-0.61,null,null
1464,-5.91,-0.79,null,null
1465,8.99,0.58,null,null
1466,1.95,0.23,null,null
1467,4.58,0.57,null,null
1468,4.20,0.49,null,null
1469,-1.83,0.46,null,null
1470,2.82,0.76,null,null
1471,-0.44,-0.31,50,-50
1472,-2.60,-0.59,null,null
1473,-7.67,0.41,null,null
1474,-0.43,0.96,null,null
1475,0.42,0.10,null,null
1476,3.90,0.29,null,null
1477,1.54,-0.01,null,null
1478,6.27,0.20,null,null
1479,0.84,0.47,null,null
1480,-6.10,-0.43,null,null
1481,1.11,-0.27,null,null
1482,11.05,1.09,null,null
1483,10.02,2.86,null,null
1484,-8.72,2.03,null,null
1485,-10.85,0.91,null,null
1486,0.34,0.55,null,null
1487,2.49,0.64,null,null
1488,-1.81,-0.16,null,null
1489,2.13,-0.03,null,null
1490,-1.72,0.40,null,null
1491,6.30,0.92,null,null
1492,-3.56,-0.54,null,null
1493,-5.99,-2.14,null,null
1494,0.26,-1.24,null,null
1495,-2.23,-0.38,null,null
1496,-7.85,-1.20,null,null
1497,18.45,0.40,null,null
1498,-6.16,-0.04,null,null
1499,2.23,-0.03,null,null
1500,-5.36,-0.39,null,null
1501,15.25,0.50,null,null
1502,3.34,1.19,null,null
1503,-6.23,1.17,null,null
1504,1.72,1.32,null,null
1505,-6.14,0.92,null,null
1506,-3.08,1.40,null,null
1507,3.97,-0.05,null,null
1508,-0.96,0.47,null,null
1509,-13.18,-1.07,null,null
1510,3.30,-0.20,null,null
1511,2.03,-1.52,null,null
1512,11.82,-0.67,null,null
1513,14.65,1.41,50,-50
1514,-11.07,0.14,50,-50
1515,0.72,0.82,50,-50
1516,6.33,1.76,null,null
1517,-11.24,0.24,null,null
1518,10.12,1.35,null,null
1519,0.69,2.74,null,null
1520,10.86,3.49,null,null
1521,5.73,3.86,null,null
1522,-8.66,1.81,null,null
1523,-0.08,0.34,50,-50
1524,-3.33,1.11,50,-50
1525,-8.18,0.23,50,-50
1526,-1.81,-0.59,null,null
1527,10.91,1.63,null,null
1528,32.73,3.89,null,null
1529,-16.22,2.20,50,-50
1530,0.03,1.11,50,-50
1531,1.29,0.67,null,null
1532,1.42,1.68,null,null
1533,-1.19,1.57,null,null
1534,-10.39,0.86,null,null
1535,11.25,2.80,null,null
1536,4.30,3.41,null,null
1537,1.40,2.46,null,null
1538,-10.59,-1.87,null,null
1539,-4.13,-0.66,null,null
1540,4.14,-0.25,null,null
1541,7.88,0.41,null,null
1542,-2.95,-0.03,null,null
1543,7.23,0.82,50,-50
1544,6.63,2.52,50,-50
1545,11.71,2.56,50,-50
1546,6.53,2.79,50,-50
1547,-22.23,0.42,50,-50
1548,0.06,1.49,null,null
1549,21.35,4.04,null,null
1550,24.83,6.10,null,null
1551,8.61,6.18,null,null
1552,-9.40,5.53,null,null
1553,-8.03,4.00,null,null
1554,-1.24,3.22,null,null
1555,16.66,3.71,null,null
1556,18.02,4.86,null,null
1557,6.19,7.70,50,-50
1558,-26.44,5.05,50,-50
1559,5.45,3.46,50,-50
1560,4.94,1.47,null,null
1561,8.20,1.43,null,null
1562,-0.23,2.35,null,null
1563,4.36,3.59,null,null
1564,2.65,3.98,null,null
1565,-12.68,1.05,null,null
1566,3.01,-0.45,null,null
1567,-7.40,-1.81,null,null
1568,0.81,0.91,null,null
1569,8.56,1.22,null,null
1570,-1.52,0.58,null,null
1571,-2.73,-0.52,null,null
1572,8.21,0.33,null,null
1573,4.47,0.34,null,null
1574,13.69,1.44,null,null
1575,-11.15,1.60,null,null
1576,1.47,1.44,null,null
1577,8.44,3.03,null,null
1578,-6.88,2.26,null,null
1579,-0.10,1.39,null,null
1580,-5.24,1.02,null,null
1581,12.60,2.55,null,null
1582,-0.29,1.70,null,null
1583,-4.24,0.83,null,null
1584,0.42,-0.50,null,null
1585,5.19,1.14,null,null
1586,16.00,2.59,50,-50
1587,0.39,1.79,50,-50
1588,-14.38,1.04,50,-50
1589,3.21,1.37,50,-50
1590,10.43,2.94,50,-50
1591,-1.06,1.57,50,-50
1592,-8.31,0.77,50,-50
1593,4.43,1.63,50,-50
1594,12.79,2.87,50,-50
1595,9.60,3.31,50,-50
1596,5.47,2.26,50,-50
1597,13.28,3.55,50,-50
1598,-7.68,4.22,50,-50
1599,-15.66,2.33,50,-50
1600,2.99,1.59,50,-50
1601,0.94,1.79,50,-50
1602,-3.22,2.29,50,-50
1603,-5.06,1.34,50,-50
1604,1.93,0.26,50,-50
1605,5.89,-0.11,50,-50
1606,1.46,-0.51,null,null
1607,1.69,-1.67,null,null
1608,13.29,0.42,null,null
1609,2.13,2.20,null,null
1610,-10.00,0.90,null,null
1611,3.15,1.13,null,null
1612,3.97,1.85,null,null
1613,4.50,2.80,null,null
1614,-0.74,2.54,null,null
1615,-2.21,1.73,null,null
1616,1.53,1.73,null,null
1617,1.33,1.70,null,null
1618,0.42,0.41,null,null
1619,-6.50,-0.45,null,null
1620,-5.37,0.01,null,null
1621,4.33,0.13,null,null
1622,12.44,0.97,null,null
1623,-3.37,0.19,null,null
1624,-2.40,0.02,null,null
1625,2.68,0.51,null,null
1626,0.70,0.43,50,-50
1627,-6.77,-0.38,50,-50
1628,-0.49,-0.48,50,-50
1629,2.99,0.47,50,-50
1630,15.47,2.56,50,-50
1631,6.62,2.79,50,-50
1632,-6.90,0.85,null,null
1633,-1.77,1.01,null,null
1634,1.28,1.38,null,null
1635,0.77,1.19,null,null
1636,2.17,1.34,null,null
1637,1.22,2.13,null,null
1638,3.53,2.54,null,null
1639,-8.14,1.42,null,null
1640,-5.32,-0.65,null,null
1641,7.30,-0.59,null,null
1642,-4.17,-0.31,null,null
1643,2.15,0.08,50,-50
1644,-1.30,-0.18,50,-50
1645,1.48,-0.11,50,-50
1646,4.27,0.10,50,-50
1647,14.37,1.42,50,-50
1648,8.71,1.94,50,-50
1649,-1.89,2.56,50,-50
1650,-3.35,2.76,50,-50
1651,-2.41,1.79,50,-50
1652,-8.25,1.38,50,-50
1653,-5.04,0.66,50,-50
1654,-10.66,-0.28,50,-50
1655,-4.14,-0.84,50,-50
1656,13.18,0.05,50,-50
1657,3.44,-1.04,50,-50
1658,7.10,-1.20,50,-50
1659,6.79,-0.33,50,-50
1660,-5.77,-0.58,50,-50
1661,6.02,0.27,50,-50
1662,1.34,1.23,null,null
1663,-8.66,0.87,null,null
1664,-0.21,1.91,null,null
1665,-4.45,1.88,null,null
1666,-4.96,0.06,50,-50
1667,-1.25,-0.40,50,-50
1668,-0.40,-1.15,null,null
1669,6.78,-1.16,null,null
1670,-1.27,-0.71,null,null
1671,0.44,-1.26,null,null
1672,-3.21,-1.72,null,null
1673,5.18,-0.33,50,-50
1674,10.55,0.74,50,-50
1675,-4.16,0.77,50,-50
1676,-11.52,0.11,null,null
1677,5.13,0.75,null,null
1678,4.03,1.20,null,null
1679,1.47,0.67,null,null
1680,-5.51,0.24,null,null
1681,3.26,0.52,null,null
1682,-1.21,0.72,null,null
1683,-0.86,0.12,null,null
1684,0.89,-0.85,null,null
1685,3.94,-0.04,null,null
1686,-10.15,0.10,null,null
1687,-2.05,-0.62,null,null
1688,-3.47,-1.37,null,null
1689,-0.85,-1.60,50,-50
1690,3.86,-0.66,50,-50
1691,-1.00,-1.09,50,-50
1692,12.58,0.29,50,-50
1693,8.67,1.24,50,-50
1694,-0.87,1.07,50,-50
1695,-4.40,0.23,50,-50
1696,9.58,2.21,50,-50
1697,1.51,2.56,50,-50
1698,4.56,3.36,50,-50
1699,-6.54,2.80,null,null
1700,-6.83,1.73,null,null
1701,-7.48,1.08,null,null
1702,-0.96,-0.28,null,null
1703,-3.27,-1.47,50,-50
1704,6.39,-0.74,50,-50
1705,-4.12,-0.72,50,-50
1706,-0.90,-1.76,50,-50
1707,-0.47,-1.96,50,-50
1708,4.83,-1.93,50,-50
1709,18.24,0.54,50,-50
1710,3.79,1.60,50,-50
1711,-7.08,1.64,50,-50
1712,-5.85,1.16,50,-50
1713,0.46,1.53,50,-50
1714,2.97,1.19,50,-50
1715,-7.54,0.84,null,null
1716,4.65,1.40,null,null
1717,-1.71,1.28,null,null
1718,-2.92,0.50,null,null
1719,-2.20,-1.54,null,null
1720,7.11,-1.21,null,null
1721,-3.34,-0.84,null,null
1722,-1.65,-0.42,null,null
1723,0.39,-0.42,null,null
1724,0.48,-0.67,null,null
1725,4.63,0.55,null,null
1726,2.72,0.35,null,null
1727,-2.54,0.27,null,null
1728,10.06,1.57,null,null
1729,-4.23,1.36,null,null
1730,-7.87,-0.13,null,null
1731,-7.02,-0.50,null,null
1732,-3.98,-0.74,null,null
1733,3.33,-0.44,null,null
1734,2.90,-0.20,null,null
1735,2.76,-0.39,null,null
1736,0.59,-0.60,null,null
1737,-2.44,-0.59,null,null
1738,-3.10,-1.91,null,null
1739,3.34,-1.15,null,null
1740,10.31,0.67,null,null
1741,1.73,1.54,50,-50
1742,-8.72,1.07,50,-50
1743,-6.20,0.12,50,-50
1744,-2.32,-0.41,50,-50
1745,3.25,-0.36,50,-50
1746,6.01,0.18,50,-50
1747,-3.15,0.11,50,-50
1748,2.42,0.67,50,-50
1749,-1.13,0.22,50,-50
1750,0.91,-0.72,null,null
1751,0.15,-0.88,null,null
1752,5.19,0.51,null,null
1753,-1.93,0.94,null,null
1754,0.33,1.20,null,null
1755,-2.32,0.65,null,null
1756,4.45,0.49,null,null
1757,10.96,1.90,50,-50
1758,-5.06,1.15,50,-50
1759,-7.80,0.49,50,-50
1760,1.30,0.53,50,-50
1761,-1.88,0.32,50,-50
1762,3.26,0.13,50,-50
1763,1.86,0.51,50,-50
1764,3.34,0.81,50,-50
1765,3.67,1.41,null,null
1766,-1.69,0.80,null,null
1767,7.93,0.49,null,null
1768,-2.89,0.71,null,null
1769,-4.37,1.05,null,null
1770,0.14,0.94,null,null
1771,5.73,1.70,null,null
1772,2.55,1.63,null,null
1773,0.57,1.50,null,null
1774,1.02,1.27,null,null
1775,-1.45,0.76,null,null
1776,-5.23,0.40,50,-50
1777,4.17,0.03,50,-50
1778,1.47,0.46,50,-50
1779,-5.16,0.38,50,-50
1780,1.19,0.49,50,-50
1781,6.13,0.53,50,-50
1782,1.76,0.45,50,-50
1783,2.12,0.60,50,-50
1784,-1.60,0.34,50,-50
1785,-3.45,0.14,null,null
1786,-2.06,0.46,null,null
1787,1.80,0.22,null,null
1788,0.75,0.15,null,null
1789,2.64,0.93,null,null
1790,2.88,1.09,null,null
1791,-0.67,0.41,null,null
1792,-1.23,0.12,null,null
1793,3.83,0.29,null,null
1794,2.07,0.65,50,-50
1795,11.23,2.12,50,-50
1796,5.07,2.83,50,-50
1797,-5.06,2.15,50,-50
1798,-1.58,1.92,50,-50
1799,7.09,2.36,50,-50
1800,21.73,4.25,50,-50
1801,5.97,4.91,50,-50
1802,-14.67,3.57,50,-50
1803,-2.21,2.96,50,-50
1804,3.77,3.13,50,-50
1805,8.39,2.85,50,-50
1806,0.11,2.35,50,-50
1807,1.86,3.05,50,-50
1808,2.09,3.41,50,-50
1809,7.43,3.45,50,-50
1810,2.28,1.50,50,-50
1811,-2.20,0.68,50,-50
1812,8.93,3.04,50,-50
1813,2.11,3.48,50,-50
1814,-6.72,2.43,50,-50
1815,-5.56,1.03,50,-50
1816,-3.27,0.69,50,-50
1817,4.58,0.97,null,null
1818,0.27,0.78,null,null
1819,-3.77,-0.34,null,null
1820,-5.08,-1.07,null,null
1821,-6.26,-1.48,null,null
1822,-6.41,-3.01,null,null
1823,0.55,-3.17,null,null
1824,2.98,-2.20,null,null
1825,7.19,-0.92,null,null
1826,-2.32,-0.83,null,null
1827,-2.92,-1.58,null,null
1828,1.04,-1.50,null,null
1829,-2.62,-1.38,null,null
1830,-1.71,-1.05,null,null
1831,-3.83,-0.80,null,null
1832,-4.09,-0.57,null,null
1833,-2.30,-0.86,null,null
1834,2.22,-0.93,null,null
1835,-0.16,-1.67,null,null
1836,5.46,-0.89,null,null
1837,-3.45,-0.94,null,null
1838,1.06,-0.94,null,null
1839,1.77,-0.50,null,null
1840,-3.32,-0.66,null,null
1841,-0.83,-0.36,null,null
1842,-3.40,-0.29,null,null
1843,-4.91,-0.56,null,null
1844,3.16,-0.46,null,null
1845,0.16,-0.43,null,null
1846,-0.14,-0.99,null,null
1847,8.71,0.23,null,null
1848,-8.43,-0.72,null,null
1849,2.44,-0.66,null,null
1850,-6.81,-1.00,null,null
1851,0.72,-0.85,null,null
1852,-0.83,-0.59,null,null
1853,9.56,0.85,null,null
1854,4.13,0.95,50,-50
1855,1.44,1.08,50,-50
1856,1.29,1.22,50,-50
1857,0.21,0.37,50,-50
1858,-4.48,0.77,null,null
1859,1.37,0.66,null,null
1860,1.85,1.53,null,null
1861,2.21,1.68,null,null
1862,-0.06,1.75,null,null
1863,0.58,0.85,null,null
1864,4.44,0.88,null,null
1865,-1.90,0.55,null,null
1866,3.35,0.76,null,null
1867,-0.49,0.69,null,null
1868,-2.26,0.91,null,null
1869,-1.82,0.59,null,null
1870,-2.71,0.13,null,null
1871,1.42,0.06,null,null
1872,4.66,0.53,null,null
1873,3.12,0.78,null,null
1874,-3.29,0.01,null,null
1875,-1.87,0.01,null,null
1876,-0.33,-0.36,null,null
1877,-0.69,-0.38,null,null
1878,-2.24,-0.38,null,null
1879,-4.39,-0.63,null,null
1880,3.03,-0.06,null,null
1881,-1.13,-0.31,50,-50
1882,1.04,-0.68,50,-50
1883,-0.47,-1.04,null,null
1884,-2.68,-0.97,null,null
1885,-2.97,-1.08,null,null
1886,-1.63,-1.21,null,null
1887,-0.54,-1.20,null,null
1888,0.69,-0.91,null,null
1889,1.37,-0.33,null,null
1890,0.25,-0.61,null,null
1891,0.72,-0.42,null,null
1892,0.37,-0.49,null,null
1893,-0.74,-0.52,null,null
1894,-1.97,-0.45,null,null
1895,-1.02,-0.25,null,null
1896,-0.35,-0.12,null,null
1897,1.46,0.08,null,null
1898,0.32,0.04,null,null
1899,0.71,-0.03,null,null
1900,5.12,0.46,50,-50
1901,0.48,0.44,50,-50
1902,0.00,0.40,50,-50
1903,0.35,0.51,50,-50
1904,-0.24,0.68,null,null
1905,0.40,0.82,null,null
1906,-0.02,0.86,null,null
1907,1.22,0.83,null,null
1908,0.45,0.85,null,null
1909,0.54,0.83,null,null
1910,0.86,0.40,null,null
1911,0.14,0.37,null,null
1912,2.95,0.67,null,null
1913,-0.43,0.59,null,null
1914,-0.26,0.59,null,null
1915,12.51,1.80,50,-50
1916,18.07,3.61,50,-50
1917,25.22,6.01,50,-50
1918,22.00,8.16,50,-50
1919,10.07,9.11,50,-50
1920,15.41,10.57,null,null
1921,-8.72,9.68,null,null
1922,-13.99,7.99,null,null
1923,-6.16,7.41,null,null
1924,-0.70,7.37,null,null
1925,0.19,6.14,null,null
1926,-0.72,4.26,null,null
1927,-2.34,1.50,null,null
1928,-0.34,-0.73,null,null
1929,-0.90,-1.83,null,null
1930,-2.77,-3.64,null,null
1931,-4.27,-3.20,null,null
1932,-2.62,-2.06,null,null
1933,-2.08,-1.66,null,null
1934,-0.05,-1.59,null,null
1935,0.70,-1.54,null,null
1936,0.80,-1.39,null,null
1937,3.36,-0.82,null,null
1938,1.60,-0.62,null,null
1939,2.95,-0.24,null,null
1940,17.01,1.74,50,-50
1941,10.83,3.25,50,-50
1942,7.16,4.23,50,-50
1943,3.39,4.78,50,-50
1944,2.66,5.05,50,-50
1945,2.58,5.23,50,-50
1946,3.36,5.49,50,-50
1947,6.77,5.83,null,null
1948,7.22,6.39,null,null
1949,2.61,6.36,null,null
1950,3.39,5.00,null,null
1951,7.51,4.66,50,-50
1952,8.14,4.76,50,-50
1953,3.13,4.74,50,-50
1954,2.00,4.67,50,-50
1955,4.32,4.84,null,null
1956,4.36,4.94,null,null
1957,3.11,4.58,null,null
1958,2.52,4.11,null,null
1959,0.87,3.93,null,null
1960,1.15,3.71,null,null
1961,2.97,3.26,null,null
1962,3.93,2.84,null,null
1963,2.25,2.75,null,null
1964,3.23,2.87,null,null
1965,4.57,2.90,null,null
1966,3.56,2.82,null,null
1967,2.63,2.77,null,null
1968,3.86,2.90,null,null
1969,5.16,3.33,null,null
1970,5.47,3.77,null,null
1971,7.68,4.24,null,null
1972,6.12,4.45,null,null
1973,8.17,5.05,null,null
1974,12.77,6.00,null,null
1975,18.49,7.39,null,null
1976,13.14,8.35,null,null
1977,12.72,9.36,null,null
1978,6.96,9.67,null,null
1979,9.44,10.10,null,null
1980,12.01,10.75,null,null
1981,9.01,10.88,null,null
1982,6.88,10.96,null,null
1983,4.60,10.60,null,null
1984,4.32,9.76,null,null
1985,4.82,8.39,null,null
1986,3.83,7.46,null,null
1987,3.67,6.55,null,null
1988,4.72,6.33,null,null
1989,5.75,5.96,null,null
1990,8.05,5.57,null,null
1991,7.46,5.41,null,null
1992,4.61,5.18,null,null
1993,2.55,4.98,null,null
1994,2.21,4.77,null,null
1995,2.69,4.55,null,null
1996,2.86,4.46,null,null
1997,2.21,4.31,null,null
1998,1.83,4.02,null,null
1999,1.73,3.62,null,null
2000,1.18,2.93,null,null
2001,1.57,2.34,null,null
2002,1.50,2.03,null,null
2003,1.38,1.92,null,null
2004,1.39,1.83,null,null
2005,2.09,1.77,null,null
2006,2.46,1.73,null,null
2007,2.40,1.75,null,null
2008,3.50,1.92,null,null
2009,1.98,1.94,null,null
2010,2.49,2.07,null,null
2011,3.84,2.30,null,null
2012,2.57,2.41,null,null
2013,2.30,2.50,null,null
2014,1.45,2.51,null,null
2015,0.38,2.34,null,null
2016,0.99,2.19,null,null
2017,2.58,2.21,null,null
2018,2.28,2.09,null,null
2019,1.74,2.06,null,null
2020,1.00,1.91,null,null
2021,2.51,1.78,null,null
