Date,Year,Value,Detail
15-04,2020,28232,
16-04,2020,28028,
17-04,2020,28053,
18-04,2020,27969,
19-04,2020,27986,
20-04,2020,28086,
21-04,2020,27984,
22-04,2020,27997,
23-04,2020,28064,
24-04,2020,28152,
25-04,2020,28181,
26-04,2020,28181,
27-04,2020,28294,
28-04,2020,28500,
29-04,2020,28702,
30-04,2020,29097,
01-05,2020,29190,
02-05,2020,29212,
03-05,2020,29327,
04-05,2020,29658,
05-05,2020,30094,
06-05,2020,30359,
07-05,2020,30559,
08-05,2020,30980,
09-05,2020,31436,
10-05,2020,31878,
11-05,2020,32198,
12-05,2020,32274,
13-05,2020,32543,
14-05,2020,32783,
15-05,2020,33116,
16-05,2020,33387,
17-05,2020,33638,
18-05,2020,33839,
19-05,2020,34085,
20-05,2020,34499,
21-05,2020,34755,
22-05,2020,35046,
23-05,2020,35221,
24-05,2020,35255,
25-05,2020,35245,
26-05,2020,35139,
27-05,2020,35228,
28-05,2020,35417,
29-05,2020,35657,
30-05,2020,35870,
31-05,2020,36387,
01-06,2020,37170,
02-06,2020,38086,
03-06,2020,38632,
04-06,2020,39257,
05-06,2020,39936,
06-06,2020,40552,
07-06,2020,41167,
08-06,2020,41649,
09-06,2020,41968,
10-06,2020,42440,
11-06,2020,42964,
12-06,2020,43438,
13-06,2020,43795,
14-06,2020,44233,
15-06,2020,44843,
16-06,2020,45357,
17-06,2020,45658,
18-06,2020,45987,
19-06,2020,46274,
20-06,2020,46731,
21-06,2020,47056,
22-06,2020,47348,
23-06,2020,47638,
24-06,2020,48161,
25-06,2020,48465,
26-06,2020,48667,
27-06,2020,48996,
28-06,2020,49318,
29-06,2020,49428,
30-06,2020,49717,
01-07,2020,50376,
02-07,2020,51388,
03-07,2020,52535,
04-07,2020,52930,
05-07,2020,53945,
06-07,2020,55184,
07-07,2020,56268,
08-07,2020,56872,
09-07,2020,57476,
10-07,2020,58276,
11-07,2020,59591,
12-07,2020,60271,
13-07,2020,60759,
14-07,2020,61134,
15-07,2020,61770,
16-07,2020,62281,
17-07,2020,62673,
18-07,2020,63197,
19-07,2020,63641,
20-07,2020,63920,
21-07,2020,63934,
22-07,2020,63671,
23-07,2020,63546,
24-07,2020,63474,
25-07,2020,63462,
26-07,2020,63442,
27-07,2020,63360,
28-07,2020,63448,
29-07,2020,62644,
30-07,2020,62462,
31-07,2020,62496,
01-08,2020,62825,
02-08,2020,63161,
03-08,2020,63600,
04-08,2020,63867,
05-08,2020,65128,
06-08,2020,65764,
07-08,2020,66260,
08-08,2020,66477,
09-08,2020,66732,
10-08,2020,67045,
11-08,2020,67451,
12-08,2020,67652,
13-08,2020,67892,
14-08,2020,68095,
15-08,2020,68294,
16-08,2020,68465,
17-08,2020,68623,
18-08,2020,68682,
19-08,2020,68688,
20-08,2020,68843,
21-08,2020,68818,
22-08,2020,68813,
23-08,2020,68943,
24-08,2020,68916,
25-08,2020,68899,
26-08,2020,68832,
27-08,2020,68706,
28-08,2020,68775,
29-08,2020,68691,
30-08,2020,68561,
31-08,2020,68551,
01-09,2020,68442,
02-09,2020,68445,
03-09,2020,68581,
04-09,2020,68789,
05-09,2020,68605,
06-09,2020,68125,
07-09,2020,67841,
08-09,2020,67692,
09-09,2020,67850,
10-09,2020,67877,
11-09,2020,67700,
12-09,2020,67735,
13-09,2020,68245,
14-09,2020,68501,
15-09,2020,68843,
16-09,2020,69008,
17-09,2020,69029,
18-09,2020,69143,
19-09,2020,69278,
20-09,2020,69342,
