Week,Central bank,Balance sheet (% of 2019 GDP)
2007-05-04,Federal Reserve,4.156429835
2007-05-11,Federal Reserve,4.083706298
2007-05-18,Federal Reserve,4.01040422
2007-05-25,Federal Reserve,4.077477651
2007-06-01,Federal Reserve,4.091712559
2007-06-08,Federal Reserve,4.071743563
2007-06-15,Federal Reserve,4.035738717
2007-06-22,Federal Reserve,4.040870936
2007-06-29,Federal Reserve,4.036279933
2007-07-06,Federal Reserve,4.089962939
2007-07-13,Federal Reserve,4.056351573
2007-07-20,Federal Reserve,4.07272335
2007-07-27,Federal Reserve,4.030611164
2007-08-03,Federal Reserve,4.060336041
2007-08-10,Federal Reserve,4.03790358
2007-08-17,Federal Reserve,4.035468109
2007-08-24,Federal Reserve,4.025408961
2007-08-31,Federal Reserve,4.072522727
2007-09-07,Federal Reserve,4.064511801
2007-09-14,Federal Reserve,4.135233772
2007-09-21,Federal Reserve,4.048536604
2007-09-28,Federal Reserve,4.151964805
2007-10-05,Federal Reserve,4.0546906
2007-10-12,Federal Reserve,4.135462389
2007-10-19,Federal Reserve,4.05682747
2007-10-26,Federal Reserve,4.112283424
2007-11-02,Federal Reserve,4.121568074
2007-11-09,Federal Reserve,4.132481037
2007-11-16,Federal Reserve,4.150271172
2007-11-23,Federal Reserve,4.157227661
2007-11-30,Federal Reserve,4.103054762
2007-12-07,Federal Reserve,4.118670703
2007-12-14,Federal Reserve,4.113939731
2007-12-21,Federal Reserve,4.143020747
2007-12-28,Federal Reserve,4.155520032
2008-01-04,Federal Reserve,4.30260475
2008-01-11,Federal Reserve,4.10929274
2008-01-18,Federal Reserve,4.169139074
2008-01-25,Federal Reserve,4.092958288
2008-02-01,Federal Reserve,4.200319635
2008-02-08,Federal Reserve,4.063886603
2008-02-15,Federal Reserve,4.119795126
2008-02-22,Federal Reserve,4.100871236
2008-02-29,Federal Reserve,4.170277493
2008-03-07,Federal Reserve,4.111410947
2008-03-14,Federal Reserve,4.183061383
2008-03-21,Federal Reserve,4.146114075
2008-03-28,Federal Reserve,4.170930685
2008-04-04,Federal Reserve,4.12307508
2008-04-11,Federal Reserve,4.166563633
2008-04-18,Federal Reserve,4.114658241
2008-04-25,Federal Reserve,4.132746979
2008-05-02,Federal Reserve,4.143711264
2008-05-09,Federal Reserve,4.148829486
2008-05-16,Federal Reserve,4.106591327
2008-05-23,Federal Reserve,4.192028769
2008-05-30,Federal Reserve,4.21800246
2008-06-06,Federal Reserve,4.180140684
2008-06-13,Federal Reserve,4.155277418
2008-06-20,Federal Reserve,4.209837567
2008-06-27,Federal Reserve,4.165089287
2008-07-04,Federal Reserve,4.212907567
2008-07-11,Federal Reserve,4.189915228
2008-07-18,Federal Reserve,4.248921744
2008-07-25,Federal Reserve,4.197524908
2008-08-01,Federal Reserve,4.285985693
2008-08-08,Federal Reserve,4.207066169
2008-08-15,Federal Reserve,4.26735574
2008-08-22,Federal Reserve,4.19260731
2008-08-29,Federal Reserve,4.245660453
2008-09-05,Federal Reserve,4.223596579
2008-09-12,Federal Reserve,4.319111831
2008-09-19,Federal Reserve,4.642758864
2008-09-26,Federal Reserve,5.653955219
2008-10-03,Federal Reserve,7.017091128
2008-10-10,Federal Reserve,7.425793019
2008-10-17,Federal Reserve,8.261980721
2008-10-24,Federal Reserve,8.410315834
2008-10-31,Federal Reserve,9.187072445
2008-11-07,Federal Reserve,9.677521247
2008-11-14,Federal Reserve,10.32440007
2008-11-21,Federal Reserve,10.2044228
2008-11-28,Federal Reserve,9.826411572
2008-12-05,Federal Reserve,9.970146351
2008-12-12,Federal Reserve,10.49777574
2008-12-19,Federal Reserve,10.52096871
2008-12-26,Federal Reserve,10.41518902
2009-01-02,Federal Reserve,10.44852977
2009-01-09,Federal Reserve,9.897898711
2009-01-16,Federal Reserve,9.563254734
2009-01-23,Federal Reserve,9.504458172
2009-01-30,Federal Reserve,8.991096347
2009-02-06,Federal Reserve,8.638163009
2009-02-13,Federal Reserve,8.600665154
2009-02-20,Federal Reserve,8.937348022
2009-02-27,Federal Reserve,8.939928128
2009-03-06,Federal Reserve,8.870885792
2009-03-13,Federal Reserve,8.862473619
2009-03-20,Federal Reserve,9.643634607
2009-03-27,Federal Reserve,9.665161931
2009-04-03,Federal Reserve,9.699594452
2009-04-10,Federal Reserve,9.744557352
2009-04-17,Federal Reserve,10.20144144
2009-04-24,Federal Reserve,10.24956299
2009-05-01,Federal Reserve,9.642561507
2009-05-08,Federal Reserve,9.703429619
2009-05-15,Federal Reserve,10.24741213
2009-05-22,Federal Reserve,10.17873838
2009-05-29,Federal Reserve,9.705095257
2009-06-05,Federal Reserve,9.693804376
2009-06-12,Federal Reserve,9.575306116
2009-06-19,Federal Reserve,9.669692281
2009-06-26,Federal Reserve,9.450611868
2009-07-03,Federal Reserve,9.35756008
2009-07-10,Federal Reserve,9.297433807
2009-07-17,Federal Reserve,9.669337691
2009-07-24,Federal Reserve,9.513271591
2009-07-31,Federal Reserve,9.333858561
2009-08-07,Federal Reserve,9.280931391
2009-08-14,Federal Reserve,9.400820017
2009-08-21,Federal Reserve,9.614236326
2009-08-28,Federal Reserve,9.680773207
2009-09-04,Federal Reserve,9.721914937
2009-09-11,Federal Reserve,9.741631988
2009-09-18,Federal Reserve,9.983485454
2009-09-25,Federal Reserve,10.07142369
2009-10-02,Federal Reserve,9.989256867
2009-10-09,Federal Reserve,9.97556784
2009-10-16,Federal Reserve,10.23078374
2009-10-23,Federal Reserve,10.26965796
2009-10-30,Federal Reserve,10.08498207
2009-11-06,Federal Reserve,10.10145183
2009-11-13,Federal Reserve,9.961332932
2009-11-20,Federal Reserve,10.30512626
2009-11-27,Federal Reserve,10.29410598
2009-12-04,Federal Reserve,10.28344497
2009-12-11,Federal Reserve,10.20090489
2009-12-18,Federal Reserve,10.43129485
2009-12-25,Federal Reserve,10.43148148
2010-01-01,Federal Reserve,10.4233819
2010-01-08,Federal Reserve,10.42915332
2010-01-15,Federal Reserve,10.69227749
2010-01-22,Federal Reserve,10.50614593
2010-01-29,Federal Reserve,10.48319091
2010-02-05,Federal Reserve,10.49454245
2010-02-12,Federal Reserve,10.52888165
2010-02-19,Federal Reserve,10.62637048
2010-02-26,Federal Reserve,10.66627581
2010-03-05,Federal Reserve,10.6383752
2010-03-12,Federal Reserve,10.64923218
2010-03-19,Federal Reserve,10.76831365
2010-03-26,Federal Reserve,10.79235109
2010-04-02,Federal Reserve,10.76436184
2010-04-09,Federal Reserve,10.76634474
2010-04-16,Federal Reserve,10.91457254
2010-04-23,Federal Reserve,10.90622569
2010-04-30,Federal Reserve,10.8731742
2010-05-07,Federal Reserve,10.85307457
2010-05-14,Federal Reserve,10.89944649
2010-05-21,Federal Reserve,10.96843751
2010-05-28,Federal Reserve,10.88982592
2010-06-04,Federal Reserve,10.89997371
2010-06-11,Federal Reserve,10.8781058
2010-06-18,Federal Reserve,10.9377655
2010-06-25,Federal Reserve,10.93860999
2010-07-02,Federal Reserve,10.87494248
2010-07-09,Federal Reserve,10.88038264
2010-07-16,Federal Reserve,10.92097382
2010-07-23,Federal Reserve,10.88180566
2010-07-30,Federal Reserve,10.84903411
2010-08-06,Federal Reserve,10.85454425
2010-08-13,Federal Reserve,10.85946185
2010-08-20,Federal Reserve,10.79474457
2010-08-27,Federal Reserve,10.73573805
2010-09-03,Federal Reserve,10.74031506
2010-09-10,Federal Reserve,10.75807254
2010-09-17,Federal Reserve,10.71270839
2010-09-24,Federal Reserve,10.76445982
2010-10-01,Federal Reserve,10.72489508
2010-10-08,Federal Reserve,10.76875688
2010-10-15,Federal Reserve,10.7771224
2010-10-22,Federal Reserve,10.75538979
2010-10-29,Federal Reserve,10.70950309
2010-11-05,Federal Reserve,10.73264939
2010-11-12,Federal Reserve,10.79057348
2010-11-19,Federal Reserve,10.79985346
2010-11-26,Federal Reserve,10.94562713
2010-12-03,Federal Reserve,10.94991487
2010-12-10,Federal Reserve,11.11495768
2010-12-17,Federal Reserve,11.13110084
2010-12-24,Federal Reserve,11.32783744
2010-12-31,Federal Reserve,11.29354023
2011-01-07,Federal Reserve,11.36582986
2011-01-14,Federal Reserve,11.51544336
2011-01-21,Federal Reserve,11.31497424
2011-01-28,Federal Reserve,11.40064963
2011-02-04,Federal Reserve,11.52145272
2011-02-11,Federal Reserve,11.66637724
2011-02-18,Federal Reserve,11.70550807
2011-02-25,Federal Reserve,11.81913073
2011-03-04,Federal Reserve,11.87464267
2011-03-11,Federal Reserve,12.02374295
2011-03-18,Federal Reserve,12.0515969
2011-03-25,Federal Reserve,12.13695502
2011-04-01,Federal Reserve,12.23578289
2011-04-08,Federal Reserve,12.35780372
2011-04-15,Federal Reserve,12.43586943
2011-04-22,Federal Reserve,12.53092745
2011-04-29,Federal Reserve,12.55520284
2011-05-06,Federal Reserve,12.68477736
2011-05-13,Federal Reserve,12.80487594
2011-05-20,Federal Reserve,12.86791358
2011-05-27,Federal Reserve,12.94716904
2011-06-03,Federal Reserve,13.01121446
2011-06-10,Federal Reserve,13.11611234
2011-06-17,Federal Reserve,13.19236311
2011-06-24,Federal Reserve,13.32698587
2011-07-01,Federal Reserve,13.36826757
2011-07-08,Federal Reserve,13.39090532
2011-07-15,Federal Reserve,13.42809524
2011-07-22,Federal Reserve,13.39649477
2011-07-29,Federal Reserve,13.3604526
2011-08-05,Federal Reserve,13.37743091
2011-08-12,Federal Reserve,13.40172963
2011-08-19,Federal Reserve,13.33399834
2011-08-26,Federal Reserve,13.3411228
2011-09-02,Federal Reserve,13.31525175
2011-09-09,Federal Reserve,13.33751625
2011-09-16,Federal Reserve,13.36028463
2011-09-23,Federal Reserve,13.33325651
2011-09-30,Federal Reserve,13.30140876
2011-10-07,Federal Reserve,13.34237319
2011-10-14,Federal Reserve,13.34760339
2011-10-21,Federal Reserve,13.3082626
2011-10-28,Federal Reserve,13.2769794
2011-11-04,Federal Reserve,13.16663203
2011-11-11,Federal Reserve,13.24945671
2011-11-18,Federal Reserve,13.2111517
2011-11-25,Federal Reserve,13.16638009
2011-12-02,Federal Reserve,13.1302446
2011-12-09,Federal Reserve,13.16036606
2011-12-16,Federal Reserve,13.5420025
2011-12-23,Federal Reserve,13.60544138
2011-12-30,Federal Reserve,13.65214457
2012-01-06,Federal Reserve,13.61292509
2012-01-13,Federal Reserve,13.52642388
2012-01-20,Federal Reserve,13.62101533
2012-01-27,Federal Reserve,13.62158454
2012-02-03,Federal Reserve,13.6467884
2012-02-10,Federal Reserve,13.6623157
2012-02-17,Federal Reserve,13.70718995
2012-02-24,Federal Reserve,13.68348843
2012-03-02,Federal Reserve,13.65040428
2012-03-09,Federal Reserve,13.45922914
2012-03-16,Federal Reserve,13.50034754
2012-03-23,Federal Reserve,13.49608314
2012-03-30,Federal Reserve,13.42838917
2012-04-06,Federal Reserve,13.36932667
2012-04-13,Federal Reserve,13.37736093
2012-04-20,Federal Reserve,13.41594588
2012-04-27,Federal Reserve,13.37437957
2012-05-04,Federal Reserve,13.36373722
2012-05-11,Federal Reserve,13.36313068
2012-05-18,Federal Reserve,13.30170269
2012-05-25,Federal Reserve,13.34141207
2012-06-01,Federal Reserve,13.2628378
2012-06-08,Federal Reserve,13.30652698
2012-06-15,Federal Reserve,13.38609036
2012-06-22,Federal Reserve,13.3943719
2012-06-29,Federal Reserve,13.36031729
2012-07-06,Federal Reserve,13.37109962
2012-07-13,Federal Reserve,13.37306386
2012-07-20,Federal Reserve,13.32420514
2012-07-27,Federal Reserve,13.28198098
2012-08-03,Federal Reserve,13.30232789
2012-08-10,Federal Reserve,13.32595009
2012-08-17,Federal Reserve,13.2192746
2012-08-24,Federal Reserve,13.18355436
2012-08-31,Federal Reserve,13.12357738
2012-09-07,Federal Reserve,13.1672619
2012-09-14,Federal Reserve,13.17322927
2012-09-21,Federal Reserve,13.16448583
2012-09-28,Federal Reserve,13.08462385
2012-10-05,Federal Reserve,13.10354307
2012-10-12,Federal Reserve,13.11805792
2012-10-19,Federal Reserve,13.28274148
2012-10-26,Federal Reserve,13.25495285
2012-11-02,Federal Reserve,13.17177825
2012-11-09,Federal Reserve,13.20748916
2012-11-16,Federal Reserve,13.42422275
2012-11-23,Federal Reserve,13.39584158
2012-11-30,Federal Reserve,13.30346631
2012-12-07,Federal Reserve,13.34286775
2012-12-14,Federal Reserve,13.61092353
2012-12-21,Federal Reserve,13.62478518
2012-12-28,Federal Reserve,13.56445362
2013-01-04,Federal Reserve,13.61059226
2013-01-11,Federal Reserve,13.66442924
2013-01-18,Federal Reserve,13.82811901
2013-01-25,Federal Reserve,14.05153382
2013-02-01,Federal Reserve,14.03756952
2013-02-08,Federal Reserve,14.06682783
2013-02-15,Federal Reserve,14.34326778
2013-02-22,Federal Reserve,14.44089658
2013-03-01,Federal Reserve,14.41966786
2013-03-08,Federal Reserve,14.50460607
2013-03-15,Federal Reserve,14.76864005
2013-03-22,Federal Reserve,14.96222734
2013-03-29,Federal Reserve,14.94061603
2013-04-05,Federal Reserve,15.00209068
2013-04-12,Federal Reserve,15.05961818
2013-04-19,Federal Reserve,15.37383593
2013-04-26,Federal Reserve,15.48366541
2013-05-03,Federal Reserve,15.47687688
2013-05-10,Federal Reserve,15.5115007
2013-05-17,Federal Reserve,15.64985598
2013-05-24,Federal Reserve,15.85721627
2013-05-31,Federal Reserve,15.79383337
2013-06-07,Federal Reserve,15.86407478
2013-06-14,Federal Reserve,15.91380598
2013-06-21,Federal Reserve,16.19228949
2013-06-28,Federal Reserve,16.23027723
2013-07-05,Federal Reserve,16.29592297
2013-07-12,Federal Reserve,16.34889214
2013-07-19,Federal Reserve,16.50643258
2013-07-26,Federal Reserve,16.67772271
2013-08-02,Federal Reserve,16.66476619
2013-08-09,Federal Reserve,16.72804178
2013-08-16,Federal Reserve,17.01247866
2013-08-23,Federal Reserve,17.00942266
2013-08-30,Federal Reserve,17.00376789
2013-09-06,Federal Reserve,17.04914603
2013-09-13,Federal Reserve,17.08578541
2013-09-20,Federal Reserve,17.36645711
2013-09-27,Federal Reserve,17.42163312
2013-10-04,Federal Reserve,17.48400824
2013-10-11,Federal Reserve,17.53661815
2013-10-18,Federal Reserve,17.79293047
2013-10-25,Federal Reserve,17.9115967
2013-11-01,Federal Reserve,17.93195294
2013-11-08,Federal Reserve,17.97033727
2013-11-15,Federal Reserve,18.23068539
2013-11-22,Federal Reserve,18.2269342
2013-11-29,Federal Reserve,18.31677602
2013-12-06,Federal Reserve,18.34826918
2013-12-13,Federal Reserve,18.63440902
2013-12-20,Federal Reserve,18.70022739
2013-12-27,Federal Reserve,18.81459655
2014-01-03,Federal Reserve,18.77290894
2014-01-10,Federal Reserve,18.79411433
2014-01-17,Federal Reserve,18.99633774
2014-01-24,Federal Reserve,19.11944567
2014-01-31,Federal Reserve,19.13915339
2014-02-07,Federal Reserve,19.17249881
2014-02-14,Federal Reserve,19.22003715
2014-02-21,Federal Reserve,19.35884034
2014-02-28,Federal Reserve,19.40898678
2014-03-07,Federal Reserve,19.46399483
2014-03-14,Federal Reserve,19.50878043
2014-03-21,Federal Reserve,19.69876583
2014-03-28,Federal Reserve,19.72158088
2014-04-04,Federal Reserve,19.76576461
2014-04-11,Federal Reserve,19.80190943
2014-04-18,Federal Reserve,19.98750445
2014-04-25,Federal Reserve,20.04522791
2014-05-02,Federal Reserve,20.04387487
2014-05-09,Federal Reserve,20.07697301
2014-05-16,Federal Reserve,20.23330039
2014-05-23,Federal Reserve,20.19089427
2014-05-30,Federal Reserve,20.16800457
2014-06-06,Federal Reserve,20.20655687
2014-06-13,Federal Reserve,20.25315275
2014-06-20,Federal Reserve,20.38035711
2014-06-27,Federal Reserve,20.38119693
2014-07-04,Federal Reserve,20.4217088
2014-07-11,Federal Reserve,20.45142901
2014-07-18,Federal Reserve,20.52048068
2014-07-25,Federal Reserve,20.5790113
2014-08-01,Federal Reserve,20.55984013
2014-08-08,Federal Reserve,20.57604861
2014-08-15,Federal Reserve,20.67781584
2014-08-22,Federal Reserve,20.58917309
2014-08-29,Federal Reserve,20.5929616
2014-09-05,Federal Reserve,20.60159772
2014-09-12,Federal Reserve,20.62875649
2014-09-19,Federal Reserve,20.7602346
2014-09-26,Federal Reserve,20.80438101
2014-10-03,Federal Reserve,20.76336992
2014-10-10,Federal Reserve,20.78736537
2014-10-17,Federal Reserve,20.87581216
2014-10-24,Federal Reserve,20.90966614
2014-10-31,Federal Reserve,20.93363827
2014-11-07,Federal Reserve,20.93284977
2014-11-14,Federal Reserve,20.94362743
2014-11-21,Federal Reserve,20.96165552
2014-11-28,Federal Reserve,20.92979844
2014-12-05,Federal Reserve,20.93100684
2014-12-12,Federal Reserve,20.94348746
2014-12-19,Federal Reserve,21.00592323
2014-12-26,Federal Reserve,21.03958592
2015-01-02,Federal Reserve,20.98452188
2015-01-09,Federal Reserve,20.99321866
2015-01-16,Federal Reserve,21.07044922
2015-01-23,Federal Reserve,21.0557944
2015-01-30,Federal Reserve,20.99573811
2015-02-06,Federal Reserve,20.99706316
2015-02-13,Federal Reserve,21.00330114
2015-02-20,Federal Reserve,20.98074737
2015-02-27,Federal Reserve,20.93350296
2015-03-06,Federal Reserve,20.93750609
2015-03-13,Federal Reserve,20.94541904
2015-03-20,Federal Reserve,20.97625434
2015-03-27,Federal Reserve,20.90493984
2015-04-03,Federal Reserve,20.91051996
2015-04-10,Federal Reserve,20.91807831
2015-04-17,Federal Reserve,20.92716234
2015-04-24,Federal Reserve,20.94735995
2015-05-01,Federal Reserve,20.86246373
2015-05-08,Federal Reserve,20.86808117
2015-05-15,Federal Reserve,21.00098231
2015-05-22,Federal Reserve,20.90391806
2015-05-29,Federal Reserve,20.82738735
2015-06-05,Federal Reserve,20.83382128
2015-06-12,Federal Reserve,20.84616194
2015-06-19,Federal Reserve,20.93859786
2015-06-26,Federal Reserve,20.97236786
2015-07-03,Federal Reserve,20.89806733
2015-07-10,Federal Reserve,20.90814047
2015-07-17,Federal Reserve,20.96560266
2015-07-24,Federal Reserve,20.99778633
2015-07-31,Federal Reserve,20.92769423
2015-08-07,Federal Reserve,20.93165537
2015-08-14,Federal Reserve,20.94528374
2015-08-21,Federal Reserve,20.93575647
2015-08-28,Federal Reserve,20.87928807
2015-09-04,Federal Reserve,20.88293195
2015-09-11,Federal Reserve,20.89378892
2015-09-18,Federal Reserve,20.93856053
2015-09-25,Federal Reserve,20.98370073
2015-10-02,Federal Reserve,20.92130695
2015-10-09,Federal Reserve,20.93098351
2015-10-16,Federal Reserve,21.01738674
2015-10-23,Federal Reserve,21.00184079
2015-10-30,Federal Reserve,20.94569898
2015-11-06,Federal Reserve,20.94739261
2015-11-13,Federal Reserve,20.95817027
2015-11-20,Federal Reserve,20.9334843
2015-11-27,Federal Reserve,20.88854006
2015-12-04,Federal Reserve,20.89311707
2015-12-11,Federal Reserve,20.90416067
2015-12-18,Federal Reserve,20.94688406
2015-12-25,Federal Reserve,20.97921703
2016-01-01,Federal Reserve,20.9328591
2016-01-08,Federal Reserve,20.93294775
2016-01-15,Federal Reserve,21.00334779
2016-01-22,Federal Reserve,20.94337082
2016-01-29,Federal Reserve,20.91308607
2016-02-05,Federal Reserve,20.9184329
2016-02-12,Federal Reserve,20.93141742
2016-02-19,Federal Reserve,20.9190581
2016-02-26,Federal Reserve,20.94783119
2016-03-04,Federal Reserve,20.89505798
2016-03-11,Federal Reserve,20.90717935
2016-03-18,Federal Reserve,20.93167403
2016-03-25,Federal Reserve,20.96211275
2016-04-01,Federal Reserve,20.9153769
2016-04-08,Federal Reserve,20.92111099
2016-04-15,Federal Reserve,20.99417512
2016-04-22,Federal Reserve,20.94939418
2016-04-29,Federal Reserve,20.87723519
2016-05-06,Federal Reserve,20.88938921
2016-05-13,Federal Reserve,20.89471272
2016-05-20,Federal Reserve,20.87292412
2016-05-27,Federal Reserve,20.81399692
2016-06-03,Federal Reserve,20.81531264
2016-06-10,Federal Reserve,20.82533913
2016-06-17,Federal Reserve,20.86861306
2016-06-24,Federal Reserve,20.91149974
2016-07-01,Federal Reserve,20.83905615
2016-07-08,Federal Reserve,20.85829263
2016-07-15,Federal Reserve,20.86574368
2016-07-22,Federal Reserve,20.90666613
2016-07-29,Federal Reserve,20.82979949
2016-08-05,Federal Reserve,20.84050716
2016-08-12,Federal Reserve,20.850473
2016-08-19,Federal Reserve,20.83902815
2016-08-26,Federal Reserve,20.87338602
2016-09-02,Federal Reserve,20.79904817
2016-09-09,Federal Reserve,20.805986
2016-09-16,Federal Reserve,20.90975479
2016-09-23,Federal Reserve,20.86961617
2016-09-30,Federal Reserve,20.77149749
2016-10-07,Federal Reserve,20.80604665
2016-10-14,Federal Reserve,20.79807305
2016-10-21,Federal Reserve,20.84325523
2016-10-28,Federal Reserve,20.78234047
2016-11-04,Federal Reserve,20.77655972
2016-11-11,Federal Reserve,20.78589103
2016-11-18,Federal Reserve,20.77910717
2016-11-25,Federal Reserve,20.83579019
2016-12-02,Federal Reserve,20.74492659
2016-12-09,Federal Reserve,20.75570892
2016-12-16,Federal Reserve,20.86000959
2016-12-23,Federal Reserve,20.8512195
2016-12-30,Federal Reserve,20.76892671
2017-01-06,Federal Reserve,20.77662504
2017-01-13,Federal Reserve,20.77386297
2017-01-20,Federal Reserve,20.81234995
2017-01-27,Federal Reserve,20.77539797
2017-02-03,Federal Reserve,20.78026425
2017-02-10,Federal Reserve,20.79125186
2017-02-17,Federal Reserve,20.78397344
2017-02-24,Federal Reserve,20.8494139
2017-03-03,Federal Reserve,20.79956606
2017-03-10,Federal Reserve,20.80806688
2017-03-17,Federal Reserve,20.85349634
2017-03-24,Federal Reserve,20.89389623
2017-03-31,Federal Reserve,20.85368763
2017-04-07,Federal Reserve,20.87709055
2017-04-14,Federal Reserve,20.92308456
2017-04-21,Federal Reserve,20.89872052
2017-04-28,Federal Reserve,20.85613244
2017-05-05,Federal Reserve,20.86128332
2017-05-12,Federal Reserve,20.87160841
2017-05-19,Federal Reserve,20.84197684
2017-05-26,Federal Reserve,20.85944505
2017-06-02,Federal Reserve,20.80841214
2017-06-09,Federal Reserve,20.82021157
2017-06-16,Federal Reserve,20.88471889
2017-06-23,Federal Reserve,20.8753316
2017-06-30,Federal Reserve,20.82442932
2017-07-07,Federal Reserve,20.84274201
2017-07-14,Federal Reserve,20.84008259
2017-07-21,Federal Reserve,20.88767692
2017-07-28,Federal Reserve,20.83346669
2017-08-04,Federal Reserve,20.84075444
2017-08-11,Federal Reserve,20.85119151
2017-08-18,Federal Reserve,20.82220847
2017-08-25,Federal Reserve,20.82671549
2017-09-01,Federal Reserve,20.77316779
2017-09-08,Federal Reserve,20.77836533
2017-09-15,Federal Reserve,20.86094739
2017-09-22,Federal Reserve,20.80216949
