Period,UK redundancy rate,Measure,,,,,,
2010-09-01,6.36,Redundancy,,,,,,
2010-10-01,6.36,Redundancy,,,,,,
2010-11-01,5.9,Redundancy,,,,,,
2010-12-01,5.7,Redundancy,,,,,,
2011-01-01,5.08,Redundancy,,,,,,
2011-02-01,4.89,Redundancy,,,,,,
2011-03-01,4.64,Redundancy,,,,,,
2011-04-01,5.75,Redundancy,,,,,,
2011-05-01,6.17,Redundancy,,,,,,
2011-06-01,6.5,Redundancy,,,,,,
2011-07-01,5.98,Redundancy,,,,,,
2011-08-01,5.88,Redundancy,,,,,,
2011-09-01,6.46,Redundancy,,,,,,
2011-10-01,6.59,Redundancy,,,,,,
2011-11-01,6.6,Redundancy,,,,,,
2011-12-01,6.95,Redundancy,,,,,,
2012-01-01,7.01,Redundancy,,,,,,
2012-02-01,6.91,Redundancy,,,,,,
2012-03-01,6.23,Redundancy,,,,,,
2012-04-01,5.93,Redundancy,,,,,,
2012-05-01,6.02,Redundancy,,,,,,
2012-06-01,5.69,Redundancy,,,,,,
2012-07-01,5.21,Redundancy,,,,,,
2012-08-01,5.11,Redundancy,,,,,,
2012-09-01,5.83,Redundancy,,,,,,
2012-10-01,6.28,Redundancy,,,,,,
2012-11-01,5.78,Redundancy,,,,,,
2012-12-01,5.28,Redundancy,,,,,,
2013-01-01,5.44,Redundancy,,,,,,
2013-02-01,5.57,Redundancy,,,,,,
2013-03-01,5.59,Redundancy,,,,,,
2013-04-01,4.7,Redundancy,,,,,,
2013-05-01,4.87,Redundancy,,,,,,
2013-06-01,4.81,Redundancy,,,,,,
2013-07-01,5.24,Redundancy,,,,,,
2013-08-01,4.9,Redundancy,,,,,,
2013-09-01,4.71,Redundancy,,,,,,
2013-10-01,4.36,Redundancy,,,,,,
2013-11-01,4.35,Redundancy,,,,,,
2013-12-01,4.56,Redundancy,,,,,,
2014-01-01,4.54,Redundancy,,,,,,
2014-02-01,4.9,Redundancy,,,,,,
2014-03-01,4.71,Redundancy,,,,,,
2014-04-01,4.57,Redundancy,,,,,,
2014-05-01,4.36,Redundancy,,,,,,
2014-06-01,3.57,Redundancy,,,,,,
2014-07-01,3.66,Redundancy,,,,,,
2014-08-01,3.51,Redundancy,,,,,,
2014-09-01,3.93,Redundancy,,,,,,
2014-10-01,3.95,Redundancy,,,,,,
2014-11-01,4.09,Redundancy,,,,,,
2014-12-01,4.38,Redundancy,,,,,,
2015-01-01,4.12,Redundancy,,,,,,
2015-02-01,4.21,Redundancy,,,,,,
2015-03-01,4.2,Redundancy,,,,,,
2015-04-01,4.51,Redundancy,,,,,,
2015-05-01,4.27,Redundancy,,,,,,
2015-06-01,4.06,Redundancy,,,,,,
2015-07-01,4.02,Redundancy,,,,,,
2015-08-01,4.23,Redundancy,,,,,,
2015-09-01,3.97,Redundancy,,,,,,
2015-10-01,3.86,Redundancy,,,,,,
2015-11-01,3.68,Redundancy,,,,,,
2015-12-01,4.18,Redundancy,,,,,,
2016-01-01,4.2,Redundancy,,,,,,
2016-02-01,4.16,Redundancy,,,,,,
2016-03-01,3.83,Redundancy,,,,,,
2016-04-01,3.91,Redundancy,,,,,,
2016-05-01,4.19,Redundancy,,,,,,
2016-06-01,4.56,Redundancy,,,,,,
2016-07-01,4.45,Redundancy,,,,,,
2016-08-01,4.27,Redundancy,,,,,,
2016-09-01,4.41,Redundancy,,,,,,
2016-10-01,4.57,Redundancy,,,,,,
2016-11-01,4.52,Redundancy,,,,,,
2016-12-01,4.35,Redundancy,,,,,,
2017-01-01,3.95,Redundancy,,,,,,
2017-02-01,3.54,Redundancy,,,,,,
2017-03-01,3.32,Redundancy,,,,,,
2017-04-01,3.59,Redundancy,,,,,,
2017-05-01,4.14,Redundancy,,,,,,
2017-06-01,4.09,Redundancy,,,,,,
2017-07-01,3.97,Redundancy,,,,,,
2017-08-01,3.77,Redundancy,,,,,,
2017-09-01,3.7,Redundancy,,,,,,
2017-10-01,4.05,Redundancy,,,,,,
2017-11-01,3.94,Redundancy,,,,,,
2017-12-01,3.77,Redundancy,,,,,,
2018-01-01,3.57,Redundancy,,,,,,
2018-02-01,3.51,Redundancy,,,,,,
2018-03-01,3.95,Redundancy,,,,,,
2018-04-01,3.48,Redundancy,,,,,,
2018-05-01,3.58,Redundancy,,,,,,
2018-06-01,3.18,Redundancy,,,,,,
2018-07-01,3.27,Redundancy,,,,,,
2018-08-01,3.07,Redundancy,,,,,,
2018-09-01,3.02,Redundancy,,,,,,
2018-10-01,3.31,Redundancy,,,,,,
2018-11-01,3.32,Redundancy,,,,,,
2018-12-01,3.31,Redundancy,,,,,,
2019-01-01,3.18,Redundancy,,,,,,
2019-02-01,3.34,Redundancy,,,,,,
2019-03-01,3.9,Redundancy,,,,,,
2019-04-01,3.63,Redundancy,,,,,,
2019-05-01,3.75,Redundancy,,,,,,
2019-06-01,3.54,Redundancy,,,,,,
2019-07-01,4.15,Redundancy,,,,,,
2019-08-01,4.28,Redundancy,,,,,,
2019-09-01,4.28,Redundancy,,,,,,
2019-10-01,4.16,Redundancy,,,,,,
2019-11-01,3.94,Redundancy,,,,,,
2019-12-01,3.83,Redundancy,,,,,,
2020-01-01,3.85,Redundancy,,,,,,
2020-02-01,3.85,Redundancy,,,,,,
2020-03-01,3.86,Redundancy,,,,,,
2020-04-01,4.07,Redundancy,,,,,,
2020-05-01,4.74,Redundancy,,,,,,
2020-06-01,5.49,Redundancy,,,,,,
2020-07-01,8.17,Redundancy,,,,,,
2020-08-01,11.27,Redundancy,,,,,,
2020-09-01,13.29,Redundancy,,,,,,
2020-10-01,14.17,Redundancy,,,,,,
